UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
23FE00001,23,32,L2655,1,21,21,43,1.0,2.05
23FE00002,23,1,Y0304,5,47,45,92,0.96,2.04
23FE00003,23,33,L2820,1,22,20,41,0.91,2.05
23FE00004,23,35,L2754,1,21,19,31,0.9,1.63
23FE00005,23,36,L2999,1,22,21,38,0.95,1.81
23FE00006,23,8,Z6698,1,16,16,33,1.0,2.06
23FE00007,23,2,Y0305,5,47,45,88,0.96,1.96
23FE00008,23,6,Z8053,1,9,9,20,1.0,2.22
23FE00009,23,40,L3080,1,22,21,41,0.95,1.95
23FE00010,23,26,Z7944,1,15,15,29,1.0,1.93
23FE00056,23,48,T7878,2,19,16,30,0.84,1.88
23FE00057,23,44,T7652,2,18,18,32,1.0,1.78
23FE00058,23,58,S3351,2,22,21,50,0.95,2.38
23FE00059,23,54,S3136,2,22,21,42,0.95,2.0
23FE00060,23,57,S3301,2,23,22,44,0.96,2.0
23FE00061,23,47,T7862,2,19,19,35,1.0,1.84
23FE00062,23,59,S3394,2,23,23,43,1.0,1.87
23FE00063,23,55,S3138,2,23,22,43,0.96,1.95
23FE00064,23,53,S3035,2,21,21,39,1.0,1.86
23FE00065,23,45,T7729,2,19,19,40,1.0,2.11
