UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
21FE00001,21,48,S1361,2,24,24,41,1.0,1.71
21FE00002,21,7,L2256,1,17,16,28,0.94,1.75
21FE00003,21,Kt1,Y0041,5,17,17,32,1.0,1.88
21FE00004,21,34,Z6473,1,28,25,43,0.89,1.72
21FE00005,21,11,L2335,1,17,15,24,0.88,1.6
21FE00006,21,18,Z6709,1,23,17,23,0.74,1.35
21FE00007,21,51,S1748,2,24,22,45,0.92,2.05
21FE00008,21,62,S2555,2,23,19,33,0.83,1.74
21FE00009,21,20,Z6841,1,23,22,37,0.96,1.68
21FE00010,21,27,A0459,1,26,23,49,0.88,2.13
21FE00057,21,59,S2179,2,25,22,39,0.88,1.77
21FE00058,21,55,S1878,2,24,22,42,0.92,1.91
21FE00059,21,44,T7280,2,23,22,42,0.96,1.91
21FE00060,21,45,T7329,2,24,22,41,0.92,1.86
21FE00061,21,37,L2276,5,26,25,51,0.96,2.04
21FE00062,21,61,S2385,2,25,20,36,0.8,1.8
21FE00063,21,36,L2211,5,25,25,51,1.0,2.04
21FE00064,21,60,S2209,2,24,22,40,0.92,1.82
21FE00065,21,Kt2,Y0040,5,20,19,36,0.95,1.89
21FE00066,21,22,K5268,1,21,1,3,0.05,3.0
