UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
20FE00001,20,15,Z5442,1,23,16,29,0.7,1.81
20FE00002,20,17,Z5635,1,21,18,33,0.86,1.83
20FE00003,20,2,L1934,1,17,15,31,0.88,2.07
20FE00004,20,23,A0714,1,19,19,42,1.0,2.21
20FE00005,20,24,A0715,1,17,16,40,0.94,2.5
20FE00006,20,11,Z7471,1,22,21,34,0.95,1.62
20FE00007,20,12,Z5264,1,21,19,39,0.9,2.05
20FE00008,20,28,M0031,1,19,16,40,0.84,2.5
20FE00009,20,5,L2041,1,17,16,31,0.94,1.94
20FE00010,20,6,L2046,1,18,15,32,0.83,2.13
20FE00056,20,45,S1406,2,16,15,32,0.94,2.13
20FE00057,20,33,T6977,2,15,12,25,0.8,2.08
20FE00058,20,58,S1937,2,15,15,29,1.0,1.93
20FE00059,20,63,S1947,2,16,14,27,0.88,1.93
20FE00060,20,44,S1387,2,24,21,42,0.88,2.0
20FE00061,20,38,T7077,2,17,14,26,0.82,1.86
20FE00062,20,36,T7022,2,16,14,24,0.88,1.71
20FE00063,20,50,S1673,2,15,12,24,0.8,2.0
20FE00064,20,54,S1872,2,15,14,27,0.93,1.93
20FE00065,20,34,T6983,2,16,15,26,0.94,1.73
