UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
09FE00001,09,13,00001,1,20,19,32,0.95,1.68
09FE00002,09,40,00026,2,21,20,37,0.95,1.85
09FE00003,09,e20,00027,4,47,36,48,0.77,1.33
09FE00004,09,5,00027,1,15,15,25,1.0,1.67
09FE00005,09,12,00029,1,17,16,28,0.94,1.75
09FE00006,09,11,00057,1,17,16,28,0.94,1.75
09FE00007,09,29,00075,2,21,20,46,0.95,2.3
09FE00008,09,6,00091,1,13,11,19,0.85,1.73
09FE00009,09,38,00114,2,20,20,43,1.0,2.15
09FE00010,09,14,00249,1,23,19,37,0.83,1.95
09FE00078,09,br1,X3980,1,7,6,12,0.86,2.0
09FE00079,09,e4,X4445,4,20,16,21,0.8,1.31
09FE00080,09,e10,X4731,4,18,9,11,0.5,1.22
09FE00081,09,16,X4987,1,22,22,39,1.0,1.77
09FE00082,09,e1,X5137,4,7,5,10,0.71,2.0
09FE00083,09,e9,X5140,4,16,10,13,0.63,1.3
09FE00084,09,3,X5177,1,8,8,16,1.0,2.0
09FE00085,09,21,X5886,1,20,17,29,0.85,1.71
09FE00086,09,e8,X6623,4,12,10,13,0.83,1.3
09FE00087,09,e2,X6825,4,14,10,14,0.71,1.4
