UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
17FE00001,17,e1,Z2458,4,31,20,25,0.65,1.25
17FE00002,17,e5,H8787,4,27,23,35,0.85,1.52
17FE00003,17,18,Z2945,1,11,8,12,0.73,1.5
17FE00004,17,43,H9233,1,26,25,59,0.96,2.36
17FE00005,17,34,Z4106,1,9,8,18,0.89,2.25
17FE00006,17,24,Z4100,1,23,20,37,0.87,1.85
17FE00007,17,7,L1549,1,20,18,31,0.9,1.72
17FE00008,17,38,H8715,1,26,22,51,0.85,2.32
17FE00009,17,14,L1721,1,19,19,39,1.0,2.05
17FE00010,17,16,Z2797,1,12,9,14,0.75,1.56
17FE00068,17,48,T6126,2,18,18,32,1.0,1.78
17FE00069,17,64,S0735,2,11,11,19,1.0,1.73
17FE00070,17,52,T6579,2,17,11,21,0.65,1.91
17FE00071,17,73,S1126,2,10,10,20,1.0,2.0
17FE00072,17,70,Z3206,2,14,13,25,0.93,1.92
17FE00073,17,65,S0736,2,10,10,20,1.0,2.0
17FE00074,17,63,S0734,2,12,12,23,1.0,1.92
17FE00075,17,69,S0742,2,11,10,20,0.91,2.0
17FE00076,17,61,S0668,2,23,16,35,0.7,2.19
17FE00077,17,27,Z4107,1,14,6,15,0.43,2.5
