UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
18FE00001,18,2,Z3484,1,20,19,29,0.95,1.53
18FE00002,18,22,Z4086,1,24,23,42,0.96,1.83
18FE00003,18,40,H9420,1,28,26,61,0.93,2.35
18FE00004,18,e11,H9065,4,17,12,21,0.71,1.75
18FE00005,18,e10,H8894,4,16,12,22,0.75,1.83
18FE00006,18,12,L1834,1,23,22,45,0.96,2.05
18FE00007,18,15,L1872,1,21,21,38,1.0,1.81
18FE00008,18,28,Z4106,1,10,10,21,1.0,2.1
18FE00009,18,e13,H9422,4,19,16,25,0.84,1.56
18FE00010,18,38,H9294,1,29,22,44,0.76,2.0
18FE00072,18,72,S1500,2,25,23,42,0.92,1.83
18FE00073,18,50,T6516,2,14,11,17,0.79,1.55
18FE00074,18,70,S1498,2,26,25,48,0.96,1.92
18FE00075,18,58,T6884,2,16,13,24,0.81,1.85
18FE00076,18,71,S1499,2,25,25,40,1.0,1.6
18FE00077,18,46,T6342,2,14,12,21,0.86,1.75
18FE00078,18,49,T6502,2,14,13,20,0.93,1.54
18FE00079,18,63,S0801,2,22,21,40,0.95,1.9
18FE00080,18,e3,Z2682,4,9,5,5,0.56,1.0
18FE00081,18,29,Z5164,1,11,2,3,0.18,1.5
