UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
16FE00001,16,36,S0737,1,17,11,19,0.65,1.73
16FE00002,16,32,H8507,1,25,25,48,1.0,1.92
16FE00003,16,31,H8485,1,24,24,49,1.0,2.04
16FE00004,16,52,S0742,1,13,12,22,0.92,1.83
16FE00005,16,e5,H8061,4,27,22,38,0.81,1.73
16FE00006,16,24,Z3209,1,10,10,18,1.0,1.8
16FE00007,16,e7,H8543,4,26,18,29,0.69,1.61
16FE00008,16,e8,H8715,4,22,12,20,0.55,1.67
16FE00009,16,e6,H8210,4,26,20,32,0.77,1.6
16FE00010,16,34,S0732,1,25,20,36,0.8,1.8
16FE00066,16,e4,Z2574,4,16,11,16,0.69,1.45
16FE00067,16,57,T6298,2,25,17,31,0.68,1.82
16FE00068,16,e12,T4366,4,14,6,9,0.43,1.5
16FE00069,16,64,T5436,2,18,5,9,0.28,1.8
16FE00070,16,63,T5424,2,17,14,21,0.82,1.5
16FE00071,16,e3,Z1488,4,15,8,12,0.53,1.5
16FE00072,16,54,T4854,4,25,20,35,0.8,1.75
16FE00073,16,61,T6302,2,21,18,29,0.86,1.61
16FE00074,16,65,T5603,2,18,17,31,0.94,1.82
16FE00075,16,56,T6297,2,24,18,33,0.75,1.83
