UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
12IN00030,2005052158,H2158,05,H2158,05,2,82,1,30,24P,A9088,04,A6668,04,7,,,6,OVX,D,.,173,0,0,,66,0831,L,,,7.0,HAIRY,Life,,0,1,,0.038,AI-JA,2012
12IN00031,2005052189,H2189,05,H2189,05,2,88,1,30,07P,H0630,05,H0614,05,0,,,6,OVX,D,.,194,0,0,,66,0831,.,,,7.0,TOOBIG4HE,Poly,,0,1,,0.077,,2012
12IN00032,2006052192,H2192,05,H2192,06,2,88,1,30,e34,H0994,05,H2150,05,7,,,6,WSW,2,.,0,0,0,,66,0324,L,,,6.0,LG ABSCESS,Life,,0,1,,0.059,,2012
12IN00033,2006052194,H2194,05,H2194,06,2,88,1,30,e31,H1159,05,H1431,05,7,,,1,WSW,2,.,138,154,2,,,,L,53,2,6.0,,Life,,0,1,,0.054,,2012
12IN00034,2006052210,H2210,05,H2210,06,2,88,1,30,e34,H0994,05,H1809,05,7,,,1,PTH,1,.,165,180,2,,,,L,BRT,5,6.0,ENTR 4TEA,Life,,0,1,,0.047,,2012
12IN00035,2006052217,H2217,05,H2217,06,2,88,1,30,e31,H1159,05,H1561,05,7,,,1,WSW,1,.,191,205,2,,,,L,54,2,6.0,R.P.,Life,,0,1,,0.059,,2012
12IN00036,2006052245,H2245,05,H2245,06,2,88,1,30,01,H1311,05,H1342,05,0,,,1,.,2,.,174,195,2,,,,.,BRT,5,6.0,PPG DYSTO,Poly,,0,1,,0.051,,2012
12IN00037,2006052258,H2258,05,H2258,06,2,88,1,30,e34,H0994,05,H1500,05,7,,,1,WSW,2,.,155,178,4,,,,L,54,2,6.0,,Life,,0,1,,0.049,,2012
12IN00038,2006052267,H2267,05,H2267,06,2,88,1,30,05,H1063,05,H1261,05,0,,,7,PTH,,.,0,0,0,,97,0201,.,,,6.0,,Poly,,0,1,,0.052,,2012
12IN00039,2006052300,H2300,05,H2300,06,2,88,1,30,e33,H1254,05,H1546,05,7,,,1,WSW,2,.,181,214,2,,,,L,53,2,6.0,NICE EWE,Life,,0,1,,0.045,,2012
12IN00040,2006052312,H2312,05,H2312,06,2,00,1,33,2,K0000,64,A9359,04,7,,,6,RN,H,.,209,0,0,,13,0728,X,,,6.0,Wolf kill,CxP,Albmn,0,1,,0.0,,2012
12IN00041,2006052324,H2324,05,H2324,06,2,88,1,30,02,H1168,05,91108,09,0,,,1,.,1,.,152,151,2,,,,.,53,2,6.0,R.P. 72hr,Poly,,0,1,,0.047,,2012
