UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
20IN00001,2018060005,A0005,06,A0005,18,2,,1,30,37,H8837,05,H8785,05,0,,,3,RED,,,0,0,0,,93,0304,,,,2.0,To MARC,MARC,,2239,1,,0.035,,2020
20IN00002,2018060006,A0006,06,A0006,18,2,,1,30,37,H8837,05,H9299,05,0,,,1,RED,1,,127,138,2,,,,,,,2.0,.,EC,,,1,,0.04,,2020
20IN00003,2018060009,A0009,06,A0009,18,2,,1,30,41,H9486,05,H9504,05,0,,,1,RED,1,,156,174,2,,,,,,,2.0,.,,,,1,,0.034,,2020
20IN00004,2018060013,A0013,06,A0013,18,1,,1,30,38,H9294,05,H8620,05,0,,,1,RED,M,,232,285,0,,,,,,,2.0,Nice.Sl.Under,,,,1,,0.023,,2020
20IN00005,2018060023,A0023,06,A0023,18,2,,1,30,40,H9420,05,H7866,05,7,,,3,,1,,135,154,2,,93,0928,,,,2.0,To MARC,,,2730,1,,0.021,,2020
20IN00006,2018060024,A0024,06,A0024,18,2,,1,30,41,H9486,05,H9042,05,0,,,7,RED,1,,179,0,0,,97,0907,,,,2.0,.,EC,,,1,,0.037,,2020
20IN00007,2018060025,A0025,06,A0025,18,2,,1,30,41,H9486,05,H9042,05,0,,,3,RED,1,,158,138,12,,93,1015,,,,2.0,X Bag,,,2537,1,,0.037,,2020
20IN00008,2018060032,A0032,06,A0032,18,2,,1,30,40,H9420,05,H8664,05,,,,1,RED,1,,127,144,2,,,,,,,2.0,.,,,,1,,0.033,,2020
20IN00009,2018060049,A0049,06,A0049,18,2,,1,30,39,H9361,05,H9357,05,0,,,1,RED,1,,145,150,2,,,,,,,2.0,.,,,,1,,0.037,,2020
20IN00010,2018060051,A0051,06,A0051,18,1,,1,30,39,H9361,05,H8939,05,,,,6,RED,M,,223,0,0,,66,0618,,,,2.0,Head injury,Sale,,,1,,0.036,,2020
20IN00011,2018060052,A0052,06,A0052,18,2,,1,30,39,H9361,05,H8939,05,,,,3,RED,1,,184,180,2,,93,0928,,,,2.0,To MARC,EC,,2744,1,,0.036,,2020
20IN00012,2018060059,A0059,06,A0059,18,2,,1,30,41,H9486,05,H9325,05,7,,,1,RED,1,,144,147,2,,,,,,,2.0,.,,,,1,,0.037,,2020
20IN00013,2018060061,A0061,06,A0061,18,2,,1,30,40,H9420,05,H8925,05,0,,,1,RED,1,,151,155,2,,,,,,,2.0,.,,,,1,,0.031,,2020
20IN00014,2018060069,A0069,06,A0069,18,2,,1,30,41,H9486,05,H8709,05,,,,3,RED,D,,169,198,1,,93,1015,,,,2.0,BOTHLAMBSTHIN,,,2557,1,,0.034,,2020
20IN00015,2018060070,A0070,06,A0070,18,2,,1,30,41,H9486,05,H8709,05,,,,1,RED,1,,129,153,2,,,,,,,2.0,FEW.CHUNKS,,,,1,,0.034,,2020
20IN00016,2018060072,A0072,06,A0072,18,2,,1,30,39,H9361,05,H6848,05,0,,,3,YEL,1,,180,161,2,,93,0928,,,,2.0,To MARC,EC,,2728,1,,0.022,,2020
20IN00017,2018060073,A0073,06,A0073,18,2,,1,30,38,H9294,05,H9149,05,,,,1,RED,1,,193,201,2,,,,,,,2.0,.,EC,,,1,,0.027,,2020
20IN00018,2018060078,A0078,06,A0078,18,2,,1,30,e13,H9422,05,H9714,05,0,,,7,,1,,99,0,0,,97,0526,,,,2.0,.,,,,1,,0.023,,2020
20IN00019,2018060081,A0081,06,A0081,18,2,,1,30,39,H9361,05,H8721,05,0,,,1,RED,1,,139,156,2,,,,,,,2.0,OKFORONE,,,,1,,0.025,,2020
20IN00020,2018060089,A0089,06,A0089,18,2,,1,30,38,H9294,05,H7892,05,0,,,3,,1,,150,165,6,,93,1015,,,,2.0,X Bag,,,2530,1,,0.029,,2020
20IN00021,2018060094,A0094,06,A0094,18,2,,1,30,37,H8837,05,H9537,05,0,,,3,RED,,,0,0,0,,93,0304,,,,2.0,To MARC,MARC,,2238,1,,0.033,,2020
20IN00022,2018060103,A0103,06,A0103,18,2,,1,30,e14,H9384,05,H9833,05,,,,1,,D,,144,175,2,,,,,,,2.0,ScoursTx,,,,1,,0.027,,2020
20IN00023,2018060106,A0106,06,A0106,18,2,,1,30,39,H9361,05,H8927,05,0,,,1,RED,2,,147,149,2,,,,,,,2.0,.,,,,1,,0.044,,2020
20IN00024,2018060110,A0110,06,A0110,18,2,,1,30,40,H9420,05,H8876,05,0,,,1,RED,1,,135,162,2,,,,,,,2.0,.,,,,1,,0.027,,2020
20IN00025,2018060121,A0121,06,A0121,18,2,,1,30,39,H9361,05,H8054,05,0,,,1,RED,1,,129,156,2,,,,,,,2.0,5LAMBS,,,,1,,0.034,,2020
20IN00026,2018060128,A0128,06,A0128,18,2,,1,30,e10,H8894,05,H9598,05,,,,3,,1,,176,199,1,,93,1015,,,,2.0,TRYONE,,,2662,1,,0.035,,2020
20IN00027,2018060132,A0132,06,A0132,18,2,,1,30,40,H9420,05,H9279,05,0,,,1,RED,2,,154,154,2,,,,,,,2.0,.,,,,1,,0.036,,2020
20IN00028,2018060134,A0134,06,A0134,18,2,,1,30,39,H9361,05,H9424,05,0,,,1,RED,1,,175,191,2,,,,,,,2.0,.,EC,,,1,,0.028,,2020
20IN00029,2018060136,A0136,06,A0136,18,2,,1,30,37,H8837,05,H9455,05,0,,,3,RTX,1,,198,183,2,,93,0928,,,,2.0,To MARC,EC,,2764,1,,0.039,,2020
20IN00030,2018060144,A0144,06,A0144,18,2,,1,30,39,H9361,05,H6680,05,0,,,6,YEL,1,,140,118,1,,66,1016,,,,2.0,"Resp.,V.Poor",,,,1,,0.022,,2020
20IN00031,2018060148,A0148,06,A0148,18,2,,1,30,41,H9486,05,H9332,05,,,,3,RTX,D,,155,187,1,,93,1015,,,,2.0,.,,,2618,1,,0.035,,2020
20IN00032,2018060149,A0149,06,A0149,18,2,,1,30,e10,H8894,05,H9612,05,0,,,1,,D,,161,182,1,,,,,,,2.0,.,EC,,,1,,0.036,,2020
