UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLR,ALTID,INBRL,YRREC
06IN00016,2003303006, 3006,30, 3006,03,2,00,2,80,FL-,000081,739304,7,,,,6,RN,*,,0,0,0,,20,0330,F,,,2.5,KETOSIS,SxP,,0,5,,0.0,2006
06IN00017,2003303007, 3007,30, 3007,03,2,00,2,80,FL-,000081,474004,7,,,,2, 47,3,,190,185,1,,92,0921,F,,,2.5,,SxP,,7211,5,,0.0,2006
06IN00018,2003303016, 3016,30, 3016,03,2,00,2,80,FL-,000081,721304,7,,,,2, 44,3,,200,223,2,,92,0921,F,,,2.5,,SxP,,7184,5,,0.0,2006
06IN00019,2003303021, 3021,30, 3021,03,2,00,2,33,FL-,000064,673204,7,,,,3,RN,1,,155,174,3,,93,1205,F,A-I,,2.5,TEATSbyHOCKS,CxP,,6641,1,,0.0,2006
06IN00020,2003303022, 3022,30, 3022,03,2,00,2,33,FL-,000064,673204,7,,,,1,RN,1,,155,149,2,,,,F,16,1,2.5,,CxP,,0,1,,0.0,2006
06IN00021,2003303031, 3031,30, 3031,03,2,00,2,80,FL-,000081,348104,7,,,,2, 47,3,,167,180,2,,92,0921,F,,,2.5,,SxP,,7208,5,,0.0,2006
06IN00022,2003303032, 3032,30, 3032,03,2,00,2,80,FL-,000081,530404,7,,,,2, 45,3,,188,202,2,,92,0921,F,,,2.5,,SxP,,7191,5,,0.0,2006
06IN00023,2003303033, 3033,30, 3033,03,2,00,2,80,FL-,000081,530404,7,,,,2, 45,3,,198,201,2,,92,0921,F,,,2.5,ENTR,SxP,,7192,5,,0.0,2006
06IN00024,2003303035, 3035,30, 3035,03,2,00,2,80,FL-,000081,477704,7,,,,2, 44,3,,231,220,2,,92,0921,F,,,2.5,LUMP IN BAG,SxP,,7178,5,,0.0,2006
06IN00025,2003303036, 3036,30, 3036,03,2,00,2,33,FL-,000064,614604,7,,,,1,RN,2,,184,178,6,,,,F,18,1,2.5,,CxP,,0,1,,0.0,2006
06IN00026,2003303037, 3037,30, 3037,03,2,00,2,80,FL-,000081,324804,7,,,,2, 44,3,,189,219,2,,92,0921,F,,,2.5,,SxP,,7180,5,,0.0,2006
06IN00027,2003303039, 3039,30, 3039,03,2,00,2,33,FL-,000064,354604,7,,,,1,RN,2,,182,196,4,,,,F,14,1,2.5,"LTS,FEVER TX.",CxP,,0,1,,0.0,2006
06IN00028,2003303048, 3048,30, 3048,03,2,00,2,33,FL-,000064,868504,7,,,,B,RN,5,,180,195,1,,93,0919,F,,,2.5,NO MILK X,CxP,,6775,1,,0.0,2006
