UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
25IN00001,2018060009,A0009,06,A0009,18,2,,1,30,41,H9486,05,H9504,05,0,,,,RED,H,,216,0,0,,,,,,,7.0,.,,,,1,,0.034,,2025
25IN00002,2018060059,A0059,06,A0059,18,2,,1,30,41,H9486,05,H9325,05,7,,,6,RED,,,0,0,0,,42,0429,,,,7.0,Chronic lame,,,,1,,0.037,,2025
25IN00003,2018060309,A0309,06,A0309,18,2,,1,30,38,H9294,05,H8530,05,,,,,RED,1,,211,0,0,,,,,,,7.0,.,,,,1,,0.029,,2025
25IN00004,2018060311,A0311,06,A0311,18,2,,1,30,41,H9486,05,H9243,05,7,,,,RTX,2,,239,0,0,,,,,,,7.0,.,,,,1,,0.04,,2025
25IN00005,2018060327,A0327,06,A0327,18,2,,1,30,41,H9486,05,H9553,05,,,,,RED,1,,195,0,0,,,,,,,7.0,.,,,,1,,0.044,,2025
25IN00006,2019060354,A0354,06,A0354,19,2,,1,30,32,H9641,05,H9653,05,0,,,,,1,,222,0,0,,,,,,,6.0,"+Y0617,Y0618",,,,1,,0.036,,2025
25IN00007,2019060363,A0363,06,A0363,19,2,,1,30,38,H9917,05,H9598,05,,,,,,H,,183,0,0,,,,,,,6.0,.,,,,1,,0.032,,2025
25IN00008,2019060370,A0370,06,A0370,19,2,,1,30,35,H9845,05,H8054,05,0,,,,,2,,186,0,0,,,,,,,6.0,.,,,,1,,0.03,,2025
25IN00009,2019060404,A0404,06,A0404,19,2,,1,30,37,H9879,05,H8981,05,0,,,,,2,,205,0,0,,,,,,,6.0,.,,,,1,,0.032,,2025
25IN00010,2019060444,A0444,06,A0444,19,2,,1,30,37,H9879,05,H9455,05,0,,,,,2,,171,0,0,,,,,,,6.0,.,Trip,,,1,,0.035,,2025
25IN00011,2019060456,A0456,06,A0456,19,2,,1,30,38,H9917,05,H9095,05,7,,,,,2,,199,0,0,,,,,,,6.0,.,,,,1,,0.026,,2025
25IN00012,2019060460,A0460,06,A0460,19,2,,1,30,38,H9917,05,H9833,05,,,,6,,,,0,0,0,,42,0328,,,,6.0,ChronicLameRF,,,,1,,0.035,,2025
25IN00013,2019060498,A0498,06,A0498,19,2,,1,30,35,H9845,05,H8933,05,,,,,,1,,221,0,0,,,,,,,6.0,.,,,,1,,0.035,,2025
25IN00014,2019060533,A0533,06,A0533,19,2,,1,30,31,H9421,05,H9488,05,0,,,,,1,,188,0,0,,,,,,,6.0,.,,,,1,,0.038,,2025
25IN00015,2019060535,A0535,06,A0535,19,2,,1,30,33,H9684,05,H9317,05,,,,,,1,,238,0,0,,,,,,,6.0,.,,,,2,,0.03,,2025
25IN00016,2019060587,A0587,06,A0587,19,2,,1,30,33,H9684,05,H9900,05,7,,,,,2,,188,0,0,,,,,,,6.0,.,,,,1,,0.03,,2025
25IN00017,2019060607,A0607,06,A0607,19,2,,1,30,31,H9421,05,H8097,05,0,,,,,2,,224,0,0,,,,,,,6.0,.,Trip,,,1,,0.028,,2025
