UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
04IN00029,1998008697, 8697,00, 8697,98,2,88,1,30,L-7,346704,929703,U,,,,3,UTE,5,,160,162,1,X,93,1015,.,UTE,U,6.0,BRITCHY,UTE,,1542,2004
04IN00030,1998008724, 8724,00, 8724,98,2,88,1,30,L-7,346704,263904,0,,,,3,.,H,,141,144,2,,93,1015,.,.,.,6.0,CANCER EYE X,,,1614,2004
04IN00031,1998008757, 8757,00, 8757,98,2,68,1,06,L-3,874463,750363,0,,,,1,.,2,,190,183,2,,,,G,52K,1,6.0,,,,0,2004
04IN00032,1998008764, 8764,00, 8764,98,2,18,1,43,L11,752910,952700,0,,,,1,.,2,,199,187,2,,,,.,45R,2,6.0,,,,0,2004
04IN00033,1998008780, 8780,00, 8780,98,2,88,1,30,L-7,346704,379904,0,,,,3,.,2,,168,157,3,C,93,1015,.,.,.,6.0,X THIN,,,1464,2004
04IN00034,1998008793, 8793,00, 8793,98,2,68,1,06,L-4,913363,699963,0,,,,1,.,2,,196,179,3,,,,G,52K,1,6.0,,,,0,2004
04IN00035,1998008858, 8858,00, 8858,98,2,18,1,07,L21,678110,550400,0,,,,1,.,2,,191,165,2,,,,.,46R,2,6.0,"DYSTOC,breech",,,0,2004
04IN00036,1998008876, 8876,00, 8876,98,2,18,1,43,L11,752910,405110,0,,,,1,.,1,,145,135,1,,,,.,46R,2,6.0,,,,0,2004
04IN00037,2000000001,00001,00,00001,00,2,88,1,30,L-5,484904,007109,0,,,,1,.,1,,156,172,3,E,,,M,07P,2,4.0,TAG CUT '2002,Else,,0,2004
04IN00038,2000000022,00022,00,00022,00,2,00,1,92,L-0,000044,008009,1,,,0,1,BLK,1,,135,162,3,B,,,X,ZZZ,1,4.0,BLACK EWE,Blk,,0,2004
04IN00039,2000000035,00035,00,00035,00,2,00,1,92,L-0,000044,006509,1,,,0,1,BLK,2,,200,189,2,B,,,X,ZZZ,1,4.0,BLACK EWE,Blk,,0,2004
04IN00040,2000000040,00040,00,00040,00,2,00,1,92,L-0,000044,012709,1,,,0,1,BLK,2,,169,174,2,B,,,X,ZZZ,1,4.0,BLACK EWE,Blk,,0,2004
04IN00041,2000000087,00087,00,00087,00,2,00,1,92,L-0,000044,010909,1,,,0,1,BLK,2,,170,167,2,B,,,X,ZZZ,1,4.0,"SM.BAG,BLACK",Blk,,0,2004
04IN00042,2000000097,00097,00,00097,00,2,68,1,06,L-4,033564,091309,0,,,,1,.,2,,200,168,2,,,,G,52K,1,4.0,DYSTOCIA ok,,,0,2004
04IN00043,2000000102,00102,00,00102,00,2,88,1,30,L-5,484904,002209,0,,,,1,.,2,,180,159,2,E,,,M,05P,2,4.0,,Else,,0,2004
04IN00044,2000000116,00116,00,00116,00,2,18,1,07,L-3,934810,107209,2,,,,O,OVX,5,,181,0,0,X,,,.,OVX,O,4.0,OVX,Ovx,,0,2004
04IN00045,2000000136,00136,00,00136,00,2,18,1,07,L-1,916610,037009,0,,,,3,.,2,,169,169,12,,93,1015,.,.,.,4.0,MASTITIS 5/11,,,1489,2004
04IN00046,2000000148,00148,00,00148,00,2,18,1,07,L-3,934810,038609,0,,,,1,.,2,,146,156,2,,,,.,44R,2,4.0,,,,0,2004
04IN00047,2000000179,00179,00,00179,00,2,18,1,07,L-2,960010,033509,0,,,,1,.,2,,180,191,2,,,,.,33R,2,4.0,EYES OK,,,0,2004
04IN00048,2000000197,00197,00,00197,00,2,18,1,07,L-2,960010,022009,0,,,,1,.,2,,149,172,2,,,,.,34R,2,4.0,DYSTOCIA,,,0,2004
04IN00049,2000000211,00211,00,00211,00,2,18,1,07,L-3,934810,031209,2,,,,O,OVX,5,,199,0,0,X,95,0916,.,OVX,O,4.0,OVX,Ovx,,0,2004
04IN00050,2000000216,00216,00,00216,00,2,18,1,07,L-3,934810,022609,0,,,,1,.,5,,182,189,1,,,,.,45R,2,4.0,,,,0,2004
04IN00051,2000000240,00240,00,00240,00,2,18,1,07,L-2,960010,113709,0,,,,3,.,1,,168,200,12,,93,1015,.,.,.,4.0,"THIN, ?BAG",,,1515,2004
04IN00052,2000000483,00483,00,00483,00,2,18,1,07,L11,926410,614900,2,,,,O,OVX,5,,161,0,0,X,,,.,OVX,O,4.0,"F2, OVX",Ovx,,0,2004
04IN00053,2000000491,00491,00,00491,00,2,41,1,02,412,658544,667344,0,,,,1,.,1,,131,148,2,,01,0916,M,65T,1,4.0,,,,0,2004
04IN00054,2000000534,00534,00,00534,00,2,68,1,06,L03,0143,706463,0,,JAR,,1,.,1,,161,166,3,,,,G,56K,1,4.0,,,,0,2004
04IN00055,2000000545,00545,00,00545,00,2,18,1,07,L13,980110,016105,0,,,,1,.,2,,164,155,2,,,,.,000,1,4.0,NICE,,,0,2004
