UID,ID10,WEANING_DATE,WNWT,HORN,FACE,WNAGE,LEGACY_JSON,MIGRATION_NOTE
50WN00001,1950113041,1950-08-15,62,3,,135,"{""ADG"": ""396"", ""BELLY"": ""06"", ""C"": ""10"", ""C4445"": ""08"", ""C5758"": ""07"", ""C5960"": ""05"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""11"", ""HAIR"": ""2"", ""IDX"": ""131"", ""L"": ""033"", ""LINBR"": ""29"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""4"", ""WNAGE"": ""135"", ""WNAGE_60"": ""75"", ""WOOL"": ""2""}",
50WN00002,1950113042,1950-08-15,70,1,,133,"{""ABN"": ""1"", ""ADG"": ""453"", ""BELLY"": ""07"", ""C"": ""08"", ""C4445"": ""06"", ""C5758"": ""09"", ""C5960"": ""20"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""132"", ""L"": ""036"", ""LINBR"": ""00"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""133"", ""WNAGE_60"": ""73"", ""WOOL"": ""2""}",
50WN00003,1950113043,1950-08-15,65,5,,133,"{""ADG"": ""426"", ""BELLY"": ""06"", ""C"": ""10"", ""C4445"": ""05"", ""C5758"": ""09"", ""C5960"": ""32"", ""CADAM_25"": ""3"", ""CTBR"": ""2"", ""F"": ""08"", ""HAIR"": ""1"", ""IDX"": ""146"", ""L"": ""031"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""5"", ""TBRE"": ""5"", ""WNAGE"": ""133"", ""WNAGE_60"": ""73"", ""WOOL"": ""2""}",
50WN00004,1950113044,1950-08-15,63,4,,133,"{""ABN"": ""2"", ""ADG"": ""421"", ""BELLY"": ""08"", ""C"": ""06"", ""C4445"": ""07"", ""C5758"": ""09"", ""C5960"": ""32"", ""CADAM_25"": ""3"", ""CTBR"": ""2"", ""CULLFOR"": ""76"", ""F"": ""08"", ""HAIR"": ""2"", ""IDX"": ""136"", ""L"": ""032"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""5"", ""TBRE"": ""5"", ""WNAGE"": ""133"", ""WNAGE_60"": ""73"", ""WOOL"": ""3""}",
50WN00005,1950113045,1950-08-15,71,5,,133,"{""ADG"": ""462"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""07"", ""C5758"": ""09"", ""C5960"": ""17"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""1"", ""IDX"": ""100"", ""L"": ""029"", ""LINBR"": ""00"", ""N"": ""04"", ""SIDE"": ""3"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""133"", ""WNAGE_60"": ""73"", ""WOOL"": ""2""}",
50WN00006,1950113046,1950-08-15,55,7,,132,"{""ADG"": ""371"", ""BELLY"": ""07"", ""C"": ""09"", ""C4445"": ""09"", ""C5758"": ""10"", ""C5960"": ""27"", ""CADAM_25"": ""4"", ""CTBR"": ""3"", ""CULLFOR"": ""37"", ""F"": ""12"", ""HAIR"": ""3"", ""IDX"": ""106"", ""L"": ""030"", ""LINBR"": ""00"", ""N"": ""03"", ""T"": ""07"", ""TBR50"": ""4"", ""TBRE"": ""3"", ""WNAGE"": ""132"", ""WNAGE_60"": ""72"", ""WOOL"": ""2""}",
50WN00007,1950113047,1950-08-15,95,7,,132,"{""ADG"": ""653"", ""BELLY"": ""06"", ""C"": ""06"", ""C4445"": ""05"", ""C5758"": ""10"", ""C5960"": ""27"", ""CADAM_25"": ""4"", ""CTBR"": ""3"", ""F"": ""08"", ""HAIR"": ""3"", ""IDX"": ""158"", ""L"": ""031"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""04"", ""TBR50"": ""3"", ""TBRE"": ""3"", ""WNAGE"": ""132"", ""WNAGE_60"": ""72"", ""WOOL"": ""3""}",
50WN00008,1950113048,1950-08-15,69,3,,132,"{""ADG"": ""458"", ""BELLY"": ""07"", ""C"": ""06"", ""C4445"": ""07"", ""C5758"": ""10"", ""C5960"": ""28"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""123"", ""L"": ""031"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""1"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""132"", ""WNAGE_60"": ""72"", ""WOOL"": ""2""}",
50WN00009,1950113050,1950-08-15,75,7,,132,"{""ADG"": ""492"", ""BELLY"": ""07"", ""C"": ""09"", ""C4445"": ""06"", ""C5758"": ""10"", ""C5960"": ""15"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""57"", ""F"": ""13"", ""HAIR"": ""1"", ""IDX"": ""129"", ""L"": ""032"", ""LINBR"": ""17"", ""N"": ""03"", ""T"": ""10"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""132"", ""WNAGE_60"": ""72"", ""WOOL"": ""2""}",
50WN00010,1950113051,1950-08-15,85,3,,132,"{""ABN"": ""2"", ""ADG"": ""568"", ""BELLY"": ""05"", ""C"": ""08"", ""C4445"": ""10"", ""C5758"": ""10"", ""C5960"": ""24"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""13"", ""HAIR"": ""2"", ""IDX"": ""126"", ""L"": ""029"", ""LINBR"": ""00"", ""N"": ""03"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""132"", ""WNAGE_60"": ""72"", ""WOOL"": ""3""}",
