UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
08LA00001,08,K3305,64,6M,17,X2579,82,3.0,3,06,97,1,0,N,M,030708,67,2,1,.,0.0,.,.,,,,SC,0,67,27,,,.,.,.,.,..,Mat,J,1,,1,1,2,0,0,,0,2008-03-07,0.0,,,,,
08LA00002,08,K3305,64,6M,17,X2579,82,3.0,3,06,97,1,0,N,M,030708,67,2,1,.,0.0,.,.,,,,SC,0,67,27,,,.,.,.,.,..,Mat,J,2,,0,0,0,0,0,,0,2008-03-07,0.0,,,,,
08LA00003,08, 3160,30,00,-0-,X0000,00,4.5,4,33,97,1,7,y,X,022908,60,0,0,.,0.0,.,.,,,,83,0,60,27,,,.,.,.,.,..,RN,J,1,,1,1,1,0,0,,0,2008-02-29,0.0,,,,,
08LA00004,08,R6563,11,18,R32,R6035,11,2.0,2,07,07,1,0,N,.,022908,60,2,0,.,0.0,.,.,,,,07,0,60,27,,,.,.,.,.,..,.,J,1,,1,1,2,0,0,,0,2008-02-29,0.078,,,,,
08LA00005,08,R6563,11,18,R32,R6035,11,2.0,2,07,07,1,0,N,.,022908,60,2,0,.,0.0,.,.,,,,07,0,60,27,,,.,.,.,.,..,.,J,2,,0,0,0,0,0,0.0,0,2008-02-29,0.078,,,,,
08LA00006,08,Z8695,81,00,-0-,X0000,00,5.0,5,33,97,1,7,y,X,030808,68,5,3,2,13.4,5,1,X5686,82,,83,7,180,97,,,.,ENTROPION,.,.,..,RN,J,1,,1,1,1,1,0,,0,2008-03-08,0.0,46,121,1,,
08LA00007,08,A7069,04,88,50,K3640,64,8.0,8,30,06,1,0,y,.,030908,69,8,3,3,13.6,1,1,X5687,82,,33,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,95,2008-03-09,0.0,48,121,1,,
08LA00008,08,A7069,04,88,50,K3640,64,8.0,8,30,06,1,0,y,.,030908,69,8,3,2,8.3,1,1,X5688,82,,33,6,72,23,,,.,.,.,.,..,.,J,2,,0,0,0,1,0,,0,2008-03-09,0.0,,,,,
08LA00009,08,X0660,82,00,-0-,X0000,00,5.0,5,33,97,1,7,y,X,030908,69,7,2,2,11.6,5,1,X5689,82,,83,7,180,97,,,.,.,.,.,..,RN,J,1,,1,1,2,1,0,,0,2008-03-09,0.0,45,121,1,,
08LA00010,08,X0660,82,00,-0-,X0000,00,5.0,5,33,97,1,7,y,X,030908,69,7,2,2,9.2,5,1,,,,83,1,69,44,,,.,.,.,.,..,RN,J,2,,0,0,0,0,0,,0,2008-03-09,0.0,,,,,
08LA00011,08,T1552,45,48,e.1,T0000,,1.0,1,02,02,4,0,y,.,031008,70,0,0,.,2.3,1,1,,,,02,0,70,27,,,.,.,.,.,..,.,J,1,,1,1,1,0,0,,0,2008-03-10,,,,,,
08LA00012,08,X3726,82,00,29,06902,00,2.0,2,SC,Tx,1,0,N,.,031008,70,8,2,1,9.3,4,1,X5690,82,,T3,,,,,,.,.,.,.,..,SxC,J,1,,1,1,2,1,1,1.0,63,2008-03-10,0.0,30,121,1,,
08LA00013,08,X3726,82,00,29,06902,00,2.0,2,SC,Tx,1,0,N,.,031008,70,8,2,2,9.3,2,1,X5691,82,,T3,,,,,,.,.,.,.,..,SxC,J,2,,0,0,0,1,1,1.0,80,2008-03-10,0.0,35,121,1,,
08LA00014,08,X3133,82,00,24,  249,00,2.0,2,SC,Tx,1,0,N,.,031008,70,8,2,1,9.7,2,1,X5692,82,,T3,,,,,,.,.,.,.,..,SxC,J,1,,1,1,2,1,1,1.0,94,2008-03-10,0.0,33,121,1,,
08LA00015,08,X3133,82,00,24,  249,00,2.0,2,SC,Tx,1,0,N,.,031008,70,8,2,1,8.8,4,1,X5693,82,,T3,,,,,,.,.,.,.,..,SxC,J,2,,0,0,0,1,1,1.0,66,2008-03-10,0.0,27,121,1,,
08LA00016,08,X4950,82,00,e21, 5020,00,1.0,1,CS,Tx,4,0,N,.,031008,70,0,1,.,0.0,1,1,,,,T3,0,60,27,,,.,.,.,.,..,CxS,J,1,,1,1,1,0,0,,0,2008-03-10,0.0,,,,,
08LA00017,08,R5999,11,18,6,03404,00,3.0,3,07,m3,1,0,y,.,031008,70,8,2,2,8.0,1,1,X5694,82,,MR,,,,,,.,.,.,.,..,TRM,J,1,,1,1,2,1,1,1.0,56,2008-03-10,0.0,23,121,1,,
08LA00018,08,R5999,11,18,6,03404,00,3.0,3,07,m3,1,0,y,.,031008,70,8,2,2,9.3,3,1,X5695,82,,MR,,,,,,.,.,.,.,..,TRM,J,2,,0,0,0,1,1,1.0,71,2008-03-10,0.0,29,121,1,,
08LA00019,08,K3630,64,6M,C43,K3370,64,2.0,2,06,06,1,0,N,M,031008,70,8,1,2,7.8,1,1,K4145,64,,06,6,70,46,,,THK.MLK THINEWE,WEAK LAMB,.,.,..,Mat,J,1,,1,1,2,1,0,,0,2008-03-10,0.048,,,,,
08LA00020,08,K3630,64,6M,C43,K3370,64,2.0,2,06,06,1,0,N,M,031008,70,8,1,2,7.4,1,1,K4146,64,,06,6,70,14,,,.,hypothermia,.,.,..,Mat,J,2,,0,0,0,1,0,,0,2008-03-10,0.048,,,,,
08LA00021,08,K4056,64,6M,e06,K3728,64,1.0,1,06,06,4,0,y,M,031008,70,0,1,.,4.0,1,1,,,,06,0,70,27,,,.,H2O BELLY,8,4,..,Mat,J,1,,1,1,1,0,0,,0,2008-03-10,0.021,,,,,
08LA00022,08,K3482,64,6T,22, 6137,00,3.0,3,06,Tx,1,0,y,T,031008,70,0,0,.,0.0,.,.,,,,TC,0,70,27,,,.,.,.,.,..,Ter,J,1,,1,1,1,0,0,,0,2008-03-10,0.0,,,,,
08LA00023,08,R6585,11,18,R33,R5545,11,2.0,2,07,07,1,0,y,.,021808,49,2,0,.,0.0,.,.,,,,07,0,49,27,,,.,.,.,.,..,.,J,1,,1,1,2,0,0,,0,2008-02-18,0.038,,,,,
08LA00024,08,R6585,11,18,R33,R5545,11,2.0,2,07,07,1,0,y,.,021808,49,2,0,.,0.0,.,.,,,,07,0,49,27,,,.,.,.,.,..,.,J,2,,0,0,0,0,0,,0,2008-02-18,0.038,,,,,
08LA00025,08,X4912,82,00,e21, 5020,00,1.0,1,CS,Tx,4,0,N,.,030308,63,0,0,.,0.0,.,.,,,,T3,0,63,27,,,.,.,.,.,..,CxS,J,1,,1,1,1,0,0,,0,2008-03-03,0.0,,,,,
08LA00026,08,X4794,82,00,e11,X3657,82,1.0,1,TC,97,4,0,N,.,030308,63,2,0,.,0.0,.,.,,,,S3,0,63,27,,,.,.,.,.,..,TxC,J,1,,1,1,2,0,0,,0,2008-03-03,0.0,,,,,
08LA00027,08,X4794,82,00,e11,X3657,82,1.0,1,TC,97,4,0,N,.,030308,63,2,0,.,0.0,.,.,,,,S3,0,63,27,,,.,.,.,.,..,TxC,J,2,,0,0,0,0,0,,0,2008-03-03,0.0,,,,,
08LA00028,08,K3325,64,6T,04,  477,00,3.0,3,06,06,1,0,N,T,030308,63,0,0,.,0.0,.,.,,,,06,0,63,27,,,.,.,.,.,..,Ter,J,1,,1,1,1,0,0,,0,2008-03-03,0.0,,,,,
