UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,DB1,C19,Y5A,C21,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,C4243,FONO,FOPU,TRT2,DB2,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,YR
77LA00031,1977-04-16,2,U5089,93,1,00,000,00000,00,00,,,1,,50,,1,00,3,1,106,5,,0,3,,,,638918,-,,,00000,00,1,69,,0,1,,1,1,91,5,,,1,77
77LA00032,1977-04-08,2,U4798,93,1,00,000,00000,00,00,,,1,,20,,1,00,3,1,98,5,,0,4,,,,626762,-,,,00000,00,1,66,,0,1,,1,1,92,5,,,1,77
77LA00033,1977-05-26,3,X1881,79,1,00,000,00000,00,00,,,1,,40,,5,00,3,1,146,5,,339,3,,7,,,&,,,00000,00,1,40,,0,1,97,1,1,90,5,,,1,77
77LA00034,1977-04-12,2,U4935,93,1,00,000,00000,00,00,,,1,,20,,1,00,3,1,102,5,,0,2,,,,,&,,,00000,00,1,65,,0,1,,1,1,95,5,,,1,77
77LA00035,1977-03-28,3,P5587,01,1,00,000,00000,00,00,,,1,,40,,1,00,3,1,87,8,,0,3,,,,,,,,00000,00,1,78,00,,1,,1,2,75,10,,,1,77
77LA00036,1977-04-22,2,U5370,93,1,00,000,00000,00,00,,,1,,50,,1,00,3,1,112,5,,0,3,,,,752942,-,,,00000,00,1,90,,0,1,,1,1,110,5,,,1,77
77LA00037,1977-05-18,2,U5546,93,1,00,000,00000,00,00,,,1,,20,,1,00,3,1,138,5,,0,3,,,,603762,-,,,00000,00,1,48,,0,1,,1,1,113,5,,,1,77
77LA00038,1977-04-09,1,S0737,19,1,00,000,00000,00,00,,,1,,30,,1,00,3,1,99,5,,0,4,,,,841718,-,,,00000,00,1,84,,0,1,,1,1,127,5,,,1,77
77LA00039,1977-04-24,2,U5447,93,1,00,000,00000,00,00,,,1,,20,,1,00,3,1,114,5,,0,3,,,,019043,-,,,00000,00,1,58,,0,1,,1,1,90,5,,,1,77
77LA00040,1977-05-03,3,U5536,93,1,00,000,00000,00,00,,,1,,10,,1,00,3,1,123,5,,0,1,,,,963418,-,,,00000,00,1,59,,0,1,,1,1,100,5,,,1,77
77LA00041,1977-04-22,3,U5368,93,1,00,000,00000,00,00,,,1,,30,,1,00,3,1,112,5,,0,3,,,,954142,-,,,00000,00,1,80,,0,1,,1,1,130,5,,,1,77
77LA00042,1977-04-16,2,U5108,93,1,00,000,00000,00,00,,,,,,,1,00,3,1,106,5,,230,3,,7,,,&,,,00000,00,1,0,,0,1,97,1,1,80,0,,,1,77
77LA00043,1977-04-15,1,S0952,19,,00,000,00000,00,00,,,1,,40,,1,00,3,1,105,8,,0,4,,,,,,,,00000,00,0,75,,,1,,0,0,122,10,,,2,77
77LA00044,1977-03-28,2,P5588,01,,00,000,00000,00,00,,,1,,40,,1,00,3,1,87,8,,0,3,,,,,,,,00000,00,0,82,00,,1,,0,0,93,10,,,2,77
77LA00045,1977-04-11,3,P5974,01,1,70, 21,70001,37,30,,,1,,70,,1,30,,1,101,5,,0,2,,,,,,,7,P4761,01,1,68,70,,1,,1,1,125,10,,,1,77
77LA00046,,,,01,1,70, 22,P0538,01,30,0,,,,60,,,30,,,0,,,0,,,,,,,,1,P4370,01,0,0,70,,0,,0,0,0,0,,,1,77
77LA00047,1977-03-29,3,P5600,01,1,71, 22,P0552,01,30,0,,1,,60,,1,30,,1,88,8,,0,4,10,,,,,,1,P4370,01,1,67,71,,1,,1,2,101,10,,,1,77
77LA00048,1977-03-29,3,P5601,01,,71, 22,P0552,01,30,0,,1,,60,,1,30,,1,88,8,,0,4,,,,,,,1,P4370,01,0,64,71,,1,,0,0,86,10,,,2,77
77LA00049,1977-04-05,3,P5801,01,1,71, 26,P0645,01,30,0,,1,,60,,2,30,,1,95,5,,0,3,,,,,,,1,P4760,01,1,75,71,,1,,1,1,95,10,02,,1,77
77LA00050,1977-04-04,2,P5777,01,1,70, 21,P0704,01,30,0,,1,,60,,1,30,,1,94,8,,0,5,,,,,,,1,P4761,01,1,59,70,,1,,1,2,89,10,,,1,77
77LA00051,1977-04-04,2,P5778,01,,70, 21,P0704,01,30,0,,1,,60,,3,30,,1,94,8,,0,5,,,,,,,1,P4761,01,0,80,70,,1,,0,0,115,10,,,2,77
77LA00052,1977-03-29,2,P5617,01,1,70, 22,P1339,01,30,0,,1,,50,,1,30,,1,88,9,,0,4,,,,,,,1,P4370,01,1,49,70,,1,,1,3,56,10,,,1,77
77LA00053,1977-03-29,2,P5618,01,,70, 22,P1339,01,30,0,,1,,50,,1,30,,1,88,9,,0,4,,,,,,,1,P4370,01,0,62,70,,1,,0,0,76,10,,,2,77
77LA00054,1977-03-29,1,P5619,01,,70, 22,P1339,01,30,0,,1,,50,,1,30,,1,88,9,,0,4,,,,,,,1,P4370,01,0,76,70,,1,,0,0,82,10,,,3,77
77LA00055,,,,01,1,70, 21,P1364,01,30,0,,,,50,,,30,,,0,,,0,,,,,,,,1,P4761,01,1,0,70,,0,,0,0,0,0,,,1,77
77LA00056,1977-03-31,2,P5666,01,1,71, 22,P1381,01,30,0,,1,,50,,1,30,,1,90,8,,0,3,,,,,,,1,P4370,01,1,68,71,,1,,1,2,80,10,,,1,77
77LA00057,1977-03-31,2,P5667,01,,71, 22,P1381,01,30,0,,1,,50,,1,30,,1,90,8,,0,3,,,,,,,1,P4370,01,0,62,71,,1,,0,0,74,10,,,2,77
77LA00058,1977-04-07,1,P5851,01,1,70, 22,P1383,01,30,0,,1,,50,,1,30,,1,97,8,,0,4,,,,,,,1,P4370,01,1,57,70,,1,,1,2,94,10,,,1,77
77LA00059,1977-04-07,1,P5852,01,,70, 22,P1383,01,30,0,,1,,50,,1,30,,1,97,8,,0,4,,,,,,,1,P4370,01,0,68,70,,1,,0,0,105,10,,,2,77
77LA00060,1977-04-10,1,P5939,01,1,70, 21,P1384,01,30,0,,1,,50,,1,30,,1,100,8,,0,2,,,,,,,1,P4761,01,1,68,70,,1,,1,2,98,10,,,1,77
77LA00061,1977-04-10,2,P5940,01,,70, 21,P1384,01,30,0,,1,,50,,1,30,,1,100,8,,0,2,,,,,,,1,P4761,01,0,74,70,,1,,0,0,82,10,,,2,77
77LA00062,,,,01,1,70, 22,P1409,01,30,0,,,,50,,,30,,,0,,,0,,,,,,,,1,P4370,01,0,0,70,,0,,0,0,0,0,,,1,77
77LA00063,1977-04-10,3,P5941,01,1,71, 26,P1459,01,30,0,,1,,50,,1,30,,1,100,5,,0,3,,,,,,,1,P4760,01,1,91,71,,1,,1,1,107,10,,,1,77
77LA00064,1977-04-02,2,P5686,01,1,70, 21,P1498,01,30,0,,1,,50,,1,30,,1,92,9,,0,4,,,,,,,1,P4761,01,1,69,70,,1,,1,3,100,10,,,1,77
77LA00065,1977-04-02,2,P5687,01,,70, 21,P1498,01,30,0,,1,,50,,1,30,,1,92,9,,0,4,,,,,,,1,P4761,01,0,70,70,,1,,0,0,87,10,,,2,77
77LA00066,1977-04-02,2,P5688,01,,70, 21,P1498,01,30,0,,1,,50,,1,30,,1,92,9,,0,4,,,,882690,-,,1,P4761,01,0,69,70,,1,,0,0,95,5,,,3,77
77LA00067,1977-04-07,1,P5860,01,1,71, 22,P1531,01,30,0,,1,,50,,1,30,,1,97,9,,0,3,,,,,,,1,P4370,01,1,61,71,,1,,1,3,73,10,,,1,77
