UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA01661,00,K9084,63,00,52,K9738,63,4.0,05,05,CN,CC,1,0,n,H,0411,102,9,4,3,6.7,1,1,K1364,64,00,05,3,103,93,,8,,HAIRY,,,.,Y,3,1020,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.01
00LA01662,00,K9084,63,00,52,K9738,63,4.0,05,05,CN,CC,1,0,n,H,0411,102,9,4,2,11.2,1,1,K1362,64,00,05,,0,,,,LOW SW.BAG,4TEATS,,,.,Y,1,1020,,1,1,3,1,1,1.0,102,1,75,181,1,2000-04-11,Y,0.01
00LA01663,00,K9393,63,68,01-,J0093,00,3.0,06,06,,,1,7,y,.,0411,102,9,3,3,11.4,1,1,K1366,64,68,06,,0,,,,,,,,GXE,Y,2,1120,,0,0,0,1,1,1.0,86,1,63,181,1,2000-04-11,Y,0.0
00LA01664,00,K9393,63,68,01-,J0093,00,3.0,06,06,,,1,7,y,.,0411,102,9,3,3,8.8,1,1,K1365,64,68,06,3,103,93,,8,,,,,GXE,Y,1,1120,,1,1,3,1,0,0.0,0,,0,0,,2000-04-11,,0.0
00LA01665,00,K9393,63,68,01-,J0093,00,3.0,06,06,,,1,7,y,.,0411,102,9,3,2,10.9,1,1,K1367,64,68,06,,0,,,,,,,,GXE,Y,3,1120,,0,0,0,1,1,1.0,77,1,57,181,1,2000-04-11,Y,0.0
00LA01666,00,K9290,63,68,06-,K0429,64,3.0,06,06,,,1,7,n,.,0411,102,8,4,1,12.6,1,1,K1359,64,68,06,,0,,,,,,,,GXE,Y,2,0905,,0,0,0,1,1,1.0,69,1,55,181,1,2000-04-11,Y,0.043
00LA01667,00,K9290,63,68,06-,K0429,64,3.0,06,06,,,1,7,n,.,0411,102,8,4,2,12.6,1,1,K1358,64,68,06,,0,,,,,,,,GXE,Y,1,0905,,1,1,2,1,1,1.0,100,1,69,181,1,2000-04-11,Y,0.043
00LA01668,00,K7673,63,62,04-,K9884,63,6.0,06,06,,,1,7,n,.,0411,102,5,4,2,13.7,1,1,K1355,64,68,06,,0,,Z6368,+,,4TEATS,,,GXE,Y,1,0730,,1,1,1,1,1,1.5,113,1,75,181,1,2000-04-11,Y,0.041
00LA01669,00,R0045,11,10,e.0,S7124,10,1.0,07,43,,,4,0,y,.,0410,101,5,2,2,13.1,1,1,R1786,11,18,07,,0,,,,,,,,.,J,1,2000,,1,1,1,1,1,1.0,91,1,67,181,1,2000-04-10,Y,0.039
00LA01670,00,R0540,11,10,e.0,S7124,10,1.0,07,43,,,4,0,y,.,0410,101,5,1,3,10.8,1,1,R1775,11,18,07,,0,,,,,,,,.,J,1,1545,,1,1,1,1,1,1.0,85,1,65,181,1,2000-04-10,Y,0.043
00LA01671,00,S3970,10,10,23,S9105,10,7.0,43,07,,,1,0,n,M,0411,102,8,4,2,11.0,1,1,R1804,11,10,07,,0,,,,,,,,.,B,1,0545,,1,1,2,1,1,1.0,81,1,61,181,1,2000-04-11,Y,0.045
00LA01672,00,S3970,10,10,23,S9105,10,7.0,43,07,,,1,0,n,M,0411,102,8,4,2,12.2,1,1,R1805,11,10,07,,0,,,,,PNEU,,71,.,B,2,0545,,0,0,0,1,1,1.0,75,1,55,181,1,2000-04-11,Y,0.045
00LA01673,00,S4438,10,13,32,S9049,10,6.0,42,43,,,1,0,n,F,0410,101,8,3,1,11.3,1,1,R1776,11,13,43,,0,,,,,,,,.,J,1,1620,,1,1,2,1,1,1.0,90,1,64,181,1,2000-04-10,Y,0.016
00LA01674,00,S4438,10,13,32,S9049,10,6.0,42,43,,,1,0,n,F,0410,101,8,3,1,12.9,1,1,R1777,11,13,43,,0,,,,,,,,.,J,2,1620,,0,0,0,1,1,1.0,79,1,55,181,1,2000-04-10,Y,0.016
00LA01675,00,S4485,10,12,88,S9433,10,6.0,42,43,,,1,0,y,C,0410,101,5,3,3,13.2,1,1,R1791,11,12,43,,0,,,,,,,,.,J,1,2100,,1,1,1,1,1,1.0,85,1,65,181,1,2000-04-10,Y,0.019
00LA01676,00,S4474,10,11,14,S9028,10,6.0,07,07,,,1,0,y,R,0411,102,9,3,3,8.6,1,1,R1808,11,11,07,3,103,93,,8,,,,,.,Y,1,0800,,1,1,3,1,0,0.0,0,,0,0,,2000-04-11,,0.053
00LA01677,00,S4474,10,11,14,S9028,10,6.0,07,07,,,1,0,y,R,0411,102,9,3,3,9.0,1,1,R1809,11,11,07,,0,,,,,,,,.,Y,2,0800,,0,0,0,1,1,1.0,66,1,47,181,1,2000-04-11,Y,0.053
00LA01678,00,S4474,10,11,14,S9028,10,6.0,07,07,,,1,0,y,R,0411,102,9,3,2,9.8,1,1,R1810,11,11,07,,0,,,,,,,,.,Y,3,0800,,0,0,0,1,1,1.0,72,1,63,181,1,2000-04-11,Y,0.053
00LA01679,00,S4713,10,13,33,S9451,10,6.0,42,43,,,1,0,n,F,0411,102,8,4,1,14.5,1,1,R1815,11,13,43,,0,,,,,,,,.,Y,2,0840,,0,0,0,1,1,1.0,83,1,63,181,1,2000-04-11,Y,0.02
