UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
03LA00027,03,90597,09,88,-2-,T8203,44,4.0,4,30,02,1,0,y,X,0329,88,9,3,2,10.0,1,1,Z8577,81,00,32,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,78,1,66.0,177,1,2003-03-29,0.001
03LA00028,03,90597,09,88,-2-,T7305,44,4.0,4,30,02,1,0,y,X,0329,88,9,3,2,8.3,1,1,Z8576,81,00,32,,,,,,,,,,.,J,1,....,,1,1,3,1,1,1.0,83,1,65.0,177,1,2003-03-29,0.001
03LA00029,03,90597,09,88,-2-,T8203,44,4.0,4,30,02,1,0,y,X,0329,88,9,3,2,7.4,1,1,Z8578,81,00,32,,,,90870,-,,,,,.,J,3,....,,,,0,1,1,0.5,100,1,79.0,177,1,2003-03-29,0.001
03LA00030,03,A4596,04,82,52N,Z0000,81,6.0,6,30,97,1,0,y,N,0329,88,8,3,2,10.1,5,1,Z8579,81,00,80,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,81,1,79.0,191,3,2003-03-29,0.0
03LA00031,03,A4596,04,82,52N,Z0000,81,6.0,6,30,97,1,0,y,N,0329,88,8,3,2,10.0,5,1,Z8580,81,00,80,,,,,,,ENTR,,,.,J,2,....,,,,0,1,1,1.0,91,1,87.0,191,3,2003-03-29,0.0
03LA00032,03,A2848,04,73,51N,K0000,64,7.0,7,30,06,1,0,y,N,0329,88,2,1,,0.0,,,,,00,33,0,88,27,,,"X,AGE",,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-29,0.0
03LA00033,03,A2848,04,73,51N,K0000,64,7.0,7,30,06,1,0,y,N,0329,88,2,1,,0.0,,,,,00,33,0,88,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-29,0.0
03LA00034,03,A9241,04,83,e12,A8820,04,1.0,1,30,30,4,0,n,M,0330,89,8,3,2,6.9,1,1,H0403,05,88,30,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,59,1,42.8,177,1,2003-03-30,0.055
03LA00035,03,A9241,04,83,e12,A8820,04,1.0,1,30,30,4,0,n,M,0330,89,8,3,2,7.4,1,1,H0404,05,88,30,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,67,1,52.0,177,1,2003-03-30,0.055
03LA00036,03,A7526,04,88,-2-,T8203,44,3.0,3,30,02,1,0,y,X,0329,88,7,3,3,6.1,1,1,Z8575,81,00,32,,,,,,,WEAK,,,.,J,2,....,,,,0,1,1,1.0,80,1,62.5,177,1,2003-03-29,0.001
