UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,BAG,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
74LA00001,74,1,9522,4,00,000,0000,00,,,,20,,1,00,3,1,108,5,,0,0,,,,126601,-,,,42,0000,00,1,50,,0,1,,1,1,9.0,5,,,1,1974-04-18,00
74LA00002,74,,,0,24,240,6088,11,1,36,,00,,,07,,,140,,,0,,,,28,,,,1,11,6591,11,0,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-20,07
74LA00003,74,1,6704,1,32,320,6122,11,1,29,,00,,1,07,,1,97,5,,0,4,,,28,,,,1,11,6549,11,1,35,32,1,1,,1,1,11.2,10,,7,1,1974-04-07,07
74LA00004,74,,,0,24,240,6204,11,1,34,,90,,,07,,,101,,,0,,,,27,,,,1,11,6591,11,0,0,24,1,0,,0,0,0.0,0,,6,1,1974-04-11,07
74LA00005,74,2,6713,1,32,320,6247,11,1,30,,80,,1,07,,1,98,5,,0,3,,,26,,,,1,11,6549,11,1,55,32,1,1,,1,1,11.8,10,,6,1,1974-04-08,07
74LA00006,74,,,0,24,240,6259,11,1,48,,80,,,07,,,140,,,0,,,,27,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-20,07
74LA00007,74,,,0,24,240,6334,11,1,39,,70,,,07,,,127,,,0,,,,34,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-07,07
74LA00008,74,1,8711,3,76,760,6363,11,1,,,70,,1,07,,1,112,8,2,0,4,,,,,,,1,18,7944,18,1,85,76,6,1,,1,2,11.8,10,,,1,1974-04-22,07
74LA00009,74,2,8712,3,76,760,6363,11,1,,,70,,1,07,,1,112,8,2,0,4,,,,956314,-,,1,18,7944,18,0,66,76,6,1,,0,0,11.8,5,,,2,1974-04-22,07
74LA00010,74,1,6773,1,32,320,6384,11,1,35,,60,,1,07,,1,113,5,,0,4,,,29,,,,1,11,6549,11,1,66,32,1,1,,1,1,12.2,10,,7,1,1974-04-23,07
74LA00011,74,1,6766,1,32,320,6386,11,1,35,,60,,1,07,,1,112,5,,0,4,,,30,,,,1,11,6549,11,1,45,32,1,1,,1,1,12.4,10,,6,1,1974-04-22,07
74LA00012,74,1,6702,1,32,320,6391,11,1,37,,60,,1,07,,1,96,5,,0,4,,,29,,,,1,11,6549,11,1,76,32,1,1,,1,1,12.6,10,,8,1,1974-04-06,07
74LA00013,74,1,0686,9,97,11,6395,11,1,,,60,,2,54,,1,107,8,4,0,3,,,,,,,1,93,8631,90,1,84,78,8,1,,1,2,9.4,10,,,1,1974-04-17,07
74LA00014,74,3,0687,9,97,11,6395,11,1,,,60,,1,54,,1,107,8,4,0,3,,,,,&,,1,93,8631,90,0,74,78,8,1,,0,0,8.4,5,,,2,1974-04-17,07
74LA00015,74,2,0641,9,97,12,6398,11,1,,,60,,1,54,,1,106,5,4,0,4,,,,,,,1,93,9270,90,1,95,77,8,1,,1,1,13.8,10,,,1,1974-04-16,07
74LA00016,74,2,6765,1,32,320,6401,11,1,49,,60,,2,07,,1,110,5,,0,4,,,28,,,,1,11,6549,11,1,72,32,1,1,,1,1,13.4,10,,8,1,1974-04-20,07
74LA00017,74,,,0,32,320,6406,11,1,35,,60,,,07,,,140,,,0,,,,30,,,,1,11,6549,11,0,0,32,1,0,,0,0,0.0,0,,7,1,1974-05-20,07
74LA00018,74,1,6777,1,24,240,6411,11,1,40,,50,,1,07,,1,116,5,,0,5,,,39,,,,1,11,6591,11,1,89,24,1,1,,1,1,11.2,10,,8,1,1974-04-26,07
74LA00019,74,2,6724,1,32,320,6414,11,1,37,,50,,1,07,,1,102,5,,106,5,,6,31,513962,+,,1,11,6549,11,1,0,32,1,1,23,1,1,13.2,5,,7,1,1974-04-12,07
74LA00020,74,2,9888,9,00,240,6417,11,1,,,50,,4,10,2,1,124,5,,0,5,,,30,,,,1,90,0000,97,1,53,24,0,1,,1,1,13.0,10,,8,1,1974-05-04,07
74LA00021,74,,,0,24,240,6417,11,1,39,,50,,,07,1,,124,,,0,,,,30,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,8,1,1974-05-04,07
74LA00022,74,,,0,24,240,6419,11,1,40,,50,,,07,,,140,,,0,,,,43,,,,1,11,6591,11,0,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-20,07
74LA00023,74,1,6756,1,32,320,6420,11,1,38,,50,,1,07,,1,108,5,,0,4,,,31,,,,1,11,6549,11,1,62,32,1,1,,1,1,11.2,10,,6,1,1974-04-18,07
74LA00024,74,3,9827,9,00,320,6421,11,1,,,50,,5,10,2,1,120,8,,0,3,,,28,,,,1,90,0000,97,1,53,32,0,1,,1,2,11.4,10,,8,1,1974-04-30,07
74LA00025,74,,,0,32,320,6421,11,1,36,,50,,,07,1,,120,,,0,,,,28,,,,1,11,6549,11,1,0,32,1,0,,0,0,0.0,0,,8,1,1974-04-30,07
74LA00026,74,2,9828,9,00,320,6421,11,1,,,50,,5,10,2,1,120,8,,0,3,,,28,,,,1,90,0000,97,0,56,32,0,1,,0,0,11.0,10,,8,2,1974-04-30,07
74LA00027,74,2,6699,1,32,320,6422,11,1,36,,50,,1,07,,1,95,5,,0,4,,,28,,,,1,11,6549,11,1,45,32,1,1,,1,1,11.4,10,03,6,1,1974-04-05,07
74LA00028,74,2,9970,9,00,240,6425,11,1,,,50,,5,10,2,1,126,5,,0,4,,,34,,,,1,90,0000,97,1,74,24,0,1,,1,1,11.8,10,,7,1,1974-05-06,07
74LA00029,74,,,0,24,240,6425,11,1,38,,50,,,07,1,,126,,,0,,,,34,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-06,07
74LA00030,74,2,9862,9,00,240,6432,11,1,,,50,,5,10,2,1,123,7,,0,3,,,33,638242,-,,1,90,0000,97,1,66,24,0,1,,1,2,13.4,5,,7,1,1974-05-03,07
74LA00031,74,,,0,24,240,6432,11,1,37,,50,,,07,1,,123,,,0,,,,33,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-03,07
74LA00032,74,2,,9,00,240,6432,11,1,,,50,,5,10,2,1,123,7,,0,3,,1,33,001543,+,,1,90,0000,97,0,0,24,0,0,44,0,0,12.6,5,,7,2,1974-05-03,07
74LA00033,74,1,6723,1,32,320,6433,11,1,35,,50,,1,07,,1,102,5,,0,5,,,30,,,,1,11,6549,11,1,60,32,1,1,,1,1,12.4,10,,7,1,1974-04-12,07
74LA00034,74,1,6753,1,32,320,6435,11,1,35,,50,,1,07,,1,108,5,,115,4,,6,29,,,,1,11,6549,11,1,0,32,1,1,23,1,1,10.8,0,,7,1,1974-04-18,07
74LA00035,74,2,6720,1,32,320,6459,11,1,38,,40,,1,07,,1,101,5,8,0,5,,,30,,,,1,11,6549,11,1,77,32,1,1,,1,1,11.2,10,,8,1,1974-04-11,07
74LA00036,74,2,9744,9,00,240,6460,11,1,,,40,,5,10,2,1,114,5,,0,4,,,41,,,,1,90,0000,97,1,78,24,0,1,,1,1,11.0,10,,6,1,1974-04-24,07
74LA00037,74,,,0,24,240,6460,11,1,41,,40,,,07,1,,114,,,0,,,,41,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-04-24,07
74LA00038,74,1,6752,1,24,240,6463,11,1,38,,40,,1,07,,1,106,5,,0,4,,,34,,,,1,11,6591,11,1,79,24,1,1,,1,1,13.2,10,,8,1,1974-04-16,07
74LA00039,74,2,9851,9,00,240,6468,11,1,,,40,,4,10,2,1,122,8,8,0,3,,,37,,,,1,90,0000,97,1,48,24,0,1,,1,2,10.2,10,,8,1,1974-05-02,07
74LA00040,74,,,0,24,240,6468,11,1,39,,40,,,07,1,,122,,8,0,,,,37,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,8,1,1974-05-02,07
74LA00041,74,3,9852,9,00,240,6468,11,1,,,40,,5,10,2,1,122,8,8,0,3,,,37,,,,1,90,0000,97,0,39,24,0,1,,0,0,11.2,10,,8,2,1974-05-02,07
74LA00042,74,2,6744,1,32,320,6480,11,1,36,,40,,1,07,,1,105,5,,230,4,,7,33,,,,1,11,6549,11,1,0,32,1,1,97,1,1,11.2,0,03,7,1,1974-04-15,07
74LA00043,74,2,0813,9,00,240,6484,11,1,,,40,,5,10,2,1,131,8,,0,3,,,42,,,,1,93,0000,97,1,48,24,0,1,,1,2,10.0,10,,7,1,1974-05-11,07
74LA00044,74,,,0,24,240,6484,11,1,40,,40,,,07,1,,131,,,0,,,,42,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-11,07
74LA00045,74,2,0814,9,00,240,6484,11,1,,,40,,5,10,2,1,131,8,,0,3,,,42,,,,1,93,0000,97,0,61,24,0,1,,0,0,10.4,10,,7,2,1974-05-11,07
74LA00046,74,,,0,24,240,6486,11,1,46,,40,,,07,1,,130,,8,0,,,,33,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-10,07
74LA00047,74,2,0803,9,00,240,6486,11,1,,,40,,5,10,2,1,130,5,8,0,4,,,33,,,,1,93,0000,97,1,50,24,0,1,,1,1,11.0,10,,6,1,1974-05-10,07
74LA00048,74,,,0,24,240,6488,11,1,38,,40,,,07,1,,122,,,0,,,,40,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-02,07
74LA00049,74,2,9850,9,00,240,6488,11,1,,,40,,5,10,2,1,122,5,,0,3,,,40,,,,1,90,0000,97,1,65,24,0,1,,1,1,13.8,10,,6,1,1974-05-02,07
74LA00050,74,,,0,32,320,6489,11,1,39,,40,,,07,,,65,,8,0,,,,37,,,,1,11,6549,11,0,0,32,1,0,,0,0,0.0,0,,6,1,1974-03-06,07
74LA00051,74,2,9878,9,00,240,6495,11,1,,,30,,5,10,2,1,124,5,8,0,2,,,40,870590,-,,1,90,0000,97,1,83,24,0,1,,1,1,9.6,5,,7,1,1974-05-04,07
74LA00052,74,,,0,24,240,6495,11,1,39,,30,,,07,1,,124,,8,0,,,,40,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-04,07
74LA00053,74,1,6705,1,32,320,6499,11,1,35,,30,,1,07,,1,97,5,8,0,4,,,40,,,,1,11,6549,11,1,52,32,1,1,,1,1,12.0,10,,7,1,1974-04-07,07
74LA00054,74,2,9773,9,00,240,6502,11,1,,,30,,5,10,2,1,116,8,,0,3,,,38,,&,,1,90,0000,97,1,39,24,0,1,,1,2,9.4,5,,8,1,1974-04-26,07
74LA00055,74,,,0,24,240,6502,11,1,38,,30,,,07,1,,116,,,0,,,,38,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,8,1,1974-04-26,07
74LA00056,74,3,9774,9,00,240,6502,11,1,,,30,,5,10,2,1,116,8,,0,3,,,38,,,,1,90,0000,97,0,79,24,0,1,,0,0,9.6,10,,8,2,1974-04-26,07
74LA00057,74,,,0,24,240,6504,11,1,38,,30,,,07,1,,123,,8,0,,,,40,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,8,1,1974-05-03,07
74LA00058,74,2,9865,9,00,240,6504,11,1,,,30,,5,10,2,1,123,5,8,0,3,,,40,,,,1,90,0000,97,1,69,24,0,1,,1,1,9.2,10,,8,1,1974-05-03,07
74LA00059,74,2,6729,1,32,320,6508,11,1,34,,30,,1,07,,1,103,5,8,0,3,,,30,,,,1,11,6549,11,1,60,32,1,1,,1,1,10.0,10,,8,1,1974-04-13,07
74LA00060,74,2,9875,9,00,240,6511,11,1,,,30,,5,10,2,1,124,5,8,0,3,,,48,,,,1,90,0000,97,1,64,24,0,1,,1,1,12.0,10,,7,1,1974-05-04,07
74LA00061,74,,,0,24,240,6511,11,1,40,,30,,,07,1,,124,,8,0,,,,48,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-04,07
74LA00062,74,1,6751,1,32,320,6513,11,1,34,,30,,3,07,,1,106,5,,0,4,,,31,172442,-,,1,11,6549,11,1,67,32,1,1,,1,1,10.2,5,,8,1,1974-04-16,07
74LA00063,74,1,6712,1,32,320,6514,11,1,35,,30,,1,07,,1,98,5,,0,4,,,32,,,,1,11,6549,11,1,62,32,1,1,,1,1,10.4,10,,6,1,1974-04-08,07
74LA00064,74,2,9887,9,00,240,6521,11,1,,,30,,9,10,2,1,124,5,8,0,3,,,47,,&,,1,90,0000,97,1,68,24,0,1,,1,1,13.0,5,,6,1,1974-05-04,07
74LA00065,74,,,0,24,240,6521,11,1,40,,30,,,07,1,,124,,8,0,,,,47,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-04,07
74LA00066,74,1,6747,1,32,320,6523,11,1,36,,30,,2,07,,1,105,5,8,0,2,,,37,,,,1,11,6549,11,1,69,32,1,1,,1,1,9.0,10,,7,1,1974-04-15,07
74LA00067,74,2,0796,9,00,240,6531,11,1,,,30,,5,10,2,1,129,5,,0,4,,,32,,,,1,93,0000,97,1,72,24,0,1,,1,1,11.8,10,,7,1,1974-05-09,07
74LA00068,74,,,0,24,240,6531,11,1,36,,30,,,07,1,,129,,,0,,,,32,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-09,07
74LA00069,74,2,6739,1,32,320,6545,11,1,42,,20,,3,07,,1,105,5,,0,3,,,38,,&,,1,11,6549,11,1,39,32,1,1,,1,1,6.2,5,,6,1,1974-04-15,07
74LA00070,74,3,9832,9,00,320,6547,11,1,,,20,,5,10,2,1,120,5,,0,3,,,29,,,,1,90,0000,97,1,69,32,0,1,,1,1,10.8,10,,7,1,1974-04-30,07
74LA00071,74,,,0,32,320,6547,11,1,39,,20,,,07,1,,120,,,0,,,,29,,,,1,11,6549,11,1,0,32,1,0,,0,0,0.0,0,,7,1,1974-04-30,07
74LA00072,74,1,6697,1,32,320,6581,11,1,42,,20,,1,07,,1,93,5,,0,3,,,34,,,,1,11,6549,11,1,53,32,1,1,,1,1,9.4,10,,6,1,1974-04-03,07
74LA00073,74,1,6754,1,32,320,6582,11,1,42,,20,,1,07,,1,108,5,8,217,1,,6,34,,,,1,11,6549,11,1,0,32,1,1,13,1,1,7.2,0,,8,1,1974-04-18,07
74LA00074,74,,,0,24,240,6583,11,1,49,,20,,,07,,,127,,8,0,,,,44,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,8,1,1974-05-07,07
74LA00075,74,3,0776,9,00,240,6587,11,1,,,20,,5,10,2,1,128,5,,132,4,,6,40,069293,+,,1,93,0000,97,1,0,24,0,1,23,1,1,10.0,5,,6,1,1974-05-08,07
74LA00076,74,,,0,24,240,6587,11,1,44,,20,,,07,1,,128,,,0,,,,40,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,6,1,1974-05-08,07
74LA00077,74,2,9964,9,00,240,6594,11,1,,,20,,5,10,2,1,126,5,8,230,2,,7,31,,,,1,90,0000,97,1,0,24,0,1,97,1,1,11.6,0,,7,1,1974-05-06,07
74LA00078,74,,,0,24,240,6594,11,1,43,,20,,,07,1,,126,,8,0,,,,31,,,,1,11,6591,11,1,0,24,1,0,,0,0,0.0,0,,7,1,1974-05-06,07
74LA00079,74,1,6730,1,24,240,6595,11,1,46,,20,,1,07,,1,103,5,,0,4,,,48,,,,1,11,6591,11,1,74,24,1,1,,1,1,12.8,10,02,8,1,1974-04-13,07
