UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
68LA00001,68,2,9297,6,10,330,8002,61,6,,,2,,1,06,,1,97,5,,0,4,,,,,,,,1,61,8065,61,1,81,82,7,1,,1,1,13.6,10,,6,1,1968-04-06
68LA00002,68,,,,03,030,8005,61,6,32,,2,,,06,,,95,,,0,,,,32,,,,,1,,7341,61,1,,03,1,0,,0,0,0.0,,,7,1,1968-04-04
68LA00003,68,3,6945,9,00,733,8008,61,6,,,2,,5,60,2,1,141,5,,0,5,,,,,,,,1,90,0000,98,1,85,70,0,1,,1,1,15.0,10,,,1,1968-05-20
68LA00004,68,1,9993,6,70,733,8014,61,6,,,2,,1,06,,2,119,5,,0,4,,,,,,,,1,61,7506,61,1,83,70,2,1,,1,1,11.2,10,,,1,1968-04-28
68LA00005,68,1,9981,6,70,733,8015,61,6,,,2,,1,06,,1,119,5,,0,2,,,,,,,,1,61,7506,61,1,94,70,2,1,,1,1,11.2,10,,,1,1968-04-28
68LA00006,68,1,9940,6,70,723,8016,61,6,,,2,,1,06,,1,117,5,,0,3,,,,,,,,1,61,7102,61,1,92,70,2,1,,1,1,11.6,10,,,1,1968-04-26
68LA00007,68,2,9754,6,70,713,8018,61,6,,,2,,1,06,,1,111,5,,0,5,,,,,,,,1,61,6384,61,1,74,70,2,1,,1,1,10.6,10,,,1,1968-04-20
68LA00008,68,2,0098,6,70,733,8019,61,6,,,2,,1,06,,2,129,5,,0,4,,,,,,,,1,62,7926,61,1,78,70,2,1,,1,1,11.6,10,,,1,1968-05-08
68LA00009,68,1,,,02,310,8023,61,6,,,2,,1,06,,9,98,5,,0,4,,5,,5678,90,+,,1,,8331,61,1,,82,7,1,,1,1,8.4,0,,6,1,1968-04-07
68LA00010,68,1,9665,6,01,300,8025,61,6,,,2,,1,06,,1,109,5,,0,5,,,,,,,,1,61,8192,61,1,126,82,7,1,,1,1,14.2,10,,6,1,1968-04-18
68LA00011,68,1,0100,6,70,723,8026,61,6,,,2,,1,06,,1,130,5,,0,2,,,,,,,,1,62,7102,61,1,35,70,2,1,,1,1,8.2,10,03,,1,1968-05-09
68LA00012,68,,,,70,733,8027,61,6,,,2,,,06,,,95,,,0,,,,,,,,,1,,7506,61,1,,70,2,0,,0,0,0.0,,,,1,1968-04-04
68LA00013,68,1,9498,6,10,330,8028,61,6,,,2,,1,06,,2,106,5,,0,3,,,,,,,,1,61,8065,61,1,87,82,7,1,,1,1,9.2,10,,7,1,1968-04-15
68LA00014,68,2,9271,6,01,300,8036,61,6,,,2,,1,06,,1,94,5,,0,3,,,,,,,,1,61,8192,61,1,85,82,7,1,,1,1,10.2,10,,7,1,1968-04-03
68LA00015,68,2,9503,6,02,310,8037,61,6,,,2,,1,06,,1,106,5,,0,5,,,,,,,,1,61,8331,61,1,95,82,7,1,,1,1,12.2,10,,7,1,1968-04-15
68LA00016,68,2,9340,6,02,310,8039,61,6,,,2,,1,06,,1,101,5,,0,4,,,,,,,,1,61,8331,61,1,78,82,7,1,,1,1,10.4,10,,6,1,1968-04-10
68LA00017,68,1,0105,6,70,713,8046,61,6,,,2,,1,06,,1,136,5,,0,5,,,,,,,,1,62,6384,61,1,83,70,2,1,,1,1,15.2,10,,,1,1968-05-15
68LA00018,68,1,9296,6,03,320,8050,61,6,,,2,,1,06,,1,97,5,,0,4,,,,,,,,1,61,6523,61,1,106,82,7,1,,1,1,11.4,10,,6,1,1968-04-06
68LA00019,68,2,9788,6,70,723,8053,61,6,,,2,,1,06,,1,112,5,,0,3,,,,,,,,1,61,7102,61,1,94,70,2,1,,1,1,12.0,10,,,1,1968-04-21
68LA00020,68,2,9348,6,04,340,8054,61,6,,,2,,1,06,,1,101,5,,0,4,,,,,,,,1,61,7830,61,1,91,82,7,1,,1,1,12.4,10,,6,1,1968-04-10
68LA00021,68,1,0096,6,02,020,8056,61,6,28,,2,,1,06,,1,128,5,,132,3,21,2,28,,,,,1,62,7785,61,1,,02,1,1,,1,1,12.8,0,20,6,1,1968-05-07
68LA00022,68,2,9832,6,02,020,8057,61,6,28,,2,,1,06,,1,114,8,,0,2,,,28,,,,,1,61,7785,61,1,66,02,1,1,,1,2,6.0,10,,7,1,1968-04-23
68LA00023,68,1,9833,6,02,020,8057,61,6,28,,2,,1,06,,1,114,8,,114,2,,2,28,,,,,1,61,7785,61,1,,02,1,1,,1,2,6.6,0,,7,2,1968-04-23
68LA00024,68,2,9420,6,03,320,8062,61,6,,,2,,1,06,,1,104,5,,0,4,,,,,,,,1,61,6523,61,1,82,82,7,1,,1,1,9.8,10,,7,1,1968-04-13
68LA00025,68,1,0012,6,70,713,8063,61,6,,,2,,2,06,,1,120,5,,0,4,,,,,,,,1,62,6384,61,1,86,70,2,1,,1,1,12.0,10,,,1,1968-04-29
