UID,YR,SEX,LAMB,LB1,DATE,SIRE,BRWT,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
51LA00437,51,1,1821,2,410,0323,10.4,2,0267,2,,5,2,1,4,1,63,630,1,,0,,,,,,,13,,,,,13,,54,6,06,,73,53,,100,13,1,1,1,1,10,1951-04-10,49,49,07
51LA00438,51,1,0122,2,416,2594,10.0,1,0270,2,,5,2,1,3,2,82,214,1,,0,,,,,,,13,,,,,14,,49,7,17,,68,21,,106,11,1,1,1,1,10,1951-04-16,49,48,07
51LA00439,51,1,1758,2,409,9263,9.6,2,0273,2,,5,2,1,2,1,82,254,1,,0,,,,,,,13,,,,,13,,51,7,24,,70,25,,99,13,1,1,1,1,10,1951-04-09,49,48,07
51LA00440,51,2,1680,2,407,0872,9.0,2,0274,2,29,8,2,1,3,1,46,460,1,,0,,,,,,,13,,,,,13,,46,1,23,,68,,,97,13,1,1,2,1,10,1951-04-07,49,50,07
51LA00441,51,2,1681,2,407,0872,8.6,2,0274,2,29,8,2,1,3,1,46,460,2,2,0,2,,3002,11,-,16,13,,,,,13,,46,1,23,,,,,97,13,1,1,2,1,0,1951-04-07,49,50,07
51LA00442,51,2,0330,2,428,0872,9.4,2,0275,2,29,5,2,1,2,1,46,460,1,,0,,,,,,,13,,,,,14,,46,1,23,,66,,,118,13,1,1,1,1,10,1951-04-28,49,50,07
51LA00443,51,1,0224,2,420,9693,10.6,2,0276,2,12,5,2,1,4,1,42,420,1,,0,,,,,,,13,,,,,14,,42,1,13,,75,,,110,13,1,1,1,1,10,1951-04-20,49,48,07
51LA00444,51,1,0344,2,501,0872,9.0,2,0280,2,20,5,2,1,3,2,46,460,1,,0,,,,,,,13,,,,,14,,46,1,06,,69,,,121,13,1,1,1,1,10,1951-05-01,49,50,07
51LA00445,51,1,1489,2,401,0109,9.8,,0284,2,0,5,2,1,5,1,39,390,1,,0,,,,,,,13,,,,,13,,39,1,08,,67,,,91,91,1,1,1,1,10,1951-04-01,49,47,07
51LA00446,51,1,0004,2,414,0109,11.6,,0286,2,0,5,2,1,5,1,39,390,1,,0,,,,,,,13,,,,,14,,39,1,07,,72,,,104,91,1,1,1,1,10,1951-04-14,49,47,07
51LA00447,51,1,0182,2,418,0872,9.4,2,0291,2,22,5,2,1,4,1,46,460,1,,0,,,,,,,13,,,,,14,,46,1,12,,89,,,108,13,1,1,1,1,10,1951-04-18,49,50,07
51LA00448,51,2,0136,2,417,0872,9.8,2,0292,2,22,5,2,1,4,1,46,460,1,6,0,2,,1602,13,+,16,13,,,,,14,,46,1,12,,,,,107,13,1,1,1,1,0,1951-04-17,49,50,07
51LA00449,51,1,6878,3,522,0000,9.0,,0295,2,0,5,2,1,4,1,00,280,1,,0,,,,,,,13,,,,,17,,28,0,11,2,67,07,,142,17,1,1,1,1,10,1951-05-22,49,49,07
51LA00450,51,,,,522,0543,0.0,2,0295,2,24,,2,,,,28,280,1,,0,,,,,,,13,,-,,,14,,28,1,11,1,,,,142,13,1,0,0,0,0,1951-05-22,49,49,07
51LA00451,51,2,1702,2,408,0109,9.4,,0297,2,0,5,2,1,2,1,39,390,1,7,230,,,,,,,13,,,,,13,,39,1,20,,,,,98,91,1,1,1,1,0,1951-04-08,49,47,07
51LA00452,51,,,,228,0606,0.0,2,0298,2,23,,2,,,,26,260,1,,0,,,,,,,13,,,6,,13,,26,1,14,,,,,59,13,0,0,0,0,0,1951-02-28,49,49,07
51LA00453,51,2,0268,2,422,9263,8.8,2,0302,2,21,5,2,1,2,1,25,250,1,2,0,,,,,,,13,,,,,14,16,25,1,13,,,,,112,13,1,1,1,1,0,1951-04-22,49,48,07
51LA00454,51,,,,510,9389,0.0,2,0303,2,18,,2,,,,29,290,1,,0,,,,,,,13,,-,,,14,,29,1,13,,,,,130,13,1,0,0,0,0,1951-05-10,49,48,07
51LA00455,51,2,0107,2,416,0450,8.8,2,0308,2,30,5,2,1,2,2,36,360,1,7,230,,,,,,,13,,,,,14,,36,1,19,,,,,106,13,1,1,1,1,0,1951-04-16,49,49,07
