UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
23LA00001,23,X0286,84,,e5,Z0000,83,1.0,,00,97,4,,Y,,012323,23,0,0.0,0,.,.,.,0.0,.,.,.,,,,0,23,27,,,NO.DATA,NO.DATA,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2023-01-23,0.0,,,,,
23LA00002,23,A1503,06,,e2,L0000,70,1.0,,30,PC,4,0,Y,,021023,41,0,0.0,0,.,.,.,0.0,.,.,.,,,,0,41,27,,,NO.DATA,NO.DATA,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2023-02-01,0.0,,,,,
23LA00003,23,L2318,70,,32,L2655,70,4.0,,PC,PC,1,0,N,,030123,60,0,0.0,0,.,.,.,0.0,.,.,.,,,,0,60,27,,,NO.DATA,NO.DATA,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2023-03-01,0.019,,,,,
23LA00004,23,X0267,84,,e3,L0000,70,1.0,,80,PC,4,7,Y,,030723,66,0,0.0,0,.,.,.,0.0,.,.,.,,,,0,66,27,,,NO.DATA,NO.DATA,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2023-03-07,0.0,,,,,
23LA00005,23,Z9900,83,A,e5,Z0000,83,1.0,,97,97,4,,Y,,030823,67,0,0.0,0,.,.,.,0.0,.,.,.,,,,0,67,27,,,NO.DATA,NO.DATA,1,1,..,PUR,J,1,,1,1,1,0,0,0.0,0,2023-03-08,0.0,,,,,
23LA00006,23,L3167,70,,e1,L0000,70,1.0,,PC,PC,4,0,Y,,031223,71,7,3.5,2,1,.,.,5.0,5,1,L3653,70,,PC,6,72,27,,,.,L/D,1,1,..,OR,J,1,,1,1,2,1,0,0.0,0,2023-03-12,0.0,,,,,
23LA00007,23,L3167,70,,e1,L0000,70,1.0,,PC,PC,4,0,Y,,031223,71,7,3.5,2,2,.,.,8.0,5,1,.,,,,1,71,44,,,.,.,1,1,..,OR,J,2,,0,0,0,0,0,0.0,0,2023-03-12,0.0,,,,,
23LA00008,23,Y0153,00,,1,Y0304,00,5.0,,Kt,Kt,5,,N,K,031223,71,8,2.0,2,3,R,2,6.9,2,1,Y0346,52,,Kt,,,,,,.,.,1,1,..,PUR,J,1,,1,1,2,1,1,1.0,65,2023-03-12,0.0,26,129,H,,
23LA00009,23,Y0153,00,,1,Y0304,00,5.0,,Kt,Kt,5,,N,K,031223,71,8,2.0,2,2,0,2,7.6,5,1,Y0347,52,,Kt,,,,A1574,-,.,.,1,1,..,PUR,J,2,,0,0,0,1,1,0.5,76,2023-03-12,0.0,39,128,1,,
23LA00010,23,Z9907,83,,e1,L0000,70,1.0,,80,PC,4,7,Y,,031223,71,7,1.5,1,1,.,.,8.9,5,1,X0573,84,,00,6,72,27,,,DOWN.STINKY,+SurfactantDef.,1,1,..,,J,1,,1,1,2,1,0,0.0,0,2023-03-12,0.0,,,,,
23LA00011,23,Z9907,83,,e1,L0000,70,1.0,,80,PC,4,7,Y,,031223,71,7,1.5,1,1,.,.,7.6,5,1,.,,,,1,71,44,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2023-03-12,0.0,,,,,
23LA00012,23,L2474,70,A,33,L2820,70,3.0,,PC,PC,1,0,N,,031323,72,5,3.5,3,3,0,2,7.4,5,1,L3654,70,A,PC,,,,,,.,.,1,1,..,OR,J,1,,1,1,1,1,1,1.0,36,2023-03-13,0.019,32,128,H,,
23LA00013,23,L2398,70,,35,L2754,70,4.0,,PC,PC,1,0,N,,031223,71,8,0.0,0,3,0,2,12.0,2,1,L3655,70,,PC,3,71,93,,8,TERM.CS,.,7,1,..,OR,J,1,,1,1,2,1,0,0.0,0,2023-03-12,0.031,,,,,
23LA00014,23,L2398,70,,35,L2754,70,4.0,,PC,PC,1,0,N,,031223,71,8,0.0,0,2,0,2,11.4,5,1,L3656,70,,PC,3,71,93,,8,.,.,7,1,..,OR,J,2,,0,0,0,1,0,0.0,0,2023-03-12,0.031,,,,,
23LA00015,23,L2851,70,A,33,L2820,70,2.0,,PC,PC,1,0,N,,031323,72,8,3.0,2,1,0,2,10.4,2,1,L3657,70,A,PC,6,74,27,,,.,.,1,1,..,OR,J,1,,1,1,2,1,0,0.0,0,2023-03-13,0.026,,,,,
23LA00016,23,L2851,70,A,33,L2820,70,2.0,,PC,PC,1,0,N,,031323,72,8,3.0,2,3,0,2,7.4,5,1,L3658,70,A,PC,6,73,27,,,.,+SurfactantDef.,1,1,..,OR,J,2,,0,0,0,1,0,0.0,0,2023-03-13,0.026,,,,,
23LA00017,23,L3239,70,,e5,Z0000,83,1.0,,PC,97,4,0,Y,,031323,72,5,3.5,2,2,0,3,7.4,5,1,X0574,84,A,00,6,87,38,,,.,.,1,1,..,OR,J,1,,1,1,1,1,,,,2023-03-13,0.0,,,,,
23LA00018,23,Y0159,52,,e6,Z0000,83,1.0,,Kt,97,4,,Y,,031323,72,4,3.0,3,1,.,.,7.0,5,1,.,,,,1,72,44,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2023-03-13,0.0,,,,,
23LA00019,23,Y0159,52,,e6,Z0000,83,1.0,,Kt,97,4,,Y,,031323,72,4,3.0,3,2,.,.,6.5,5,1,.,,,,1,72,44,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2023-03-13,0.0,,,,,
23LA00020,23,Y0272,52,,e1,L0000,70,1.0,,Kt,PC,4,,Y,,031323,72,5,3.0,2,2,0,2,9.5,5,1,X0575,84,,00,,,,,,SM.BAG,.,1,1,..,,J,1,,1,1,1,1,1,1.0,58,2023-03-13,0.0,34,128,1,,
23LA00021,23,A1574,06,,e6,Z0000,83,1.0,,30,97,4,0,Y,K,031323,72,4,3.5,3,2,.,.,9.5,5,1,.,,,,1,72,44,Y0347,+,.,.,1,1,..,,J,1,,1,1,2,0,0,0.5,0,2023-03-13,0.0,,,,,
23LA00022,23,A1574,06,,e6,Z0000,83,1.0,,30,97,4,0,Y,K,031323,72,4,3.5,3,1,.,.,7.5,5,1,.,,,,1,72,44,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2023-03-13,0.0,,,,,
23LA00023,23,Z9802,83,,e3,L0000,70,1.0,,LR,PC,4,0,Y,,031323,72,0,3.5,1,.,.,.,0.0,.,.,.,,,,0,72,27,,,.,NO.DATA,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2023-03-13,0.0,,,,,
23LA00024,23,T8141,45,,e4,L0000,70,1.0,,02,PC,4,0,Y,,031323,72,7,3.0,1,2,.,.,7.0,2,1,X0576,84,,LT,6,73,27,,,SMBAG.RP,+RespDisease,6,4,..,RYL,J,1,,1,1,2,1,0,0.0,0,2023-03-13,0.0,,,,,
