UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01393,L5190,03,82,P-6,,,10,1.0,30,L,,0329,5,3,3,11.5,1,1,L6499,03,,0,,,,,,1,L4136,03,30,82,88,,1,1,1,1,1,1,10,100,1,78,177,1,,,0,1991-03-29,91,0.082
91LA01394,L5194,03,80,P-2,,,10,1.0,30,L,,0327,5,2,2,7.4,1,1,L6484,03,6,88,01,517463,,,,1,L4292,03,30,80,86,+,1,1,1,1,1,0,5,0,0,0,0,,,,0,1991-03-27,91,0.078
91LA01395,L5195,03,80,P-2,,,10,1.0,30,L,,0418,5,2,3,8.3,1,1,L7611,03,6,115,01,,,,,1,L4292,03,30,80,108,,1,1,1,1,1,0,0,0,0,0,0,,,,0,1991-04-18,91,0.078
91LA01396,L5197,03,80,P-2,,,10,1.0,30,L,,0329,8,2,3,5.9,1,1,L6497,03,,0,,,,,,1,L4292,03,30,80,88,,1,1,1,2,1,1,10,82,1,62,177,1,,,0,1991-03-29,91,0.063
91LA01397,L5197,03,80,P-2,,,10,1.0,30,L,,0329,8,2,1,4.1,1,1,,,6,88,67,,"WEAK,IMM.LAMB",,,2,L4292,03,30,80,88,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-03-29,91,0.063
91LA01398,L5202,03,81,P-4,,,10,1.0,30,L,,0409,8,2,2,8.3,1,1,L6934,03,,0,,,,,,1,L3737,03,30,81,99,,1,1,1,2,1,1,10,80,1,52,177,1,,,0,1991-04-09,91,0.067
91LA01399,L5202,03,81,P-4,,,10,1.0,30,L,,0409,8,2,3,9.1,1,1,L6935,03,3,100,93,,,,,2,L3737,03,30,81,99,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-09,91,0.067
91LA01400,L5208,03,83,P-7,,,10,1.0,30,L,,0406,5,2,3,11.7,1,1,L6709,03,,0,,,ENTR,,21,1,L3541,03,30,83,96,,1,1,1,1,1,1,10,101,1,73,178,2,,,0,1991-04-06,91,0.066
91LA01401,L5215,03,81,P-3,,,10,1.0,30,L,,0405,8,1,3,5.9,1,1,L6657,03,,0,,111544,,,,1,L3587,03,30,81,95,-,1,1,1,2,1,1,5,72,0,52,178,2,,,0,1991-04-05,91,0.069
91LA01402,L5215,03,81,P-3,,,10,1.0,30,L,,0405,8,1,3,9.1,1,1,L6658,03,,0,,,,,,2,L3587,03,30,81,95,,0,0,0,0,1,1,10,92,1,70,178,2,,,0,1991-04-05,91,0.069
