UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
99LA00047,99,T6787,44,42,e.P,A0000,04,1.0,02,30,,,5,2,y,C,0315,74,0,0,,0.0,,,,,00,32,0,0,27,,,?ABORTION,,,,PUB,M,1,0000,,1,1,1,0,0,0.0,0,,0,0,,1999-03-15,0.0
99LA00048,99,Z3571,81,97,972,Z3679,81,3.0,97,97,,,1,0,n,,0327,86,8,1,1,8.1,6,1,Z5377,81,97,97,6,86,46,,,"X,FX.LF.LEG",WEAK,,,,M,1,0800,,1,1,2,1,0,0.0,0,,0,0,,1999-03-27,0.098
99LA00049,99,Z3571,81,97,972,Z3679,81,3.0,97,97,,,1,0,n,.,0327,86,8,1,2,8.1,6,1,Z5378,81,97,97,,0,,S7470,-,,"WEAK,ENTR",,,,M,2,0800,,0,0,0,1,1,0.5,75,0,60,181,1,1999-03-27,0.098
99LA00050,99,Z4142,81,ch,55,00000,00,2.0,31,00,NN,,1,2,y,.,0208,39,8,2,3,9.5,1,1,Z5345,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,2,1,1,1.0,62,1,74,181,1,1999-02-08,0.0
99LA00051,99,Z4142,81,ch,55,00000,00,2.0,31,00,NN,,1,2,y,.,0208,39,8,2,2,9.5,1,1,Z5346,81,00,00,,0,,,,,,,,,M,2,0000,3,0,0,0,1,1,1.0,52,1,58,181,1,1999-02-08,0.0
99LA00052,99,Z4175,81,ch,-0-,00000,00,2.0,35,00,,,1,2,n,.,0201,32,5,3,2,10.0,1,1,Z5360,81,00,00,7,221,97,,,,,,,,M,1,0000,3,1,1,1,1,1,1.0,78,1,94,181,1,1999-02-01,0.0
99LA00053,99,Z4068,81,ch,57,00000,00,2.0,31,00,NN,,1,2,y,.,0208,39,8,2,3,8.0,1,1,Z5366,81,00,00,3,41,93,,8,,,,,,M,2,0000,3,0,0,0,1,0,0.0,0,,0,0,,1999-02-08,0.0
99LA00054,99,Z4068,81,ch,57,00000,00,2.0,31,00,NN,,1,2,y,.,0208,39,8,2,2,9.5,1,1,Z5365,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,2,1,1,1.0,77,1,97,181,1,1999-02-08,0.0
99LA00055,99,Z4205,81,ch,56,00000,00,2.0,31,00,NN,,1,2,y,.,0209,40,5,3,3,10.0,1,1,Z5369,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,1,1,1,1.0,77,1,98,181,1,1999-02-09,0.0
99LA00056,99,Z4254,81,ch,57,00000,00,2.0,31,00,NN,,1,2,y,.,0209,40,8,2,2,9.5,1,1,Z5363,81,00,00,,0,,,,,,,,,M,1,0000,3,1,1,2,1,1,1.0,52,1,65,181,1,1999-02-09,0.0
99LA00057,99,Z4254,81,ch,57,00000,00,2.0,31,00,NN,,1,2,y,.,0209,40,8,2,2,9.5,1,1,Z5364,81,00,00,,0,,,,,,,,,M,2,0000,3,0,0,0,1,1,1.0,58,1,72,181,1,1999-02-09,0.0
99LA00058,99,Z4704,81,ch,e11,K9320,63,1.0,35,05,NN,CC,5,2,y,H,0324,83,5,2,2,10.0,1,1,,,00,00,6,83,14,,,,FROZE,,,,M,1,0000,,1,1,1,1,0,0.0,0,,0,0,,1999-03-24,0.0
99LA00059,99,Z2437,81,97,971,Z3677,81,6.0,97,97,,,1,0,n,,0327,86,9,0,,0.0,,,,,97,97,0,0,27,,,PREG.TOXEMIA,,,,,M,1,0800,,1,1,3,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00060,99,Z2437,81,97,971,Z3677,81,6.0,97,97,,,1,0,n,,0327,86,9,0,,0.0,,,,,97,97,0,0,27,,,,,,,,M,2,0800,,0,0,0,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00061,99,Z2437,81,97,971,Z3677,81,6.0,97,97,,,1,0,n,,0327,86,9,0,,0.0,,,,,97,97,0,0,27,,,,,,,,M,3,0800,,0,0,0,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00062,99,T4929,44,00,OVX,00000,00,4.0,01,00,,,X,2,y,X,0102,2,5,3,3,11.0,1,1,Z5338,81,00,00,,0,,,,OVX>FERTILE!,,,,OVX,M,1,0000,3,1,1,1,1,1,1.0,72,1,115,181,1,1999-01-02,0.0
99LA00063,99,A5354,04,81,e.8,A4328,04,1.0,30,30,,,5,0,y,M,0327,86,8,2,3,9.4,1,1,A6002,04,88,30,,0,,,,,,,,,J,1,1430,,1,1,2,1,1,1.0,69,1,59,181,1,1999-03-27,0.065
99LA00064,99,A5354,04,81,e.8,A4328,04,1.0,30,30,,,5,0,y,M,0327,86,8,2,2,7.6,1,1,A6003,04,88,30,,0,,,,,,,,,J,2,1430,,0,0,0,1,1,1.0,70,1,59,181,1,1999-03-27,0.065
99LA00065,99,A5484,04,82,e.8,A4328,04,1.0,30,30,,,5,0,y,C,0327,86,6,1,3,4.9,1,1,A6001,04,88,30,6,89,46,,,XVAG.PROLAPSE,,,,,J,1,1605,,1,1,2,1,0,0.0,0,,0,0,,1999-03-27,0.058
99LA00066,99,A5484,04,82,e.8,A4328,04,1.0,30,30,,,5,0,y,C,0327,86,6,1,,0.0,,,,,88,30,0,0,27,,,,BLOB,,,,J,2,1605,,0,0,0,0,0,0.0,0,,0,0,,1999-03-27,0.058
99LA00067,99,S4503,10,10,21,S8451,10,5.0,43,07,,,1,0,y,M,0327,86,9,1,1,7.0,1,1,,,10,07,1,0,44,,,"X,DYSTOCIA'99",,,,,J,1,2100,,1,1,3,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00068,99,S4503,10,10,21,S8451,10,5.0,43,07,,,1,0,y,M,0327,86,9,1,1,7.0,1,1,,,10,07,1,0,44,,,,,,,,J,2,2100,,0,0,0,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00069,99,S4503,10,10,21,S8451,10,5.0,43,07,,,1,0,y,M,0327,86,9,1,2,7.0,1,1,,,10,07,1,0,44,,,,,,,,J,3,2100,,0,0,0,0,0,0.0,0,,0,0,,1999-03-27,0.0
99LA00070,99,S7470,10,10,23,S8043,10,3.0,43,43,,,1,0,n,M,0328,87,1,2,1,8.5,1,1,,,10,43,1,0,44,Z5378,+,,,,,,J,1,0600,,1,1,1,0,0,0.5,0,,0,0,,1999-03-28,0.0
99LA00071,99,Z4264,81,ch,57,K9385,63,2.0,31,05,NN,CN,1,2,y,H,0325,84,0,2,,0.0,,,,,00,00,0,0,27,,,"X,CULL",,,,,J,1,0000,,1,1,1,0,0,0.0,0,,0,0,,1999-03-25,0.0
99LA00072,99,A3628,04,ch,56,K9302,63,3.0,31,05,NN,CN,1,2,y,H,0328,87,8,2,3,8.0,1,1,Z5379,81,00,00,,0,,,,,,,,,J,1,0845,,1,1,2,1,1,1.0,55,1,50,181,1,1999-03-28,0.004
99LA00073,99,A3628,04,ch,56,K9302,63,3.0,31,05,NN,CN,1,2,y,H,0328,87,8,2,2,9.3,1,1,Z5380,81,00,00,,0,,,,,,,,,J,2,0845,,0,0,0,1,1,1.0,74,1,64,181,1,1999-03-28,0.004
99LA00074,99,K7444,63,00,54,K9992,63,5.0,05,05,CN,CC,1,0,n,H,0328,87,8,4,1,10.8,1,1,K0603,64,00,05,,0,,,,,"ENTR,CHKTSTS",,,,J,1,1130,,1,1,2,1,1,1.0,77,1,66,181,1,1999-03-28,0.062
99LA00075,99,K7444,63,00,54,K9992,63,5.0,05,05,CN,CC,1,0,n,H,0328,87,8,4,2,10.6,1,1,K0604,64,00,05,,0,,,,,,,,,J,2,1130,,0,0,0,1,1,1.0,82,1,67,181,1,1999-03-28,0.062
99LA00076,99,S6679,10,11,14,S8442,10,3.0,07,07,,,1,0,n,R,0328,87,5,4,2,13.0,1,1,S9978,10,11,07,,0,,,,,4TEATS,,,,J,1,1030,,1,1,1,1,1,1.0,92,1,77,181,1,1999-03-28,0.043
99LA00077,99,S6832,10,11,13,S7808,10,3.0,07,07,,,1,0,n,R,0328,87,5,3,2,11.5,1,1,S9979,10,11,07,,0,,,,,HAIRY,,,,J,1,1430,,1,1,1,1,1,1.0,81,1,74,181,1,1999-03-28,0.05
99LA00078,99,S8382,10,10,24,S7990,10,2.0,07,07,,,1,0,n,M,0328,87,5,2,2,9.4,1,1,S9980,10,10,07,,0,,,,,PNEU,,71,,J,1,2310,,1,1,1,1,1,1.0,77,1,66,181,1,1999-03-28,0.065
99LA00079,99,A5083,04,82,e.8,A4328,04,1.0,30,30,,,5,0,y,C,0330,89,5,2,2,9.6,1,1,A6004,04,88,30,,0,,,,,,,,,J,1,0300,,1,1,1,1,1,1.0,79,1,68,181,1,1999-03-30,0.061
99LA00080,99,K0121,64,00,e10,K9738,63,1.0,05,05,CC,CC,5,0,n,H,0329,88,5,3,3,10.5,4,1,K0607,64,00,05,,0,,,,,BLK.FEET,,,,J,1,1419,,1,1,1,1,1,1.0,89,1,77,181,1,1999-03-29,0.014
99LA00081,99,K6007,63,60,05-,K9464,63,7.0,06,06,,,1,7,n,.,0329,88,5,3,3,8.9,1,1,K0608,64,68,06,,0,,,,,,,,GXE,J,1,2025,,1,1,1,1,1,1.0,96,1,81,181,1,1999-03-29,0.038
99LA00082,99,K8830,63,00,54,K9992,63,3.0,05,05,CN,CC,1,0,n,H,0329,88,8,4,2,11.1,1,1,K0605,64,00,05,,0,,,,,,,,,J,1,1355,,1,1,2,1,1,1.0,82,1,67,181,1,1999-03-29,0.015
99LA00083,99,K8830,63,00,54,K9992,63,3.0,05,05,CN,CC,1,0,n,H,0329,88,8,4,2,11.8,1,1,K0606,64,00,05,,0,,,,,,,,,J,2,1355,,0,0,0,1,1,1.0,84,1,72,181,1,1999-03-29,0.015
99LA00084,99,K9559,63,68,04-,K9660,63,2.0,06,06,,,1,7,n,,0330,89,9,4,1,3.8,1,1,,,68,06,1,0,44,,,,,,,GXE,J,1,0330,,1,1,3,0,0,0.0,0,,0,0,,1999-03-30,0.045
99LA00085,99,K9559,63,68,04-,K9660,63,2.0,06,06,,,1,7,n,.,0330,89,9,4,2,5.2,1,1,K0609,64,68,06,,0,,,,,4TEATS,,,GXE,J,2,0330,,0,0,0,1,1,1.0,82,1,62,181,1,1999-03-30,0.045
99LA00086,99,K9559,63,68,04-,K9660,63,2.0,06,06,,,1,7,n,.,0330,89,9,4,2,6.3,1,1,K0610,64,68,06,7,221,97,,,,4TEATS,,,GXE,J,3,0330,,0,0,0,1,1,1.0,40,1,32,181,1,1999-03-30,0.045
99LA00087,99,S4443,10,12,89,S8575,10,5.0,43,43,,,1,0,n,C,0329,88,8,4,1,12.3,1,1,S9987,10,12,43,,0,,,,ABS.L.FLANK,,,,,J,1,1815,,1,1,2,1,1,1.0,79,1,68,181,1,1999-03-29,0.014
99LA00088,99,S4443,10,12,89,S8575,10,5.0,43,43,,,1,0,n,C,0329,88,8,4,2,10.8,1,1,S9988,10,12,43,,0,,,,,4TEATS,,,,J,2,1815,,0,0,0,1,1,1.0,71,1,66,181,1,1999-03-29,0.014
99LA00089,99,S5900,10,11,12,S7874,10,4.0,07,07,,,1,0,n,R,0330,89,9,3,3,8.4,1,1,S9991,10,11,07,3,91,93,,8,,,,,,J,2,0500,,0,0,0,1,0,0.0,0,,0,0,,1999-03-30,0.071
99LA00090,99,S5900,10,11,12,S7874,10,4.0,07,07,,,1,0,n,R,0330,89,9,3,1,7.4,1,1,S9992,10,11,07,,0,,,,,PNEU,,71,,J,3,0500,,0,0,0,1,1,1.0,71,1,61,181,1,1999-03-30,0.071
99LA00091,99,S5900,10,11,12,S7874,10,4.0,07,07,,,1,0,n,R,0330,89,9,3,2,7.9,1,1,S9990,10,11,07,6,99,19,,,,PNEU,,71,,J,1,0500,,1,1,3,1,0,0.0,0,,0,0,,1999-03-30,0.071
99LA00092,99,S6325,10,12,90,S8595,10,4.0,07,43,,,1,0,n,C,0329,88,8,4,2,11.0,1,1,S9983,10,12,07,,0,,,,,,,,,J,1,1155,,1,1,2,1,1,1.0,76,1,64,181,1,1999-03-29,0.036
99LA00093,99,S6325,10,12,90,S8595,10,4.0,07,43,,,1,0,n,C,0329,88,8,4,2,11.2,1,1,S9984,10,12,07,7,180,97,,,,,,,,J,2,1155,,0,0,0,1,0,0.0,0,,0,0,1,1999-03-29,0.036
99LA00094,99,S6587,10,12,87,S8268,10,3.0,07,43,,,1,0,y,C,0329,88,5,4,3,12.5,1,1,S9989,10,12,07,,0,,,,,,,,,J,1,1940,,1,1,1,1,1,1.0,90,1,83,181,1,1999-03-29,0.015
99LA00095,99,S6203,10,11,12,S7874,10,4.0,07,07,,,1,0,y,R,0329,88,8,4,3,10.3,1,1,S9982,10,11,07,,0,,,,,,,,,J,2,1137,,0,0,0,1,1,1.0,82,1,73,181,1,1999-03-29,0.064
99LA00096,99,S6203,10,11,12,S7874,10,4.0,07,07,,,1,0,y,R,0329,88,8,4,3,10.6,1,1,S9981,10,11,07,,0,,,,,PNEU,,71,,J,1,1137,,1,1,2,1,1,1.0,66,1,52,181,1,1999-03-29,0.064
99LA00097,99,S6944,10,11,11,S8224,10,3.0,07,07,,,1,0,y,R,0329,88,8,3,2,10.7,1,1,S9986,10,11,07,,0,,,,,,,,,J,2,1745,,0,0,0,1,1,1.0,78,1,57,181,1,1999-03-29,0.084
99LA00098,99,S6944,10,11,11,S8224,10,3.0,07,07,,,1,0,y,R,0329,88,8,3,2,8.5,1,1,S9985,10,11,07,,0,,,,,,,,,J,1,1745,,1,1,2,1,1,1.0,73,1,64,181,1,1999-03-29,0.084
99LA00099,99,T3808,44,48,41T,T6440,44,6.0,02,02,,,1,I,n,I,0330,89,5,3,3,8.2,1,1,T7017,44,ID,02,3,93,93,,8,"X,LUNGER,OPP","WEAK,FX.RIBS",,,,J,1,0500,,1,1,1,1,0,0.0,0,,0,0,,1999-03-30,0.003
99LA00100,99,T5928,44,ID,43T,00064,00,2.0,02,02,,,1,I,n,I,0329,88,8,3,1,10.5,1,1,T7016,44,ID,02,,0,,Z4664,-,,,,,,J,2,1745,,0,0,0,1,1,0.5,102,0,83,181,1,1999-03-29,0.0
99LA00101,99,T5928,44,ID,43T,00064,00,2.0,02,02,,,1,I,n,I,0329,88,8,3,1,10.7,1,1,T7015,44,ID,02,,0,,,,,,,,,J,1,1745,,1,1,2,1,1,1.0,87,1,83,181,1,1999-03-29,0.0
99LA00102,99,Z4116,81,ch,56,K9302,63,2.0,31,05,NN,CN,1,2,y,H,0330,89,8,3,3,9.1,1,1,Z5383,81,00,00,,0,,,,,,,,,J,2,0215,,0,0,0,1,1,1.0,77,1,70,181,1,1999-03-30,0.005
99LA00103,99,Z4116,81,ch,56,K9302,63,2.0,31,05,NN,CN,1,2,y,H,0330,89,8,3,2,9.1,1,1,Z5382,81,00,00,,0,,,,,,,,,J,1,0215,,1,1,2,1,1,1.0,79,1,67,181,1,1999-03-30,0.005
99LA00104,99,Z4697,81,ch,e11,K9320,63,1.0,34,05,NN,CC,5,2,y,H,0329,88,5,2,2,12.4,1,1,Z5381,81,00,00,,0,,,,,,,,,J,1,1815,,1,1,1,1,1,1.0,99,1,84,181,1,1999-03-29,0.0
