UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00757,58,2,4113,2,36,360,1899,14,2,26,1,4,,1,07,,1,93,8,,0,1,,,23,,,,,4,14,2377,2,14,69,36,1,1,,7.6,,,,,2,1,1,2,1,10,1958-04-03
58LA00758,58,1,4268,2,53,530,1933,14,2,19,1,4,,1,07,,1,97,5,,0,4,,,11,,,,1,4,14,1857,2,14,92,53,1,1,,11.8,,,0,,1,1,1,1,1,10,1958-04-07
58LA00759,58,,,,44,441,1935,14,2,18,1,4,,,07,,,98,2,,0,0,,,11,,,,1,4,14,2953,2,14,,44,1,1,,0.0,,0,0,13,1,1,1,2,0,0,1958-04-08
58LA00760,58,,,,44,441,1935,14,2,18,1,4,,,07,,,98,2,,0,0,,,11,,,,,4,14,2953,2,14,,44,1,,,0.0,,0,,13,2,1,1,2,0,0,1958-04-08
58LA00761,58,1,4188,2,49,491,1942,14,2,23,1,4,,1,07,,2,94,7,,0,3,,,16,,,,5,4,14,3080,2,14,63,49,1,,,6.2,,,0,79,1,1,1,2,1,10,1958-04-04
58LA00762,58,2,,,49,491,1942,14,2,23,1,4,,1,07,,2,94,7,,0,3,,,16,,,,,4,14,3080,2,14,,49,1,,,5.0,,1,,79,2,1,1,2,0,0,1958-04-04
58LA00763,58,2,4582,2,49,490,1943,14,2,15,1,4,,1,07,,1,112,5,,230,4,,,16,,,,4,4,14,3125,2,14,,49,1,,,9.8,,7,,,1,1,1,1,1,0,1958-04-22
58LA00764,58,2,4054,2,49,491,1945,14,2,22,1,4,,1,07,,1,91,6,,93,4,,,14,,,,3,4,14,3080,2,14,,49,1,3,,5.0,,6,1,,1,1,1,2,1,0,1958-04-01
58LA00765,58,2,,,49,491,1945,14,2,22,1,4,,1,07,,1,91,6,,0,4,,,14,,,,,4,14,3080,2,14,,49,1,,,3.4,,0,,,2,1,1,2,0,0,1958-04-01
58LA00766,58,2,4222,2,25,250,1947,14,2,16,1,4,,1,07,,1,96,5,,0,3,,,00,,,,,4,14,2930,2,14,93,25,1,1,,10.2,,,,,1,1,1,1,1,10,1958-04-06
58LA00767,58,,,,29,290,1949,14,2,14,1,4,,,07,1,,121,-,,0,,,,00,,,,4,4,14,3799,2,14,,29,1,,,0.0,,,,,1,1,0,0,0,0,1958-05-01
58LA00768,58,1,2217,5,00,290,1949,14,2,,1,4,,1,04,2,1,130,5,,0,4,,,00,,,,,4,48,0000,,61,80,29,0,4,,11.8,,,,,1,1,1,1,1,10,1958-05-10
58LA00769,58,2,,,22,220,1955,13,2,47,1,7,,1,07,,1,104,0,,0,3,,,30,9483,17,+,,4,14,3302,2,14,,22,1,,,0.0,,0,,,1,1,1,1,0,0,1958-04-14
58LA00770,58,2,4059,2,22,220,1967,13,2,30,1,7,,1,07,,1,91,8,,0,4,,,20,,,,,4,14,3302,2,14,54,22,1,1,,7.8,,,,,1,1,1,2,1,10,1958-04-01
58LA00771,58,1,4297,2,47,470,1967,14,2,45,1,4,,1,07,,1,98,7,,100,3,,,26,,,,,4,14,0603,2,14,,47,1,5,,7.8,-,6,0,20,1,1,1,2,1,0,1958-04-08
58LA00772,58,1,4060,2,22,220,1967,13,2,30,1,7,,1,07,,1,91,8,,0,4,,,20,,,,5,4,14,3302,2,14,57,22,1,1,,10.0,,,,,2,1,1,2,1,10,1958-04-01
