UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
87LA00001,1987-04-12,1,K2912,63,,00,,00000,00,,,,1,1,00,3,1,102,5,,0,3,,,00,995662,-,00000,00,0,68,,0,1,,0,0,10.3,5,,,,87
87LA00002,1987-05-04,2,X5500,80,,00,,00000,00,,,,1,1,00,3,1,124,5,,0,2,,,00,493243,-,00000,00,0,57,,0,1,,0,0,9.5,5,,,,87
87LA00003,1987-04-15,2,T8662,43,,00,,00000,00,,,,1,1,00,3,1,105,5,,0,2,,,00,766443,-,00000,00,0,77,,0,1,,0,0,10.8,5,,,,87
87LA00004,1987-04-09,3,X3980,80,,00,,00000,00,,,,,1,00,3,1,99,8,,99,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,10.0,0,,,,87
87LA00005,1987-04-01,2,X3601,80,,00,,00000,00,,,,1,1,00,3,1,91,5,,0,0,,,00,507102,-,00000,00,0,24,,0,1,,0,0,10.6,5,,,,87
87LA00006,1987-05-03,2,X5496,80,,00,,00000,00,,,,1,1,00,3,1,123,5,,0,2,,,00,116080,-,00000,00,0,80,,0,1,,0,0,10.6,5,,,,87
87LA00007,1987-04-19,2,X4813,80,,00,,00000,00,,,,1,1,00,3,1,109,5,,0,0,,,00,,&,00000,00,0,50,,0,1,,0,0,10.5,5,,,,87
87LA00008,1987-04-09,2,X3981,80,,00,,00000,00,,,,1,1,00,3,1,99,8,,0,0,,,00,,&,00000,00,0,50,,0,1,,0,0,9.4,5,,,,87
87LA00009,1987-04-01,3,X3600,80,,00,,00000,00,,,,,1,00,3,1,91,5,,91,0,,3,00,,&,00000,00,0,0,,0,1,93,0,0,9.5,0,,,,87
87LA00010,1987-03-06,2,X3456,80,,00,,00000,00,,,,1,5,00,3,1,65,5,,0,2,,,00,127163,-,00000,00,0,83,,0,1,,0,0,12.0,5,,,,87
87LA00011,1987-04-12,2,X4209,80,1,44,004,P5768,01,,,00,1,1,52,,1,102,8,,0,1,04,,02,,,M6008,95,1,79,49,8,1,,1,2,8.7,10,,,1,87
87LA00012,1987-04-12,2,X4210,80,,44,004,P5768,01,,,00,1,1,52,,1,102,8,,0,1,,,02,,&,M6008,95,0,51,49,8,1,,0,0,8.5,5,,,2,87
87LA00013,1987-03-28,2,L0545,03,1,71,712,P5906,01,,,00,,1,30,,1,87,5,,98,2,38,6,30,,,Y9602,02,1,0,71,6,1,80,1,1,9.5,0,,,1,87
87LA00014,1987-01-10,2,X3316,80,1,00,,P5951,01,,,00,,1,00,3,1,10,5,,10,0,,3,30,,,00000,00,1,0,00,0,1,93,1,1,8.8,0,,,1,87
87LA00015,1987-04-07,1,L0885,03,1,70,702,P7038,01,,,90,1,1,30,,1,97,8,,0,2,02,,30,,,Y8076,02,1,75,70,2,1,,1,2,13.1,10,90,,1,87
87LA00016,1987-04-07,1,L0886,03,,70,702,P7038,01,,,90,,1,30,,3,97,8,,98,2,,3,30,,&,Y8076,02,0,0,70,2,1,93,0,0,9.4,0,,,2,87
