UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
02LA00001,02, 8384,00,68,09,K1553,64,4.0,4,06,06,,,1,7,n,G,0326,85,9,2,1,7.6,1,1,,,68,06,1,,44,,,,,,,.,J,2,....,,0,0,,0,,,,0,0.0,0,,2002-03-26,0.018
02LA00002,02, 8384,00,68,09,K1553,64,4.0,4,06,06,,,1,7,n,G,0326,85,9,2,1,7.8,1,1,,,68,06,1,,44,,,,,,,.,J,3,....,,0,0,,0,,,,0,0.0,0,,2002-03-26,0.018
02LA00003,02, 8384,00,68,09,K1553,64,4.0,4,06,06,,,1,7,n,G,0326,85,9,2,2,7.8,1,1,K2072,64,68,06,3,87,93,,8,PREG.TOXEMIA,,,,.,J,1,....,,1,1,3,1,,,,0,0.0,0,9,2002-03-26,0.018
02LA00004,02,A8186,04,82,e11,A4142,04,1.0,1,30,71,,,4,0,y,F,0323,82,0,0,,0.0,,,,,00,72,0,,27,,,VAG.PROLAPSE,,,,.,J,1,....,,1,1,1,0,,,,0,0.0,0,,2002-03-23,0.0
02LA00005,02,A8306,04,84,e62,A6761,04,1.0,1,30,30,,,4,0,n,N,0305,64,0,0,,0.0,,,,,84,30,0,,27,,,,,,,.,J,1,....,,1,1,1,0,,,,0,0.0,0,,2002-03-05,0.11
02LA00006,02,A8323,04,82,e12,A4203,04,1.0,1,30,71,,,4,0,y,F,0315,74,0,0,,0.0,,,,,00,72,0,,27,,,,,,,.,J,1,....,,1,1,1,0,,,,0,0.0,0,,2002-03-15,0.0
02LA00007,02,A8230,04,00,e64,A6563,04,1.0,1,72,30,,,4,0,y,F,0325,84,8,3,3,8.3,1,1,A8895,04,00,73,6,134,01,,,,,,,.,J,2,....,,0,0,,1,,,,0,0.0,0,1,2002-03-25,0.067
02LA00008,02,A8230,04,00,e64,A6563,04,1.0,1,72,30,,,4,0,y,F,0325,84,8,3,2,6.8,1,1,A8894,04,00,73,,,,,,NICE,,,,.,J,1,....,,1,1,2,1,1,1.0,74,1,57.0,178,1,2002-03-25,0.067
02LA00009,02,A8716,04,83,e13,Z6925,81,1.0,1,30,80,,,4,0,y,B,0316,75,0,0,,0.0,,,,,00,80,0,,27,,,,,,,.,J,1,....,,1,1,1,0,,,,0,0.0,0,,2002-03-16,0.0
02LA00010,02,A8782,04,81,e13,Z6925,81,1.0,1,30,80,,,4,0,y,B,0313,72,0,0,,0.0,,,,,00,80,0,,27,,,,,,,.,J,1,....,,1,1,1,0,,,,0,0.0,0,,2002-03-13,0.0
02LA00011,02,A7425,04,81,03,A7355,04,2.0,2,30,30,,,2,0,n,M,0318,77,2,0,,0.0,,,,,81,30,0,,27,,,BRITCHY,,,,.,M,1,....,,1,1,2,0,,,,0,0.0,0,,2002-03-18,0.094
02LA00012,02,A7425,04,81,03,A7355,04,2.0,2,30,30,,,2,0,n,M,0318,77,2,0,,0.0,,,,,81,30,0,,27,,,NOT A7245,,,,.,M,2,....,,0,0,,0,,,,0,0.0,0,,2002-03-18,0.094
02LA00013,02,K1121,64,68,05,K0905,64,2.0,2,06,06,,,1,7,n,G,0326,85,2,0,,0.0,,,,,68,06,0,,27,,,"GOK,ABORTED",,,,.,J,1,....,,1,1,2,0,,,,0,0.0,0,,2002-03-26,0.002
02LA00014,02,K1121,64,68,05,K0905,64,2.0,2,06,06,,,1,7,n,G,0326,85,2,0,,0.0,,,,,68,06,0,,27,,,,,,,.,J,2,....,,0,0,,0,,,,0,0.0,0,,2002-03-26,0.002
02LA00015,02,K1472,64,00,51,K0269,64,2.0,2,05,05,CC,CC,1,0,y,H,0314,73,2,0,,0.0,,,,,00,05,0,,27,,,,,,,.,J,1,....,,1,1,2,0,,,,0,0.0,0,,2002-03-14,0.014
02LA00016,02,K1472,64,00,51,K0269,64,2.0,2,05,05,CC,CC,1,0,y,H,0314,73,2,0,,0.0,,,,,00,05,0,,27,,,,,,,.,J,2,....,,0,0,,0,,,,0,0.0,0,,2002-03-14,0.014
02LA00017,02,K0307,64,60,08,K1403,64,4.0,4,06,06,,,1,7,n,G,0324,83,7,3,1,8.6,1,1,,,68,06,1,,44,K2066,+,,,,,.,J,2,....,,0,0,,0,,0.5,,0,0.0,0,,2002-03-24,0.055
02LA00018,02,K0307,64,60,08,K1403,64,4.0,4,06,06,,,1,7,n,G,0324,83,7,3,1,8.8,1,1,K2061,64,68,06,6,83,67,K2065,+,,WEAK,,,.,J,1,....,,1,1,2,1,,0.5,,0,0.0,0,1,2002-03-24,0.055
02LA00019,02,K0724,64,68,04,K1450,64,3.0,3,06,06,,,1,7,n,G,0325,84,8,3,1,12.8,1,1,K2067,64,68,06,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,94,1,79.5,178,1,2002-03-25,0.017
02LA00020,02,K0724,64,68,04,K1450,64,3.0,3,06,06,,,1,7,n,G,0325,84,8,3,2,13.7,1,1,K2068,64,68,06,,,,,,,,,,.,J,2,....,,0,0,,1,1,1.0,94,1,81.0,178,1,2002-03-25,0.017
02LA00021,02,K2025,64,68,e10,K1098,64,1.0,1,06,05,NN,CC,4,7,y,H,0320,79,2,0,,0.0,,,,,00,05,0,,27,,,,,,,.,J,1,....,,1,1,2,0,,,,0,0.0,0,,2002-03-20,0.003
02LA00022,02,K2025,64,68,e10,K1098,64,1.0,1,06,05,NN,CC,4,7,y,H,0320,79,2,0,,0.0,,,,,00,05,0,,27,,,,,,,.,J,2,....,,0,0,,0,,,,0,0.0,0,,2002-03-20,0.003
