UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
59LA00044,59,2,2271,0,69,420,1751,10,0,,1,5,,1,07,,1,98,5,,0,3,,,,,,,,0,10,0121,1,91,79,69,4,,,13.4,,,,&,1,1,1,1,1,10,1959-04-08
59LA00045,59,,,0,69,610,1757,10,0,,1,5,,,07,1,,147,-,,0,,,,,,,,,0,10,5038,1,11,,69,5,,,0.0,,,,,1,1,0,0,0,0,1959-05-27
59LA00046,59,2,2323,5,00,610,1757,10,0,,1,5,,1,04,2,1,147,8,,0,4,,,,,,,,0,48,0000,,61,68,69,0,,,11.6,,,,&,1,1,1,2,1,10,1959-05-27
59LA00047,59,2,2324,5,00,610,1757,10,0,,1,5,,1,04,2,1,147,8,,0,4,,,,,,,,0,48,0000,,61,44,69,0,,,9.4,,,,&,2,1,1,2,1,10,1959-05-27
59LA00048,59,2,2304,0,69,640,1758,10,0,,1,5,,1,07,,1,102,8,,0,4,,,,,,,,0,10,3136,2,14,74,69,5,,,9.6,,,,&,1,1,1,2,1,10,1959-04-12
59LA00049,59,1,2305,0,69,640,1758,10,0,,1,5,,1,07,,1,102,8,,0,4,,,,,,,,0,10,3136,2,14,77,69,5,,,10.2,,,,&,2,1,1,2,1,10,1959-04-12
59LA00050,59,2,2219,0,69,690,1759,10,0,,1,5,,1,07,,1,88,8,,0,3,,,,,,,,0,10,2933,2,14,85,69,5,,,10.2,,,,&,1,1,1,2,1,10,1959-03-29
59LA00051,59,1,2220,0,69,690,1759,10,0,,1,5,,1,07,,1,88,8,,0,3,,,,,,,,0,10,2933,2,14,85,69,5,,,10.0,,,,&,2,1,1,2,1,10,1959-03-29
59LA00052,59,1,2292,0,69,498,1760,10,0,,1,5,,1,07,,1,101,8,,0,5,,,,,,,,0,10,3253,2,14,69,69,4,,,10.0,,,,&,1,1,1,2,1,10,1959-04-11
59LA00053,59,2,2293,0,69,498,1760,10,0,,1,5,,1,07,,1,101,8,,0,5,,,,,,,,0,10,3253,2,14,72,69,4,,,8.6,,,,&,2,1,1,2,1,10,1959-04-11
