UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
97LA00409,97,A2961,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0404,94,8,3,3,10.8,1,1,A4013,04,88,30,,0,,,,NICE,,,,,Y,1,,1,1,2,1,1,1.0,74,1,65,177,1,1997-04-04,0.067
97LA00410,97,A2961,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0404,94,8,3,3,9.8,1,1,A4014,04,88,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,77,1,61,177,1,1997-04-04,0.067
97LA00411,97,A2969,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0413,103,8,2,3,8.1,1,1,A4107,04,88,30,,0,,,,,ENTR,,,,Y,1,,1,1,2,1,1,1.0,53,1,44,177,1,1997-04-13,0.063
97LA00412,97,A2969,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0413,103,8,2,2,9.0,1,1,A4108,04,88,30,,0,,,,,4TEATS,,,,Y,2,,0,0,0,1,1,1.0,70,1,52,177,1,1997-04-13,0.063
97LA00413,97,A2970,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0412,102,8,2,2,9.0,1,1,A4069,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,72,1,54,177,1,1997-04-12,0.053
97LA00414,97,A2970,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0412,102,8,2,3,8.8,1,1,A4070,04,88,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,74,1,55,177,1,1997-04-12,0.053
97LA00415,97,A2986,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0415,105,8,2,2,6.9,1,1,A4227,04,88,30,,0,,,,,4TEATS,,,,Y,1,,1,1,2,1,1,1.0,70,1,48,177,1,1997-04-15,0.053
97LA00416,97,A2986,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0415,105,8,2,3,8.0,1,1,A4228,04,88,30,,0,,,,,4TEATS,,,,Y,2,,0,0,0,1,1,1.0,70,1,57,177,1,1997-04-15,0.053
97LA00417,97,A3000,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0402,92,8,3,2,9.0,1,1,A3999,04,88,30,,0,,,,BLUEBAG 06/26,,,,,J,1,,1,1,2,1,1,1.0,71,1,55,177,1,1997-04-02,0.053
97LA00418,97,A3000,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0402,92,8,3,3,9.1,1,1,A4000,04,88,30,6,160,23,,,,,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-02,0.053
97LA00419,97,A3002,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0417,107,8,3,2,9.1,1,1,A4303,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,63,1,44,178,2,1997-04-17,0.053
97LA00420,97,A3002,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0417,107,8,3,3,9.2,1,1,A4304,04,88,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,69,1,50,178,2,1997-04-17,0.053
97LA00421,97,A3014,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0406,96,8,1,2,8.5,1,1,A4031,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,69,1,52,178,2,1997-04-06,0.071
97LA00422,97,A3014,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0406,96,8,1,2,8.2,1,1,A4032,04,88,30,,0,,,,,4TEATS,,,,J,2,,0,0,0,1,1,1.0,59,1,48,178,2,1997-04-06,0.071
97LA00423,97,A3035,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0403,93,5,2,3,8.4,1,1,A4007,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,82,1,60,177,1,1997-04-03,0.064
97LA00424,97,A3053,04,ch,j.8,T4345,44,1.0,30,01,L,2,n,h,0412,102,8,2,1,10.0,1,1,Z4009,81,ch,31,,0,,S601910,-,,,,,,J,1,,1,1,2,1,1,0.5,71,0,67,177,1,1997-04-12,0.001
97LA00425,97,A3053,04,ch,j.8,T4345,44,1.0,30,01,L,2,n,h,0412,102,8,2,2,9.5,1,1,Z4010,81,ch,31,,0,,,,,ENTR,,,,J,2,,0,0,0,1,1,1.0,91,1,58,178,4,1997-04-12,0.001
97LA00426,97,A3082,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0416,106,5,1,3,6.9,1,1,A4276,04,88,30,,0,,,9,,UGLY,,,,Y,1,,1,1,1,1,1,1.0,78,1,52,178,2,1997-04-16,0.064
97LA00427,97,A3093,04,ch,j.8,T4345,44,1.0,31,01,L,2,n,h,0410,100,5,3,1,11.9,1,3,Z3974,81,ch,00,,0,,,,,HAIRY,,,,Y,1,,1,1,1,1,1,1.0,98,1,75,178,4,1997-04-10,0.011
97LA00428,97,A3102,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0410,100,9,1,2,6.2,1,1,A4054,04,88,30,,0,,,,,,,,,J,1,,1,1,3,1,1,1.0,73,1,51,178,2,1997-04-10,0.08
97LA00429,97,A3102,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0410,100,9,1,3,6.7,1,1,A4055,04,88,30,3,100,93,,8,,,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-10,0.08
97LA00430,97,A3102,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0410,100,9,1,3,6.3,1,1,A4056,04,88,30,3,100,93,,8,,,,,,J,3,,0,0,0,1,0,0.0,0,,0,0,,1997-04-10,0.08
