UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
79LA00001,,,,01,1,71,711,P0645,01,30,,,,80,0,,30,,,,,,0,,,,,,,,P7229,01,0,0,71,,0,,0,0,,0,,,1,79
79LA00002,1979-04-05,2,P8631,01,1,70,702,P1339,01,30,,1,,70,0,1,30,,1,95,8,,0,3,,,,,,,P5735,01,1,75,70,,1,,1,2,103,10,,,1,79
79LA00003,1979-04-05,2,P8632,01,,70,702,P1339,01,30,,1,,70,0,1,30,,1,95,8,,0,3,,,,,,,P5735,01,0,71,70,,1,,0,0,99,10,,,2,79
79LA00004,1979-04-07,2,P8666,01,1,70,701,P1364,01,30,,1,,70,1,1,30,,1,97,8,,0,3,,,,,,,P5939,01,1,67,70,,1,,1,2,110,10,,,1,79
79LA00005,1979-04-07,2,P8667,01,,70,701,P1364,01,30,,1,,70,1,1,30,,1,97,8,,0,3,,,,,,,P5939,01,0,76,70,,1,,0,0,116,10,,,2,79
79LA00006,1979-04-15,2,P8808,01,1,71,712,P1381,01,30,,1,,70,0,1,30,,1,105,5,,0,3,,,,,,,P7137,01,1,75,71,,1,,1,1,92,10,,,1,79
79LA00007,1979-04-07,1,P8678,01,1,70,703,P1383,01,30,,1,,70,0,1,30,,1,97,8,,0,3,,,,,,,P5565,01,1,72,70,,1,,1,2,101,10,,,1,79
79LA00008,1979-04-07,1,P8679,01,,70,703,P1383,01,30,,1,,70,0,1,30,,1,97,8,,0,3,,,,,,,P5565,01,0,72,70,,1,,0,0,101,10,,,2,79
79LA00009,1979-04-12,2,P8782,01,1,70,702,P1384,01,30,,1,,70,0,1,30,,1,102,8,,0,3,,,,,,,P5735,01,1,65,70,,1,,1,2,113,10,,,1,79
79LA00010,1979-04-12,1,P8783,01,,70,702,P1384,01,30,,1,,70,0,1,30,,1,102,8,,0,3,,,,,,,P5735,01,0,64,70,,1,,0,0,128,10,,,2,79
79LA00011,1979-03-30,2,P8476,01,1,71,712,P1459,01,30,,1,,70,0,1,30,,1,89,8,,0,3,,,,,,,P7137,01,1,80,71,,1,,1,2,103,10,,,1,79
79LA00012,1979-03-30,2,P8477,01,,71,712,P1459,01,30,,1,,70,0,1,30,,1,89,8,,0,3,,,,,,,P7137,01,0,51,71,,1,,0,0,86,10,,,2,79
79LA00013,1979-04-08,1,P8699,01,1,70,701,P1498,01,30,,1,,70,0,1,30,,1,98,8,,0,4,,,,,,,P5939,01,1,54,70,,1,,1,2,90,10,,,1,79
79LA00014,1979-04-08,1,P8700,01,,70,701,P1498,01,30,,1,,70,0,1,30,,1,98,8,,0,4,,,,,,,P5939,01,0,49,70,,1,,0,0,114,10,,,2,79
79LA00015,,,,01,1,70,703,P1541,01,30,,,,70,0,,30,1,,,,,0,,,,,,,,P5565,01,1,0,70,,0,,0,0,,0,,,1,79
79LA00016,1979-05-16,2,X4851,79,1,00,703,P1541,01,30,,1,,70,0,5,80,2,1,136,8,,0,2,,,,,,,00000,97,1,80,70,0,1,,1,2,103,10,,,1,79
