UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DATE,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
57LA00001,57,2,1996,0,69,671,1638,10,0,,1,9,04,1,07,,1,404,94,5,,0,3,07,,,,,,,0,10,2504,2,14,82,68,5,1,,9.8,,,,,1,1,1,1,1,10,1957-04-04
57LA00002,57,,,,69,671,1643,10,0,,1,7,,,07,1,,525,145,-,,0,,,,,,,,,0,10,2504,2,14,,68,5,,,0.0,,,,,1,1,0,0,0,0,1957-05-25
57LA00003,57,1,2152,5,00,671,1643,10,0,,1,7,,1,04,2,1,525,145,8,,0,4,,,,,,,,0,48,0000,,61,58,68,0,9,,9.0,,,,,1,1,1,2,1,10,1957-05-25
57LA00004,57,1,2153,5,00,671,1643,10,0,,1,7,,1,04,2,1,525,145,8,,0,4,,,,,,,,0,48,0000,,61,58,68,0,9,,10.8,,,,,2,1,1,2,1,10,1957-05-25
57LA00005,57,2,2067,0,69,468,1644,10,0,,1,6,,1,07,,1,419,109,5,,0,4,,,,,,,,0,10,2583,2,14,83,68,4,5,,11.0,,,,,1,1,1,1,1,10,1957-04-19
57LA00006,57,,,,69,328,1645,10,0,,1,6,,,07,,,409,99,-,,0,,,,,,,,,0,10,4520,1,11,,68,4,,,0.0,,,,,1,1,0,0,0,0,1957-04-09
57LA00007,57,1,2016,0,69,681,1646,10,0,,1,6,,1,07,,2,407,97,5,,0,4,,,,,,,,0,10,2516,2,14,103,68,5,1,,14.6,,,,,1,1,1,1,1,10,1957-04-07
57LA00008,57,2,2063,0,69,469,1647,10,0,,1,6,,1,07,,1,419,109,8,,0,4,,,,,,,,0,10,1575,2,14,71,68,4,5,,11.0,,,,,1,1,1,2,1,10,1957-04-19
57LA00009,57,2,2064,0,69,469,1647,10,0,,1,6,,1,07,,1,419,109,8,,0,4,,,,,,,,0,10,1575,2,14,70,68,4,5,,10.8,,,,,2,1,1,2,1,10,1957-04-19
57LA00010,57,2,2058,0,69,518,1650,10,0,,1,5,,1,07,,1,417,107,5,,0,4,,,,,,,,0,10,1470,2,14,85,68,4,5,,11.0,,,,,1,1,1,1,1,10,1957-04-17
57LA00011,57,,,,69,479,1651,10,0,,1,5,,,07,1,,508,128,-,,0,,,,,,,,,0,10,2461,2,14,,68,4,,,0.0,,,,,1,1,0,0,0,0,1957-05-08
57LA00012,57,2,2103,5,00,479,1651,10,0,,1,5,,1,04,2,1,508,128,5,,0,5,,,,,,,,0,48,0000,,61,86,68,0,9,,11.8,,,,,1,1,1,1,1,10,1957-05-08
57LA00013,57,2,2021,0,69,691,1653,10,0,,1,5,,1,07,,1,408,98,5,,0,5,,,,,,,,0,10,2756,2,14,96,68,5,1,,12.6,,,,,1,1,1,1,1,10,1957-04-08
57LA00014,57,1,2014,0,69,691,1655,10,0,,1,5,,1,07,,1,407,97,8,,0,4,,,,,,,,0,10,2756,2,14,98,68,5,1,,12.6,,,,,1,1,1,2,1,10,1957-04-07
57LA00015,57,1,2015,0,69,691,1655,10,0,,1,5,,1,07,,1,407,97,8,,230,4,,,,,,,,0,10,2756,2,14,,68,5,1,,10.6,,7,,,2,1,1,2,1,0,1957-04-07
57LA00016,57,1,2029,0,69,671,1658,10,0,,1,5,,4,07,,1,409,99,5,,0,4,,,,,,,,0,10,2504,2,14,103,68,5,1,,13.4,,,,,1,1,1,1,1,10,1957-04-09
57LA00017,57,2,2023,0,69,551,1659,10,0,,1,5,,1,07,,1,409,99,8,,0,3,,,,,,,,0,10,4377,1,11,78,68,5,1,,9.8,,,,,1,1,1,2,1,10,1957-04-09
57LA00018,57,1,2024,0,69,551,1659,10,0,,1,5,,1,07,,1,409,99,8,,0,3,,,,,,,,0,10,4377,1,11,74,68,5,1,,9.8,,,,,2,1,1,2,1,10,1957-04-09
57LA00019,57,2,2044,0,69,581,1663,10,0,,1,5,,1,07,,1,413,103,8,,0,3,,,,,,,,0,10,4150,1,11,68,68,5,1,,10.2,,,,,1,1,1,2,1,10,1957-04-13
57LA00020,57,1,2045,0,69,581,1663,10,0,,1,5,,1,07,,1,413,103,8,,0,3,,,,,,,,0,10,4150,1,11,56,68,5,1,,11.4,,,,04,2,1,1,2,1,10,1957-04-13
57LA00021,57,2,2052,0,69,701,1666,10,0,,1,5,,1,07,,1,415,105,5,,0,3,,,,,,,,0,10,2724,2,14,88,68,5,5,,11.6,,,,,1,1,1,1,1,10,1957-04-15
57LA00022,57,2,2047,0,69,561,1668,10,0,,1,5,,1,07,,1,413,103,5,,0,4,,,,,,,,0,10,4409,1,11,89,68,5,1,,12.4,,,,,1,1,1,1,1,10,1957-04-13
