UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
80LA00001,1980-04-16,2,T3732,43,1,49,491,P3673,01,01,,1,,50,0,1,02,,1,107,8,,0,3,,,,,,,P6166,01,1,75,49,4,1,,1,2,115,10,,,1,80
80LA00002,1980-04-16,2,T3733,43,,49,491,P3673,01,01,,1,,50,0,1,02,,3,107,8,,0,3,,,,,,,P6166,01,0,71,49,4,1,,0,0,108,10,,,2,80
80LA00003,1980-04-14,1,T3632,43,1,49,491,P6025,01,01,,1,,30,0,1,02,,1,105,5,,0,3,,,,,,,P6166,01,1,72,49,4,1,,1,1,096,10,,,1,80
80LA00004,1980-02-27,2,X4946,79,1,00,,P0715,01,02,,1,,90,0,5,20,3,1,58,8,,0,4,,,,,&,,00000,97,1,59,,0,1,,1,2,110,5,,,1,80
80LA00005,1980-02-27,3,X4947,79,,00,,P0715,01,02,,1,,90,0,5,20,3,1,58,8,,0,4,,,,,,,00000,97,0,109,,0,1,,0,0,125,10,,,2,80
80LA00006,1980-04-15,2,T3701,43,1,49,491,P1405,01,02,,1,,80,0,1,02,,1,106,8,,0,3,,,,,,,P6166,01,1,61,49,4,1,,1,2,090,10,,,1,80
80LA00007,1980-04-15,1,T3702,43,,49,491,P1405,01,02,,1,,80,0,1,02,,1,106,8,,0,3,,,,,,,P6166,01,0,61,49,4,1,,0,0,103,10,,,2,80
80LA00008,1980-04-19,1,T3896,43,1,49,491,P1421,01,02,,1,,80,0,1,02,,1,110,8,,0,4,,,,,,,P6166,01,1,69,49,4,1,,1,2,130,10,,,1,80
80LA00009,1980-04-19,2,T3897,43,,49,491,P1421,01,02,,1,,80,0,1,02,,1,110,8,,0,4,,,,,,,P6166,01,0,66,49,4,1,,0,0,114,10,,,2,80
80LA00010,1980-04-27,2,T4050,43,1,49,492,P1448,01,02,,1,,80,0,1,02,,1,118,5,,0,4,,,,,,,P6423,01,1,83,49,4,1,,1,1,122,10,,,1,80
80LA00011,1980-04-18,2,T3810,43,1,49,492,P1523,01,02,,1,,80,0,1,02,,1,109,5,,0,4,,,,363443,+,,P6423,01,1,83,49,4,1,,1,1,135,15,,,1,80
80LA00012,1980-04-24,1,T4037,43,1,49,491,P1527,01,02,,1,,80,0,1,02,,1,115,5,,0,4,,,,,,,P6166,01,1,72,49,4,1,,1,1,122,10,,,1,80
80LA00013,,,,43,1,49,492,P1571,01,02,,,,80,0,,02,,,,,,0,,,,,,,,P6423,01,0,0,49,4,0,,0,0,,0,,,1,80
80LA00014,1980-04-19,1,T3899,43,1,49,493,P1576,01,02,,1,,80,0,1,02,,1,110,9,,0,1,,,,,&,,P6871,01,1,56,49,4,1,,1,3,084,5,,,1,80
80LA00015,1980-04-19,2,T3900,43,,49,493,P1576,01,02,,1,,80,0,1,02,,1,110,9,,0,1,,,,,&,,P6871,01,0,57,49,4,1,,0,0,090,5,,,2,80
80LA00016,1980-04-19,2,T3901,43,,49,493,P1576,01,02,,1,,80,0,1,02,,1,110,9,,0,1,,,,,,,P6871,01,0,80,49,4,1,,0,0,094,10,,,3,80
