id10,brd,sex
US45102525,10,1
2008117353,11,1
US45102518,10,1
US82105188,10,1
US64104767,10,1
US00107570,10,1
US45102471,10,1
US64105336,10,1
US82108071,10,1
US82103838,10,1
US82108110,10,1
2009700018,70,1
US82108116,10,1
US45102636,10,1
2008000082,00,1
US82107881,10,1
US82103846,10,1
US82105010,10,1
US82103802,10,1
US82107358,10,1
US82105089,10,1
US82105223,10,1
US64107977,10,1
US82104664,10,1
US82101087,10,1
US05104204,10,1
US82104834,10,1
US64108274,10,1
US64107482,10,1
US82108195,10,1
US82107968,10,1
US82107942,10,1
US82104599,10,1
US82105214,10,1
US82108048,10,1
US82107536,10,1
US82104627,10,1
US82104884,10,1
US82105043,10,1
US45102570,10,1
US64108129,10,1
US82102898,10,1
US82107925,10,1
US82104336,10,1
US11108039,10,1
US82108127,10,1
US82108173,10,1
US82101919,10,1
US45102746,10,1
US82101895,10,1
US82107962,10,1
2010453164,45,1
US82105027,10,1
US82104911,10,1
US64107572,10,1
US82107589,10,1
US82101541,10,1
2008117365,11,1
US64107909,10,1
US82106468,10,1
US64105045,10,1
US82105085,10,1
US05100834,10,1
US82104376,10,1
US82107714,10,1
US82100846,10,1
US82105355,10,1
US82105496,10,1
US82105964,10,1
2009452451,45,1
2009452482,45,1
US45102375,10,1
US05104494,10,1
US82102332,10,1
US45102533,10,1
US45102700,10,1
US45102694,10,1
US82105493,10,1
US45102567,10,1
US64108063,10,1
US82108076,10,1
US82107775,10,1
US64107774,10,1
US82107836,10,1
US82107646,10,1
US82106073,10,1
US82107575,10,1
US45102515,10,1
US11107944,10,1
US82102002,10,1
US82101056,10,1
US82108176,10,1
US45102697,10,1
US82105186,10,1
US82108172,10,1
US82107558,10,1
US82104993,10,1
US82105215,10,1
US45102768,10,1
US82106753,10,1
US82102297,10,1
US45102388,10,1
US45102685,10,1
2008000333,00,1
US64107683,10,1
US82101305,10,1
US82108091,10,1
US45102397,10,1
US82103414,10,1
US45101608,10,1
US45102787,10,1
US82106020,10,1
US45102437,10,1
US64105047,10,1
US64108034,10,1
US82107865,10,1
US82108049,10,1
US11107742,10,1
US64108205,10,1
US82108177,10,1
US82106288,10,1
US45102594,10,1
US64105305,10,1
US82114699,11,1
US82106300,10,1
US82102137,10,1
US45102667,10,1
US00107601,10,1
US00107998,10,1
US82102065,10,1
US82101592,10,1
US82109291,10,1
US82103956,10,1
US45102504,10,1
US82101943,10,1
US82106214,10,1
US82106620,10,1
US82107622,10,1
US82103280,10,1
US82107805,10,1
US82106843,10,1
US45102684,10,1
US82106629,10,1
US45102467,10,1
US82108056,10,1
US45102345,10,1
US45102655,10,1
US82107804,10,1
US82106667,10,1
US64107606,10,1
US82106614,10,1
US11107665,10,1
US45102060,10,1
US11101531,10,1
US82105926,10,1
US11103358,10,1
2008000075,00,1
US82101978,10,1
2007116633,11,1
US45102484,10,1
US82104809,10,1
US82101852,10,1
US82101258,10,1
US45102494,10,1
US82106537,10,1
US82106804,10,1
US82106752,10,1
US45102641,10,1
US82106570,10,1
US45102657,10,1
US64107508,10,1
US82104056,10,1
US82106675,10,1
US45102557,10,1
US82118204,11,1
US45102664,10,1
US82105809,10,1
US82107211,10,1
2008644306,64,1
US82106755,10,1
US82104396,10,1
US82107850,10,1
US00107535,10,1
US82103023,10,1
US82115244,11,1
US82103432,10,1
US82103104,10,1
US82101363,10,1
2007825391,82,1
US45102662,10,1
US45102682,10,1
US82104947,10,1
US82101313,10,1
US00107532,10,1
US82107973,10,1
US82106086,10,1
US82108007,10,1
US82106134,10,1
US82101869,10,1
US82107510,10,1
US82106669,10,1
US82103897,10,1
US82105319,10,1
US64107759,10,1
US82102151,10,1
US64105080,10,1
US45102763,10,1
US45102378,10,1
US82102119,10,1
US82100134,10,1
US45102835,10,1
US64104600,10,1
US82106137,10,1
2009644438,64,1
US82105470,10,1
US82106524,10,1
US82107607,10,1
US64107971,10,1
US82103469,10,1
US45102560,10,1
US82103361,10,1
US45102542,10,1
US82104955,10,1
US82104062,10,1
US82103210,10,1
2009117710,11,1
US82104299,10,1
US82107835,10,1
US00107555,10,1
US82105790,10,1
US82107637,10,1
US45102778,10,1
US82102192,10,1
US64104774,10,1
US82104453,10,1
US82107634,10,1
US82102429,10,1
US82107136,10,1
US82103239,10,1
US45102353,10,1
US64107622,10,1
US64108040,10,1
US45102497,10,1
US82107588,10,1
US45102441,10,1
US64105413,10,1
US45102489,10,1
US82106835,10,1
US64105468,10,1
US45102677,10,1
US45102439,10,1
US82107523,10,1
US45102553,10,1
US82103849,10,1
US82107248,10,1
US00107599,10,1
US00107554,10,1
US00107247,10,1
US82106569,10,1
US45102598,10,1
US82106564,10,1
US82106490,10,1
US82106305,10,1
US82106720,10,1
US82106819,10,1
US82105789,10,1
US82106355,10,1
US00107525,10,1
US82106833,10,1
US82106474,10,1
US45102359,10,1
US82104567,10,1
