id10,brd
2000000738,00
2001112227,11
2001112357,11
2001112541,11
2001112612,11
2001112689,11
2001112771,11
2001112894,11
2001448406,44
2002049034,04
2002049458,04
2002049511,04
2002049545,04
2002049715,04
2002113013,11
2002113030,11
2002113090,11
2002113112,11
2002113254,11
2002113271,11
2002113288,11
2002113338,11
2002113354,11
2002113358,11
2002113404,11
2002113409,11
2002113425,11
2002113432,11
2002113448,11
2002113472,11
2002113484,11
2002113535,11
2002113592,11
2002113671,11
2002113785,11
2002113794,11
2002113806,11
2002113820,11
2002113830,11
2002113850,11
2002113879,11
2002113886,11
2002113985,11
2002114006,11
2002448887,44
2002448938,44
2002449048,44
2002449126,44
2002449291,44
2002449325,44
2002642068,64
2002642333,64
2002642383,64
2002642385,64
2002642400,64
2002642480,64
2002817913,81
2002817959,81
2002818105,81
2003050419,05
2003050432,05
2003050484,05
2003050495,05
2003050601,05
2003050639,05
2003050640,05
2003050653,05
2003050671,05
2003050702,05
2003114060,11
2003114085,11
2003114099,11
2003114108,11
2003114132,11
2003114135,11
2003114155,11
2003114159,11
2003114181,11
2003303058,30
2003303083,30
2003303085,30
2003449459,44
2003449492,44
2003449506,44
2003449521,44
2003449557,44
2003449570,44
2003449587,44
2003449596,44
2003449601,44
2003449621,44
2003449638,44
2003449723,44
2003642778,64
2003642825,64
2003642857,64
2003642871,64
2003642878,64
2003642898,64
2003642915,64
2003642951,64
2003642989,64
2003818695,81
2003819000,81
2003819068,81
2003819093,81
2003819175,81
2003819417,81
2003819546,81
2003819611,81
2003819747,81
2003819924,81
2003820145,82
2003820266,82
2003820346,82
2003820512,82
2003820649,82
2003820660,82
2004050755,05
2004050762,05
2004050780,05
2004050834,05
2004050850,05
2004050871,05
2004050876,05
2004050892,05
2004050896,05
2004050951,05
2004050960,05
2004050987,05
2004050988,05
2004051006,05
2004051008,05
2004051044,05
2004051121,05
2004051123,05
2004051134,05
2004051160,05
2004051177,05
2004051193,05
2004051194,05
2004051223,05
2004051231,05
2004051240,05
2004051253,05
2004051261,05
2004051269,05
2004051303,05
2004051307,05
2004051312,05
2004051338,05
2004051341,05
2004051342,05
2004114259,11
2004114265,11
2004114269,11
2004114270,11
2004114276,11
2004114277,11
2004114283,11
2004114299,11
2004114303,11
2004114336,11
2004114353,11
2004114355,11
2004114361,11
2004114362,11
2004114367,11
2004114370,11
2004114383,11
2004114384,11
2004114385,11
2004114411,11
2004114412,11
2004114417,11
2004114418,11
2004114424,11
2004114427,11
2004114429,11
2004114434,11
2004114450,11
2004114462,11
2004114471,11
2004114475,11
2004114481,11
2004114484,11
2004114517,11
2004114519,11
2004114522,11
2004114533,11
2004114549,11
2004114555,11
2004114558,11
2004114559,11
2004114570,11
2004114571,11
2004114577,11
2004114588,11
2004114592,11
2004114594,11
2004114603,11
2004114605,11
2004114606,11
2004114612,11
2004114617,11
2004114620,11
2004114635,11
2004114653,11
2004114678,11
2004114684,11
2004114687,11
2004114691,11
2004114701,11
2004114713,11
2004114733,11
2004114742,11
2004114754,11
2004114769,11
2004114773,11
2004114779,11
2004114789,11
2004114793,11
2004114796,11
2004114812,11
2004114819,11
2004114823,11
2004114863,11
2004114885,11
2004114895,11
2004114904,11
2004114928,11
2004114946,11
2004114971,11
2004114990,11
2004115000,11
2004115007,11
2004115017,11
2004115036,11
2004115068,11
2004115094,11
2004115095,11
2004115109,11
2004115112,11
2004115135,11
2004115168,11
2004115170,11
2004115185,11
2004115192,11
2004115195,11
2004115222,11
2004449806,44
2004449812,44
2004449823,44
2004449826,44
2004449842,44
2004449898,44
2004449902,44
2004449903,44
2004449914,44
2004449918,44
2004449945,44
2004449949,44
2004449973,44
2004449988,44
2004450016,45
2004450035,45
2004450095,45
2004450098,45
2004450106,45
2004450134,45
2004450155,45
2004450194,45
2004450199,45
2004643013,64
2004643023,64
2004643029,64
2004643032,64
2004643035,64
2004643072,64
2004643074,64
