PREDICTEDID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT,CUT_NML,DAM,CAUSE,DAYDIS,DISP,INBRL,LAMB,LINE,SEX,SIRE,STM,TB,US,YR
2011454088,11LA02415,95,1,45,1,N,N,T1379,,,,0.039,T4088,,1,T2612,2,5,,11
2011500205,11LA02416,95,1,50,1,Y,Y,H5306,,,,0.000,Y0205,,3,K0000,0,5,US64115306,11
2011454089,11LA02417,95,1,45,1,Y,Y,T1961,,,,0.063,T4089,,3,T2648,2,5,,11
2011056859,11LA02418,95,1,05,1,Y,Y,H5004,,,,0.028,H6859,,2,H5136,30,8,,11
2011056860,11LA02419,95,1,05,2,Y,Y,H5004,23,104,6,0.028,H6860,,3,H5136,30,8,,11
2011830407,11LA02420,95,1,83,1,Y,Y,R7641,,,,0.000,Z0407,,3,20333,R3,8,,11
2011830408,11LA02421,95,1,83,2,Y,Y,R7641,,,,0.000,Z0408,,3,20333,R3,8,,11
D201125411,11LA02422,95,5,,1,Y,Y,H2541,44,95,1,0.000,,,2,X0000,,1,US82112541,11
2011118728,11LA02423,95,1,11,1,N,N,R4793,,,,0.046,R8728,,1,R7654,7,5,,11
2011644848,11LA02424,95,1,64,1,N,N,K3656,,,,0.011,K4848,,1,K4025,6,5,,11
2011118729,11LA02425,95,1,11,1,N,N,R5952,1,143,6,0.018,R8729,,2,R7710,7,8,,11
2011118730,11LA02426,95,1,11,2,N,N,R5952,,,,0.018,R8730,,2,R7710,7,8,,11
2011700516,11LA02427,95,5,70,1,Y,Y,L0125,,,,0.003,L0516,,3,L0011,PC,5,,11
2011118731,11LA02428,95,1,11,1,N,N,R4571,,,,0.000,R8731,,1,R8639,7,8,,11
2011118732,11LA02429,95,1,11,2,N,N,R4571,,,,0.000,R8732,,2,R8639,7,8,,11
2011056861,11LA02430,95,1,05,1,N,N,H3622,,,,0.000,H6861,,1,H6533,30,7,,11
D201136222,11LA02431,95,1,,2,N,N,H3622,44,95,1,0.000,,,2,H6533,,7,,11
2011056862,11LA02432,95,1,05,1,N,N,H3604,,,,0.000,H6862,,1,H6529,30,9,,11
2011056863,11LA02433,95,1,05,2,N,N,H3604,23,99,6,0.000,H6863,,2,H6529,30,9,,11
2011056864,11LA02434,95,1,05,3,N,N,H3604,14,106,6,0.000,H6864,,1,H6529,30,9,,11
2011056865,11LA02435,95,1,05,1,Y,Y,H5987,23,103,6,0.054,H6865,,2,H5285,30,6,,11
D201159872,11LA02436,95,1,,2,Y,Y,H5987,27,95,0,0.054,,,2,H5285,,6,,11
2011500206,11LA02437,95,3,50,1,Y,Y,X9231,,,,0.000,Y0206,,3,X0000,0,5,US82119231,11
2011700517,11LA02438,95,2,70,1,N,N,L0195,,,,0.010,L0517,,2,L0018,PC,5,,11
2011500207,11LA02439,95,5,50,1,Y,Y,X8946,,,,0.000,Y0207,,2,X0000,0,8,US82118946,11
2011500208,11LA02440,95,5,50,2,Y,Y,X8946,,,,0.000,Y0208,,3,X0000,0,8,US82118946,11
2011500209,11LA02441,95,2,50,1,Y,Y,X7711,,,,0.000,Y0209,,3,K0000,0,8,US64117711,11
2011500210,11LA02442,95,1,50,2,Y,Y,X7711,,,,0.000,Y0210,,2,K0000,0,8,US64117711,11
2011118733,11LA02443,95,1,11,1,N,N,R6991,,,,0.000,R8733,,1,R8641,7,8,,11
2011118734,11LA02444,95,1,11,2,N,N,R6991,,,,0.000,R8734,,2,R8641,7,8,,11
2011056866,11LA02445,95,1,05,1,Y,Y,H6419,,,,0.049,H6866,,3,H5183,30,5,,11
2011056867,11LA02446,95,1,05,1,N,N,H0653,1,143,6,0.092,H6867,,1,H4663,30,9,,11
2011056868,11LA02447,95,1,05,2,N,N,H0653,97,199,7,0.092,H6868,,1,H4663,30,9,,11
2011056869,11LA02448,95,1,05,3,N,N,H0653,23,101,6,0.092,H6869,,1,H4663,30,9,,11
2011830409,11LA02449,95,5,83,1,Y,Y,H2952,93,161,3,0.000,Z0409,,2,X0000,0,8,US82112952,11
2011830410,11LA02450,95,5,83,2,Y,Y,H2952,93,161,3,0.000,Z0410,,2,X0000,0,8,US82112952,11
