ID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT_NML,CAUSE,DAYDIS,DISP,INBRL,LINE,SEX,STM,TB,PREFERREDDAM,PREFERREDSIRE,YR
D201057031,10LA00003,11,,,1,Y,27,11,0,0.000,,2,,2,2008825703,US82105703,10
D201057032,10LA00004,11,,,2,Y,27,11,0,0.000,,1,,2,2008825703,US82105703,10
D201059561,10LA00005,1,,,1,Y,27,1,0,0.000,,2,,6,2008825956,US82105956,10
D201059562,10LA00006,1,,,2,Y,44,1,0,0.000,,2,,2,2008825956,US82105956,10
D201028942,10LA00013,11,,,2,Y,44,11,1,0.041,,1,,7,2001112894,US82102894,10
D201064691,10LA00021,15,,,1,Y,95,18,5,0.000,,1,,8,2008826469,US82106469,10
D201064692,10LA00022,15,,,2,Y,95,18,5,0.000,,1,,8,2008826469,US82106469,10
D201064261,10LA00023,15,,,1,Y,95,18,5,0.000,,2,,8,2008826426,US82106426,10
D201064262,10LA00024,15,5,,2,Y,95,18,5,0.000,,1,,8,2008826426,US82106426,10
D201058961,10LA00037,15,,,1,Y,95,18,5,0.000,,1,,8,2008825896,US82105896,10
D201058962,10LA00038,15,,,2,Y,95,18,5,0.000,,2,,8,2008825896,US82105896,10
D201064911,10LA00039,25,,,1,Y,27,25,0,0.000,,,,0,2008826491,US82106491,10
D201058002,10LA00043,26,5,,2,Y,44,26,1,0.000,,2,,7,2008825800,US82105800,10
D201058141,10LA00044,26,5,,1,Y,27,26,0,0.000,,1,,2,2008825814,US82105814,10
D201058142,10LA00045,26,5,,2,Y,27,26,0,0.000,,1,,2,2008825814,US82105814,10
D201064411,10LA00055,28,,,1,Y,95,32,5,0.000,,2,,5,2008826441,US82106441,10
D201057601,10LA00056,29,,,1,Y,95,32,5,0.000,,1,,8,2008825760,US82105760,10
D201057602,10LA00057,29,,,2,Y,95,32,5,0.000,,2,,8,2008825760,US82105760,10
D201063661,10LA00058,29,,,1,Y,95,32,5,0.000,,1,,7,2008826366,US82106366,10
D201063662,10LA00059,29,5,,2,Y,44,29,1,0.000,,1,,7,2008826366,US82106366,10
D201068401,10LA00060,29,,,1,Y,95,33,5,0.000,,2,,8,2008826840,US82106840,10
D201068402,10LA00061,29,,,2,Y,95,33,5,0.000,,2,,8,2008826840,US82106840,10
D201058821,10LA00062,29,,,1,Y,95,33,5,0.000,,2,,5,2008825882,US82105882,10
D201064531,10LA00063,30,,,1,Y,95,33,5,0.000,,2,,8,2008826453,US82106453,10
D201064532,10LA00064,30,,,2,Y,95,33,5,0.000,,2,,8,2008826453,US82106453,10
D201057951,10LA00065,30,,,1,Y,95,33,5,0.000,,2,,5,2008825795,US82105795,10
D201075091,10LA00071,67,,,1,N,27,67,0,0.000,,,,0,2009827509,2009827402,10
D201052651,10LA00072,68,,,1,Y,27,68,0,0.072,,2,,0,2009055265,2009055136,10
D201026371,10LA00073,64,,,1,Y,44,64,1,0.000,,1,,1,2009452637,US45102637,10
D201050131,10LA00074,65,,,1,Y,27,65,0,0.066,,,,0,2009055013,2009055136,10
D201054651,10LA00075,65,,,1,Y,27,65,0,0.047,,,,2,2009055465,US82115465,10
D201054652,10LA00076,65,,,2,Y,27,65,0,0.047,,,,2,2009055465,US82115465,10
D201063031,10LA00077,65,,,1,N,27,65,0,0.000,,,,0,2008826303,2009827276,10
D201027911,10LA00078,65,,,1,Y,27,65,0,0.000,,,,0,2009452791,2008452224,10
D201062671,10LA00079,65,,,1,N,27,65,0,0.005,,,,0,2008826267,2009827353,10
D201048471,10LA00080,66,,,1,Y,27,66,0,0.052,,,,2,2009054847,2009054723,10
D201048472,10LA00081,66,,,2,Y,27,66,0,0.052,,,,2,2009054847,2009054723,10
D201072261,10LA00082,66,,,1,N,27,66,0,0.004,,,,2,2009827226,2009827402,10
D201072262,10LA00083,66,,,2,N,27,66,0,0.004,,,,2,2009827226,2009827402,10
D201021761,10LA00084,66,,,1,N,27,66,0,0.053,,,,2,2008452176,2009452648,10
D201021762,10LA00085,66,,,2,N,27,66,0,0.053,,,,2,2008452176,2009452648,10
D201017561,10LA00086,66,,,1,Y,27,66,0,0.045,,,,2,2007451756,US45101756,10
D201017562,10LA00087,66,,,2,Y,27,66,0,0.045,,,,2,2007451756,US45101756,10
D201062271,10LA00088,66,,,1,Y,27,66,0,0.000,,,,0,2008826227,US82106227,10
D201021991,10LA00089,56,,,1,Y,27,56,0,0.000,,2,,0,2006052199,US05102199,10
D201023301,10LA00090,62,,,1,N,27,62,0,0.030,,,,0,2008452330,2009452566,10
D201045771,10LA00091,62,,,1,Y,27,62,0,0.057,,,,0,2009054577,US64114577,10
D201057121,10LA00092,63,,,1,Y,27,63,0,0.008,,,,2,2008825712,2009827416,10
D201057122,10LA00093,63,,,2,Y,27,63,0,0.008,,,,2,2008825712,2009827416,10
D201062721,10LA00094,67,,,1,N,27,67,0,0.002,,1,,2,2008826272,US82106272,10
D201062722,10LA00095,67,,,2,N,27,67,0,0.002,,1,,2,2008826272,US82106272,10
D201081051,10LA00096,68,,,1,N,27,68,0,0.000,,,,2,2002818105,US81108105,10
D201081052,10LA00097,68,,,2,N,27,68,0,0.000,,,,2,2002818105,US81108105,10
D201063781,10LA00098,69,,,1,N,27,69,0,0.007,,2,,0,2008826378,2009827276,10
D201098231,10LA00099,69,,,1,Y,27,69,0,0.074,,,,2,2004449823,2008452224,10
D201098232,10LA00100,69,,,2,Y,27,69,0,0.074,,,,2,2004449823,2008452224,10
D201015091,10LA00101,70,,,1,N,27,70,0,0.020,,,,0,2007451509,2008452281,10
D201013361,10LA00102,69,,,1,N,27,69,0,0.034,,,,0,2007451336,2008452281,10
D201042841,10LA00107,70,,,1,N,27,70,0,0.000,,,,2,2008644284,2008826217,10
D201042842,10LA00108,70,,,2,N,27,70,0,0.000,,,,2,2008644284,2008826217,10
D201024801,10LA00109,71,1,,1,N,44,71,1,0.037,,1,,4,2002642480,US64102480,10
D201024802,10LA00110,71,1,,2,N,44,71,1,0.037,,1,,4,2002642480,US64102480,10
D201013121,10LA00113,71,1,,1,N,44,71,1,0.040,,1,,1,2007451312,US45101312,10
D201008261,10LA00114,70,,,1,N,27,70,0,0.030,,1,,0,2006450826,2009452734,10
D201045881,10LA00115,71,,,1,Y,27,71,0,0.000,,2,,0,2009054588,US64114588,10
D201045981,10LA00116,71,,,1,N,27,71,0,0.034,,2,,2,2009644598,2007825140,10
D201045982,10LA00117,71,,,2,N,27,71,0,0.034,,2,,2,2009644598,2007825140,10
D201022511,10LA00118,71,,,1,N,27,71,0,0.039,,2,,0,2008452251,2007451661,10
D201028061,10LA00119,71,,,1,Y,27,71,0,0.000,,2,,0,2009452806,US45102806,10
D201054911,10LA00120,71,,,1,Y,27,71,0,0.052,,2,,0,2009055491,US05105491,10
D201074651,10LA00121,72,1,,1,Y,44,72,1,0.039,,1,,4,2009117465,2008000010,10
D201074652,10LA00122,72,1,,2,Y,44,72,1,0.039,,1,,4,2009117465,2008000010,10
