ID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT_NML,CAUSE,DAYDIS,DISP,INBRL,LINE,SEX,STM,TB,PREFERREDDAM,PREFERREDSIRE,YR
D201031331,10LA00123,72,,,1,N,27,72,0,0.004,,,,2,2006823133,2009827416,10
D201031332,10LA00124,72,,,2,N,27,72,0,0.004,,,,2,2006823133,2009827416,10
D201062911,10LA00125,72,,,1,N,27,72,0,0.006,,,,0,2008826291,2009827353,10
D201025051,10LA00126,72,5,,1,N,44,72,1,0.000,,2,,4,2005822505,US82102505,10
D201025052,10LA00127,72,5,,2,N,44,72,1,0.000,,2,,4,2005822505,US82102505,10
D201063991,10LA00128,72,5,,1,N,44,72,1,0.000,,1,,7,2008826399,2008826506,10
D201071781,10LA00131,73,,,1,N,14,73,6,0.078,,1,,8,2008827178,2007825140,10
D201071782,10LA00132,73,,,2,N,14,73,6,0.078,,1,,8,2008827178,2007825140,10
D201028781,10LA00133,73,,,1,N,14,73,6,0.034,,1,,8,2003642878,US64102878,10
D201028782,10LA00134,73,,,2,N,14,73,6,0.034,,1,,8,2003642878,US64102878,10
D201050191,10LA00135,73,5,,1,Y,44,73,1,0.000,,2,,1,2009055019,US82115019,10
D201057841,10LA00136,30,,,1,Y,95,33,5,0.000,,2,,8,2008825784,US82105784,10
D201057842,10LA00137,30,,,2,Y,95,33,5,0.000,,2,,8,2008825784,US82105784,10
D201072361,10LA00148,74,5,,1,N,44,74,1,0.001,,1,,1,2009827236,2009827353,10
D201079001,10LA00149,74,1,,1,Y,44,74,1,0.000,,1,,1,2009827900,US82107900,10
D201080751,10LA00150,74,6,,1,N,44,74,1,0.029,,2,,4,2009828075,US82108075,10
D201080752,10LA00151,74,6,,2,N,44,74,1,0.029,,,,4,2009828075,US82108075,10
D201047851,10LA00152,74,1,,1,Y,44,74,1,0.060,,2,,1,2009054785,2009006532,10
D201072201,10LA00153,74,9,,1,N,44,74,1,0.027,,2,,1,2009827220,2009644423,10
D201035151,10LA00156,74,5,,1,N,44,74,1,0.000,,1,,7,2006823515,2008826042,10
D201069652,10LA00161,74,6,,2,N,44,74,1,0.067,,2,,3,2008826965,2007825140,10
D201069653,10LA00162,74,6,,3,N,44,74,1,0.067,,1,,3,2008826965,2007825140,10
D201082861,10LA00165,64,,,1,N,27,64,0,0.006,,1,,2,2009828286,2009827737,10
D201082862,10LA00166,64,,,2,N,27,64,0,0.006,,2,,2,2009828286,2009827737,10
D201043531,10LA00167,64,,,1,N,27,64,0,0.049,,1,,0,2008644353,US64104353,10
D201041911,10LA00168,64,,,1,N,27,64,0,0.010,,1,,0,2008644191,2007825140,10
D201068771,10LA00169,64,,,1,N,27,64,0,0.006,,2,,2,2008826877,2009827894,10
D201068772,10LA00170,64,,,2,N,27,64,0,0.006,,2,,2,2008826877,2009827894,10
D201046841,10LA00171,64,,,1,N,27,64,0,0.006,,1,,0,2007824684,2009827416,10
D201067151,10LA00172,64,,,1,N,27,64,0,0.008,,2,,2,2008826715,2009827276,10
D201067152,10LA00173,64,,,2,N,27,64,0,0.008,,2,,2,2008826715,2009827276,10
D201029851,10LA00174,64,,,1,Y,27,64,0,0.000,,1,,2,2007052985,US82112985,10
D201029852,10LA00175,64,,,2,Y,27,64,0,0.000,,2,,2,2007052985,US82112985,10
D201026991,10LA00176,34,,,1,N,27,34,0,0.000,,,,0,2006052699,US05102699,10
D201041441,10LA00177,61,,,1,N,27,61,0,0.048,,,,0,2007644144,2008644312,10
D201031711,10LA00185,74,,,1,N,27,74,0,0.000,,1,,2,2007053171,2009055142,10
D201031712,10LA00186,74,,,2,N,27,74,0,0.000,,2,,2,2007053171,2009055142,10
D201049612,10LA00192,75,1,,2,Y,44,75,1,0.046,,2,,7,2009054961,2008054211,10
D201047302,10LA00194,75,5,,2,N,44,75,1,0.007,,1,,7,2007824730,2008825716,10
D201021141,10LA00220,76,1,,1,N,44,76,1,0.000,,1,,1,2008452114,2009452424,10
D201060852,10LA00260,76,6,,2,N,44,76,1,0.020,,2,,7,2008826085,2008826506,10
D201054741,10LA00263,76,,,1,Y,27,76,0,0.054,,1,,0,2009055474,2009055136,10
D201020571,10LA00275,77,1,,1,N,44,77,1,0.000,,1,,4,2008042057,US04102057,10
D201020572,10LA00276,77,1,,2,N,44,77,1,0.000,,2,,4,2008042057,US04102057,10
D201050501,10LA00283,77,,,1,Y,27,77,0,0.061,,1,,2,2009055050,2009006534,10
D201050502,10LA00284,77,,,2,Y,27,77,0,0.061,,1,,2,2009055050,2009006534,10
D201073491,10LA00298,77,,,1,N,27,77,0,0.042,,1,,2,2008117349,US11107349,10
D201073492,10LA00299,77,,,2,N,27,77,0,0.042,,2,,2,2008117349,US11107349,10
D201072461,10LA00313,77,,,1,N,27,77,0,0.036,,2,,2,2009827246,2008004737,10
D201072462,10LA00314,77,,,2,N,27,77,0,0.036,,1,,2,2009827246,2008004737,10
D201049071,10LA00315,76,,,1,Y,27,77,0,0.000,,2,,2,2009054907,US05104907,10
D201049072,10LA00316,76,,,2,Y,27,77,0,0.000,,1,,2,2009054907,US05104907,10
D201032542,10LA00350,77,,,2,N,27,77,0,0.007,,1,,6,2006823254,2008825725,10
D201076281,10LA00351,77,1,,1,N,27,77,0,0.000,,2,,0,2009827628,2010644665,10
D201030134,10LA00361,78,1,,4,N,44,78,1,0.019,,1,,3,2004643013,2007825398,10
D201031141,10LA00402,78,1,,1,N,44,78,1,0.000,,1,,7,2007053114,2008000965,10
D201075651,10LA00476,79,5,,1,Y,27,80,0,0.000,,1,,0,2009117565,US82117565,10
D201045841,10LA00480,79,1,,1,Y,44,80,1,0.048,,2,,4,2009054584,2009006531,10
D201045842,10LA00481,79,1,,2,Y,44,80,1,0.048,,1,,4,2009054584,2009006531,10
D201018542,10LA00533,79,1,,2,N,44,79,1,0.074,,1,,7,2008451854,2008451960,10
D201018492,10LA00544,79,1,,2,N,44,79,1,0.023,,2,,7,2008451849,2008451926,10
D201093252,10LA00579,80,1,,2,N,44,80,1,0.033,,2,,7,2002449325,2008451949,10
D201036772,10LA00590,80,1,,2,N,44,80,1,0.054,,2,,7,2006643677,2008644267,10
D201074661,10LA00635,80,6,,1,N,44,81,1,0.000,,2,,1,2009827466,2008644233,10
D201095461,10LA00692,81,,,1,Y,95,84,5,0.000,,2,,5,2003819546,US81109546,10
D201030851,10LA00693,81,,,1,Y,95,84,5,0.000,,1,,9,2003303085,US30103085,10
D201030852,10LA00694,81,,,2,Y,95,84,5,0.000,,1,,9,2003303085,US30103085,10
D201030853,10LA00695,81,,,3,Y,95,84,5,0.000,,1,,9,2003303085,US30103085,10
D201099241,10LA00707,81,1,,1,Y,95,84,5,0.000,,1,,9,2003819924,US81109924,10
D201099242,10LA00708,81,1,,2,Y,95,84,5,0.000,,2,,9,2003819924,US81109924,10
D201099243,10LA00709,81,1,,3,Y,95,84,5,0.000,,1,,9,2003819924,US81109924,10
D201029522,10LA00712,81,1,,2,Y,95,84,5,0.000,,1,,8,2007052952,US82102952,10
D201079051,10LA00713,81,1,,1,Y,27,81,0,0.000,,1,,0,2009117905,US64117905,10
D201051681,10LA00728,80,1,,1,Y,27,80,0,0.000,,1,,2,2004115168,2008000010,10
D201051682,10LA00729,80,,,2,Y,27,80,0,0.000,,,,2,2004115168,2008000010,10
D201047111,10LA00730,81,1,,1,Y,44,81,1,0.000,,2,,2,2009054711,US82114711,10
D201047112,10LA00731,81,1,,2,Y,44,81,1,0.000,,,,2,2009054711,US82114711,10
D201044991,10LA00732,81,1,,1,N,44,81,1,0.065,,1,,1,2009644499,2009827440,10
D201030301,10LA00733,81,1,,1,Y,44,81,1,0.000,,2,,9,2002113030,US11103030,10
D201030302,10LA00734,81,1,,2,Y,44,81,1,0.000,,2,,9,2002113030,US11103030,10
D201030303,10LA00735,81,1,,3,Y,44,81,1,0.000,,2,,9,2002113030,US11103030,10
D201020681,10LA00736,79,1,,1,N,44,79,1,0.058,,2,,5,2002642068,US64102068,10
D201026871,10LA00737,79,1,,1,Y,44,79,1,0.000,,2,,4,2009452687,US45102687,10
D201026872,10LA00738,79,1,,2,Y,44,79,1,0.000,,1,,4,2009452687,US45102687,10
D201072671,10LA00797,82,1,,1,N,44,82,1,0.000,,1,,4,2008117267,2009117912,10
D201072672,10LA00798,82,1,,2,N,44,82,1,0.000,,2,,4,2008117267,2009117912,10
D201066201,10LA00826,82,1,,1,N,44,82,1,0.000,,2,,1,2007116620,US11106620,10
D201063521,10LA00827,82,1,,1,N,27,82,0,0.031,,,,4,2006116352,2009008645,10
D201063522,10LA00828,82,1,,2,N,27,82,0,0.031,,1,,4,2006116352,2009008645,10
D201077631,10LA00829,81,5,,1,N,44,81,1,0.000,,1,,1,2009827763,2009827364,10
D201052541,10LA00842,82,1,,1,Y,44,82,1,0.055,,1,,4,2009055254,US05105254,10
D201052542,10LA00843,82,1,,2,Y,44,82,1,0.055,,2,,4,2009055254,US05105254,10
D201033053,10LA00850,82,1,,3,N,44,82,1,0.054,,2,,9,2005643305,2008644267,10
D201062892,10LA00856,82,5,,2,N,44,82,1,0.004,,2,,7,2008826289,2008825725,10
D201045931,10LA00860,83,1,,1,N,44,83,1,0.005,,1,,1,2009644593,US64104593,10
D201047762,10LA00878,83,6,,2,N,44,83,1,0.030,,2,,7,2007824776,2008826506,10
D201026342,10LA00894,83,1,,2,Y,44,83,1,0.000,,2,,7,2006052634,US82102634,10
D201075421,10LA00933,81,,,1,Y,27,81,0,0.040,,,,0,2009117542,2009008645,10
D201018471,10LA00963,83,,,1,N,44,83,1,0.018,,,,1,2008451847,US45101847,10
D201021541,10LA00974,84,,,1,N,27,84,0,0.027,,,,0,2008452154,US45102154,10
D201019301,10LA00977,84,,,1,N,44,84,1,0.000,,,,1,2008451930,2009452734,10
D201022372,10LA00979,84,1,,2,Y,27,84,0,0.035,,2,,7,2008452237,2008452224,10
D201044181,10LA00982,84,1,,1,Y,27,84,0,0.063,,2,,2,2008054418,2009054663,10
D201044182,10LA00983,84,1,,2,Y,27,84,0,0.063,,2,,2,2008054418,2009054663,10
D201065071,10LA00998,84,6,,1,N,44,84,1,0.018,,1,,1,2008826507,US82106507,10
D201004531,10LA01010,84,1,,1,N,42,84,6,0.033,,2,,1,2005450453,2008452281,10
D201013492,10LA01012,84,1,,2,N,44,84,1,0.051,,2,,7,2007451349,2008452247,10
D201026531,10LA01017,81,,,1,Y,95,84,5,0.000,,2,,8,2006052653,US82112653,10
D201026532,10LA01018,81,,,2,Y,95,84,5,0.000,,2,,8,2006052653,US82112653,10
D201029981,10LA01019,81,,,1,Y,95,84,5,0.000,,2,,5,2007052998,US82112998,10
D201026821,10LA01020,81,,,1,Y,95,84,5,0.000,,1,,8,2006052682,US05102682,10
D201026822,10LA01021,81,,,2,Y,95,84,5,0.000,,1,,8,2006052682,US05102682,10
D201044981,10LA01038,84,1,,1,N,27,84,0,0.012,,2,,0,2009644498,2007644025,10
D201073871,10LA01048,84,1,,1,N,44,84,1,0.009,,1,,1,2009827387,2009827894,10
D201000211,10LA01049,84,1,,1,N,27,84,0,0.002,,2,,2,2009700021,2009700011,10
D201000212,10LA01050,84,1,,2,N,27,84,0,0.002,,2,,2,2009700021,2009700011,10
D201077541,10LA01054,84,1,,1,N,27,84,0,0.000,,2,,0,2009827754,US82117754,10
D201072501,10LA01067,85,1,,1,N,27,85,0,0.006,,2,,0,2009827250,2009827737,10
D201054191,10LA01074,85,1,,1,Y,27,85,0,0.000,,2,,0,2009055419,US05105419,10
D201072971,10LA01095,85,1,,1,N,44,85,1,0.007,,2,,1,2009827297,2009827737,10
D201023831,10LA01100,85,1,,1,Y,44,85,1,0.000,,2,,0,2009452383,2010453205,10
D201077101,10LA01120,85,5,,1,N,44,85,1,0.000,,2,,1,2009827710,2007825140,10
D201036821,10LA01121,85,1,,1,N,44,85,1,0.051,,2,,1,2006643682,US64103682,10
D201078341,10LA01126,86,1,,1,Y,27,86,0,0.000,,2,,2,2009827834,US64117834,10
D201033131,10LA01127,86,1,,1,N,44,86,1,0.064,,2,,4,2007053313,2009006529,10
D201033132,10LA01128,86,1,,2,N,44,86,1,0.064,,1,,4,2007053313,2009006529,10
D201031951,10LA01129,86,1,,1,N,44,86,1,0.058,,1,,4,2007053195,US05103195,10
D201031952,10LA01130,86,1,,2,N,44,86,1,0.058,,1,,4,2007053195,US05103195,10
D201045332,10LA01150,86,1,,2,Y,44,86,1,0.000,,2,,7,2008054533,2008644327,10
D201048412,10LA01166,86,1,,2,Y,44,86,1,0.043,,2,,7,2009054841,2008053921,10
D201041072,10LA01174,86,1,,2,N,27,86,0,0.000,,,,9,2008054107,2008054155,10
D201051691,10LA01180,86,1,,1,Y,44,86,1,0.068,,2,,9,2009055169,2008053921,10
D201051692,10LA01181,86,1,,2,Y,44,86,1,0.068,,1,,9,2009055169,2008053921,10
D201051091,10LA01229,87,1,,1,Y,44,87,1,0.000,,2,,1,2004115109,US11105109,10
D201031791,10LA01235,87,1,,1,N,44,87,1,0.052,,2,,4,2007053179,US05103179,10
D201031792,10LA01236,87,1,,2,N,44,87,1,0.052,,2,,4,2007053179,US05103179,10
D201075941,10LA01237,87,6,,1,Y,27,87,0,0.000,,2,,1,2009007594,US00107594,10
D201048101,10LA01245,87,1,,1,Y,44,87,1,0.000,,1,,1,2009054810,US05104810,10
D201078342,10LA01246,86,,,2,Y,27,86,0,0.000,,,,2,2009827834,US64117834,10
D201029971,10LA01285,87,1,,1,N,44,87,1,0.000,,2,,4,2007052997,US05102997,10
D201029972,10LA01286,87,1,,2,N,44,87,1,0.000,,1,,4,2007052997,US05102997,10
D201022011,10LA01287,87,1,,1,N,44,87,1,0.000,,1,,4,2006052201,US05102201,10
D201022012,10LA01288,87,1,,2,N,44,87,1,0.000,,1,,4,2006052201,US05102201,10
D201047501,10LA01333,88,1,,1,Y,44,88,1,0.057,,1,,4,2009054750,2009006532,10
D201047502,10LA01334,88,1,,2,Y,44,88,1,0.057,,2,,4,2009054750,2009006532,10
D201044352,10LA01343,88,1,,2,N,44,88,1,0.000,,1,,7,2008054435,2007007142,10
D201054401,10LA01364,88,,,1,Y,27,88,0,0.051,,2,,0,2009055440,2009055110,10
D201050921,10LA01365,86,,,1,Y,27,86,0,0.047,,,,0,2009055092,US05105092,10
D201076141,10LA01366,84,,,1,Y,44,84,1,0.000,,,,1,2009827614,US82107614,10
D201043682,10LA01406,88,1,,2,Y,44,88,1,0.052,,1,,7,2008054368,2008054164,10
D201042691,10LA01451,89,1,,1,N,44,89,1,0.000,,2,,4,2008644269,US64104269,10
D201042692,10LA01452,89,1,,2,N,44,89,1,0.000,,2,,4,2008644269,US64104269,10
D201037941,10LA01476,88,1,,1,N,44,88,1,0.000,,2,,9,2008053794,2007000647,10
D201049431,10LA01479,89,,,1,Y,44,89,1,0.051,,2,,1,2009054943,2009054663,10
D201044691,10LA01493,89,1,,1,N,44,89,1,0.054,,2,,9,2008054469,2008053872,10
D201044692,10LA01494,89,1,,2,N,44,89,1,0.054,,2,,9,2008054469,2008053872,10
D201044591,10LA01496,89,1,,1,Y,44,89,1,0.049,,2,,4,2008054459,US64114459,10
D201044592,10LA01497,89,1,,2,Y,44,89,1,0.049,,1,,4,2008054459,US64114459,10
D201050261,10LA01501,89,1,,1,Y,44,89,1,0.000,,1,,4,2009055026,US05105026,10
D201050262,10LA01502,89,1,,2,Y,44,89,1,0.000,,1,,4,2009055026,US05105026,10
D201081151,10LA01514,89,5,,1,Y,44,89,1,0.000,,1,,1,2009828115,US82118115,10
D201028711,10LA01519,89,1,,1,N,44,89,1,0.038,,1,,9,2003642871,2008644272,10
D201045442,10LA01530,90,1,,2,N,27,90,0,0.058,,1,,7,2008054544,2008053779,10
D201023971,10LA01563,90,1,,1,N,44,90,1,0.000,,1,,9,2006052397,2008000420,10
D201037371,10LA01567,90,1,,1,N,44,90,1,0.000,,1,,9,2008053737,2009054723,10
D201037372,10LA01568,90,1,,2,N,44,90,1,0.000,,1,,9,2008053737,2009054723,10
D201037373,10LA01569,90,1,,3,N,44,90,1,0.000,,1,,9,2008053737,2009054723,10
D201050551,10LA01570,89,1,,1,Y,27,90,0,0.050,,2,,4,2009055055,2009054806,10
D201050552,10LA01571,89,1,,2,Y,27,90,0,0.050,,1,,4,2009055055,2009054806,10
D201074791,10LA01606,90,5,,1,N,27,90,0,0.000,,2,,1,2009827479,2008644233,10
D201031151,10LA01609,91,1,,1,N,44,90,1,0.000,,1,,9,2007053115,US05103115,10
D201031152,10LA01610,91,1,,2,N,44,90,1,0.000,,1,,9,2007053115,US05103115,10
D201031153,10LA01611,91,1,,3,N,44,90,1,0.000,,1,,9,2007053115,US05103115,10
D201037522,10LA01628,90,1,,2,Y,44,90,1,0.057,,1,,7,2008053752,2008054164,10
D201030552,10LA01651,90,1,,2,N,66,90,6,0.056,,2,,8,2007053055,2008053779,10
D201095451,10LA01690,91,1,,1,N,44,91,1,0.049,,1,,9,2002049545,2008053872,10
D201045271,10LA01696,91,1,,1,N,27,91,0,0.023,,2,,9,2007824527,US82104527,10
D201078331,10LA01718,91,1,,1,Y,27,91,0,0.000,,2,,6,2009827833,US82107833,10
D201028101,10LA01749,91,1,,1,Y,27,91,0,0.000,,2,,0,2009452810,US45102810,10
D201015473,10LA01757,90,,,3,N,44,90,1,0.105,,2,,3,2005051547,2007053545,10
D201015474,10LA01758,90,1,,4,N,44,90,1,0.105,,2,,3,2005051547,2007053545,10
D201043853,10LA01794,91,1,,3,N,44,91,1,0.000,,1,,9,2004114385,US82104385,10
D201010063,10LA01843,92,1,,3,N,27,92,0,0.047,,,,9,2006451006,2008452044,10
D201042593,10LA01863,92,1,,3,Y,44,92,1,0.000,,2,,9,2004114259,2007000645,10
D201036762,10LA01869,92,1,,2,Y,27,92,0,0.000,,,,6,2007053676,2007000647,10
D201051872,10LA01895,92,5,,2,Y,44,92,1,0.000,,2,,7,2009055187,US82105187,10
D201058801,10LA01909,92,1,,1,N,44,92,1,0.035,,2,,9,2005115880,2008000538,10
D201058802,10LA01910,92,1,,2,N,44,92,1,0.035,,1,,9,2005115880,2008000538,10
D201058803,10LA01911,92,1,,3,N,44,92,1,0.035,,2,,9,2005115880,2008000538,10
D201048222,10LA01919,92,1,,2,Y,44,92,1,0.000,,2,,7,2009054822,US64104822,10
D201074981,10LA01920,92,1,,1,Y,44,92,1,0.039,,2,,1,2009117498,US11107498,10
D201012231,10LA01982,92,1,,1,N,44,92,1,0.122,,,,4,2004051223,US05101223,10
D201012232,10LA01983,92,1,,2,N,44,92,1,0.122,,,,4,2004051223,US05101223,10
D201041991,10LA01986,92,1,,1,Y,27,92,0,0.170,,2,,2,2008644199,US64104199,10
D201041992,10LA01987,92,1,,2,Y,27,92,0,0.170,,2,,2,2008644199,US64104199,10
D201026381,10LA01992,93,1,,1,Y,44,93,1,0.000,,1,,1,2009452638,2009452734,10
D201063431,10LA01995,93,1,,1,Y,44,93,1,0.000,,2,,7,2006116343,2007000371,10
D201025741,10LA02008,93,5,,1,Y,44,93,1,0.000,,1,,1,2009452574,2007451661,10
D201073551,10LA02038,93,1,,1,N,27,93,0,0.000,,,,0,2009827355,2009827364,10
D201073831,10LA02061,93,5,,1,Y,44,93,1,0.000,,2,,1,2009007383,US00107383,10
D201067422,10LA02076,93,1,,2,Y,44,93,1,0.000,,2,,7,2007116742,2007000335,10
D201073572,10LA02138,93,1,,2,Y,44,93,1,0.000,,1,,7,2008117357,2007007234,10
D201032401,10LA02150,93,5,,1,N,44,93,1,0.042,,1,,4,2005643240,2008004737,10
D201032402,10LA02151,93,5,,2,N,44,93,1,0.042,,2,,4,2005643240,2008004737,10
D201042013,10LA02159,93,1,,3,N,44,93,1,0.057,,2,,9,2008054201,2008054186,10
D201049992,10LA02208,94,5,,2,N,44,94,1,0.006,,2,,7,2007824999,2008826090,10
D201019081,10LA02225,99,1,,1,N,44,94,1,0.059,,1,,1,2008451908,2009452612,10
D201027302,10LA02227,94,1,,2,N,44,94,1,0.039,,1,,7,2006052730,2008054155,10
D201042572,10LA02268,94,1,,2,N,44,94,1,0.051,,2,,7,2008054257,2008054155,10
D201067061,10LA02355,95,5,,1,N,44,95,1,0.000,,2,,1,2008826706,US82106706,10
D201078781,10LA02356,93,1,,1,Y,27,95,0,0.045,,1,,0,2009117878,2009008640,10
D201030562,10LA02410,95,1,,2,Y,44,95,1,0.000,,2,,7,2007053056,2008000101,10
D201034903,10LA02420,95,1,,3,N,44,95,1,0.000,,1,,9,2007053490,2008000101,10
D201071941,10LA02442,95,1,,1,Y,44,95,1,0.045,,1,,4,2008117194,2009008643,10
D201071942,10LA02443,95,1,,2,Y,44,95,1,0.045,,2,,4,2008117194,2009008643,10
D201075701,10LA02515,96,5,,1,Y,44,96,1,0.000,,2,,1,2009007570,US00107570,10
