id10,brd,sex
2008825968,82,2
2008826790,82,2
2008825703,82,2
2008825956,82,2
2008826766,82,2
2008826286,82,2
2008825872,82,2
2001112894,11,2
2008826100,82,2
2008826079,82,2
2008826401,82,2
2008826743,82,2
2008826469,82,2
2008826426,82,2
2008826396,82,2
2008826170,82,2
2008826092,82,2
2008826764,82,2
2008826022,82,2
2008826037,82,2
2008826233,82,2
2008826655,82,2
2008825896,82,2
2008826491,82,2
2008826068,82,2
2008825800,82,2
2008825814,82,2
2008825932,82,2
2008826274,82,2
2008826694,82,2
2008825830,82,2
2008826784,82,2
2008826441,82,2
2008825760,82,2
2008826366,82,2
2008826840,82,2
2008825882,82,2
2008826453,82,2
2008825795,82,2
2008826600,82,2
2008826280,82,2
2008644201,64,2
2009827509,82,2
2009055265,05,2
2009452637,45,2
2009055013,05,2
2009055465,05,2
2008826303,82,2
2009452791,45,2
2008826267,82,2
2009054847,05,2
2009827226,82,2
2008452176,45,2
2007451756,45,2
2008826227,82,2
2006052199,05,2
2008452330,45,2
2009054577,05,2
2008825712,82,2
2008826272,82,2
2002818105,81,2
2008826378,82,2
2004449823,44,2
2007451509,45,2
2007451336,45,2
2007825312,82,2
2009054680,05,2
2008644174,64,2
2008644284,64,2
2002642480,64,2
2007451722,45,2
2007451312,45,2
2006450826,45,2
2009054588,05,2
2009644598,64,2
2008452251,45,2
2009452806,45,2
2009055491,05,2
2009117465,11,2
2006823133,82,2
2008826291,82,2
2005822505,82,2
2008826399,82,2
2008825810,82,2
2008827178,82,2
2003642878,64,2
2009055019,05,2
2008825784,82,2
2007644036,64,2
2008452301,45,2
2005450343,45,2
2008825811,82,2
2008452011,45,2
2008451876,45,2
2006643586,64,2
2009827236,82,2
2009827900,82,2
2009828075,82,2
2009054785,05,2
2009827220,82,2
2007824308,82,2
2006823515,82,2
2007451507,45,2
2009054968,05,2
2008826965,82,2
2008452041,45,2
2009828286,82,2
2008644353,64,2
2008644191,64,2
2008826877,82,2
2007824684,82,2
2008826715,82,2
2007052985,05,2
2006052699,05,2
2007644144,64,2
2007824796,82,2
2008452296,45,2
2006643589,64,2
2006822995,82,2
2008452017,45,2
2007053171,05,2
2005643528,64,2
2008644254,64,2
2009054961,05,2
2007824730,82,2
2007825388,82,2
2008452071,45,2
2007451421,45,2
2008825960,82,2
2008644410,64,2
2007825173,82,2
2007824794,82,2
2008452048,45,2
2005643283,64,2
2007824487,82,2
2008825748,82,2
2007824679,82,2
2008826133,82,2
2007824994,82,2
2008826252,82,2
2008452114,45,2
2006643663,64,2
2006823123,82,2
2007824756,82,2
2007451530,45,2
2006823433,82,2
2007825326,82,2
2003819175,81,2
2007451537,45,2
2008451952,45,2
2007644031,64,2
2005643514,64,2
2008644344,64,2
2007643937,64,2
2007644068,64,2
2008452306,45,2
2008826520,82,2
2002817913,81,2
2008452039,45,2
2006450799,45,2
2008825787,82,2
2008826085,82,2
2002449126,44,2
2008644357,64,2
2009055474,05,2
2008826154,82,2
2007825019,82,2
2009827399,82,2
2008451856,45,2
2008452075,45,2
2008826532,82,2
2008644251,64,2
2008042057,04,2
2008452092,45,2
2008825877,82,2
2003642857,64,2
2009055050,05,2
2008451941,45,2
2009827273,82,2
2009827350,82,2
2007451424,45,2
2008452047,45,2
2008451871,45,2
2009827682,82,2
2008825951,82,2
2008452040,45,2
2007824912,82,2
2008117349,11,2
2004450035,45,2
2004643072,64,2
2007824614,82,2
2006450963,45,2
2007643883,64,2
2007644106,64,2
2009827246,82,2
2009054907,05,2
2007644034,64,2
2007643918,64,2
2007451300,45,2
2007451366,45,2
2007644104,64,2
2008826047,82,2
2004449945,44,2
2007824539,82,2
2008644241,64,2
2004643035,64,2
2008451880,45,2
2007824394,82,2
2005643522,64,2
2008644414,64,2
2007824910,82,2
2009828119,82,2
2002448938,44,2
2008452125,45,2
2003449587,44,2
2006451079,45,2
2008826550,82,2
2006823254,82,2
2009827628,82,2
2008826082,82,2
2007825017,82,2
2008644411,64,2
2009827463,82,2
2004643013,64,2
2007451320,45,2
2005450233,45,2
2006823386,82,2
2005450751,45,2
2007451373,45,2
2006451160,45,2
2009827658,82,2
2008452326,45,2
2008452212,45,2
2008826353,82,2
2006451047,45,2
2006643714,64,2
2007643951,64,2
2005643446,64,2
2006643629,64,2
2006643720,64,2
2006451202,45,2
2006450986,45,2
2006823584,82,2
2005450371,45,2
2008826110,82,2
2005822326,82,2
2007053114,05,2
2007824427,82,2
2004449949,44,2
2007825305,82,2
2007451357,45,2
2008825870,82,2
2006451125,45,2
2008452175,45,2
2004821393,82,2
2008825771,82,2
2008826502,82,2
2009827677,82,2
2005450627,45,2
2008452105,45,2
2007451522,45,2
2007824729,82,2
2008452054,45,2
2007451510,45,2
2008826466,82,2
2008826292,82,2
2004821054,82,2
2004821436,82,2
2008826459,82,2
2008452218,45,2
2004450155,45,2
2007451454,45,2
2008826113,82,2
2009827745,82,2
