ID10,FOSID
2013831486,2012830963
2013701018,2010453437
2013701019,2008826519
2013454686,2012700556
2013454694,2009827458
2013454721,2009055336
2013454740,2011453621
2013454760,2012644861
2013831573,2011453629
2013454785,2011453620
2013831585,2011453763
2013454792,2012831225
2013454793,2010828565
2013454803,2010452878
2013831595,2011700388
2013831598,2009827245
2013831604,2011830195
2013831605,2012057556
2013454825,2009452508
2013454841,2011453883
2013701144,2010453363
2013454846,2011057245
2013454848,2012700629
2013454851,2011118720
2013831626,2009827962
2013701201,2012454464
2013454948,2009827735
2013701247,2006450801
2013831711,2011829979
2013831712,2011056653
2013454954,2010452849
2013831725,2012057583
2013701276,2012057505
2013701281,2012700620
2013831741,2012700886
2013455003,2006116540
2013455007,2009117812
2013701353,2009827425
2013701371,2011118993
2013455138,2010644683
2013501627,2010118540
2013455172,2012830956
2013455195,2012454364
2013058248,2012831183
2013058392,2011453869
2013058393,2012700563
2013058394,2012454287
2013455261,2012454184
2013832026,2012700897
2013832106,2012119226
2013832141,2011830563
2013832167,2011453772
2013832177,2008054560
2013832224,2005052152
2013832232,2011453602
2013832240,2006052810
2014058464,2013058389
2014058483,2011453728
2014058498,2011057216
2014058518,2013831751
2014502081,2012831000
2014119990,2010453053
2014119991,2013831625
2014119995,2011118718
2014058549,2011700274
2014058588,2012454605
2014058621,2012831148
2014058634,2013831774
2014832362,2012454365
2014120117,2010644670
2014120144,2008054448
2014058788,2013644959
2014455453,2012454191
2014120198,2012831245
2014455481,2013831638
2014832509,2010829278
2014455532,2009700029
2014645034,2013644963
2014120236,2009700029
2014120241,2011829953
2014502504,2012454360
2014120252,2013831834
2014455579,2012454645
2014455619,2010118281
2014455657,2012454373
2014455689,2012454328
2014645068,2009452533
2014455750,2010453316
2014832663,2009452662
2015058860,2013119674
2015058880,2011700274
2015058889,2009054639
2015058892,2013119677
2015120297,2009054591
2015832780,2009055332
2015120373,2013119643
2015120383,2013119926
2015059041,2012057571
2015059039,2014058591
2015701700,2008452002
2015059112,2010055998
2015059113,2010055998
2015059187,2012454236
2015059200,2014701604
2015059201,2014701604
2015832968,2011453741
2015456027,2011118658
2015120554,2008117142
2015059240,2014455478
2015833015,2012831144
2015120631,2014120265
2015833049,2012454426
2015120649,2014455565
2015120699,2014120214
2015120710,2014455659
2015456274,2013454794
2016833232,2015059158
2016833277,2014832430
2016833325,2015058965
2016120789,2014120074
2016833413,2014701548
2016833414,2014701548
2016833468,2015059190
2016833490,2015059117
2016833493,2015120626
2016701812,2011830072
2016833501,2015059025
2016059384,2015059105
2016059424,2015456239
2016456336,2014455467
2016456337,2014455467
2016120898,2015058889
2016833619,2015059009
2016120900,2014455680
2016456349,2014058620
2016833642,2014058822
2016833644,2015058927
2016456377,2014058591
2016456380,2014058591
2016456395,2014455674
2016833739,2014120162
2016833789,2014455321
2016456467,2015120392
2016833865,2014455415
2016456471,2015120434
2016121051,2011453906
2016059551,2015120685
2016456500,2011453906
2016456521,2015120431
