id10,breed,is_unidentified_parent,sex,first_seen_row
US00107998,00,1,1,10PE01369
US45102508,45,1,1,10PE01883
US45102498,45,1,1,10PE01941
US45102624,45,1,1,10PE01992
US45102595,45,1,1,10PE02014
US45102770,45,1,1,10PE02019
US45102744,45,1,1,10PE02143
US45102455,45,1,1,10PE02171
US45102525,45,1,1,10PE02182
US45102518,45,1,1,10PE02183
US45102471,45,1,1,10PE02186
US45102636,45,1,1,10PE02190
US45102570,45,1,1,10PE02191
US45102746,45,1,1,10PE02193
US45102375,45,1,1,10PE02194
US45102533,45,1,1,10PE02195
US45102700,45,1,1,10PE02196
US45102694,45,1,1,10PE02198
US45102567,45,1,1,10PE02199
US45102697,45,1,1,10PE02202
US45102768,45,1,1,10PE02203
US45102685,45,1,1,10PE02204
US45102397,45,1,1,10PE02205
US45102787,45,1,1,10PE02206
US45102437,45,1,1,10PE02207
US45102594,45,1,1,10PE02208
US45102667,45,1,1,10PE02211
US45102504,45,1,1,10PE02212
US45102684,45,1,1,10PE02214
US45102467,45,1,1,10PE02215
US45102345,45,1,1,10PE02216
US45102655,45,1,1,10PE02217
US45102484,45,1,1,10PE02218
US45102494,45,1,1,10PE02219
US45102641,45,1,1,10PE02220
US45102657,45,1,1,10PE02221
US45102557,45,1,1,10PE02222
US45102662,45,1,1,10PE02223
US45102682,45,1,1,10PE02224
US45102763,45,1,1,10PE02225
US45102378,45,1,1,10PE02226
US45102835,45,1,1,10PE02227
US45102560,45,1,1,10PE02228
US45102542,45,1,1,10PE02229
US45102778,45,1,1,10PE02230
US45102353,45,1,1,10PE02231
US45102497,45,1,1,10PE02232
US45102441,45,1,1,10PE02233
US45102677,45,1,1,10PE02234
US45102439,45,1,1,10PE02235
US45102553,45,1,1,10PE02236
US45102598,45,1,1,10PE02237
US45102359,45,1,1,10PE02238
US45102558,45,1,1,10PE02239
US45102563,45,1,1,10PE02240
US45102428,45,1,1,10PE02241
US45102521,45,1,1,10PE02242
US45102364,45,1,1,10PE02243
US45102472,45,1,1,10PE02244
US45102514,45,1,1,10PE02245
US45102530,45,1,1,10PE02246
US45102683,45,1,1,10PE02247
US82104299,82,1,1,10PE02368
US82105968,82,1,1,10PE02572
US82106790,82,1,1,10PE02573
US82102894,82,1,1,10PE02574
US82106766,82,1,1,10PE02575
US82106286,82,1,1,10PE02577
US82105872,82,1,1,10PE02579
US82106100,82,1,1,10PE02580
US82106079,82,1,1,10PE02581
US82106401,82,1,1,10PE02583
US82106743,82,1,1,10PE02586
US82106396,82,1,1,10PE02587
US82106170,82,1,1,10PE02589
US82106092,82,1,1,10PE02590
US82106764,82,1,1,10PE02593
US82106022,82,1,1,10PE02594
US82106037,82,1,1,10PE02595
US82106233,82,1,1,10PE02596
US82106655,82,1,1,10PE02598
US82106068,82,1,1,10PE02599
US82105800,82,1,1,10PE02601
US82105932,82,1,1,10PE02602
US82106274,82,1,1,10PE02604
US82106694,82,1,1,10PE02605
US82105830,82,1,1,10PE02607
US82106784,82,1,1,10PE02609
US82106600,82,1,1,10PE02611
US82106280,82,1,1,10PE02613
US82107682,82,1,1,10PE02678
US82100963,82,1,1,10PE02681
US82108119,82,1,1,10PE02692
US82107745,82,1,1,10PE02732
US82107941,82,1,1,10PE02737
US82105385,82,1,1,10PE02743
US64107983,64,1,1,10PE02746
US64108015,64,1,1,10PE02755
US82107877,82,1,1,10PE02766
US82107687,82,1,1,10PE02797
US82107825,82,1,1,10PE02800
US82102683,82,1,1,10PE02806
US64107866,64,1,1,10PE02816
US82102805,82,1,1,10PE02820
US82102952,82,1,1,10PE02821
US82102827,82,1,1,10PE02822
US82105059,82,1,1,10PE02828
US82103083,82,1,1,10PE02830
US82105239,82,1,1,10PE02844
US82104531,82,1,1,10PE02848
US82105448,82,1,1,10PE02855
US82102623,82,1,1,10PE02856
US82102988,82,1,1,10PE02861
US82102825,82,1,1,10PE02868
US82103511,82,1,1,10PE02870
US82104331,82,1,1,10PE02876
US82101674,82,1,1,10PE02878
US82107996,82,1,1,10PE02885
US82102634,82,1,1,10PE02890
US82103058,82,1,1,10PE02891
US82105181,82,1,1,10PE02903
US82105217,82,1,1,10PE02920
US82103044,82,1,1,10PE02924
US82107567,82,1,1,10PE02927
US82105216,82,1,1,10PE02933
US82105083,82,1,1,10PE02935
US82103462,82,1,1,10PE02936
US82102998,82,1,1,10PE02939
US82103669,82,1,1,10PE02952
US82108021,82,1,1,10PE02953
US82101514,82,1,1,10PE02955
US82104823,82,1,1,10PE02957
US82107917,82,1,1,10PE02963
US82100813,82,1,1,10PE02969
US82107901,82,1,1,10PE02972
US82107980,82,1,1,10PE02977
US82106923,82,1,1,10PE02981
US64104626,64,1,1,10PE02982
US82105042,82,1,1,10PE02990
US82107948,82,1,1,10PE02991
US82102587,82,1,1,10PE02996
US82108099,82,1,1,10PE03001
US82108160,82,1,1,10PE03021
US64107944,64,1,1,10PE03024
US82107791,82,1,1,10PE03025
US82104651,82,1,1,10PE03038
US82101237,82,1,1,10PE03045
US82107984,82,1,1,10PE03052
US82104899,82,1,1,10PE03079
US82105137,82,1,1,10PE03091
US64105528,64,1,1,10PE03103
US64107859,64,1,1,10PE03108
US82104665,82,1,1,10PE03118
US82104527,82,1,1,10PE03119
US82107833,82,1,1,10PE03125
US82104744,82,1,1,10PE03126
US82104765,82,1,1,10PE03131
US00100000,00,1,1,10PE03135
US82107985,82,1,1,10PE03137
US82104385,82,1,1,10PE03146
US82108070,82,1,1,10PE03150
US64107930,64,1,1,10PE03162
US82105187,82,1,1,10PE03163
US82105153,82,1,1,10PE03165
US82107777,82,1,1,10PE03166
US64104822,64,1,1,10PE03167
US82107731,82,1,1,10PE03168
US64107711,64,1,1,10PE03180
US82104775,82,1,1,10PE03189
US82105450,82,1,1,10PE03197
US64107882,64,1,1,10PE03214
US82107456,82,1,1,10PE03216
US64105288,64,1,1,10PE03221
US64105262,64,1,1,10PE03232
US82107967,82,1,1,10PE03239
US64107876,64,1,1,10PE03241
US82108191,82,1,1,10PE03242
US82107906,82,1,1,10PE03243
US82105344,82,1,1,10PE03249
US64107918,64,1,1,10PE03250
US64108109,64,1,1,10PE03256
US64104817,64,1,1,10PE03258
US82107989,82,1,1,10PE03262
US82103481,82,1,1,10PE03264
US82105266,82,1,1,10PE03265
US82107801,82,1,1,10PE03267
US82105188,82,1,1,10PE03275
US64104767,64,1,1,10PE03277
US64105336,64,1,1,10PE03286
US82108071,82,1,1,10PE03294
US82103838,82,1,1,10PE03298
US82108110,82,1,1,10PE03300
US82108116,82,1,1,10PE03309
US82107881,82,1,1,10PE03316
US82103846,82,1,1,10PE03318
US82105010,82,1,1,10PE03320
US82103802,82,1,1,10PE03337
US82105089,82,1,1,10PE03344
US82105223,82,1,1,10PE03345
US64107977,64,1,1,10PE03346
US82104664,82,1,1,10PE03347
US82101087,82,1,1,10PE03349
US82104834,82,1,1,10PE03351
US64108274,64,1,1,10PE03352
US64107482,64,1,1,10PE03359
US82108195,82,1,1,10PE03360
US82107968,82,1,1,10PE03363
US82107942,82,1,1,10PE03375
US82104599,82,1,1,10PE03376
US82105214,82,1,1,10PE03378
US82108048,82,1,1,10PE03379
US82107536,82,1,1,10PE03380
US82104627,82,1,1,10PE03393
US82104884,82,1,1,10PE03394
US82105043,82,1,1,10PE03395
US64108129,64,1,1,10PE03407
US82102898,82,1,1,10PE03415
US82107925,82,1,1,10PE03417
US82104336,82,1,1,10PE03422
US82108127,82,1,1,10PE03423
US82108173,82,1,1,10PE03424
US82101919,82,1,1,10PE03432
US82101895,82,1,1,10PE03437
US82107962,82,1,1,10PE03439
US82105027,82,1,1,10PE03440
US82104911,82,1,1,10PE03441
US64107572,64,1,1,10PE03442
US82107589,82,1,1,10PE03443
US82101541,82,1,1,10PE03444
US64107909,64,1,1,10PE03446
US82106468,82,1,1,10PE03447
US64105045,64,1,1,10PE03450
US82105085,82,1,1,10PE03453
US82104376,82,1,1,10PE03459
US82107714,82,1,1,10PE03464
US82100846,82,1,1,10PE03466
US82105355,82,1,1,10PE03470
US82105496,82,1,1,10PE03473
US82105964,82,1,1,10PE03474
US82102332,82,1,1,10PE03476
US82105493,82,1,1,10PE03477
US64108063,64,1,1,10PE03478
US82108076,82,1,1,10PE03479
US82107775,82,1,1,10PE03483
US64107774,64,1,1,10PE03486
US82107836,82,1,1,10PE03490
US82107646,82,1,1,10PE03491
US82106073,82,1,1,10PE03492
US82107575,82,1,1,10PE03493
US82102002,82,1,1,10PE03496
US82101056,82,1,1,10PE03501
US82108176,82,1,1,10PE03505
US82105186,82,1,1,10PE03506
US82108172,82,1,1,10PE03507
US82107558,82,1,1,10PE03508
US82104993,82,1,1,10PE03509
US82105215,82,1,1,10PE03510
US82106753,82,1,1,10PE03513
US82102297,82,1,1,10PE03515
US64107683,64,1,1,10PE03524
US82101305,82,1,1,10PE03527
US82108091,82,1,1,10PE03531
US82103414,82,1,1,10PE03540
US82106020,82,1,1,10PE03542
US64105047,64,1,1,10PE03544
US64108034,64,1,1,10PE03545
US82107865,82,1,1,10PE03547
US82108049,82,1,1,10PE03549
US64108205,64,1,1,10PE03554
US82108177,82,1,1,10PE03557
US82106288,82,1,1,10PE03558
US64105305,64,1,1,10PE03559
US82106300,82,1,1,10PE03568
US82102137,82,1,1,10PE03572
US82102065,82,1,1,10PE03575
US82101592,82,1,1,10PE03576
US82109291,82,1,1,10PE03579
US82103956,82,1,1,10PE03583
US82101943,82,1,1,10PE03591
US82107622,82,1,1,10PE03597
US82103280,82,1,1,10PE03598
US82107805,82,1,1,10PE03602
US82108056,82,1,1,10PE03607
US82107804,82,1,1,10PE03613
US64107606,64,1,1,10PE03614
US82101978,82,1,1,10PE03615
US82104809,82,1,1,10PE03617
US82101852,82,1,1,10PE03622
US82101258,82,1,1,10PE03628
US64107508,64,1,1,10PE03642
US82104056,82,1,1,10PE03646
US82106675,82,1,1,10PE03648
US82105809,82,1,1,10PE03654
US82107211,82,1,1,10PE03656
US82106755,82,1,1,10PE03662
US82104396,82,1,1,10PE03664
US82107850,82,1,1,10PE03665
US82103023,82,1,1,10PE03668
US82103432,82,1,1,10PE03672
US82103104,82,1,1,10PE03675
US82101363,82,1,1,10PE03679
US82104947,82,1,1,10PE03688
US82101313,82,1,1,10PE03690
US82107973,82,1,1,10PE03698
US82106086,82,1,1,10PE03700
US82108007,82,1,1,10PE03704
US82106134,82,1,1,10PE03705
US82101869,82,1,1,10PE03707
US82107510,82,1,1,10PE03710
US82106669,82,1,1,10PE03712
US82103897,82,1,1,10PE03713
US82105319,82,1,1,10PE03715
US64107759,64,1,1,10PE03717
US82102151,82,1,1,10PE03718
US64105080,64,1,1,10PE03721
US82102119,82,1,1,10PE03723
US82100134,82,1,1,10PE03724
US82106137,82,1,1,10PE03727
US82105470,82,1,1,10PE03732
US82106524,82,1,1,10PE03733
US82107607,82,1,1,10PE03735
US64107971,64,1,1,10PE03736
US82103469,82,1,1,10PE03738
US82103361,82,1,1,10PE03743
US82104955,82,1,1,10PE03747
US82104062,82,1,1,10PE03748
US82103210,82,1,1,10PE03750
US82107835,82,1,1,10PE03754
US82105790,82,1,1,10PE03756
US82107637,82,1,1,10PE03760
US82102192,82,1,1,10PE03761
US64104774,64,1,1,10PE03763
US82104453,82,1,1,10PE03764
US82107634,82,1,1,10PE03769
US82102429,82,1,1,10PE03771
US82107136,82,1,1,10PE03773
US82103239,82,1,1,10PE03777
US64107622,64,1,1,10PE03780
US64108040,64,1,1,10PE03782
US82107588,82,1,1,10PE03783
US64105413,64,1,1,10PE03784
US82106835,82,1,1,10PE03786
US64105468,64,1,1,10PE03788
US82107523,82,1,1,10PE03789
US82103849,82,1,1,10PE03794
US82107248,82,1,1,10PE03796
US82104567,82,1,1,10PE03800
US82104367,82,1,1,10PE03805
US82103331,82,1,1,10PE03806
US82105094,82,1,1,10PE03811
US82105781,82,1,1,10PE03813
US82100940,82,1,1,10PE03814
US82102460,82,1,1,10PE03816
US82101175,82,1,1,10PE03818
US82102360,82,1,1,10PE03820
US82107691,82,1,1,10PE03822
US82105737,82,1,1,10PE03824
US82102785,82,1,1,10PE03825
US82107970,82,1,1,10PE03828
US82102312,82,1,1,10PE03829
US82106635,82,1,1,10PE03831
US82104945,82,1,1,10PE03832
US82106672,82,1,1,10PE03833
US82102541,82,1,1,10PE03834
US82101121,82,1,1,10PE03838
US82103101,82,1,1,10PE03839
US82103685,82,1,1,10PE03841
US82102987,82,1,1,10PE03843
US82105499,82,1,1,10PE03844
US82105466,82,1,1,10PE03847
US82103057,82,1,1,10PE03848
US82107571,82,1,1,10PE03849
US64104983,64,1,1,10PE03850
US82105377,82,1,1,10PE03851
US82106421,82,1,1,10PE03854
US82101836,82,1,1,10PE03856
US82107893,82,1,1,10PE03858
US82106486,82,1,1,10PE03859
US82103699,82,1,1,10PE03861
US82108024,82,1,1,10PE03863
US82100904,82,1,1,10PE03864
US82104797,82,1,1,10PE03866
US82106322,82,1,1,10PE03867
US82107828,82,1,1,10PE03869
US82104946,82,1,1,10PE03870
US82101181,82,1,1,10PE03872
US64107570,64,1,1,10PE03874
US82103670,82,1,1,10PE03875
US82104830,82,1,1,10PE03876
US82102625,82,1,1,10PE03878
US82102991,82,1,1,10PE03880
US82105447,82,1,1,10PE03882
US82105275,82,1,1,10PE03884
US82103630,82,1,1,10PE03886
US82103228,82,1,1,10PE03888
US82105233,82,1,1,10PE03889
US82101754,82,1,1,10PE03890
US82102543,82,1,1,10PE03891
US82102286,82,1,1,10PE03893
US82100992,82,1,1,10PE03894
US82103454,82,1,1,10PE03895
US82105065,82,1,1,10PE03897
US82104828,82,1,1,10PE03899
US82104397,82,1,1,10PE03901
US82100806,82,1,1,10PE03903
US82103118,82,1,1,10PE03905
US82105084,82,1,1,10PE03907
US82105420,82,1,1,10PE03908
US82100821,82,1,1,10PE03909
US82100945,82,1,1,10PE03911
US82104185,82,1,1,10PE03912
US82103201,82,1,1,10PE03914
US82105155,82,1,1,10PE03916
US82101691,82,1,1,10PE03917
US82106926,82,1,1,10PE03918
US82103728,82,1,1,10PE03921
US82101746,82,1,1,10PE03923
US64107955,64,1,1,10PE03924
US82101037,82,1,1,10PE03925
US82102934,82,1,1,10PE03926
US82102810,82,1,1,10PE03927
US82100915,82,1,1,10PE03930
US64111943,64,1,1,11PE00134
US64115703,64,1,1,11PE01916
US82119157,82,1,1,11PE01918
US82116067,82,1,1,11PE01919
US82118938,82,1,1,11PE01920
US82119210,82,1,1,11PE01922
US82119116,82,1,1,11PE01924
US64119032,64,1,1,11PE01925
US64119067,64,1,1,11PE01927
US82118944,82,1,1,11PE01928
US82115652,82,1,1,11PE01929
US82119192,82,1,1,11PE01931
US64119303,64,1,1,11PE01932
US82115914,82,1,1,11PE01933
US82119214,82,1,1,11PE01934
US82119416,82,1,1,11PE01936
US82115759,82,1,1,11PE01937
US64115798,64,1,1,11PE01938
US64119061,64,1,1,11PE01939
US82119460,82,1,1,11PE01941
US82116164,82,1,1,11PE01943
US64119213,64,1,1,11PE01944
US82119382,82,1,1,11PE01945
US82119284,82,1,1,11PE01947
US64119016,64,1,1,11PE01948
US82118176,82,1,1,11PE01949
US82119491,82,1,1,11PE01951
US82119327,82,1,1,11PE01952
US82119312,82,1,1,11PE01953
US64119575,64,1,1,11PE01954
US82115217,82,1,1,11PE01955
US64119278,64,1,1,11PE01957
US82119034,82,1,1,11PE01958
US64114774,64,1,1,11PE01959
US82116209,82,1,1,11PE01961
US82119461,82,1,1,11PE01962
US82118115,82,1,1,11PE01964
US82116002,82,1,1,11PE01966
US82119283,82,1,1,11PE01968
US82115984,82,1,1,11PE01969
US82115893,82,1,1,11PE01970
US82117714,82,1,1,11PE01971
US82115319,82,1,1,11PE01973
US82115059,82,1,1,11PE01974
US64115413,64,1,1,11PE01975
US82114955,82,1,1,11PE01976
US82117833,82,1,1,11PE01978
