id10,breed,etag,sex,first_seen_row
2010700239,70,L0239,1,12PE01785
2011007410,00,H7410,1,13PE00007
2010004924,00,K4924,1,13PE02342
2012001459,00,Z1459,1,13PE02935
2011001457,00,Z1457,1,13PE02941
2011001449,00,Z1449,1,13PE02944
2012001460,00,Z1460,1,13PE02947
2012001454,00,Z1454,1,13PE02950
2012001456,00,Z1456,1,13PE02959
2011001458,00,Z1458,1,13PE02961
2012001455,00,Z1455,1,13PE03147
2013000732,00,S0732,1,16PE00307
2013000740,00,S0740,1,16PE00315
2014000742,00,S0742,1,16PE00316
2014000743,00,S0743,1,16PE00320
2014000737,00,S0737,1,16PE00330
2014000733,00,S0733,1,16PE00332
2013000739,00,S0739,1,16PE00340
2014003206,00,Z3206,1,16PE00344
2014000734,00,S0734,1,16PE00350
2014000736,00,S0736,1,16PE00357
2013000741,00,S0741,1,16PE00360
2014000735,00,S0735,1,16PE00367
2014000730,00,S0730,1,16PE00385
2014000738,00,S0738,1,16PE00685
2014006301,00,T6301,1,16PE00692
2014006299,00,T6299,1,16PE00693
2014006298,00,T6298,1,16PE00697
2014006300,00,T6300,1,16PE00712
2013006302,00,T6302,1,16PE00716
2014006297,00,T6297,1,16PE00746
2014003209,00,Z3209,1,16PE01099
2014003208,00,Z3208,1,16PE01100
2014003212,00,Z3212,1,16PE01105
2014003207,00,Z3207,1,16PE01111
2014003202,00,Z3202,1,16PE01116
2014003211,00,Z3211,1,16PE01126
2014003216,00,Z3216,1,16PE01142
2014003215,00,Z3215,1,16PE01147
2014003203,00,Z3203,1,16PE01165
2014003204,00,Z3204,1,16PE01202
2014003210,00,Z3210,1,16PE01226
2014003205,00,Z3205,1,16PE01244
2014003213,00,Z3213,1,16PE01314
2014003217,00,Z3217,1,16PE01319
2015001124,00,S1124,1,17PE00398
2015001126,00,S1126,1,17PE00449
2015001125,00,S1125,1,17PE00459
2016006578,00,T6578,1,17PE00761
2016006582,00,T6582,1,17PE00770
2016006581,00,T6581,1,17PE00771
2015006583,00,T6583,1,17PE00773
2015006579,00,T6579,1,17PE00801
2015006580,00,T6580,1,17PE00854
2015004086,00,Z4086,1,17PE01334
2015004103,00,Z4103,1,17PE01338
2016004109,00,Z4109,1,17PE01342
2014004085,00,Z4085,1,17PE01356
2015004105,00,Z4105,1,17PE01361
2015004106,00,Z4106,1,17PE01365
2015004100,00,Z4100,1,17PE01381
2016004110,00,Z4110,1,17PE01382
2015004108,00,Z4108,1,17PE01386
2015004102,00,Z4102,1,17PE01396
2015004101,00,Z4101,1,17PE01430
2015004104,00,Z4104,1,17PE01439
2015004099,00,Z4099,1,17PE01490
2015004107,00,Z4107,1,17PE02104
2016001497,00,S1497,1,18PE00392
2014001500,00,S1500,1,18PE00405
2016001501,00,S1501,1,18PE00411
2016001498,00,S1498,1,18PE00413
2016001499,00,S1499,1,18PE00416
2016006885,00,T6885,1,18PE00809
2016006883,00,T6883,1,18PE00817
2016006886,00,T6886,1,18PE00860
2016006884,00,T6884,1,18PE00910
2016005167,00,Z5167,1,18PE01459
2016005166,00,Z5166,1,18PE01462
2016005162,00,Z5162,1,18PE01465
2016005171,00,Z5171,1,18PE01509
2016005170,00,Z5170,1,18PE01513
2016005168,00,Z5168,1,18PE01523
2016005160,00,Z5160,1,18PE01532
2016005165,00,Z5165,1,18PE01570
2016005169,00,Z5169,1,18PE01577
2016005163,00,Z5163,1,18PE01600
2016005164,00,Z5164,1,18PE02488
2015001949,00,S1949,1,19PE00370
2015001941,00,S1941,1,19PE00382
2015001937,00,S1937,1,19PE00400
2015001932,00,S1932,1,19PE00424
2015001946,00,S1946,1,19PE00442
2014001936,00,S1936,1,19PE00445
2015001938,00,S1938,1,19PE00476
2015001945,00,S1945,1,19PE00575
2017007146,00,T7146,1,19PE01047
2017005242,00,K5242,1,19PE01552
2016005161,00,Z5161,1,19PE02116
2018000714,00,A0714,1,20PE00001
2019000715,00,A0715,1,20PE00032
2015001944,00,S1944,1,20PE00357
2017001940,00,S1940,1,20PE00370
2017001943,00,S1943,1,20PE00377
2017001947,00,S1947,1,20PE00390
2017001931,00,S1931,1,20PE00436
2018007471,00,Z7471,1,20PE01841
2019007690,00,T7690,1,21PE01023
2019007689,00,T7689,1,21PE01042
2017000040,00,Y0040,1,21PE01326
2016000041,00,Y0041,1,21PE01331
2019000155,00,Y0155,1,22PE01285
2020000154,00,Y0154,1,22PE01288
2018009747,00,Z9747,1,22PE02018
2021000304,00,Y0304,1,23PE01169
2021000305,00,Y0305,1,23PE01176
2022005149,00,S5149,1,24PE00400
2021000520,00,Y0520,1,24PE01038
2022000519,00,Y0519,1,24PE01041
2021000705,00,Y0705,1,25PE02954
2021000704,00,Y0704,1,25PE02974
