ID10,NOTE,YR,DAY,NOTEID
2021123273,Pulled 4-14-21,21,78,LNOTE21LA00826
2021123276,.,21,79,LNOTE21LA00901
2021123287,.,21,80,LNOTE21LA01001
2021123291,.,21,80,LNOTE21LA01014
2021123315,.,21,81,LNOTE21LA01160
2021123317,DamMastitis,21,81,LNOTE21LA01167
2021123321,HAIRY,21,81,LNOTE21LA01187
2021123326,.,21,82,LNOTE21LA01236
2021123329,.,21,82,LNOTE21LA01249
2021123335,1ST,21,82,LNOTE21LA02240
2021123372,HAIRY,21,83,LNOTE21LA01429
2021123376,PulmHemorrhage,21,83,LNOTE21LA01467
2021123381,Resp.,21,83,LNOTE21LA01484
2021123420,.,21,84,LNOTE21LA01678
2021123422,1ST.PINK,21,84,LNOTE21LA01687
2021123424,H.DamMastitis,21,84,LNOTE21LA01695
2021123427,.,21,84,LNOTE21LA01698
2021123432,HAIRY,21,84,LNOTE21LA01729
2021123434,.,21,85,LNOTE21LA01737
2021123438,.,21,85,LNOTE21LA01743
2021123441,.,21,85,LNOTE21LA01749
2021123444,.,21,85,LNOTE21LA01768
2021123446,HAIRY,21,85,LNOTE21LA01774
2021123447,HAIRY,21,85,LNOTE21LA01791
2021123451,.,21,85,LNOTE21LA01803
2021123464,1ST,21,85,LNOTE21LA01856
2021123474,.,21,86,LNOTE21LA01889
2021123475,HAIRY,21,86,LNOTE21LA01892
2021123477,.,21,86,LNOTE21LA01898
2021123479,.,21,86,LNOTE21LA01900
2021123484,.,21,86,LNOTE21LA01915
2021123486,.,21,86,LNOTE21LA01919
2021123488,.,21,86,LNOTE21LA01921
2021123490,HAIRY,21,86,LNOTE21LA01932
2021123495,PINK,21,86,LNOTE21LA01940
2021123507,.,21,86,LNOTE21LA01990
2021123513,HAIRY,21,86,LNOTE21LA02000
2021123525,.,21,87,LNOTE21LA02057
2021123539,.,21,87,LNOTE21LA02089
2021123541,PE,21,87,LNOTE21LA02092
2021123551,.,21,87,LNOTE21LA02126
2021123555,.,21,87,LNOTE21LA02130
2021123556,.,21,87,LNOTE21LA02133
2021123563,.,21,88,LNOTE21LA02168
2021123570,.,21,88,LNOTE21LA02184
2021123590,HAIRY,21,88,LNOTE21LA02235
2021123598,.,21,89,LNOTE21LA02293
2021123632,.,21,90,LNOTE21LA02396
2021123668,.,21,90,LNOTE21LA02467
2021123674,.,21,90,LNOTE21LA02476
2021123710,.,21,91,LNOTE21LA02563
2021123723,HAIRY,21,92,LNOTE21LA02598
2021123730,FTT.Orph405,21,92,LNOTE21LA02642
2021123737,PINK,21,93,LNOTE21LA02662
2021123741,.,21,93,LNOTE21LA02675
2021123762,.,21,93,LNOTE21LA02728
2021123764,.,21,93,LNOTE21LA02733
2021123771,.,21,93,LNOTE21LA02756
2021123774,HAIRY,21,94,LNOTE21LA02774
2021123786,.,21,94,LNOTE21LA02807
2021123789,HAIRY,21,94,LNOTE21LA02815
2021123791,.,21,94,LNOTE21LA02835
2021123794,1ST,21,94,LNOTE21LA02853
2021123796,.,21,94,LNOTE21LA02869
2021123808,1ST.PINK,21,95,LNOTE21LA02939
2021123822,PE,21,96,LNOTE21LA02991
2021123850,.,21,97,LNOTE21LA03090
2021457697,HAIRY,21,80,LNOTE21LA01049
2021457698,HAIRY,21,80,LNOTE21LA01084
2021457708,HAIRY,21,81,LNOTE21LA01196
2021457712,PINK,21,81,LNOTE21LA01212
2021457714,1ST.HAIRY,21,82,LNOTE21LA01253
2021457717,.,21,82,LNOTE21LA01312
2021457743,HAIRY,21,84,LNOTE21LA01642
2021457745,CRYPTORCHID,21,84,LNOTE21LA01662
2021457746,HAIRY,21,84,LNOTE21LA01670
2021457749,HAIRY,21,84,LNOTE21LA01700
2021457765,HAIRY,21,85,LNOTE21LA01828
2021457769,1ST,21,85,LNOTE21LA01850
2021457774,PINKDamPoorDoer,21,85,LNOTE21LA01879
2021457782,HAIRY,21,86,LNOTE21LA01903
2021457795,H.DamMastitis,21,86,LNOTE21LA02028
2021457805,1ST,21,87,LNOTE21LA02084
2021457809,HAIRY Rejected,21,87,LNOTE21LA02115
2021457812,.,21,87,LNOTE21LA02134
2021457814,1ST.HAIRY,21,87,LNOTE21LA02136
2021457819,Dam died,21,88,LNOTE21LA02158
2021457826,Pulled 4-21,21,88,LNOTE21LA02227
2021457843,.,21,89,LNOTE21LA02331
2021457845,.,21,89,LNOTE21LA02343
2021457881,Resp.,21,93,LNOTE21LA02686
2021457886,DamMilkDecrease,21,93,LNOTE21LA02745
2021457899,.,21,94,LNOTE21LA02872
2021457918,.,21,96,LNOTE21LA03018
2021457927,.,21,97,LNOTE21LA03084
2021510593,HAIRY,21,77,LNOTE21LA00727
2021510598,.,21,79,LNOTE21LA00876
2021510600,HAIRY,21,79,LNOTE21LA00961
2021510602,HAIRY,21,81,LNOTE21LA01120
2021510604,.,21,81,LNOTE21LA01173
2021510606,HAIRY,21,81,LNOTE21LA01214
2021510610,.,21,83,LNOTE21LA01483
2021510619,.,21,84,LNOTE21LA01722
2021510621,.,21,85,LNOTE21LA01778
2021510623,HAIRY,21,85,LNOTE21LA01823
2021510625,.,21,85,LNOTE21LA01863
2021510626,HAIRY,21,85,LNOTE21LA01866
2021510634,.,21,87,LNOTE21LA02142
2021510635,.,21,87,LNOTE21LA02207
2021510636,PE,21,88,LNOTE21LA02252
2021510637,.,21,89,LNOTE21LA02296
