ID10,DAMID
2010055553,2009054680
2010055554,2009054680
2010055555,2009054968
2010055556,2009054961
2010055557,2009055036
2010055558,2009055316
2010055559,2009055248
2010055560,2009055248
2010055561,2009055332
2010055562,2009055332
2010055563,2009054715
2010055564,2009054715
2010055565,2009054891
2010055566,2009054891
2010055567,2009054886
2010055568,2009054687
2010055569,2009054687
2010055570,2009054838
2010055571,2009055347
2010055572,2009054841
2010055573,2009054639
2010055574,2009054639
2010055575,2007053114
2010055576,2008044107
2010055577,2008044107
2010055578,2004050780
2010055579,2004050780
2010055580,2004050780
2010055581,2009055169
2010055582,2009055038
2010055583,2009054571
2010055584,2009054660
2010055585,2009054660
2010055586,2009054614
2010055587,2008043869
2010055588,2008043869
2010055589,2008043869
2010055590,2008054244
2010055591,2008054244
2010055592,2008054369
2010055593,2008054369
2010055594,2008053898
2010055595,2008053898
2010055596,2009054925
2010055597,2006052787
2010055598,2006052787
2010055599,2006052787
2010055600,2005051898
2010055602,2005051898
2010055603,2005051898
2010055604,2009055160
2010055605,2007053554
2010055606,2005051397
2010055607,2005051397
2010055608,2007053418
2010055609,2008054435
2010055610,2007053538
2010055611,2007053538
2010055612,2007053538
2010055613,2007053110
2010055614,2007053110
2010055615,2008053794
2010055616,2008053794
2010055617,2007053146
2010055618,2007053146
2010055619,2007053146
2010055620,2008054501
2010055621,2008054501
2010055622,2006052258
2010055623,2006052258
2010055624,2008054381
2010055625,2008054381
2010055626,2008054381
2010055627,2008054368
2010055628,2007053081
2010055629,2007053081
2010055630,2006052873
2010055631,2006052873
2010055632,2006052873
2010055633,2002049458
2010055634,2002049458
2010055635,2007053540
2010055636,2007053540
2010055637,2007053540
2010055638,2008054500
2010055639,2008054500
2010055640,2005051822
2010055641,2005051822
2010055642,2005051451
2010055643,2005051451
2010055644,2005051451
2010055645,2008054400
2010055646,2008053910
2010055647,2008053910
2010055648,2008053910
2010055649,2008054469
2010055650,2005051431
2010055651,2005051431
2010055652,2006052401
2010055653,2008054537
2010055654,2008054537
2010055655,2008054544
2010055656,2007053715
2010055657,2007053715
2010055658,2007053715
2010055659,2008053981
2010055660,2006052397
2010055661,2006052397
2010055662,2007053526
2010055663,2007053526
2010055664,2007053604
2010055665,2007053604
2010055666,2007053604
2010055667,2008054349
2010055668,2008054349
2010055669,2007053284
2010055670,2007053284
2010055671,2007053284
2010055672,2007053284
2010055673,2008044395
2010055674,2008044395
2010055675,2008053862
2010055676,2008053862
2010055677,2008053924
2010055678,2008053924
2010055679,2007053216
2010055680,2008054212
2010055681,2008054212
2010055682,2008054212
2010055683,2005051547
2010055684,2005051547
2010055685,2008053752
2010055686,2004051008
2010055687,2004051008
2010055688,2003050419
2010055689,2003050419
2010055690,2003050419
2010055691,2009054759
2010055692,2009054759
2010055693,2007053466
2010055694,2007053466
2010055695,2008054539
2010055696,2006052559
2010055697,2006052559
2010055698,2007053055
2010055699,2008054451
2010055700,2008054451
2010055701,2007053031
2010055702,2007053031
2010055703,2007053266
2010055704,2007053456
2010055705,2007053456
2010055706,2007053456
2010055707,2002049545
2010055708,2002049545
2010055709,2007053328
2010055710,2007053328
2010055711,2007053328
2010055712,2008054341
2010055713,2008054341
2010055714,2005051733
2010055715,2005051733
2010055716,2005051733
2010055717,2009055520
2010055718,2009054840
2010055719,2008054449
2010055720,2008054449
2010055721,2005051724
2010055722,2005051724
2010055723,2008053857
2010055724,2008053857
2010055725,2005051839
2010055726,2005051839
2010055727,2009055241
2010055728,2009055241
2010055729,2004051269
2010055730,2004051269
2010055731,2007053123
2010055732,2007053123
2010055733,2008054208
2010055734,2008054208
2010055735,2004051177
2010055736,2004051177
2010055737,2003050484
2010055738,2003050484
2010055739,2003050484
2010055740,2002049511
2010055741,2002049511
2010055742,2002049511
2010055743,2005051425
2010055744,2005051425
2010055745,2005052097
2010055746,2005052097
2010055747,2007053676
2010055748,2005051855
2010055749,2005051855
2010055750,2007053454
2010055751,2007053454
2010055752,2007053175
2010055753,2007053175
2010055754,2007053174
2010055755,2007053174
2010055756,2009055021
2010055757,2008054101
2010055758,2008054101
2010055759,2006052355
2010055760,2009055456
2010055761,2009055456
2010055762,2005051608
2010055763,2005051608
2010055764,2005051608
2010055765,2005051608
2010055766,2007053343
2010055767,2006052278
2010055768,2006052278
2010055769,2007053345
2010055770,2007053632
2010055771,2006052758
2010055772,2006052758
2010055773,2007053137
2010055774,2007053137
2010055775,2007053137
2010055776,2006052349
2010055777,2006052349
2010055778,2007053395
2010055779,2007053395
2010055780,2008054322
2010055781,2008054322
2010055782,2008054093
2010055783,2008054093
2010055784,2004050987
2010055785,2004050987
2010055786,2008054383
2010055787,2008054383
2010055788,2009055114
2010055789,2009055114
2010055790,2008054512
2010055791,2008054512
2010055792,2004051342
2010055793,2004051342
2010055794,2009055430
2010055795,2009055430
2010055796,2008054499
2010055797,2008054499
2010055798,2006052687
2010055799,2006052687
2010055800,2006052687
2010055801,2007053087
2010055802,2007053087
2010055803,2007053458
2010055804,2007053458
2010055805,2007053458
2010055806,2003050495
2010055807,2003050495
2010055808,2003050495
2010055809,2004050896
2010055810,2004050896
2010055811,2004050896
2010055812,2007053528
2010055813,2007053528
2010055814,2008054486
2010055815,2008054486
2010055816,2008044017
2010055817,2008044017
2010055818,2005051903
2010055819,2005051903
2010055820,2005051903
2010055821,2007053153
2010055822,2007053153
2010055823,2007053153
2010055824,2007053033
2010055825,2007053033
2010055826,2007053033
2010055827,2005052018
2010055828,2005052018
2010055829,2006052404
2010055830,2006052404
2010055831,2009055392
2010055832,2009055392
2010055833,2008054248
2010055834,2008054248
2010055835,2007053493
2010055836,2007053493
2010055837,2007053518
2010055838,2007053518
2010055839,2008054560
2010055840,2008054560
2010055841,2008054560
2010055842,2009054655
2010055843,2007053658
2010055844,2007053658
2010055845,2006052462
2010055846,2006052462
2010055847,2006052462
2010055848,2009055372
2010055849,2009055251
2010055850,2009055251
2010055851,2002049715
2010055852,2002049715
2010055853,2002049715
2010055854,2007053469
2010055855,2007053469
2010055856,2008053747
2010055857,2008053747
2010055858,2008053934
2010055859,2008053934
2010055860,2007053405
2010055861,2007053405
2010055862,2007053405
2010055863,2008054201
2010055864,2008054201
2010055865,2005051747
2010055866,2005051747
2010055867,2008054438
2010055868,2008054438
2010055869,2007053001
2010055870,2007053001
2010055871,2007053001
2010055872,2005051627
2010055873,2008054549
2010055874,2008054549
2010055875,2008054549
2010055876,2003050671
2010055877,2003050671
2010055878,2003050671
2010055879,2009055239
2010055880,2006052379
2010055881,2006052379
2010055882,2007052972
2010055883,2007052972
2010055884,2007053671
2010055885,2006052730
2010055886,2005051862
2010055887,2005051862
2010055888,2005051527
2010055889,2005051527
2010055890,2008054173
2010055891,2008053760
2010055892,2008053760
2010055893,2005051571
2010055894,2005051571
2010055895,2007053420
2010055896,2007053420
2010055897,2005051478
2010055898,2005051478
2010055899,2005051478
2010055900,2007053479
2010055901,2008054257
2010055902,2007053622
2010055903,2006052855
2010055904,2006052855
2010055905,2006052855
2010055906,2005051633
2010055907,2005051633
2010055908,2005051633
2010055909,2008054490
2010055910,2008054490
2010055911,2008054490
2010055912,2006052267
2010055913,2006052267
2010055914,2006052439
2010055915,2006052439
2010055916,2009055141
2010055917,2009055141
2010055918,2009055173
2010055919,2008054471
2010055920,2005051490
2010055921,2005051490
2010055922,2005051490
2010055923,2006052853
2010055924,2008053846
2010055925,2008053846
2010055926,2007053116
2010055927,2007053116
2010055928,2006052638
2010055929,2006052638
2010055930,2006052790
2010055931,2006052790
2010055932,2006052790
2010055933,2005052150
2010055934,2005052150
2010055935,2005051727
2010055936,2005051727
2010055937,2005051727
2010055938,2006052219
2010055939,2006052219
2010055940,2008054429
2010055941,2008054429
2010055942,2008044114
2010055943,2008044114
2010055944,2008044114
2010055945,2005051696
2010055946,2005051696
2010055947,2004050951
2010055948,2004050951
2010055949,2004050951
2010055950,2008054399
2010055951,2008054399
2010055952,2008054399
2010055953,2008043819
2010055954,2008043819
2010055955,2008043819
2010055956,2005051515
2010055957,2005051515
2010055958,2004051240
2010055959,2004051240
2010055960,2004051240
2010055961,2007053242
2010055962,2007053242
2010055963,2006052897
2010055964,2006052897
2010055965,2005051857
2010055966,2005051857
2010055967,2005051857
2010055968,2005051857
2010055969,2009055486
2010055970,2007053056
2010055971,2009055194
2010055972,2009055194
2010055973,2009054824
2010055974,2006052522
2010055975,2006052522
2010055976,2006052522
2010055977,2007053490
2010055978,2007053490
2010055979,2008053993
2010055980,2008054122
2010055981,2008054122
2010055982,2007053023
2010055983,2007053023
2010055984,2006052704
2010055985,2006052704
2010055986,2008054166
2010055987,2009055231
2010055988,2009055004
2010055989,2009055004
2010055990,2007053184
2010055991,2007053184
2010055992,2009055399
2010055993,2004051160
2010055994,2004051160
2010055995,2009055408
2010055996,2007052973
2010055997,2007052973
2010055998,2007052973
2010055999,2006052664
2010056000,2006052664
2010056001,2004051312
2010056002,2004051312
2010056003,2009055006
2010056004,2006052892
2010056005,2006052892
2010056006,2006052892
2010056007,2008054308
2010056008,2008054308
2010056009,2008054308
2010056010,2007053404
2010056011,2007053404
2010056012,2009055431
2010056013,2009055431
2010056014,2007053225
2010056015,2007052932
2010056016,2007052932
2010056017,2006052798
2010056018,2006052798
2010056019,2004051134
2010056020,2004051134
2010056021,2005051809
2010056022,2007053499
2010056023,2007053499
2010056024,2004051231
2010056025,2004051231
2010056026,2009055295
2010056027,2008053805
2010056028,2008053805
2010056029,2005051732
2010056030,2005051732
2010056031,2007053491
2010056032,2007053491
2010056033,2009054591
2010056034,2009054591
2010056035,2008053812
2010056036,2008053812
2010056037,2007053483
2010056038,2007053483
2010056039,2007053389
2010056040,2007053389
2010056041,2007053621
2010056042,2007053621
2010056043,2008054116
2010056044,2008054116
2010056045,2007053720
2010056046,2007053720
2010056047,2007053720
2010056048,2006052895
2010056049,2008053887
2010056050,2008053887
2010056051,2005052132
2010056052,2006052450
2010056053,2006052450
2010056054,2009055375
2010056055,2007053027
2010056056,2007053027
2010056057,2003050639
2010056058,2008053990
2010056059,2008053990
2010056060,2006052371
2010056061,2006052371
2010056062,2008044255
2010056063,2008044255
2010056064,2005051725
2010056066,2005051725
2010056067,2006052838
2010056068,2005051610
2010056069,2005051610
2010056070,2005051610
2010056071,2007053520
2010056072,2007053520
2010056074,2007053520
2010056075,2005051393
2010056076,2005051393
2010056077,2005051393
2010056078,2005051500
2010056079,2005051500
2010056080,2005051500
2010056081,2009054920
2010056082,2007053224
2010056083,2007053224
2010056084,2004051044
2010056085,2004051044
2010056086,2008054519
2010056087,2008054519
2010056088,2007053523
2010056089,2007053523
2010056090,2009054936
2010056091,2007053233
2010056092,2007053233
2010056093,2006052217
2010056094,2006052217
2010056095,2006052217
2010056096,2005051806
2010056097,2005051806
2010056098,2005051806
2010056099,2005051943
2010056100,2005051943
2010056101,2005051943
2010056102,2006052909
2010056103,2006052909
2010056104,2006052909
2010056105,2008054142
2010056106,2008054142
2010056107,2006052324
2010056108,2006052324
2010056109,2007053415
2010056110,2007053415
2010056111,2007053415
2010056112,2007053514
2010056113,2007053514
2010056114,2004051123
2010056115,2008054529
2010056116,2005051626
2010056117,2005051626
2010056118,2005052152
2010056119,2005052152
2010056120,2004051253
2010056121,2004051253
2010056122,2007053425
2010056123,2007053425
2010056124,2009055519
2010056125,2009055519
2010056126,2005051787
2010056127,2009054788
2010056128,2009054788
2010056129,2007053283
2010056130,2007053283
2010056131,2007053283
2010056132,2005051579
2010056133,2005051579
2010056134,2005051579
2010056135,2009055074
2010056136,2006052890
2010056137,2006052890
2010056138,2006052890
2010056139,2007053249
2010056140,2007053249
2010056141,2004050892
2010056142,2004050892
2010056143,2004050892
2010056144,2006052589
2010056145,2006052589
2010056146,2006052828
2010056147,2006052828
2010056148,2008054029
2010056149,2008054029
2010056150,2008054318
2010056151,2008054318
2010056152,2005051810
2010056153,2005051810
2010056154,2005051810
2010056155,2007053070
2010056156,2007053070
2010056157,2007053070
2010056158,2007053620
2010056159,2007053620
2010056160,2009055361
2010056161,2009055361
2010056162,2008054277
2010056163,2008054277
2010056164,2006052230
2010056165,2008054448
2010056166,2008054448
2010056167,2006052650
2010056168,2008054111
2010056169,2008054111
2010056170,2007053208
2010056171,2007052965
2010056172,2007052965
2010056173,2007052965
2010056174,2009055103
2010056175,2009055103
2010056176,2007053080
2010056177,2007053080
2010056178,2007053080
2010056179,2005051578
2010056180,2005051578
2010056181,2005051578
2010056182,2007053530
2010056183,2007053530
2010056184,2007053530
2010056185,2003050432
2010056186,2003050432
2010056187,2004050960
2010056188,2004050960
2010056189,2008054158
2010056190,2008054158
2010056191,2008054158
2010056192,2005052045
2010056193,2006052454
2010056194,2006052454
2010056195,2006052454
2010056196,2006052454
2010056197,2007053085
2010056198,2007053085
2010056199,2007053143
2010056200,2007053143
2010056201,2009055232
2010056202,2003050640
2010056203,2003050640
2010056204,2004051193
2010056205,2004051193
2010056206,2004051193
2010056207,2007053649
2010056208,2007053649
2010056209,2005051990
2010056210,2005051990
2010056211,2008054330
2010056212,2008054330
2010056213,2008054330
2010056214,2005051520
2010056215,2005051520
2010056216,2005051520
2010056217,2005051520
2010056218,2008054433
2010056219,2008054433
2010056220,2008054433
2010056221,2009055213
2010056222,2008054061
2010056223,2007053096
2010056224,2005051761
2010056225,2008054110
2010056226,2008054110
2010056227,2007053440
2010056228,2007053440
2010056229,2007053440
2010056230,2004051121
2010056231,2004051121
2010056232,2008813953
2010056233,2008813953
2010056234,2008054003
2010056235,2008054003
2010056236,2007053160
2010056237,2007053160
2010056238,2009055193
2010056239,2009055193
2010056240,2009055193
2010056241,2007053512
2010056242,2007053512
2010056243,2009055445
2010056244,2007053194
2010056245,2007053194
2010056246,2009054888
2010056247,2009054888
2010056248,2008054333
2010056249,2008054333
2010056250,2007053038
2010056251,2007053038
2010056252,2005051683
2010056253,2005051683
2010056254,2005051683
2010056255,2008054187
2010056256,2008054187
2010056257,2009055551
2010056258,2007053211
2010056259,2007053211
2010056260,2007053552
2010056261,2007053552
2010056262,2005051957
2010056263,2005051957
2010056264,2002049034
2010056265,2002049034
2010056266,2004050988
2010056267,2004050988
2010056268,2004050988
2010056269,2005051585
2010056270,2005051585
2010056271,2007053569
2010056272,2007053569
2010056273,2007053260
2010056274,2007053260
2010056275,2009055116
2010056276,2007053673
2010056277,2007053673
2010056278,2007053673
2010056279,2007053727
2010056280,2007053727
2010056281,2007053329
2010056282,2007053329
2010056283,2008054522
2010056284,2008054522
2010056285,2007053026
2010056286,2007053026
2010056287,2007053026
2010056288,2009055476
2010056289,2006052192
2010056290,2006052192
2010056291,2006052194
2010056292,2006052194
2010056293,2007053350
2010056294,2007053350
2010056295,2008053954
2010056296,2005051517
2010056297,2005051517
2010056298,2005051517
2010056299,2003050653
2010056300,2003050653
2010056301,2003050653
2010056302,2005051570
2010056303,2005051570
2010056304,2007053002
2010056305,2007053002
2010056306,2007053002
2010056307,2005052151
2010056308,2005052151
2010056309,2005052151
2010056310,2007053348
2010056311,2007053348
2010056312,2007053348
2010056313,2004051006
2010056314,2004051006
2010056315,2004051006
2010056316,2009055076
2010056317,2009055076
2010056318,2009055207
2010056319,2008054261
2010056320,2008054261
2010056321,2008054043
2010056322,2008054043
2010056323,2008054043
2010056324,2008053946
2010056325,2008053946
2010056326,2008053946
2010056327,2008053905
2010056328,2008053905
2010056329,2008053905
2010056330,2005051684
2010056331,2005051684
2010056332,2005051684
2010056333,2009055343
2010056334,2008053772
2010056335,2008053772
2010056336,2008053772
2010056337,2008054302
2010056338,2008054302
2010056339,2008054302
2010056340,2007053188
2010056341,2007053188
2010056342,2008054441
2010056343,2008054441
2010056344,2005051956
2010056345,2005051956
2010056346,2009055396
2010056347,2009055396
2010056348,2008054317
2010056349,2008054317
2010056350,2007053467
2010056351,2007053467
2010056352,2007053449
2010056353,2007053449
2010056354,2003050702
2010056355,2005051591
2010056356,2005051591
2010056357,2008054477
2010056358,2008054477
2010056359,2008054477
2010056360,2007053152
2010056361,2007053152
2010056362,2007053152
2010056363,2007053370
2010056364,2004050876
2010056365,2004050876
2010056366,2008054561
2010056367,2005051525
2010056368,2005051525
2010056369,2004050871
2010056370,2004051338
2010056371,2004051338
2010056372,2008054125
