PREDICTEDID10,PREFERREDDAM,PREFDAMBRD,PREFERREDSIRE,PREFSIREBRD
2010828436,2008825968,82,US82105968,82
2010828437,2008826790,82,US82106790,82
D201057031,2008825703,82,US82105703,82
D201057032,2008825703,82,US82105703,82
D201059561,2008825956,82,US82105956,82
D201059562,2008825956,82,US82105956,82
2010828439,2008826766,82,US82106766,82
2010828440,2008826766,82,US82106766,82
2010828441,2008826286,82,US82106286,82
2010828442,2008826286,82,US82106286,82
2010828443,2008825872,82,US82105872,82
2010828438,2001112894,11,US82102894,82
D201028942,2001112894,11,US82102894,82
2010828444,2008826100,82,US82106100,82
2010828445,2008826079,82,US82106079,82
2010828446,2008826079,82,US82106079,82
2010828447,2008826401,82,US82106401,82
2010828448,2008826401,82,US82106401,82
2010828449,2008826401,82,US82106401,82
2010828450,2008826743,82,US82106743,82
D201064691,2008826469,82,US82106469,82
D201064692,2008826469,82,US82106469,82
D201064261,2008826426,82,US82106426,82
D201064262,2008826426,82,US82106426,82
2010828451,2008826396,82,US82106396,82
2010828452,2008826396,82,US82106396,82
2010828453,2008826170,82,US82106170,82
2010828454,2008826092,82,US82106092,82
2010828455,2008826092,82,US82106092,82
2010828456,2008826092,82,US82106092,82
2010828457,2008826764,82,US82106764,82
2010828458,2008826022,82,US82106022,82
2010828459,2008826037,82,US82106037,82
2010828460,2008826233,82,US82106233,82
2010828461,2008826233,82,US82106233,82
2010828462,2008826655,82,US82106655,82
D201058961,2008825896,82,US82105896,82
D201058962,2008825896,82,US82105896,82
D201064911,2008826491,82,US82106491,82
2010828463,2008826068,82,US82106068,82
2010828464,2008826068,82,US82106068,82
2010828465,2008825800,82,US82105800,82
D201058002,2008825800,82,US82105800,82
D201058141,2008825814,82,US82105814,82
D201058142,2008825814,82,US82105814,82
2010828466,2008825932,82,US82105932,82
2010828467,2008825932,82,US82105932,82
2010828468,2008826274,82,US82106274,82
2010828469,2008826694,82,US82106694,82
2010828470,2008826694,82,US82106694,82
2010828471,2008825830,82,US82105830,82
2010828472,2008825830,82,US82105830,82
2010828473,2008826784,82,US82106784,82
2010828474,2008826784,82,US82106784,82
D201064411,2008826441,82,US82106441,82
D201057601,2008825760,82,US82105760,82
D201057602,2008825760,82,US82105760,82
D201063661,2008826366,82,US82106366,82
D201063662,2008826366,82,US82106366,82
D201068401,2008826840,82,US82106840,82
D201068402,2008826840,82,US82106840,82
D201058821,2008825882,82,US82105882,82
D201064531,2008826453,82,US82106453,82
D201064532,2008826453,82,US82106453,82
D201057951,2008825795,82,US82105795,82
2010828475,2008826600,82,US82106600,82
2010828476,2008826600,82,US82106600,82
2010828477,2008826280,82,US82106280,82
2010644606,2008644201,64,2008644321,64
2010644607,2008644201,64,2008644321,64
D201075091,2009827509,82,2009827402,82
D201052651,2009055265,05,2009055136,05
D201026371,2009452637,45,US45102637,45
D201050131,2009055013,05,2009055136,05
D201054651,2009055465,05,US82115465,82
D201054652,2009055465,05,US82115465,82
D201063031,2008826303,82,2009827276,82
D201027911,2009452791,45,2008452224,45
D201062671,2008826267,82,2009827353,82
D201048471,2009054847,05,2009054723,05
D201048472,2009054847,05,2009054723,05
D201072261,2009827226,82,2009827402,82
D201072262,2009827226,82,2009827402,82
D201021761,2008452176,45,2009452648,45
D201021762,2008452176,45,2009452648,45
D201017561,2007451756,45,US45101756,45
D201017562,2007451756,45,US45101756,45
D201062271,2008826227,82,US82106227,82
D201021991,2006052199,05,US05102199,05
D201023301,2008452330,45,2009452566,45
D201045771,2009054577,05,US64114577,64
D201057121,2008825712,82,2009827416,82
D201057122,2008825712,82,2009827416,82
D201062721,2008826272,82,US82106272,82
D201062722,2008826272,82,US82106272,82
D201081051,2002818105,81,US81108105,81
