PREDICTEDID10,PREFERREDDAM,PREFDAMBRD,PREFERREDSIRE,PREFSIREBRD
D201081052,2002818105,81,US81108105,81
D201063781,2008826378,82,2009827276,82
D201098231,2004449823,44,2008452224,45
D201098232,2004449823,44,2008452224,45
D201015091,2007451509,45,2008452281,45
D201013361,2007451336,45,2008452281,45
2010700043,2007825312,82,2008825716,82
2010055553,2009054680,05,2008054211,05
2010055554,2009054680,05,2008054211,05
2010828479,2008644174,64,2007824409,82
D201042841,2008644284,64,2008826217,82
D201042842,2008644284,64,2008826217,82
D201024801,2002642480,64,US64102480,64
D201024802,2002642480,64,US64102480,64
2010452847,2007451722,45,2008451960,45
2010452848,2007451722,45,2008451960,45
D201013121,2007451312,45,US45101312,45
D201008261,2006450826,45,2009452734,45
D201045881,2009054588,05,US64114588,64
D201045981,2009644598,64,2007825140,82
D201045982,2009644598,64,2007825140,82
D201022511,2008452251,45,2007451661,45
D201028061,2009452806,45,US45102806,45
D201054911,2009055491,05,US05105491,05
D201074651,2009117465,11,2008000010,00
D201074652,2009117465,11,2008000010,00
D201031331,2006823133,82,2009827416,82
D201031332,2006823133,82,2009827416,82
D201062911,2008826291,82,2009827353,82
D201025051,2005822505,82,US82102505,82
D201025052,2005822505,82,US82102505,82
D201063991,2008826399,82,2008826506,82
2010828480,2008826399,82,2008826506,82
2010700044,2008825810,82,2008826090,82
D201071781,2008827178,82,2007825140,82
D201071782,2008827178,82,2007825140,82
D201028781,2003642878,64,US64102878,64
D201028782,2003642878,64,US64102878,64
D201050191,2009055019,05,US82115019,82
D201057841,2008825784,82,US82105784,82
D201057842,2008825784,82,US82105784,82
2010828481,2007644036,64,2008826506,82
2010452849,2008452301,45,2007451486,45
2010452850,2008452301,45,2007451486,45
2010452851,2005450343,45,2008451926,45
2010700045,2008825811,82,2008825716,82
2010700046,2008825811,82,2008825716,82
2010452852,2008452011,45,2008451926,45
2010452853,2008451876,45,2007451609,45
2010644608,2006643586,64,2008644321,64
2010644609,2006643586,64,2008644321,64
D201072361,2009827236,82,2009827353,82
D201079001,2009827900,82,US82107900,82
D201080751,2009828075,82,US82108075,82
D201080752,2009828075,82,US82108075,82
D201047851,2009054785,05,2009006532,00
D201072201,2009827220,82,2009644423,64
2010828482,2007824308,82,2008826687,82
2010828483,2007824308,82,2008826687,82
D201035151,2006823515,82,2008826042,82
2010828484,2006823515,82,2008826042,82
2010452854,2007451507,45,2008452224,45
2010055555,2009054968,05,2008054337,05
2010828485,2008826965,82,2007825140,82
D201069652,2008826965,82,2007825140,82
D201069653,2008826965,82,2007825140,82
2010828486,2008826965,82,2007825140,82
2010452855,2008452041,45,2008452028,45
D201082861,2009828286,82,2009827737,82
D201082862,2009828286,82,2009827737,82
D201043531,2008644353,64,US64104353,64
D201041911,2008644191,64,2007825140,82
D201068771,2008826877,82,2009827894,82
D201068772,2008826877,82,2009827894,82
D201046841,2007824684,82,2009827416,82
D201067151,2008826715,82,2009827276,82
D201067152,2008826715,82,2009827276,82
D201029851,2007052985,05,US82112985,82
D201029852,2007052985,05,US82112985,82
D201026991,2006052699,05,US05102699,05
D201041441,2007644144,64,2008644312,64
2010828487,2007824796,82,2008825886,82
2010828488,2007824796,82,2008825886,82
2010452856,2008452296,45,2007451486,45
2010644610,2006643589,64,2008644272,64
2010644611,2006643589,64,2008644272,64
2010828489,2006822995,82,2008000091,00
2010452857,2008452017,45,2007451486,45
D201031711,2007053171,05,2009055142,05
D201031712,2007053171,05,2009055142,05
2010828490,2005643528,64,2008826506,82
2010828491,2005643528,64,2008826506,82
2010644612,2008644254,64,2008644267,64
2010644613,2008644254,64,2008644267,64
2010055556,2009054961,05,2008054211,05
D201049612,2009054961,05,2008054211,05
2010700047,2007824730,82,2008825716,82
D201047302,2007824730,82,2008825716,82
2010828492,2007825388,82,2007825140,82
2010828493,2007825388,82,2007825140,82
2010452858,2008452071,45,2008452028,45
2010452859,2007451421,45,2008451923,45
2010452860,2007451421,45,2008451923,45
2010700048,2008825960,82,2008826950,82
2010828494,2008644410,64,2008826539,82
2010828495,2008644410,64,2008826539,82
2010700049,2007825173,82,2008825716,82
2010700050,2007825173,82,2008825716,82
2010700051,2007825173,82,2008825716,82
2010828496,2007824794,82,2008826042,82
2010828497,2007824794,82,2008826042,82
2010452861,2008452048,45,2008452322,45
2010644614,2005643283,64,2008644321,64
2010700052,2007824487,82,2008825725,82
2010700053,2007824487,82,2008825725,82
2010828498,2008825748,82,2008644233,64
2010828499,2008825748,82,2008644233,64
2010828500,2007824679,82,2008826042,82
2010828501,2007824679,82,2008826042,82
2010828502,2008826133,82,2007825140,82
2010828503,2008826133,82,2007825140,82
2010828504,2007824994,82,2008826539,82
2010828505,2008826252,82,2007643987,64
D201021141,2008452114,45,2009452424,45
2010828506,2006643663,64,2008826042,82
2010828507,2006643663,64,2008826042,82
2010828508,2006823123,82,2007643987,64
2010828509,2006823123,82,2007643987,64
2010828510,2007824756,82,2007825140,82
2010828511,2007824756,82,2007825140,82
2010452862,2007451530,45,2008451982,45
2010452863,2007451530,45,2008451982,45
2010828512,2006823433,82,2008000091,00
2010828513,2006823433,82,2008000091,00
2010828514,2007825326,82,2008000091,00
2010828515,2007825326,82,2008000091,00
2010828516,2003819175,81,2008826539,82
2010828517,2003819175,81,2008826539,82
2010452864,2007451537,45,2008451960,45
2010452865,2007451537,45,2008451960,45
2010452866,2008451952,45,2008451949,45
2010452867,2008451952,45,2008451949,45
2010828518,2007644031,64,2007825398,82
2010828519,2007644031,64,2007825398,82
2010828520,2005643514,64,2007824409,82
2010828521,2005643514,64,2007824409,82
2010828524,2008644344,64,2008826025,82
2010828525,2008644344,64,2008826025,82
2010828526,2007643937,64,2008826025,82
2010828527,2007643937,64,2008826025,82
2010644615,2007644068,64,2008644321,64
2010644616,2007644068,64,2008644321,64
2010452868,2008452306,45,2008451894,45
2010452869,2008452306,45,2008451894,45
2010700054,2008826520,82,2008826816,82
2010700055,2008826520,82,2008826816,82
2010828528,2002817913,81,2008000017,00
2010452870,2008452039,45,2008451949,45
2010452871,2006450799,45,2008452044,45
2010452872,2006450799,45,2008452044,45
2010828529,2008825787,82,2008825886,82
2010828530,2008825787,82,2008825886,82
2010828531,2008826085,82,2008826506,82
D201060852,2008826085,82,2008826506,82
2010452873,2002449126,44,2007451615,45
2010828532,2008644357,64,2008826775,82
D201054741,2009055474,05,2009055136,05
2010828533,2008826154,82,2008826687,82
2010828534,2008826154,82,2008826687,82
2010828535,2007825019,82,2008825886,82
2010828536,2007825019,82,2008825886,82
2010828537,2009827399,82,2006000535,00
2010452874,2008451856,45,2008452247,45
2010452875,2008452075,45,2008451894,45
2010452876,2008452075,45,2008451894,45
2010828538,2008826532,82,2008826539,82
2010828539,2008644251,64,2008826217,82
2010828540,2008644251,64,2008826217,82
D201020571,2008042057,04,US04102057,04
D201020572,2008042057,04,US04102057,04
2010452877,2008452092,45,2008451982,45
2010452878,2008452092,45,2008451982,45
2010828541,2008825877,82,2008826506,82
2010828542,2008825877,82,2008826506,82
2010644617,2003642857,64,2008644267,64
2010644618,2003642857,64,2008644267,64
D201050501,2009055050,05,2009006534,00
D201050502,2009055050,05,2009006534,00
2010452879,2008451941,45,2008452224,45
2010700056,2009827273,82,2008825950,82
2010700057,2009827350,82,2008825950,82
2010452880,2007451424,45,2008451949,45
2010452881,2008452047,45,2008452247,45
2010452882,2008452047,45,2008452247,45
2010452883,2008451871,45,2007451615,45
2010828543,2009827682,82,US82107682,82
2010700058,2008825951,82,2008825725,82
2010452884,2008452040,45,2007451615,45
2010452885,2008452040,45,2007451615,45
2010828545,2007824912,82,2008000017,00
2010828546,2007824912,82,2008000017,00
D201073491,2008117349,11,US11107349,11
D201073492,2008117349,11,US11107349,11
2010452886,2004450035,45,2008452224,45
2010452887,2004450035,45,2008452224,45
2010644619,2004643072,64,2008644272,64
2010644620,2004643072,64,2008644272,64
2010700059,2007824614,82,2008825716,82
2010700060,2007824614,82,2008825716,82
2010828549,2006450963,45,US82100963,82
2010828550,2006450963,45,US82100963,82
2010828551,2006450963,45,US82100963,82
2010644621,2007643883,64,2008644272,64
2010644622,2007643883,64,2008644272,64
2010644623,2007644106,64,2008644272,64
2010644624,2007644106,64,2008644272,64
D201072461,2009827246,82,2008004737,00
D201072462,2009827246,82,2008004737,00
D201049071,2009054907,05,US05104907,05
D201049072,2009054907,05,US05104907,05
2010828522,2007644034,64,2008826539,82
2010828523,2007644034,64,2008826539,82
2010828552,2007643918,64,2008826025,82
2010828553,2007643918,64,2008826025,82
2010452888,2007451300,45,2008451894,45
2010452889,2007451300,45,2008451894,45
2010452890,2007451366,45,2008451949,45
2010452891,2007451366,45,2008451949,45
2010828554,2007644104,64,2008826217,82
2010828555,2008826047,82,2007644090,64
2010452894,2004449945,44,2008451949,45
2010828556,2007824539,82,2008826687,82
2010644625,2008644241,64,2007644107,64
2010644626,2004643035,64,2008644267,64
2010644627,2004643035,64,2008644267,64
2010452895,2008451880,45,2008451982,45
2010452896,2008451880,45,2008451982,45
2010828557,2007824394,82,2008826539,82
2010828558,2005643522,64,2008826042,82
2010828559,2008644414,64,2008000091,00
2010700061,2007824910,82,2008825716,82
2010700062,2007824910,82,2008825716,82
2010828560,2009828119,82,US82108119,82
2010452897,2002448938,44,2008451923,45
2010452898,2002448938,44,2008451923,45
2010452899,2008452125,45,2008451926,45
2010452900,2008452125,45,2008451926,45
2010452901,2003449587,44,2008452044,45
2010452902,2003449587,44,2008452044,45
2010452903,2006451079,45,2007451486,45
2010452904,2006451079,45,2007451486,45
2010700063,2008826550,82,2008825863,82
2010700064,2006823254,82,2008825725,82
D201032542,2006823254,82,2008825725,82
D201076281,2009827628,82,2010644665,64
2010700065,2008826082,82,2008825725,82
2010700066,2008826082,82,2008825725,82
2010828561,2007825017,82,2008826687,82
2010828562,2008644411,64,2008826506,82
2010828563,2008644411,64,2008826506,82
2010828564,2009827463,82,2008008110,00
2010828565,2004643013,64,2007825398,82
2010828566,2004643013,64,2007825398,82
2010828567,2004643013,64,2007825398,82
D201030134,2004643013,64,2007825398,82
2010452905,2007451320,45,2008452281,45
2010452906,2007451320,45,2008452281,45
2010452907,2005450233,45,2007451486,45
2010452908,2005450233,45,2007451486,45
2010700067,2006823386,82,2008825716,82
2010700068,2006823386,82,2008825716,82
2010452909,2005450751,45,2007451609,45
2010452910,2005450751,45,2007451609,45
2010452911,2007451373,45,2008451926,45
2010452912,2007451373,45,2008451926,45
2010452913,2006451160,45,2008452322,45
2010452914,2006451160,45,2008452322,45
2010828625,2009827658,82,2008826202,82
2010452915,2008452326,45,2007451486,45
2010452916,2008452326,45,2007451486,45
2010452917,2008452212,45,2008452322,45
2010452918,2008452212,45,2008452322,45
2010828568,2008826353,82,2008826539,82
2010828569,2008826353,82,2008826539,82
2010452919,2006451047,45,2008451982,45
2010452920,2006451047,45,2008451982,45
2010828570,2006643714,64,2008000017,00
2010828571,2006643714,64,2008000017,00
2010828572,2007643951,64,2007825398,82
2010644628,2005643446,64,2008644267,64
2010828573,2006643629,64,2008826217,82
2010828574,2006643629,64,2008826217,82
2010828575,2006643720,64,2007824409,82
2010828576,2006643720,64,2007824409,82
2010452921,2006451202,45,2008452044,45
2010452922,2006451202,45,2008452044,45
2010452923,2006450986,45,2008452224,45
2010828577,2006823584,82,2008825886,82
2010828578,2006823584,82,2008825886,82
2010452924,2005450371,45,2008451960,45
2010452925,2005450371,45,2008451960,45
2010828579,2008826110,82,2008000017,00
2010828580,2008826110,82,2008000017,00
2010828581,2005822326,82,2008826539,82
2010828582,2005822326,82,2008826539,82
D201031141,2007053114,05,2008000965,00
2010055575,2007053114,05,2008000965,00
2010828583,2007824427,82,2008826506,82
2010828584,2007824427,82,2008826506,82
2010452926,2004449949,44,2008452044,45
2010452927,2004449949,44,2008452044,45
2010828585,2007825305,82,2008826539,82
2010828586,2007825305,82,2008826539,82
2010452928,2007451357,45,2008451894,45
2010828587,2008825870,82,2008826539,82
2010828588,2008825870,82,2008826539,82
2010452892,2006451125,45,2008452044,45
2010452893,2006451125,45,2008452044,45
2010452929,2008452175,45,2008452044,45
2010452930,2008452175,45,2008452044,45
2010828589,2004821393,82,2008826539,82
2010828590,2004821393,82,2008826539,82
2010828591,2008825771,82,2008826539,82
2010828592,2008825771,82,2008826539,82
2010700070,2008826502,82,2008825863,82
2010700071,2008826502,82,2008825863,82
2010700072,2008826502,82,2008825863,82
2010828593,2009827677,82,2008826202,82
2010452931,2005450627,45,2008451923,45
2010452932,2008452105,45,2008452281,45
2010452933,2008452105,45,2008452281,45
2010452934,2007451522,45,2008452281,45
2010452935,2007451522,45,2008452281,45
2010700073,2007824729,82,2008826090,82
2010700074,2007824729,82,2008826090,82
2010452936,2008452054,45,2008451926,45
2010452937,2008452054,45,2008451926,45
2010452938,2007451510,45,2008451926,45
2010452939,2007451510,45,2008451926,45
2010452940,2007451510,45,2008451926,45
2010700075,2008826466,82,2008825716,82
2010700076,2008826292,82,2008825725,82
2010828594,2004821054,82,2007643987,64
2010828595,2004821054,82,2007643987,64
2010828596,2004821436,82,2008826539,82
2010828597,2008826459,82,2007825140,82
2010828598,2008826459,82,2007825140,82
2010452941,2008452218,45,2008451923,45
2010452942,2004450155,45,2008452281,45
2010452943,2004450155,45,2008452281,45
2010452944,2007451454,45,2008452044,45
2010828599,2008826113,82,2008825886,82
2010828600,2009827745,82,US82107745,82
2010452945,2007451659,45,2008452028,45
2010452946,2008452080,45,2007451609,45
2010452947,2008452080,45,2007451609,45
2010452948,2005450358,45,2008452224,45
2010452949,2005450358,45,2008452224,45
2010452950,2007451433,45,2007451609,45
2010452951,2007451433,45,2007451609,45
2010700077,2009827310,82,2008826640,82
2010700078,2009827310,82,2008826640,82
2010452952,2007451422,45,2008451894,45
2010452953,2007451422,45,2008451894,45
2010452954,2008452043,45,2008451982,45
2010452955,2008452043,45,2008451982,45
2010452956,2007451293,45,2007451615,45
2010452957,2007451293,45,2007451615,45
2010828601,2008644400,64,2008826217,82
2010828602,2008644400,64,2008826217,82
2010828603,2005822577,82,2007643987,64
2010452958,2005450456,45,2008452028,45
2010452959,2005450456,45,2008452028,45
2010452960,2006451089,45,2008451982,45
2010452961,2006451089,45,2008451982,45
2010700079,2008826235,82,2008825716,82
2010700080,2008826235,82,2008825716,82
2010828604,2009827397,82,2008826202,82
2010452962,2006450852,45,2008452322,45
D201075651,2009117565,11,US82117565,82
2010828605,2009827941,82,US82107941,82
2010452963,2007451532,45,2008451960,45
2010055557,2009055036,05,2008054357,05
D201045841,2009054584,05,2009006531,00
D201045842,2009054584,05,2009006531,00
2010828606,2008825970,82,2008826042,82
2010828607,2008825871,82,2008826687,82
2010828608,2008825871,82,2008826687,82
2010452964,2007451473,45,2008452044,45
2010700081,2007825491,82,2008825863,82
2010452965,2007451299,45,2007451486,45
2010700082,2007825446,82,2008826950,82
2010452966,2008452297,45,2008452247,45
2010828609,2006823387,82,2008000017,00
2010828610,2006823387,82,2008000017,00
2010828611,2009055385,05,US82105385,82
2010828612,2005822678,82,2007643987,64
2010828613,2005822678,82,2007643987,64
2010452967,2007451654,45,2008451923,45
2010452968,2007451654,45,2008451923,45
2010828614,2009827983,82,US64107983,64
2010828615,2009827983,82,US64107983,64
2010700083,2007825079,82,2008825725,82
2010644629,2005643499,64,2007644107,64
2010644630,2005643499,64,2007644107,64
2010700084,2008826703,82,2008825863,82
2010828616,2008644234,64,2008826687,82
2010452969,2008452308,45,2008452281,45
2010452970,2008452308,45,2008452281,45
2010700085,2007824847,82,2008825863,82
2010828617,2007824412,82,2008825886,82
2010828618,2007824412,82,2008825886,82
2010828619,2007825276,82,2007825140,82
2010828620,2007825276,82,2007825140,82
2010828621,2007644096,64,2008826025,82
2010828622,2007644096,64,2008826025,82
2010828623,2009828015,82,US64108015,64
2010828624,2009828015,82,US64108015,64
2010452971,2007451660,45,2008452281,45
2010452972,2007451660,45,2008452281,45
2010452973,2007451274,45,2008451982,45
2010452974,2007451274,45,2008451982,45
2010700086,2008826734,82,2008826950,82
2010700087,2008826734,82,2008826950,82
2010452975,2006451131,45,2008451949,45
2010452976,2006451131,45,2008451949,45
2010452977,2007451331,45,2008452247,45
2010644631,2002642333,64,2007644107,64
2010644632,2002642333,64,2007644107,64
2010452978,2006450857,45,2007451486,45
2010452979,2007451350,45,2008451923,45
2010452980,2007451350,45,2008451923,45
2010828626,2003819611,81,2008000017,00
2010828627,2003819611,81,2008000017,00
2010828628,2003819611,81,2008000017,00
2010452981,2008451854,45,2008451960,45
D201018542,2008451854,45,2008451960,45
2010700088,2007824917,82,2008826090,82
2010700089,2009827207,82,2008826640,82
2010700090,2009827773,82,2008826816,82
2010700091,2009827773,82,2008826816,82
2010452982,2006451093,45,2008451923,45
2010452983,2006451093,45,2008451923,45
2010452984,2006451093,45,2008451923,45
2010644633,2008644176,64,2007644107,64
2010644634,2008644176,64,2007644107,64
2010452985,2008451849,45,2008451926,45
D201018492,2008451849,45,2008451926,45
2010828629,2005822621,82,2008826687,82
2010828630,2005822621,82,2008826687,82
2010828631,2005822774,82,2007644090,64
2010828632,2005822774,82,2007644090,64
2010828633,2005822774,82,2007644090,64
2010828634,2009827877,82,US82107877,82
2010700092,2009827798,82,2008826670,82
2010055558,2009055316,05,2008053921,05
2010828635,2007825223,82,2008825886,82
2010828636,2007825223,82,2008825886,82
2010828637,2007644041,64,2007824570,82
2010828638,2007644029,64,2007824409,82
2010828639,2007644029,64,2007824409,82
2010452986,2005450538,45,2007451609,45
2010452987,2005450538,45,2007451609,45
2010452988,2007451787,45,2008451923,45
2010700093,2008825851,82,2008825863,82
2010700094,2008825851,82,2008825863,82
2010452989,2005450313,45,2008452044,45
2010452990,2005450313,45,2008452044,45
2010452991,2004449842,44,2008451982,45
2010452992,2004449842,44,2008451982,45
2010828640,2007644065,64,2007825398,82
2010452993,2008452217,45,2008451923,45
2010452994,2008452217,45,2008451923,45
2010828641,2006823217,82,2008825886,82
2010828642,2006823217,82,2008825886,82
2010828643,2007825375,82,2008826687,82
2010828644,2007825375,82,2008826687,82
2010700095,2006823420,82,2008825725,82
2010700096,2006823420,82,2008825725,82
2010700097,2006823420,82,2008825725,82
2010452995,2008451931,45,2007451615,45
2010452996,2002449325,44,2008451949,45
D201093252,2002449325,44,2008451949,45
2010452997,2008451989,45,2008451982,45
2010452998,2009452790,45,2006450863,45
2010452999,2005450657,45,2008452247,45
2010828645,2005822737,82,2008826506,82
2010828646,2005822737,82,2008826506,82
2010453000,2008452062,45,2007451609,45
2010453001,2007451732,45,2008451960,45
2010453002,2007451732,45,2008451960,45
2010453003,2007451464,45,2008452322,45
2010644635,2006643677,64,2008644267,64
D201036772,2006643677,64,2008644267,64
2010453004,2008451929,45,2007451609,45
2010453005,2007451599,45,2008452247,45
2010453006,2007451599,45,2008452247,45
2010700098,2009827369,82,2008825950,82
2010828647,2006643639,64,2008826025,82
2010828648,2006643639,64,2008826025,82
2010453007,2007451673,45,2008452224,45
2010453008,2007451673,45,2008452224,45
2010828649,2005643466,64,2008826217,82
2010453009,2007451520,45,2008451982,45
2010453010,2007451520,45,2008451982,45
2010828650,2008826258,82,2008000091,00
2010828651,2008826258,82,2008000091,00
2010828652,2006823201,82,2008825886,82
2010828653,2006823201,82,2008825886,82
2010453011,2008451907,45,2007451486,45
2010453012,2008451907,45,2007451486,45
2010453013,2007451622,45,2008451894,45
2010453014,2007451622,45,2008451894,45
2010453015,2006451110,45,2008451926,45
2010055559,2009055248,05,2008054357,05
2010055560,2009055248,05,2008054357,05
2010453016,2004450106,45,2008452322,45
2010453017,2004450106,45,2008452322,45
2010453018,2006451090,45,2008452028,45
2010453019,2006451090,45,2008452028,45
2010453020,2008451850,45,2008452224,45
2010453021,2008451850,45,2008452224,45
2010453022,2006451264,45,2007451615,45
2010453023,2006451264,45,2007451615,45
2010700099,2008827120,82,2008825863,82
2010700100,2008827120,82,2008825863,82
2010453024,2008452303,45,2008451894,45
2010453025,2008452248,45,2008451894,45
2010453026,2008452248,45,2008451894,45
2010828654,2008826597,82,2008825886,82
2010828655,2008826597,82,2008825886,82
2010828656,2008826597,82,2008825886,82
2010828657,2008644388,64,2008000017,00
2010828658,2005643363,64,2007825398,82
2010828659,2005643363,64,2007825398,82
2010828660,2005643363,64,2007825398,82
2010453027,2007451436,45,2008452028,45
2010828661,2008644355,64,2008826217,82
D201074661,2009827466,82,2008644233,64
2010453028,2007451309,45,2008451949,45
2010453029,2005450333,45,2008452247,45
2010453030,2005450333,45,2008452247,45
2010828662,2008826060,82,2007825140,82
2010453031,2007451625,45,2008451960,45
2010453032,2007451625,45,2008451960,45
2010828663,2004821523,82,2008826687,82
2010828664,2004821523,82,2008826687,82
2010828665,2009827687,82,US82107687,82
2010828666,2009827687,82,US82107687,82
2010055561,2009055332,05,2008053921,05
2010055562,2009055332,05,2008053921,05
2010828667,2008644354,64,2007824409,82
2010828668,2009827825,82,US82107825,82
2010453033,2005450601,45,2008451923,45
2010700101,2007824930,82,2008826090,82
2010700102,2007824930,82,2008826090,82
2010828669,2007824864,82,2008826042,82
2010828670,2007824864,82,2008826042,82
2010453034,2005450253,45,2008451982,45
2010644636,2008644148,64,2008644321,64
2010453035,2008451991,45,2008452224,45
2010828671,2008644338,64,2007824570,82
2010700103,2007824797,82,2008826090,82
2010700104,2007824797,82,2008826090,82
2010453036,2005450408,45,2008451960,45
2010453037,2005450408,45,2008451960,45
2010453038,2007451825,45,2008452044,45
2010453039,2007451825,45,2008452044,45
2010453040,2006450911,45,2008451923,45
2010453041,2006450911,45,2008451923,45
2010453042,2006450911,45,2008451923,45
2010828672,2007643864,64,2008826025,82
2010828673,2007643864,64,2008826025,82
2010828674,2006052683,05,US82102683,82
2010453043,2008451885,45,2008452281,45
2010453044,2008451885,45,2008452281,45
2010453045,2006450885,45,2008452322,45
2010453046,2006450885,45,2008452322,45
2010453047,2006450885,45,2008452322,45
2010828675,2006823440,82,2007644090,64
2010828676,2006823440,82,2007644090,64
2010828677,2006823440,82,2007644090,64
2010828678,2003820266,82,2008825886,82
2010828679,2003820266,82,2008825886,82
2010700105,2007825080,82,2008826090,82
2010700106,2007825080,82,2008826090,82
2010700107,2008826641,82,2008826950,82
2010700108,2008826641,82,2008826950,82
2010700109,2008827049,82,2008826816,82
2010700110,2008827049,82,2008826816,82
2010700111,2006822986,82,2008825716,82
2010828680,2007643840,64,2008000017,00
2010828681,2007643840,64,2008000017,00
2010055563,2009054715,05,2008053967,05
2010055564,2009054715,05,2008053967,05
D201095461,2003819546,81,US81109546,81
D201030851,2003303085,30,US30103085,30
D201030852,2003303085,30,US30103085,30
D201030853,2003303085,30,US30103085,30
2010828682,2005643397,64,2007825398,82
2010828683,2005643397,64,2007825398,82
2010453048,2008451980,45,2007451615,45
2010453049,2008451980,45,2007451615,45
2010828684,2009827866,82,US64107866,64
2010700112,2008827088,82,2006823521,82
2010700113,2008827088,82,2006823521,82
2010453050,2008451912,45,2008451894,45
2010828685,2007825376,82,2008826042,82
2010828686,2006643683,64,2007825398,82
2010828687,2006643683,64,2007825398,82
D201099241,2003819924,81,US81109924,81
D201099242,2003819924,81,US81109924,81
D201099243,2003819924,81,US81109924,81
2010828688,2006052805,05,US82102805,82
2010828689,2007052952,05,US82102952,82
D201029522,2007052952,05,US82102952,82
D201079051,2009117905,11,US64117905,64
2010828690,2006052827,05,US82102827,82
2010828691,2006052827,05,US82102827,82
2010453051,2005450599,45,2008451926,45
2010453052,2005450599,45,2008451926,45
2010453053,2007451832,45,2008451926,45
2010453054,2007451832,45,2008451926,45
2010453055,2003449596,44,2007451319,45
2010828692,2005822273,82,2007825140,82
2010828693,2008826435,82,2008826539,82
2010828694,2008826435,82,2008826539,82
2010828695,2009827245,82,2008826202,82
2010453056,2008452162,45,2007451615,45
2010453057,2008452162,45,2007451615,45
2010453058,2008451990,45,2008451926,45
D201051681,2004115168,11,2008000010,00
D201051682,2004115168,11,2008000010,00
D201047111,2009054711,05,US82114711,82
D201047112,2009054711,05,US82114711,82
