CARD_UID,DAMID10,SIREID10,LAMB_IDS,LITTER_SIZE,TB,MILK,PEN,DATEBN,DAYBN,Y1,Y2,Y3,Y4,Y5,YEAR
LC_1950_1945137614,1945137614,1947139115,1950131384,1,5,4,280,1950-04-23,113,1,1,1,1,10,1950
LC_1950_1945137619,1945137619,1948139693,1950131277,1,5,4,420,1950-04-20,110,1,1,1,1,10,1950
LC_1950_1945137627,1945137627,1948139360,1950131196|1950131197,2,8,2,350,1950-04-18,108,1,1,2,1,0,1950
LC_1950_1945137642,1945137642,1948139539,1950130958|1950130959,2,8,3,460,1950-04-12,102,1,1,2,1,10,1950
LC_1950_1945137644,1945137644,1949175947,1950176400|1950176401,2,8,4,710,1950-04-16,106,1,1,2,1,0,1950
LC_1950_1945137649,1945137649,1948139389,1950131107|1950131108,2,8,4,290,1950-04-15,105,1,1,2,1,0,1950
LC_1950_1945137660,1945137660,1947139115,1950131313|1950131314,2,8,3,280,1950-04-21,111,1,1,2,1,10,1950
LC_1950_1945137661,1945137661,1946138414,1950130775,1,5,4,255,1950-04-06,96,1,1,1,1,10,1950
LC_1950_1945137674,1945137674,1948112594,1950130804,1,5,4,214,1950-04-07,97,1,1,1,1,10,1950
LC_1950_1945137692,1945137692,1947112377,1950131048,1,5,4,235,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1945137702,1945137702,1948139757,1950131278,1,5,4,504,1950-04-20,110,1,1,1,1,10,1950
LC_1950_1945137714,1945137714,1948112744,1950130830|1950130831,2,8,4,234,1950-04-08,98,1,1,2,1,10,1950
LC_1950_1945137725,1945137725,US00487725,1950131015,1,5,3,280,1950-04-13,103,1,1,1,1,10,1950
LC_1950_1945137744,1945137744,1948139819,1950131473,1,5,4,260,1950-05-06,126,1,1,1,1,10,1950
LC_1950_1945137762,1945137762,1948139539,1950131204,1,5,2,460,1950-04-18,108,1,1,1,1,10,1950
LC_1950_1945137765,1945137765,1948112676,1950176276,1,5,2,610,1950-04-08,98,1,1,1,1,10,1950
LC_1950_1945137766,1945137766,1948112676,1950176367,1,5,4,610,1950-04-15,105,1,1,1,1,0,1950
LC_1950_1946137806,1946137806,1948139693,1950131061|1950131062,2,8,2,420,1950-04-14,104,1,1,2,1,10,1950
LC_1950_1946137814,1946137814,1947138959,1950131236|1950131237,2,8,4,501,1950-04-19,109,1,1,2,1,0,1950
LC_1950_1946137815,1946137815,1948139757,1950130875|1950130876,2,8,3,500,1950-04-10,100,1,1,2,1,10,1950
LC_1950_1946137816,1946137816,US17487816,1950176510|1950176511,2,8,3,435,1950-05-23,143,1,1,2,1,10,1950
LC_1950_1946137818,1946137818,1948139693,1950131129,1,5,4,420,1950-04-16,106,1,1,1,1,0,1950
LC_1950_1946137825,1946137825,1948139432,1950131021,1,5,4,491,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1946137830,1946137830,1947138560,1950131366,1,5,5,540,1950-04-22,112,1,1,1,1,10,1950
LC_1950_1946137831,1946137831,1947112377,1950130758,1,5,4,235,1950-04-05,95,1,1,1,1,10,1950
LC_1950_1946137841,1946137841,1947910109,1950131404,1,5,3,390,1950-04-24,114,1,1,1,1,10,1950
LC_1950_1946137843,1946137843,1948139819,1950131457,1,5,4,260,1950-05-03,123,1,1,1,1,10,1950
LC_1950_1946137845,1946137845,1948112744,1950131385,1,5,3,234,1950-04-23,113,1,1,1,1,10,1950
LC_1950_1946137855,1946137855,1948139913,1950131014,1,5,3,470,1950-04-13,103,1,1,1,1,10,1950
LC_1950_1946137857,1946137857,1948139432,1950131029,1,5,4,491,1950-04-14,104,1,1,1,1,10,1950
LC_1950_1946137859,1946137859,1949130271,1950130811,1,5,3,451,1950-04-08,98,1,1,1,1,10,1950
LC_1950_1946137861,1946137861,1946138165,1950131103|1950131104,2,8,4,220,1950-04-15,105,1,1,2,1,0,1950
LC_1950_1946137862,1946137862,1948139693,1950131339,1,5,4,420,1950-04-21,111,1,1,1,1,10,1950
LC_1950_1946137868,1946137868,1948139263,1950130824|1950130825,2,8,4,254,1950-04-08,98,1,1,2,1,10,1950
LC_1950_1946137869,1946137869,1948139539,1950130947|1950130948,2,8,4,460,1950-04-12,102,1,1,2,1,10,1950
LC_1950_1946137871,1946137871,1948139360,1950131323|1950131324,2,8,3,350,1950-04-21,111,1,1,2,1,0,1950
LC_1950_1946137874,1946137874,US00487874,1950131125,1,5,4,490,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1946137879,1946137879,1947910109,1950131059|1950131060,2,8,4,390,1950-04-14,104,1,1,2,1,10,1950
LC_1950_1946137880,1946137880,1947138560,1950131338,1,5,4,540,1950-04-21,111,1,1,1,1,10,1950
LC_1950_1946137882,1946137882,1948112744,1950130835,1,5,4,234,1950-04-08,98,1,1,1,1,10,1950
LC_1950_1946137887,1946137887,1948139539,1950130886,1,5,4,460,1950-04-10,100,1,1,1,1,10,1950
LC_1950_1946137889,1946137889,1948139644,1950130976,1,5,4,400,1950-04-12,102,1,1,1,1,10,1950
LC_1950_1946137894,1946137894,1948139262,1950131263,1,5,4,360,1950-04-19,109,1,1,1,1,10,1950
LC_1950_1946137895,1946137895,1948139389,1950131316,1,5,4,290,1950-04-21,111,1,1,1,1,10,1950
LC_1950_1946137897,1946137897,1947139015,1950131068,1,5,4,370,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1946137899,1946137899,1947139015,1950130916,1,5,5,370,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1946137903,1946137903,1948139552,1950131098,1,5,4,440,1950-04-15,105,1,1,1,1,10,1950
LC_1950_1946137910,1946137910,1947175430,1950130786,1,5,3,441,1950-04-07,97,1,1,1,1,10,1950
LC_1950_1946137917,1946137917,1947139015,1950130970,1,5,4,370,1950-04-12,102,1,1,1,1,10,1950
LC_1950_1946137918,1946137918,1947139015,1950131353,1,5,4,370,1950-04-22,112,1,1,1,1,10,1950
LC_1950_1946137922,1946137922,1947910109,1950130907,1,5,4,390,1950-04-11,101,1,1,1,1,10,1950
LC_1950_1946137926,1946137926,1946138116,1950131283,1,5,4,514,1950-04-20,110,1,1,1,1,10,1950
LC_1950_1946137929,1946137929,1948139913,1950130932,1,5,3,470,1950-04-12,102,1,1,1,1,10,1950
LC_1950_1946137943,1946137943,1946138165,1950131279|1950131280,2,8,4,224,1950-04-20,110,1,1,2,1,0,1950
LC_1950_1946137954,1946137954,1947138560,1950131318|1950131319,2,8,3,540,1950-04-21,111,1,1,2,1,10,1950
LC_1950_1946137962,1946137962,1948139693,1950130899|1950130900,2,8,4,420,1950-04-10,100,1,1,2,1,10,1950
LC_1950_1946137964,1946137964,1948139539,1950130861,1,5,3,460,1950-04-09,99,1,1,1,1,10,1950
LC_1950_1946137970,1946137970,1947138560,1950131086,1,7,5,540,1950-04-15,105,1,1,2,1,10,1950
LC_1950_1946137972,1946137972,1947910109,1950131127,1,5,3,390,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1946137988,1946137988,1947175430,1950131186,1,5,4,445,1950-04-17,107,1,1,1,1,10,1950
LC_1950_1946137989,1946137989,1947175430,1950130841,1,5,4,441,1950-04-09,99,1,1,1,1,10,1950
LC_1950_1946137997,1946137997,1947175430,1950131378,1,5,3,445,1950-04-23,113,1,1,1,1,10,1950
LC_1950_1946138007,1946138007,1948139913,1950131469,1,5,4,470,1950-05-05,125,1,1,1,1,10,1950
LC_1950_1946138008,1946138008,1948139389,1950131121,1,5,4,290,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1946138016,1946138016,1947139035,1950131470,1,5,4,431,1950-05-05,125,1,1,1,1,10,1950
LC_1950_1946138020,1946138020,1947138560,1950131145,1,5,4,540,1950-04-16,106,1,1,1,1,10,1950
LC_1950_1946138031,1946138031,1947139015,1950131409,1,5,4,370,1950-04-25,115,1,1,1,1,10,1950
LC_1950_1946138032,1946138032,1947910109,1950130994|1950130995,2,8,3,390,1950-04-13,103,1,1,2,1,10,1950
