UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00014,90682,09,99,1,88,30,L41,L,2,2,2.0,Y,137,82,106,0.679,138,138,69,0.211,2.9,3.7,60,4.8,5.9,0.0428,23.06,4.62,20.0,62,1,,2-,2.24,109.9,A4441,04,A4345,04,160,193,0.248,1.0,DUD,3,LIM,86,100,-,D4,DUD,0.0,LIB,,,,,,,,,,0,,2,4,4,2000
00RA00015,90728,09,99,1,88,30,L41,L,3,2,5.0,Y,138,84,105,0.705,145,145,69,0.23,2.8,3.6,60,5.4,6.7,0.0462,22.83,4.09,17.9,62,1,,2,1.97,76.2,A4441,04,A1351,04,172,193,0.279,1.0,,3,LIM,75,105,,S1,A,0.0,,,,,,,,,,,0,,3,8,5,2000
00RA00016,90729,09,99,1,68,06,L03,L,1,1,2.0,Y,138,96,105,0.819,166,166,69,0.264,2.8,3.6,60,7.2,8.9,0.0,22.43,4.6,20.5,62,1,,3,1.44,83.7,K9689,63,K9694,63,196,193,0.317,1.0,LBWN:83.7,3,LIM,98,97,,S1,A,0.0,,,,,,,,,,,0,,1,1,1,2000
00RA00017,90742,09,99,1,88,30,L42,L,2,2,3.5,Y,138,88,105,0.743,140,140,69,0.196,2.2,2.8,62,5.6,6.9,0.0493,22.09,4.28,19.4,62,1,1,2,2.42,114.7,A4528,04,A2752,04,168,193,0.254,1.0,,2,LIM,89,100,-,S1,A,0.0, 99,,,,,,,,,,1,_____,3,8,6,2000
00RA00018,90749,09,99,1,88,30,L42,L,2,2,4.5,Y,138,78,105,0.648,130,130,69,0.196,2.3,2.9,60,5.8,7.2,0.0554,21.82,4.43,20.3,64,1,,1-,2.19,111.1,A4528,04,A1592,04,157,193,0.251,1.0,,3,LIM,88,103,,S2,AA,0.0,,,,,,,,,,,0,,4,8,7,2000
00RA00019,90760,09,99,1,00,07,L32,L,2,2,3.0,Y,139,83,104,0.702,129,129,69,0.174,1.9,2.4,62,4.6,5.7,0.0,18.82,3.35,17.8,80,1,,3+,1.33,50.3,S8781,10,S7605,10,165,193,0.26,1.0,,3,LIM,56,78,,S1,A,0.0,,,,,,,,,,,0,,2,4,4,2000
00RA00020,90776,09,99,1,68,06,L05,L,1,1,4.0,Y,139,103,104,0.894,179,179,69,0.287,2.6,3.3,60,8.8,10.9,0.0,25.13,4.8,19.1,58,2,,3-,1.52,107.1,J0143,00,K7989,63,208,193,0.333,1.0,DUD,1,LIM,104,101,-,D3,DUD,0.0,,,,CR,45,3,,0,S,,0,,4,5,5,2000
00RA00021,90789,09,99,1,00,07,L33,L,2,2,7.5,Y,139,81,104,0.683,165,165,69,0.317,2.6,3.3,62,7.6,9.4,0.0,19.6,4.09,20.9,70,1,,4,1.75,96.0,S8098,10,S2255,10,178,193,0.308,1.0,SM. TSTS?,2,LIM,92,107,-,S1,A,0.0,156,,,,,,,,,,12,_____,6,14,12,2000
00RA00022,90814,09,99,1,00,07,L34,L,1,1,6.5,Y,140,98,103,0.854,170,170,69,0.272,2.7,3.5,62,7.8,9.7,0.0,18.8,4.0,21.3,80,2,,3,1.77,123.6,S8008,10,S3396,10,205,193,0.34,1.0,,2,LIM,109,112,-,S3,AA,0.0,154,,,,,,,,,,12,_____,6,10,10,2000
00RA00023,90836,09,99,1,68,06,L04,L,1,1,4.0,Y,140,104,103,0.913,158,158,69,0.204,3.4,4.4,60,8.4,10.4,0.0,24.61,4.68,19.0,60,2,,2-,1.52,77.6,K9660,63,K8161,63,170,193,0.21,1.0,DEAD 8/1/00,6,LIM,79,109,,,,0.0,,,,,,,,,,,0,,3,5,3,2000
