UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDAR,ALTID,INBRL
21RA00001,2018060013,A0013,A0013,06,18,1,,30,38,,,2,2,4.0,,72,103,126,0.713,245,201,42,0.276,3.3,,,13.0,,,26.9,5.7,21.3,56,1,,3,,,H9294,05,H8620,05,,,290,187,0.528,3.0,To MARC,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,10,8.5,2021,93,0912,3093,,0.023
21RA00002,2019060379,A0379,A0379,06,19,1,,30,34,,,2,2,4.0,,71,107,125,0.764,255,202,42,0.262,2.9,,,10.0,,,25.0,4.6,18.4,58,2,,3-,,,H9784,05,H9229,05,,,284,187,0.497,2.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,13,7.0,2021,92,0825,3053,,0.033
21RA00003,2019060390,A0390,A0390,06,19,1,,30,34,,,3,2,3.0,,71,105,125,0.74,223,186,42,0.224,3.0,,,9.0,,,25.5,5.1,19.9,58,1,,2-,,,H9784,05,H9512,05,,,249,187,0.404,2.0,To MARC,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,6.5,2021,93,0912,3100,,0.047
21RA00004,2019060397,A0397,A0397,06,19,1,,30,32,,,2,2,4.0,,72,84,124,0.583,196,158,42,0.204,2.8,,,8.0,,,23.1,4.5,19.4,62,1,,2-,,,H9641,05,H8958,05,,,233,187,0.419,2.0,.,3,,,,,,AA,RR,,,,,34,,,,,,,,,,,,,,,,4,7,5.5,2021,93,1210,15751,,0.034
21RA00005,2019060416,A0416,A0416,06,19,1,,30,31,,,2,2,2.0,,73,98,123,0.693,216,198,42,0.275,2.6,,,10.0,,,29.7,6.0,20.3,50,2,,3,,,H9421,05,H9754,05,,,252,187,0.433,2.0,Scurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,6,5.0,2021,92,0825,3050,,0.037
21RA00006,2019060459,A0459,A0459,06,19,1,,30,38,,,2,2,2.0,,75,94,121,0.669,215,196,42,0.279,3.0,,,9.0,,,25.9,4.4,16.8,58,1,,3+,,,H9917,05,H9833,05,,,271,187,0.497,2.0,.,1,,,,,,AA,RR,,,,,35,,,,,,,,,,,,,,,,3,7,6.0,2021,,,0,,0.035
21RA00007,2019060508,A0508,A0508,06,19,1,,30,38,,,3,1,4.0,,77,88,119,0.639,239,188,42,0.272,2.8,,,10.0,,,26.7,4.7,17.8,56,1,,3+,,,H9917,05,H8925,05,,,273,187,0.52,2.0,.,1,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,4,8,7.5,2021,,,0,,0.037
21RA00008,2019060524,A0524,A0524,06,19,1,,30,38,,,3,2,3.0,,78,79,118,0.596,207,173,42,0.255,3.1,,,9.0,,,27.9,4.9,17.8,54,1,,1-,,,H9917,05,H9415,05,,,237,187,0.444,2.0,.,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,5.5,2021,,,0,,0.028
21RA00009,2019060562,A0562,A0562,06,19,1,,30,37,,,2,2,4.0,,79,94,117,0.692,248,202,42,0.292,3.0,,,10.0,,,24.2,5.3,21.9,60,2,,2-,,,H9879,05,H8908,05,,,268,187,0.489,2.0,.,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,12,9.5,2021,92,0825,3052,,0.031
21RA00010,2019060645,A0645,A0645,06,19,1,,30,31,,,3,2,2.0,,84,86,112,0.665,211,175,42,0.237,2.9,,,10.0,,,24.7,4.2,16.9,60,1,,3,,,H9421,05,H9583,05,,,234,187,0.416,2.0,To MARC,3,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,1,3,1.5,2021,93,0912,3095,,0.03
21RA00011,2019060669,A0669,A0669,06,19,1,,30,33,,,3,3,5.0,,85,80,112,0.625,197,158,42,0.208,2.9,,,11.0,,,23.9,4.9,20.5,60,2,,2+,,,H9684,05,H8495,05,,,223,187,0.403,2.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,12,11.0,2021,92,0825,3051,,0.033
