UID,ID9,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65
05RA00011,102049581,A9581,A9581,04,02,1,81,30,04,J,M,2,2,6.0,M,107,85,110,0.684,202,169,74,0.279,0.0,0.0,58,10.2,10.2,,0.0,0.0,0.0,0,.,1,..,1.7,114.9,A6934,04,A4128,04,,,239,200,0.0,3.0,,V,LWW,,0,0,.,,S,A,,0.0,BHV,BHV,+Lww,,EXHET,,,,,,,,,0,,5,9,9,05,,,0
05RA00012,102049588,A9588,A9588,04,02,1,84,30,53,.,N,2,2,6.5,M,107,82,110,0.655,210,180,74,0.326,3.5,3.5,60,10.2,10.2,,24.0,0.0,0.0,60,2,1,2-,2.2,149.3,A6501,04,A2733,04,229,,228,200,0.0,3.0,H2,2,INB,,105,103,N,QR,Sx,A+,STUD,94.0, 76,06P,Inbr,,HETRO,,,,,,,,03,1,,6,15,14,05,92,0922,5762
05RA00013,102049606,A9606,A9606,04,02,1,83,30,42,.,W,2,2,6.5,M,107,85,110,0.664,245,183,74,0.326,3.5,3.5,58,10.0,10.0,,25.5,0.0,0.0,58,1,1,2-,2.05,146.6,A6529,04,A4913,04,278,,277,200,0.0,3.0,,2,-FW,,104,100,N,RR,Sx,A+,STUD,100.0, 75,23P,Flwt,,HETRO,,,,,,,,03,1,,6,11,10,05,92,0922,5770
05RA00014,102049750,A9750,A9750,04,02,1,81,30,02,J,M,2,2,7.0,M,109,83,110,0.67,201,149,74,0.221,0.0,0.0,58,9.4,9.4,,0.0,0.0,0.0,0,.,1,..,2.12,140.1,A7302,04,A2908,04,,,202,200,0.0,3.0,,V,LWW,,0,0,.,,S,A,STUD,100.0,BHV,BHV,+Lww,,EXHET,,,,,,,,,0,,7,16,14,05,,,0
05RA00015,102049890,A9890,A9890,04,02,1,83,30,41,.,W,3,2,7.0,M,111,95,108,0.769,248,190,74,0.318,3.9,3.9,58,10.2,10.2,,27.0,0.0,0.0,56,2,1,2-,2.18,140.7,A7760,04,A4476,04,,,266,200,0.0,3.0,AB.HEAD&TAIL,3,-FW,,102,102,.,,Sx,A+,STUD,100.0,,21P,Flwt,,HETRO,,,,,,,,,0,,7,15,10,05,93,0815,2020
05RA00016,102049897,A9897,A9897,04,02,1,81,30,01,.,M,3,2,5.0,M,111,84,108,0.688,221,159,74,0.251,3.5,3.5,58,11.6,11.6,,24.0,0.0,0.0,60,2,1,2-,1.98,134.0,A7882,04,A4675,04,254,,251,200,0.0,3.0,"L.EYE TRT, H2",2,LWW,,94,111,N,RR,Sx,A+,STUD,100.0, 81,25P,+Lww,,EXHET,,,,,,,,03,1,,5,10,9,05,92,0922,5765
05RA00017,102049941,A9941,A9941,04,02,1,84,30,54,J,N,3,2,5.0,M,111,89,113,0.692,223,140,74,0.173,0.0,0.0,58,10.8,10.8,,0.0,0.0,0.0,0,.,1,..,2.48,138.4,A6911,04,A6441,04,,,260,200,0.0,3.0,,V,INB,,0,0,.,,D3,DUD,,0.0,BHV,BHV,Inbr,,MOR,,,,,,,,,0,,5,13,9,05,,,0
05RA00018,103050471,H0471,H0471,05,03,1,88,30,31P,.,M,2,2,4.0,M,98,114,127,0.805,211,202,74,0.3,3.9,3.9,60,10.8,10.8,,25.5,0.0,0.0,58,1,1,2+,2.23,155.0,A8315,04,A7385,04,,,248,200,0.0,2.0,,1,NON,,107,107,.,,S+,A+,STUD,100.0,03,13P,Poly,,HETRO,,,,,,,,,0,,4,8,7,05,,,0
05RA00019,103050501,H0501,H0501,05,03,1,88,30,31P,J,M,2,2,5.0,M,100,94,125,0.674,210,186,74,0.314,0.0,0.0,56,10.8,10.8,,0.0,0.0,0.0,0,.,1,..,2.05,137.0,A8315,04,A5683,04,,,243,200,0.0,2.0,BRITCHY BHV,V,NON,,0,0,.,,S,A,,0.0,BHV,BHVx,Poly,,EXHET,,,,,,,,,0,,5,10,9,05,,,0
05RA00020,103050503,H0503,H0503,05,03,1,88,30,e12,J,M,1,1,2.0,M,101,105,124,0.752,212,186,74,0.276,0.0,0.0,60,9.4,9.4,,0.0,0.0,0.0,0,.,1,..,2.07,141.0,A8820,04,A9432,04,,,253,200,0.0,2.0,"NICE, TB1 BHV",V,NON,,0,0,.,,S,A,,0.0,BHV,BHVx,Poly,,EXHET,,,,,,,,,0,,2,3,3,05,,,0
05RA00021,103050540,H0540,H0540,05,03,1,88,30,31P,J,M,3,2,7.0,M,104,108,120,0.796,228,208,74,0.34,3.8,3.8,58,11.8,11.8,,25.5,0.0,0.0,58,1,1,1,2.39,152.6,A8315,04,A3551,04,,,271,200,0.0,2.0,MALE MOUNTS,V,NON,,110,112,.,,D9,DUD,,0.0,BHV,.,Poly,,MOR,,,,,,,,,0,,7,19,16,05,,,0
05RA00022,103050557,H0557,H0557,05,03,1,88,30,31P,J,M,3,2,3.0,M,106,100,119,0.763,212,179,74,0.27,0.0,0.0,54,12.2,12.2,,0.0,0.0,0.0,0,.,1,..,2.31,151.3,A8315,04,A8839,04,,,236,200,0.0,2.0,BRITCHY BHV,V,NON,,0,0,.,,S,A,,0.0,BHV,BHVx,Poly,,EXHET,,,,,,,,,0,,3,7,6,05,,,0
05RA00023,103050562,H0562,H0562,05,03,1,88,30,31P,J,M,2,2,5.0,M,106,100,119,0.736,232,206,74,0.362,3.6,3.6,60,11.4,11.4,,25.5,0.0,0.0,58,1,1,1-,2.04,137.8,A8315,04,A6589,04,,,272,200,0.0,2.0,"FX.RIBS,L,OK",V,NON,,105,109,.,,D9,DUD,,0.0,BHV,.,Poly,,MOR,,,,,,,,,0,,4,9,8,05,,,0
05RA00024,103050571,H0571,H0571,05,03,1,88,30,33P,.,M,2,2,7.0,M,106,84,113,0.662,200,169,74,0.284,3.3,3.3,60,9.6,9.6,,24.0,0.0,0.0,60,2,1,2-,2.12,144.2,A8584,04,A2961,04,226,,227,200,0.0,2.0,,2,NON,,99,98,N,QR,S+,A+,STUD,100.0, 72,e11,Poly,,HETRO,,,,,,,,02,1,,7,16,15,05,92,0922,5760
05RA00025,103050596,H0596,H0596,05,03,1,88,30,31P,.,M,3,2,4.0,M,107,88,118,0.663,206,184,74,0.328,3.7,3.7,58,10.2,10.2,,25.5,0.0,0.0,58,2,1,1-,2.36,153.0,A8315,04,A7491,04,,,247,200,0.0,2.0,,1,NON,,107,103,.,,S+,A+,STUD,88.0,e32,05P,Poly,,HETRO,,,,,,,,,0,,4,9,7,05,,,0
05RA00026,103050612,H0612,H0612,05,03,1,88,30,31P,J,M,3,1,5.0,M,108,104,117,0.797,243,205,74,0.345,0.0,0.0,58,9.8,9.8,,0.0,0.0,0.0,0,.,1,..,2.37,138.1,A8315,04,90748,09,,,266,200,0.0,2.0,H3+ BHV RAM,V,NON,,0,0,.,,S,A,,0.0,BHV,BHVx,Poly,,EXHET,,,,,,,,,0,,5,12,8,05,,,0
05RA00027,103050615,H0615,H0615,05,03,1,88,30,32P,J,M,4,2,5.0,M,108,95,117,0.738,213,174,74,0.27,3.5,3.5,60,12.4,12.4,,24.0,0.0,0.0,60,2,1,2+,2.59,162.6,A8724,04,A6588,04,,,248,200,0.0,2.0,,V,NON,,108,115,.,,D9,DUD,,0.0,BHV,.,Poly,,MOR,,,,,,,,,0,,5,14,10,05,,,0
05RA00028,103050630,H0630,H0630,05,03,1,88,30,33P,.,M,3,2,4.0,M,109,88,116,0.659,221,190,74,0.348,3.3,3.3,58,8.4,8.4,,25.5,0.0,0.0,58,1,1,2,2.35,143.5,A8584,04,A6108,04,,,262,200,0.0,2.0,,1,NON,,102,90,.,,S+,A+,STUD,94.0,w3,07P,Poly,,HETRO,,,,,,,,,0,,4,10,8,05,,,0
05RA00029,103050656,H0656,H0656,05,03,1,88,30,33P,.,M,2,2,5.0,M,111,95,113,0.729,209,186,74,0.31,3.4,3.4,60,9.8,9.8,,24.0,0.0,0.0,60,1,1,1-,2.26,158.0,A8584,04,90791,09,235,,245,200,0.0,2.0,NICE,2,NON,,107,100,N,QR,S+,A+,STUD,100.0, 70,11P,Poly,,HETRO,,,,,,,,02,1,,5,11,10,05,92,0922,5759
05RA00030,103050691,H0691,H0691,05,03,1,88,30,31P,J,M,2,2,7.0,M,114,103,110,0.831,197,194,74,0.31,0.0,0.0,58,11.0,11.0,,0.0,0.0,0.0,0,.,1,..,2.27,161.6,A8315,04,A4263,04,,,211,200,0.0,2.0,CNS PROBS X,3,NON,,0,0,.,,S,A,,0.0,BHV,BHVx,Poly,,EXHET,,,,,,,,,0,,7,16,12,05,93,0815,2013
05RA00031,103050692,H0692,H0692,05,03,1,88,30,31P,J,M,2,2,7.0,M,114,90,110,0.705,209,187,74,0.33,3.4,3.4,60,10.2,10.2,,24.0,0.0,0.0,60,1,1,2-,2.27,161.6,A8315,04,A4263,04,,,245,200,0.0,2.0,NICE,V,NON,,110,102,.,,D9,DUD,,0.0,BHV,.,Poly,,ASEX,,,,,,,,,0,,7,16,12,05,,,0
05RA00032,103050709,H0709,H0709,05,03,1,88,30,31P,.,M,3,2,4.0,M,115,92,110,0.734,220,196,74,0.355,3.6,3.6,60,10.2,10.2,,24.0,0.0,0.0,60,2,1,1-,1.98,126.9,A8315,04,A7053,04,,,253,200,0.0,2.0,F2+ H2,3,NON,,99,103,.,,S+,A+,STUD,82.0,,12P,Poly,,HETRO,,,,,,,,,0,,3,6,5,05,93,0815,2037
05RA00033,103050733,H0733,H0733,05,03,1,88,30,32P,.,M,2,2,3.0,M,120,87,105,0.738,203,177,74,0.307,3.4,3.4,58,9.4,9.4,,25.5,0.0,0.0,58,2,1,1-,2.31,165.5,A8724,04,A8480,04,228,,223,200,0.0,2.0,F2+ H3,2,NON,,109,96,N,QR,S+,A+,STUD,92.0, 71,14P,Poly,,HETRO,,,,,,,,02,1,,3,7,7,05,92,0922,5761
05RA00034,104050752,H0752,H0752,05,04,1,82,30,14P,.,C,2,2,5.5,Y,88,96,128,0.669,197,197,74,0.336,2.9,3.1,60,7.2,7.5,,24.0,0.0,0.0,60,2,1,2,2.15,154.2,A9963,04,A5770,04,,,200,200,0.298,1.0,ABS.HEAD X,3,CTL,,102,105,.,,,,,,,,Ctrl,,,,,,,,,,,0,,5,10,9,05,93,0815,2042
05RA00035,104050756,H0756,H0756,05,04,1,82,30,14P,.,C,3,3,4.0,Y,88,91,128,0.633,174,174,74,0.276,2.8,3.0,58,7.2,7.5,,25.5,0.0,0.0,58,2,1,3+,2.48,152.8,A9963,04,A7609,04,,,195,200,0.298,1.0,,1,CTL,,102,103,.,,,,,,w2,,Ctrl,,,,,,,,,,,0,,4,10,7,05,,,0
05RA00036,104050773,H0773,H0773,05,04,1,82,30,23P,.,C,3,2,2.0,Y,89,98,127,0.696,176,176,74,0.259,2.9,3.2,60,7.8,8.1,,25.5,0.0,0.0,58,1,1,2-,2.41,159.2,A9122,04,A9071,04,,,192,200,0.269,1.0,,1,CTL,,103,109,.,,,,,,w3,,Ctrl,,,,,,,,,,,0,,2,5,4,05,,,0
05RA00037,104050792,H0792,H0792,05,04,1,82,30,25P,.,C,3,2,6.0,Y,90,92,126,0.665,163,163,74,0.236,3.1,3.4,58,5.4,5.6,,24.0,0.0,0.0,60,2,1,1-,2.55,140.4,A9911,04,A5405,04,,,179,200,0.249,1.0,-SIZE,3,CTL,,92,92,.,,,,,,,,Ctrl,,,,,,,,,,,0,,6,16,10,05,93,0815,2061
05RA00038,104050805,H0805,H0805,05,04,1,82,30,11P,.,C,3,2,5.0,Y,91,92,125,0.674,170,170,74,0.259,2.8,3.1,60,6.7,7.0,,24.0,0.0,0.0,60,2,1,2,2.04,145.2,A9750,04,A6341,04,202,,190,200,0.281,1.0,,2,CTL,,97,101,N,QR,,,,, 58,,Ctrl,,,,,,,,,,01,1,,5,9,8,05,92,0922,5751
05RA00039,104050816,H0816,H0816,05,04,1,83,30,04P,.,W,2,2,2.0,Y,91,102,125,0.739,175,175,74,0.243,3.0,3.3,60,6.0,6.3,,24.0,0.0,0.0,60,2,1,2-,2.07,142.8,A9232,04,A9091,04,,,184,200,0.235,1.0,TX R.EYE,3,-FW,,92,97,.,,,,,,,,Flwt,,,,,,,,,,,0,,2,3,3,05,93,0815,2045
05RA00040,104050900,H0900,H0900,05,04,1,82,30,13P,.,C,2,2,5.0,Y,93,114,129,0.784,191,191,74,0.261,3.4,3.7,60,7.4,7.8,,24.0,0.0,0.0,60,2,1,1-,2.04,149.1,A9278,04,90953,09,,,211,200,0.283,1.0,,1,CTL,,102,111,.,,,,,,w4,,Ctrl,,,,,,,,,,,0,,5,9,8,05,,,0
05RA00041,104050920,H0920,H0920,05,04,1,82,30,13P,.,C,3,2,3.0,Y,94,86,122,0.629,170,170,74,0.279,2.3,2.5,60,5.0,5.3,,24.0,0.0,0.0,60,2,1,2,2.31,165.5,A9278,04,A8480,04,206,,190,200,0.298,1.0,-FLWT,2,CTL,,102,84,N,QR,,,,, 60,,Ctrl,,,,,,,,,,01,1,,3,7,7,05,92,0922,5747
05RA00042,104050928,H0928,H0928,05,04,1,83,30,01P,.,W,2,1,7.0,Y,94,110,122,0.816,213,213,74,0.342,2.7,3.0,60,5.6,5.9,,24.0,0.0,0.0,60,1,1,2+,2.18,140.7,A7284,04,A4476,04,,,233,200,0.352,1.0,PINK X,3,-FW,,99,92,.,,,,,,,,Flwt,,,,,,,,,,,0,,7,15,10,05,93,0815,2052
05RA00043,104050930,H0930,H0930,05,04,1,82,30,21P,.,C,2,1,5.0,Y,94,107,122,0.78,197,197,74,0.299,2.7,3.0,62,8.2,8.7,,24.0,0.0,0.0,60,1,1,2-,1.82,124.4,A9890,04,90071,09,,,220,200,0.324,1.0,"ABS.CHIN,July",3,CTL,,95,114,.,,,,,,,,Ctrl,,,,,,,,,,,0,,5,7,6,05,93,0815,2065
05RA00044,104050948,H0948,H0948,05,04,1,82,30,21P,.,C,2,2,2.0,Y,95,102,121,0.749,192,192,74,0.299,2.2,2.4,58,6.6,7.0,,24.0,0.0,0.0,60,2,1,2-,2.07,143.7,A9890,04,P0050,05,,,230,200,0.367,1.0,,1,CTL,,101,97,.,,,,,,w1,,Ctrl,,,,,,,,,,,0,,2,3,3,05,,,0
05RA00045,104050994,H0994,H0994,05,04,1,82,30,14P,.,C,4,2,3.0,Y,96,87,120,0.663,175,175,74,0.292,2.9,3.2,58,7.8,8.3,,25.5,0.0,0.0,58,2,1,3,2.6,152.2,A9963,04,A8310,04,,,189,200,0.292,1.0,,1,CTL,,103,111,.,,S+,A+,STUD,,e34,,Ctrl,,,,,,,,,,,0,,3,9,6,05,,,0
05RA00046,104051007,H1007,H1007,05,04,1,83,30,01P,.,W,2,2,5.0,Y,97,92,119,0.678,181,181,74,0.296,3.0,3.3,58,6.2,6.6,,25.5,0.0,0.0,58,2,1,1-,2.15,137.2,A7284,04,A6600,04,210,,195,200,0.295,1.0,NICE LAMB,2,-FW,,95,98,N,RR,,,,, 64,,Flwt,,,,,,,,,,01,1,,5,10,8,05,92,0922,5748
05RA00047,104051026,H1026,H1026,05,04,1,82,30,15P,.,C,2,2,4.0,Y,97,102,119,0.765,198,198,74,0.319,2.7,3.0,60,5.2,5.5,,24.0,0.0,0.0,60,3,1,2+,2.23,140.6,A8766,04,A7193,04,,,218,200,0.332,1.0,X,3,CTL,,97,89,.,,,,,,,,Ctrl,,,,,,,,,,,0,,4,8,6,05,93,0815,2055
05RA00048,104051052,H1052,H1052,05,04,1,83,30,04P,.,W,2,2,5.0,Y,98,96,120,0.71,149,149,74,0.177,2.6,2.9,60,6.0,6.4,,24.0,0.0,0.0,60,2,1,1-,2.04,129.6,A9232,04,90102,09,,,177,200,0.233,1.0,"-INDX,-SIZE",3,-FW,,86,95,.,,,,,,,,Flwt,,,,,,,,,,,0,,5,9,7,05,93,0815,2056
05RA00049,104051060,H1060,H1060,05,04,1,82,30,23P,.,C,3,2,4.0,Y,98,80,120,0.604,153,153,74,0.244,2.8,3.1,58,4.8,5.1,,25.5,0.0,0.0,58,3,1,2,2.36,156.6,A9122,04,A8039,04,,,174,200,0.271,1.0,-SIZE -FLWT,3,CTL,,98,85,.,,,,,,,,Ctrl,,,,,,,,,,,0,,4,9,8,05,93,0815,2063
05RA00050,104051063,H1063,H1063,05,04,1,82,30,23P,.,C,3,2,5.0,Y,98,96,120,0.705,196,196,74,0.334,2.8,3.1,60,7.0,7.5,,24.0,0.0,0.0,60,1,1,2-,2.04,148.2,A9122,04,A6180,04,,,211,200,0.331,1.0,,1,CTL,,103,105,.,,S+,A+,STUD,,05,,Ctrl,,,,,,,,,,,0,,5,9,8,05,,,0
05RA00051,104051064,H1064,H1064,05,04,1,82,30,23P,.,C,3,2,5.0,Y,98,96,120,0.694,182,182,74,0.288,2.6,2.9,58,7.8,8.3,,25.5,0.0,0.0,58,2,1,3+,2.04,148.2,A9122,04,A6180,04,,,201,200,0.303,1.0,,1,CTL,,101,109,.,,,,,,w3,,Ctrl,,,,,,,,,,,0,,5,9,8,05,,,0
05RA00052,104051082,H1082,H1082,05,04,1,82,30,11P,.,C,4,2,5.0,Y,99,98,119,0.735,185,185,74,0.291,2.2,2.5,60,6.0,6.4,,24.0,0.0,0.0,60,2,1,3+,2.48,153.6,A9750,04,A7010,04,225,,207,200,0.314,1.0,,2,CTL,,100,93,N,QQ,,,,, 63,,Ctrl,,,,,,,,,,01,1,,5,13,9,05,92,0922,5756
05RA00053,104051083,H1083,H1083,05,04,1,82,30,11P,.,C,4,2,5.0,Y,99,86,119,0.641,158,158,74,0.241,3.0,3.4,60,6.4,6.9,,24.0,0.0,0.0,60,2,1,2-,2.48,153.6,A9750,04,A7010,04,,,178,200,0.265,1.0,,1,CTL,,100,102,.,,,,,,w4,,Ctrl,,,,,,,,,,,0,,5,13,9,05,,,0
05RA00054,104051096,H1096,H1096,05,04,1,82,30,26P,.,C,2,2,2.0,Y,99,86,119,0.643,185,185,74,0.331,2.6,2.9,60,6.0,6.4,,24.0,0.0,0.0,60,2,1,2-,2.07,143.0,A7896,04,A9683,04,205,,200,200,0.329,1.0,,2,CTL,,98,95,N,QR,,,,, 65,,Ctrl,,,,,,,,,,01,1,,2,3,3,05,92,0922,5754
05RA00055,104051112,H1112,H1112,05,04,1,83,30,01P,.,W,3,2,3.0,Y,99,86,119,0.65,189,189,74,0.344,2.4,2.7,58,6.2,6.7,,25.5,0.0,0.0,58,2,1,1-,2.31,150.0,A7284,04,A8597,04,,,216,200,0.375,1.0,Teaser Need!,1,-FW,,104,95,.,,S+,A+,STUD,,04,,Flwt,,,,,,,,,,,0,,3,7,6,05,,,0
05RA00056,104051139,H1139,H1139,05,04,1,82,30,15P,.,C,2,2,4.0,Y,100,97,118,0.71,182,182,74,0.284,2.2,2.5,60,5.0,5.4,,24.0,0.0,0.0,60,2,1,1-,2.23,128.3,A8766,04,00657,00,,,190,200,0.268,1.0,-INDX,3,CTL,,85,85,.,,,,,,,,Ctrl,,,,,,,,,,,0,,4,8,5,05,93,0815,2047
05RA00057,104051140,H1140,H1140,05,04,1,82,30,15P,.,C,2,2,4.0,Y,100,101,118,0.764,205,205,74,0.348,3.0,3.4,60,6.2,6.7,,24.0,0.0,0.0,60,2,1,1-,2.23,128.3,A8766,04,00657,00,234,,221,200,0.346,1.0,F2+,2,CTL,,96,101,N,QR,,,,, 68,,Ctrl,,,,,,,,,,01,1,,4,8,5,05,92,0922,5749
05RA00058,104051158,H1158,H1158,05,04,1,83,30,02P,.,W,3,2,6.0,Y,100,104,118,0.803,209,209,74,0.351,2.8,3.1,60,7.0,7.5,,24.0,0.0,0.0,60,2,1,1-,2.25,142.3,A8647,04,A5600,04,,,223,200,0.343,1.0,H2 **,1,-FW,,102,105,.,,,,,,w1,,Flwt,,,,,,,,,,,0,,6,13,10,05,,,0
05RA00059,104051159,H1159,H1159,05,04,1,82,30,16P,.,C,3,2,6.0,Y,100,80,118,0.589,175,175,74,0.318,2.9,3.3,60,8.2,8.8,,24.0,0.0,0.0,60,2,1,3+,2.45,157.1,A9442,04,A5103,04,,,190,200,0.317,1.0,,1,CTL,,108,117,.,,S+,A+,STUD,,e31,,Ctrl,,,,,,,,,,,0,,6,15,12,05,,,0
05RA00060,104051166,H1166,H1166,05,04,1,82,30,24P,.,C,2,2,5.0,Y,100,89,118,0.653,192,192,74,0.344,2.5,2.8,58,7.0,7.5,,25.5,0.0,0.0,58,2,1,1-,1.93,143.8,A9434,04,A6233,04,,,208,200,0.343,1.0,,1,CTL,,101,102,.,,,,,,w2,,Ctrl,,,,,,,,,,,0,,5,8,8,05,,,0
05RA00061,104051168,H1168,H1168,05,04,1,82,30,16P,.,C,2,2,5.5,Y,100,95,118,0.712,199,199,74,0.348,3.2,3.6,60,6.4,6.9,,24.0,0.0,0.0,60,1,1,1-,2.37,157.8,A9442,04,A5874,04,,,218,200,0.354,1.0,,1,CTL,,109,104,.,,S+,A+,STUD,,02,,Ctrl,,,,,,,,,,,0,,5,12,10,05,,,0
05RA00062,104051179,H1179,H1179,05,04,1,82,30,22P,.,C,2,2,2.0,Y,101,87,117,0.656,169,169,74,0.274,2.6,2.9,60,5.4,5.8,,24.0,0.0,0.0,60,1,1,2-,2.24,141.4,A8879,04,P0083,05,,,181,200,0.271,1.0,TINY TSTS X,3,CTL,,92,90,.,,,,,,,,Ctrl,,,,,,,,,,,0,,2,4,3,05,93,0815,2062
05RA00063,104051182,H1182,H1182,05,04,1,82,30,13P,.,C,3,2,5.0,Y,101,83,117,0.637,178,178,74,0.318,2.1,2.4,62,5.6,6.0,,23.0,0.0,0.0,62,2,1,2,2.15,152.1,A9278,04,A6454,04,209,,187,200,0.3,1.0,,2,CTL,,97,90,N,QR,,,,, 61,,Ctrl,,,,,,,,,,01,1,,5,10,9,05,92,0922,5752
05RA00064,104051196,H1196,H1196,05,04,1,82,30,14P,.,C,2,2,3.0,Y,101,84,117,0.636,166,166,74,0.274,2.7,3.0,60,7.0,7.6,,24.0,0.0,0.0,60,2,1,2,2.17,144.2,A9963,04,A8499,04,186,,188,200,0.3,1.0,,2,CTL,,99,105,N,RR,,,,, 69,,Ctrl,,,,,,,,,,01,1,,3,6,6,05,92,0922,5758
