UID,ID9,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65
05RA00001,100047284,A7284,A7284,04,00,1,82,30,21,.,C,2,2,5.0,M,103,99,118,0.742,250,193,74,0.328,3.3,3.3,60,8.4,8.4,,24.0,0.0,0.0,60,2,1,1-,1.98,113.1,A5530,04,A4686,04,,,277,200,0.348,5.0,"AGE 5, X",3,CTL,,89,92,.,,S2,AA,STUD,85.0,,01P,Flwt,,HETRO,,,,,,,,,0,,5,10,7,05,93,0815,2012
05RA00002,100047896,A7896,A7896,04,00,1,88,30,44-,.,W,4,1,4.5,M,114,90,108,0.748,203,161,74,0.248,2.8,2.8,58,6.6,6.6,,25.5,0.0,0.0,58,2,1,2+,2.52,102.7,A4920,04,A3834,04,,,233,200,0.263,5.0,-WOOL AGE 5 X,3,NON,,75,77,.,,S1,A,STUD,100.0,,02P,Flwt,,HETRO,,,,,,,,,0,,4,12,5,05,93,0815,2040
05RA00003,101048879,A8879,A8879,04,01,1,84,30,52,.,N,3,2,6.5,M,119,71,101,0.592,202,160,74,0.309,2.8,2.8,60,9.0,9.0,,24.0,0.0,0.0,60,1,1,2,2.45,130.2,A6853,04,A4798,04,,,223,200,0.0,4.0,"YtexJuly,2005",3,INB,,93,92,.,,S5,AAA,STUD,100.0,,22P,+Lww,,HETRO,,,,,,,,,0,,6,15,9,05,93,0815,2018
05RA00004,102049073,A9073,A9073,04,02,1,84,30,53,.,N,2,2,5.0,M,99,92,120,0.682,206,153,74,0.204,3.4,3.4,58,11.4,11.4,,25.5,0.0,0.0,58,1,1,3,2.26,158.0,A6501,04,90791,09,226,,229,200,0.0,3.0,,2,INB,,99,107,N,QR,Sx,A+,STUD,88.0, 73,e10,Inbr,,HETRO,,,,,,,,03,1,,5,11,10,05,92,0922,5763
05RA00005,102049088,A9088,A9088,04,02,1,84,30,55,.,N,2,2,5.5,M,99,97,122,0.703,229,185,74,0.296,3.6,3.6,58,10.8,10.8,,25.5,0.0,0.0,58,2,1,1-,1.87,136.6,A6641,04,A3708,04,260,,242,200,0.0,3.0,H2,2,INB,,99,105,N,QR,Sx,A+,STUD,92.0, 74,24P,Inbr,,HETRO,,,,,,,,03,1,,5,9,9,05,92,0922,5768
05RA00006,102049153,A9153,A9153,04,02,1,84,30,54,.,N,2,2,4.0,M,100,100,119,0.756,228,173,74,0.244,3.0,3.0,58,10.4,10.4,,25.5,0.0,0.0,58,2,1,2+,2.1,131.1,A6911,04,A6643,04,251,,254,200,0.0,3.0,H2,2,INB,,90,100,N,RR,Sx,A+,STUD,91.0, 80,26P,Inbr,,HETRO,,,,,,,,03,1,,4,8,6,05,92,0922,5764
05RA00007,102049232,A9232,A9232,04,02,1,83,30,43,.,W,2,2,4.0,M,101,88,123,0.647,207,158,74,0.238,3.1,3.1,60,7.2,7.2,,24.0,0.0,0.0,60,1,1,1-,2.36,153.0,A7199,04,A7491,04,,,239,200,0.0,3.0,-FIDX,3,-FW,,95,84,.,,Sx,A+,STUD,97.0,,04P,Flwt,,HETRO,,,,,,,,,0,,4,9,7,05,93,0815,2027
05RA00008,102049285,A9285,A9285,04,02,1,83,30,41,J,W,2,2,5.0,M,102,98,122,0.714,232,171,74,0.248,0.0,0.0,58,9.8,9.8,,0.0,0.0,0.0,0,.,1,..,1.93,134.0,A7760,04,90687,09,,,267,200,0.0,3.0,KEEP,V,-FW,,0,0,.,,S,A,,0.0,BHV,BHV,Flwt,,EXHET,,,,,,,,,0,,5,8,7,05,,,0
05RA00009,102049434,A9434,A9434,04,02,1,84,30,51,J,N,2,2,5.5,M,104,93,113,0.715,216,147,74,0.179,0.0,0.0,60,10.4,10.4,,0.0,0.0,0.0,0,.,1,..,2.04,127.4,A6998,04,A5963,04,,,247,200,0.0,3.0,,V,INB,,0,0,.,,D3w,A+,STUD,100.0,BHV,BHV,Inbr,,MOR,,,,,,,,,0,,5,9,7,05,,,0
05RA00010,102049442,A9442,A9442,04,02,1,83,30,42,.,W,2,2,7.0,M,104,93,113,0.706,221,172,74,0.262,3.4,3.4,60,11.0,11.0,,25.5,0.0,0.0,58,1,1,2-,2.39,152.6,A6529,04,A3551,04,253,,245,200,0.0,3.0,,2,-FW,,102,105,N,QR,Sx,A+,STUD,92.0, 77,16P,Flwt,,HETRO,,,,,,,,03,1,,7,19,16,05,92,0922,5766
