UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVUNL_SIR,DAM,DBRD,EBVLWW_DAM,EBVUNL_DAM,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW_UNL,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
97RA00047,A2854,04,96,1,82,30,22,C,3,1,6.0,Y,93,88,125,0.642,138,138,71,0.17,2.8,62,7.2,,,22.57,4.42,19.6,62,2,1,3+,2.02,139.4,A0944,04,11.73,0.22,L7769,03,10.19,3.34,168,210,0.224,1.0,,1,CTL,10.96,1.78,98,100,,S3,AA,0.0,p25,W,70,3,5,0,E,,,,6,12,11,1997
97RA00048,A2858,04,96,1,82,30,25,C,2,2,5.0,Y,94,96,126,0.678,160,160,71,0.219,3.0,58,6.8,,,25.62,4.51,17.6,58,2,1,2+,1.85,118.2,A1030,04,20.42,5.71,L8534,03,9.55,1.4,183,210,0.245,1.0,NICE,1,CTL,14.99,3.56,89,96,,S3,AA,0.0,p27,W,60,3,5,0,S,,,,5,8,7,1997
97RA00049,A2859,04,96,1,82,30,27,C,2,1,3.0,Y,94,88,126,0.619,164,164,71,0.26,3.0,60,7.0,,,22.45,5.32,23.7,62,1,1,2-,2.22,114.5,A1399,04,15.85,5.5,A1085,04,15.36,4.64,170,210,0.231,1.0,DUD,1,CTL,15.61,5.07,94,100,,D4,DUD,0.0,LIB,C,75,4,5,0,E,,,,3,6,4,1997
97RA00050,A2871,04,96,1,81,30,01,M,3,1,7.0,Y,94,109,126,0.79,167,167,71,0.199,3.0,60,7.6,,,24.17,4.42,18.3,60,2,1,2,2.39,129.8,A0733,04,25.69,7.06,L3820,03,18.43,2.69,185,210,0.214,1.0,4TEATS,1,LBW,22.06,4.88,97,103,,S4,AAA,0.0,,C,70,3,5,0,E,,,,7,18,11,1997
97RA00051,A2883,04,96,1,82,30,27,C,3,3,4.0,Y,94,77,126,0.532,181,181,71,0.356,2.8,58,7.4,,,25.97,6.1,23.5,58,1,1,2,2.23,150.0,A1399,04,15.85,5.5,L9845,03,19.1,4.64,202,210,0.352,1.0,Bovis REDOneg,1,CTL,17.48,5.07,110,98,,S1,A,0.0,p31,W,60,3,5,6,S,,,,4,9,8,1997
97RA00052,A2887,04,96,1,81,30,01,M,3,3,4.0,Y,94,83,126,0.592,159,159,71,0.26,3.1,60,6.4,,,23.67,4.25,18.0,60,6,1,2,1.98,127.0,A0733,04,25.69,7.06,L9990,03,19.49,5.77,184,210,0.285,1.0,"X,HORN6",3,LBW,22.59,6.42,98,96,,S1,A,0.0,,,,,,,,,,,4,7,6,1997
97RA00053,A2904,04,96,1,ch,31,j.7,h,2,2,2.0,Y,95,72,127,0.491,142,142,72,0.241,0.0,62,7.6,,,0.0,0.0,0.0,,,1,,1.5,122.3,T4325,44,6.52,3.96,A2326,04,10.94,7.51,169,210,0.275,1.0,,3,CH,8.73,5.74,,,,D4,DUD,0.0,,,,,,,,,,,2,3,4,1997
97RA00054,A2910,04,96,1,81,30,03,M,4,3,6.0,Y,95,84,125,0.6,156,156,71,0.247,2.4,60,5.6,,,23.3,3.82,18.0,62,3,1,2,2.62,142.3,A1040,04,23.3,5.08,L7458,03,32.58,7.88,176,210,0.259,1.0,"H3,DUD",2,LBW,27.94,6.48,106,86,-,D4,DUD,0.0,LIB,,,,,,E,,C,,6,18,11,1997
97RA00055,A2914,04,96,1,82,30,28,C,3,2,7.0,Y,96,77,122,0.561,162,162,71,0.289,2.8,60,7.8,,,22.75,4.2,18.5,62,1,1,2,2.48,136.7,A1063,04,13.49,2.68,L3960,03,22.98,-0.08,181,210,0.291,1.0,,1,CTL,18.24,1.3,104,104,,S4,AAA,0.0,p29,C,75,3,5,0,E,,,,7,19,14,1997
97RA00056,A2918,04,96,1,82,30,25,C,4,2,6.0,Y,96,101,122,0.746,166,166,71,0.221,3.1,60,7.4,,,23.3,4.07,17.5,62,2,1,1-,2.22,141.7,A1030,04,20.42,5.71,L6697,03,29.81,7.22,182,210,0.227,1.0,"KEEP+SALE,DUD",2,CTL,25.12,6.47,101,103,-,MO,MOR,0.0,LIB,,,,,,E,,C,,6,14,10,1997
97RA00057,A2936,04,96,1,ch,31,j.3,h,1,1,2.0,Y,96,82,126,0.582,142,142,72,0.207,0.0,60,8.4,,,0.0,0.0,0.0,,6,1,,1.5,98.0,A1264,04,6.61,4.09,A2299,04,7.01,3.22,170,210,0.249,1.0,"X,FX.LEG,H6",6,CH,6.81,3.66,,,,S1,A,0.0,,,,,,,,,,,2,3,3,1997
97RA00058,A2954,04,96,1,ch,31,j.0,c,2,1,2.0,Y,96,85,126,0.606,181,181,72,0.331,0.0,60,7.8,,,0.0,0.0,0.0,,,1,,2.0,125.0,T4367,44,7.05,5.6,A2478,04,9.12,4.21,204,210,0.337,1.0,MSG 10/17/97,7,CH,8.09,4.91,,,,D4,DUD,0.0,,,,,,,,,,,2,4,3,1997
97RA00059,A2978,04,96,1,82,30,20,C,1,2,7.0,Y,97,93,121,0.653,170,170,71,0.262,3.5,58,10.0,,,25.96,6.22,24.0,58,2,1,2,1.79,109.3,A0740,04,13.92,3.33,L5467,03,16.42,6.32,189,210,0.269,1.0,w/Yrlg 3/16,1,CTL,15.17,4.83,104,123,,S3,AA,0.0,p21,C,50,3,5,0,S,,,,6,12,8,1997
97RA00060,A2983,04,96,1,82,30,30,C,4,2,7.0,Y,97,95,121,0.699,168,168,71,0.248,3.0,62,7.6,,,23.23,4.4,19.0,62,1,1,2+,2.34,150.4,A0760,04,22.05,2.55,L5379,03,26.99,3.95,200,210,0.294,1.0,,2,CTL,24.52,3.25,107,104,-,S1,A,0.0,101,,,,,,E,,C,,7,18,14,1997
97RA00061,A2991,04,96,1,ch,31,j.8,h,1,1,2.0,Y,98,94,124,0.677,175,175,72,0.279,0.0,62,11.0,,,0.0,0.0,0.0,,,1,,1.5,123.0,T4345,44,4.03,7.7,A2471,04,5.75,3.1,196,210,0.289,1.0,,1,CH,4.89,5.4,,,,S2,AA,0.0,LIB,,,,,,,,,,2,3,3,1997
97RA00062,A3025,04,96,1,82,30,25,C,3,2,4.0,Y,98,78,120,0.558,167,167,71,0.303,3.3,60,9.0,,,25.97,5.7,21.9,58,3,1,2-,2.35,136.0,A1030,04,20.42,5.71,A0084,04,21.86,5.39,186,210,0.303,1.0,H3,1,CTL,21.14,5.55,111,114,,S1,A,0.0,,W,55,3,5,0,S,,,,4,10,7,1997
97RA00063,A3030,04,96,1,ch,34,j.5,h,1,1,2.0,Y,98,86,124,0.613,163,163,72,0.266,0.0,60,7.2,,,0.0,0.0,0.0,,,1,,1.0,81.5,A1444,04,11.41,4.26,A2356,04,10.32,2.96,184,210,0.278,1.0,,1,CH,10.87,3.61,,,,MO,MOR,0.0,LIB,,,,,,,,,,2,2,2,1997
97RA00064,A3032,04,96,1,81,30,03,M,2,2,6.0,Y,98,102,120,0.735,176,176,71,0.252,3.0,60,7.2,,,22.56,3.8,16.9,62,2,1,2+,2.12,143.7,A1040,04,23.3,5.08,L6485,03,15.67,7.73,222,210,0.336,1.0,,1,LBW,19.49,6.41,102,102,,S3,AA,0.0,,W,50,3,5,0,S,,,,6,13,11,1997
97RA00065,A3033,04,96,1,82,30,20,C,3,2,5.0,Y,98,96,120,0.708,184,184,71,0.299,3.1,58,8.4,,,26.55,5.25,19.8,56,2,1,1,1.96,108.5,A0740,04,13.92,3.33,L8993,03,17.14,7.03,215,210,0.333,1.0,,1,CTL,15.53,5.18,103,108,,S1,A,0.0,,C,60,3,5,0,E,,,,4,9,6,1997
97RA00066,A3052,04,96,1,82,30,25,C,3,2,6.0,Y,99,81,119,0.629,150,150,71,0.235,2.9,60,5.6,,,21.82,3.6,16.5,64,2,1,2,2.02,138.9,A1030,04,20.42,5.71,L7260,03,19.92,4.37,175,210,0.263,1.0,,3,CTL,20.17,5.04,95,90,,D4,DUD,0.0,LIB,,,,,,,,,,6,12,10,1997
97RA00067,A3063,04,96,1,ch,31,-0-,h,1,1,3.0,Y,99,104,123,0.738,173,173,72,0.238,0.0,62,8.8,,,0.0,0.0,0.0,,6,1,,1.33,90.7,S2079,10,0.0,9.03,A0961,04,11.6,0.04,202,210,0.278,1.0,H6,1,CH,5.8,4.54,,,,D3,DUD,0.0,LIB,,,,,,,,,,3,4,3,1997
97RA00068,A3071,04,96,1,82,30,31,C,3,2,4.0,Y,99,81,119,0.595,170,170,71,0.303,3.7,58,8.8,,,24.03,4.05,16.9,60,2,1,2-,2.48,141.2,A1031,04,20.42,5.71,A0214,04,23.17,4.63,176,210,0.266,1.0,,2,CTL,21.8,5.17,110,119,-,S1,A,0.0,103,,,,,,S,,C,,4,11,8,1997
97RA00069,A3079,04,96,1,81,30,02,M,1,1,7.0,Y,100,102,120,0.746,169,169,71,0.229,3.2,60,8.8,,,24.07,4.66,19.4,60,1,1,1-,1.93,134.1,A1423,04,19.9,5.38,L3395,03,23.12,7.36,193,210,0.256,1.0,Bovis REDOneg,1,LBW,21.51,6.37,104,113,,S4,AAA,0.0,e.8,W,65,3,5,0,S,,,,7,13,11,1997
97RA00070,A3085,04,96,1,82,30,24,C,3,2,4.0,Y,100,80,120,0.598,144,144,71,0.219,2.5,60,11.2,,,22.05,4.33,19.6,62,2,1,3+,2.23,118.6,A1070,04,21.09,5.59,L9681,03,24.29,3.55,165,210,0.239,1.0,,1,CTL,22.69,4.57,98,124,,S4,AAA,0.0,,C,60,3,5,0,E,,,,4,9,6,1997
