UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVUNL_SIR,DAM,DBRD,EBVLWW_DAM,EBVUNL_DAM,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW_UNL,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
97RA00001,A1780,04,95,1,82,30, 27,C,2,2,5.0,M,93,95,128,0.657,177,130,72,0.119,3.0,62,7.8,,,26.29,4.76,18.1,58,2,1,2+,2.07,117.5,A0099,04,0.0,0.0,L8869,03,0.0,0.0,203,210,0.188,2.0,,3,CTL,9.0,1.38,85,88,,S2,AA,0.0,,,,,,,,,,,5,10,8,1997
97RA00002,A1821,04,95,1,81,30, 02,M,3,1,7.0,M,95,94,126,0.675,182,143,72,0.166,3.1,54,8.8,,,29.58,7.23,24.5,50,3,1,1-,1.97,105.2,L9898,03,0.0,0.0,L5059,03,0.0,0.0,202,210,0.227,2.0,H3,3,LBW,23.47,4.96,89,93,,S4,AAA,0.0,,,,,,,,,,,7,14,8,1997
97RA00003,A1889,04,95,1,82,30, 28,C,2,2,6.0,M,98,81,121,0.575,177,137,72,0.189,2.6,60,7.8,,,26.73,4.48,16.7,56,2,1,3+,2.0,139.5,A0161,04,0.0,0.0,L4364,03,0.0,0.0,194,210,0.243,2.0,,3,CTL,21.33,1.81,96,85,,S2,AA,0.0,,,,,,,,,,,6,12,11,1997
97RA00004,A1942,04,95,1,81,30, 04,M,3,2,7.0,M,99,78,120,0.57,173,142,72,0.215,4.2,58,10.8,,,26.75,3.96,14.8,56,1,3,1-,2.25,137.3,L9892,03,0.0,0.0,L4878,03,0.0,0.0,197,210,0.243,2.0,,2,LBW,21.61,4.35,109,115,-,S3,AA,0.0,109,,,,,,E,,C,,7,17,13,1997
97RA00005,A1985,04,95,1,82,30, 22,C,2,2,7.0,M,100,75,119,0.539,224,150,72,0.253,4.1,58,10.8,,,25.53,4.64,18.2,58,3,1,2,1.93,149.0,L9786,03,0.0,0.0,L3909,03,0.0,0.0,246,210,0.315,2.0,H3,2,CTL,15.3,5.93,115,115,-,S3,AA,95.5,107,,,,,,E,,R,,7,13,13,1997
97RA00006,A1994,04,95,1,81,30, 02,M,2,2,6.0,Y,101,92,120,0.666,241,162,71,0.237,3.9,58,12.6,,,26.49,5.05,19.0,56,2,3,3+,2.62,142.3,L9898,03,0.0,0.0,L7458,03,0.0,0.0,253,210,0.301,2.0,"J3,SLI.UNDER",2,LBW,28.05,7.76,123,122,-,S2,AA,96.3,110,,,,,,E,,C,,6,18,11,1997
97RA00007,A1999,04,95,1,82,30, 26,C,2,2,6.0,M,101,80,120,0.593,171,145,72,0.22,3.2,62,8.2,,,25.79,4.35,16.9,58,1,1,2,2.02,127.4,A0054,04,0.0,0.0,L7193,03,0.0,0.0,191,210,0.212,2.0,,3,CTL,12.04,3.22,94,93,,S2,AA,100.0,,,,,,,,,,,6,12,10,1997
97RA00008,A2011,04,95,1,82,30, 25,C,3,2,6.0,M,101,84,118,0.629,197,153,72,0.232,3.0,58,10.0,,,27.8,5.39,19.1,56,1,1,2-,2.22,141.7,L9734,03,0.0,0.0,L6697,03,0.0,0.0,223,210,0.282,2.0,,2,CTL,21.49,4.65,103,99,-,S2,AA,0.0,104,,,,,,S,,C,,6,14,10,1997
97RA00009,A2026,04,95,1,82,30, 29,C,2,2,5.0,M,101,89,120,0.652,190,143,72,0.183,3.6,56,9.0,,,27.89,4.72,16.7,56,1,1,3+,1.96,108.5,L9819,03,0.0,0.0,L8993,03,0.0,0.0,202,210,0.251,2.0,,2,CTL,18.5,5.17,96,99,-,S1,A,100.0,115,,,,,,S,,R,,4,9,6,1997
97RA00010,A2027,04,95,1,82,30, 29,C,2,2,5.0,M,101,97,120,0.731,204,153,72,0.19,3.5,60,9.6,,,26.14,4.76,18.2,58,1,1,1-,1.96,108.5,L9819,03,0.0,0.0,L8993,03,0.0,0.0,215,210,0.236,2.0,,3,CTL,18.5,5.17,98,103,,SP,B,0.0,,,,,,,,,,,4,9,6,1997
97RA00011,A2059,04,95,1,81,30, 03,M,3,2,7.0,M,102,89,119,0.674,202,160,72,0.241,3.3,58,11.6,,,25.58,4.84,18.9,58,1,1,2,2.16,147.8,A0038,04,0.0,0.0,L5263,03,0.0,0.0,225,210,0.284,2.0,"AB.L.JAW, CHK",2,LBW,21.15,4.89,112,112,-,S2,AA,97.8,AZ,,,,,,E,,C,,7,16,13,1997
97RA00012,A2062,04,95,1,82,30, 20,C,2,2,4.0,M,102,84,119,0.642,156,124,72,0.136,3.5,58,8.0,,,26.9,4.87,18.1,56,1,1,2,1.98,127.4,A0118,04,0.0,0.0,L9884,03,0.0,0.0,186,210,0.206,2.0,,2,CTL,20.29,5.36,96,92,-,S3,AA,100.0,114,,,,,,S,,R,,4,7,6,1997
97RA00013,A2074,04,95,1,82,30, 27,C,3,2,7.0,M,103,81,118,0.62,202,158,72,0.261,3.1,62,8.4,,,24.45,5.05,20.7,60,3,1,2+,2.17,124.3,A0099,04,0.0,0.0,L1876,03,0.0,0.0,232,210,0.304,2.0,H3,2,CTL,15.29,4.13,96,94,-,S2,AA,100.0,111,,,,,,E,,C,,7,16,11,1997
97RA00014,A2085,04,95,1,82,30, 24,C,3,2,7.0,M,103,83,118,0.638,158,132,72,0.166,3.3,58,8.4,,,26.79,5.04,18.8,56,1,1,2,2.43,115.1,A0043,04,0.0,0.0,L4952,03,0.0,0.0,181,210,0.194,2.0,,2,CTL,19.08,2.62,94,94,-,S3,AA,100.0,113,,,,,,E,,R,,6,19,10,1997
97RA00015,A2086,04,95,1,82,30, 24,C,3,2,7.0,M,103,78,118,0.581,168,125,72,0.159,3.2,58,9.0,,,26.41,4.75,18.0,56,2,1,2+,2.43,115.1,A0043,04,0.0,0.0,L4952,03,0.0,0.0,186,210,0.227,2.0,,2,CTL,19.08,2.62,94,97,-,S3,AA,0.0,112,,,,,,E,,R,,6,19,10,1997
97RA00016,A2096,04,95,1,81,30, 03,M,2,2,5.0,M,104,91,117,0.686,186,152,72,0.207,3.9,58,10.6,,,26.59,4.98,18.7,56,2,1,2-,1.93,119.0,A0038,04,0.0,0.0,L7337,03,0.0,0.0,213,210,0.263,2.0,NICE,2,LBW,23.2,5.71,98,111,-,S4,AAA,96.3,105,,,,,,E,,R,,5,9,6,1997
97RA00017,A2117,04,95,1,82,30, 23,C,2,2,4.0,M,104,89,117,0.662,213,161,72,0.244,2.8,60,7.4,,,22.8,3.92,17.2,62,1,2,1-,1.85,127.8,L9720,03,0.0,0.0,L9950,03,0.0,0.0,230,210,0.325,2.0,,3,CTL,16.87,4.87,97,88,,S3,AA,100.0,,,,,,,,,,,4,6,6,1997
97RA00018,A2146,04,95,1,81,30, 04,M,2,2,7.0,M,104,98,115,0.754,200,154,72,0.189,3.5,60,9.6,,,26.69,4.83,18.1,56,4,1,2+,1.66,128.4,L9892,03,0.0,0.0,L3703,03,0.0,0.0,196,210,0.246,2.0,"H4,SM.TESTES",3,LBW,23.07,7.03,98,102,,S3,AA,96.3,,,,,,,,,,,6,10,9,1997
97RA00019,A2159,04,95,1,81,30, 01,M,2,2,6.0,M,105,86,114,0.659,206,163,72,0.259,3.6,60,10.2,,,24.9,4.49,17.1,60,1,1,2,2.02,140.9,L9832,03,0.0,0.0,L6679,03,0.0,0.0,239,210,0.323,2.0,,2,LBW,22.06,5.68,110,107,-,S1,A,0.0,106,,,,,,E,,C,,6,12,12,1997
97RA00020,A2160,04,95,1,81,30, 01,M,2,2,6.0,M,105,77,114,0.58,194,136,72,0.199,3.7,58,10.2,,,25.0,5.13,21.0,58,2,1,2,2.02,140.9,L9832,03,0.0,0.0,L6679,03,0.0,0.0,207,210,0.252,2.0,LO LIB=S1,2,LBW,22.06,5.68,107,109,-,S1,A,0.0,108,,,,,,S,,C,,6,12,12,1997
97RA00021,A2191,04,95,1,82,30, 25,C,3,2,7.0,M,106,83,113,0.635,168,125,72,0.141,3.1,60,7.2,,,25.7,5.17,20.1,58,1,1,2,2.12,133.6,L9734,03,0.0,0.0,L4018,03,0.0,0.0,198,210,0.202,2.0,,3,CTL,16.94,1.91,91,87,,S2,AA,100.0,,,,,,,,,,,7,15,13,1997
97RA00022,A2465,04,95,1,82,30, 21,C,2,2,7.0,M,111,69,110,0.54,174,142,72,0.247,3.4,62,8.4,,,23.73,4.59,19.4,60,2,1,2+,1.89,131.6,L9859,03,0.0,0.0,L2355,03,0.0,0.0,196,210,0.284,2.0,LOW FERT .40,3,CTL,15.8,3.81,99,97,,S1,A,40.0,,,,,,,,,,,7,13,13,1997
97RA00023,A2581,04,95,2,73,30,10,L,2,2,4.0,Y,234,64,99,0.545,209,147,71,0.454,0.0,62,12.2,,,24.8,0.0,0.0,60,,3,,1.5,94.3,A0560,04,0.0,0.0,L9367,03,2.79,0.54,230,210,0.0,1.5,,2,-FL,1.4,0.27,110,,-,S3,AA,100.0,120,,,,,,S,,R,,3,6,6,1997
97RA00024,A2590,04,95,2,73,30,8,L,2,1,4.0,Y,236,71,97,0.616,185,146,71,0.41,0.0,60,11.6,,,24.8,0.0,0.0,60,,3,,1.75,88.6,A0478,04,0.0,0.0,L9394,03,0.0,0.98,209,210,0.0,1.5,,2,-FL,0.0,0.49,109,,-,S2,AA,0.0,121,,,,,,E,,R,,3,7,6,1997
97RA00025,A2593,04,95,2,73,30,8,L,2,2,6.0,Y,236,58,97,0.498,168,139,71,0.443,0.0,60,10.0,,,0.0,0.0,0.0,,,1,,1.67,73.3,A0478,04,0.0,0.0,L6272,03,0.0,0.0,187,210,0.0,1.5,,3,-FL,0.0,0.0,90,,,S4,AAA,0.0,,,,,,,,,,,5,10,8,1997
97RA00026,A2599,04,95,2,73,30,3,H,2,2,3.0,Y,237,48,96,0.379,231,99,71,0.279,0.0,60,14.0,,,24.8,0.0,0.0,60,,1,,1.33,79.3,A0288,04,0.0,0.0,L9508,03,0.0,1.67,232,210,0.0,1.5,,2,-FL,0.0,0.84,88,,-,S2,AA,0.0,118,,,,,,E,,R,,2,4,4,1997
97RA00027,A2604,04,95,2,73,30,3,H,2,2,5.5,Y,237,63,96,0.553,173,148,71,0.464,0.0,60,12.8,,,24.8,0.0,0.0,60,,3,,1.8,77.2,A0288,04,0.0,0.0,L7297,03,24.03,5.03,201,210,0.0,1.5,"J3,SLI.UNDER",2,-FL,12.02,2.52,96,,-,S1,A,0.0,123,,,,,,E,,R,,5,9,7,1997
97RA00028,A2612,04,95,2,73,30,1,H,2,1,7.0,Y,238,62,95,0.529,220,165,71,0.563,0.0,58,17.6,,,0.0,0.0,0.0,,,1,,1.29,75.3,A0285,04,0.0,0.0,L4616,03,0.0,0.0,232,210,0.0,1.5,,3,-FL,0.0,0.0,93,,,S4,AAA,0.0,,,,,,,,,,,5,9,8,1997
97RA00029,A2615,04,95,2,73,30,8,L,1,1,5.5,Y,239,67,94,0.578,188,148,71,0.443,0.0,60,12.6,,,0.0,0.0,0.0,,,1,,1.6,107.8,A0478,04,0.0,0.0,L7492,03,14.79,1.95,206,210,0.0,1.5,Dam's record+,3,-FL,7.4,0.98,123,,,S3,AA,0.0,,,,,,,,,,,5,8,8,1997
97RA00030,A2641,04,95,2,73,30,3,H,2,2,7.0,Y,241,47,92,0.377,172,134,71,0.475,0.0,60,12.8,,,0.0,0.0,0.0,,,1,,1.29,85.3,A0288,04,0.0,0.0,L3168,03,0.0,0.0,158,210,0.0,1.5,"X,WGT.LOSS",3,-FL,0.0,0.0,93,,,S3,AA,0.0,,,,,,,,,,,6,9,9,1997
97RA00031,A2649,04,95,2,73,30,6,L,2,2,5.0,Y,242,61,91,0.554,203,140,71,0.432,0.0,60,14.2,,,24.8,0.0,0.0,60,,1,,1.6,80.8,A0421,04,0.0,0.0,L8230,03,0.0,0.0,200,210,0.0,1.5,,2,-FL,0.0,0.0,99,,-,S3,AA,0.0,119,,,,,,E,,R,,4,8,7,1997
97RA00032,A2652,04,95,2,73,30,8,L,2,2,5.0,Y,242,61,91,0.538,197,152,71,0.497,0.0,60,11.8,,,0.0,0.0,0.0,,,1,,1.4,58.0,A0478,04,0.0,0.0,L8182,03,0.0,0.0,218,210,0.0,1.5,,3,-FL,0.0,0.0,79,,,S3,AA,0.0,,,,,,,,,,,3,7,5,1997
97RA00033,A2655,04,95,2,73,30,1,H,1,1,7.5,Y,243,77,90,0.704,187,157,71,0.437,0.0,58,10.8,,,0.0,0.0,0.0,,,1,,1.0,59.1,A0285,04,0.0,0.0,L3794,03,15.84,6.7,208,210,0.0,1.5,SINGLE,3,-FL,7.92,3.35,89,,,S2,AA,0.0,,,,,,,,,,,5,7,5,1997
97RA00034,A2671,04,95,2,73,30,5,H,2,2,7.0,Y,243,55,90,0.504,174,137,71,0.448,0.0,60,9.8,,,0.0,0.0,0.0,,,1,,1.43,80.1,A0368,04,0.0,0.0,L3201,03,0.0,0.0,196,210,0.0,1.5,,3,-FL,0.0,0.0,96,,,S2,AA,0.0,,,,,,,,,,,6,10,9,1997
97RA00035,A2674,04,95,2,73,30,2,L,2,2,4.0,Y,244,63,89,0.587,225,168,71,0.574,0.0,58,12.4,,,25.5,0.0,0.0,58,,1,,1.5,84.8,A0347,04,0.0,0.0,L9417,03,0.0,1.63,240,210,0.0,1.5,"X,+B.ovis",X,-FL,0.0,0.82,104,,+,S4,AAA,0.0,XXX,,,,,,E,,R,,3,6,5,1997
97RA00036,A2675,04,95,2,73,30,2,L,2,2,4.0,Y,244,63,89,0.575,218,159,71,0.525,0.0,62,11.0,,,24.8,0.0,0.0,60,,1,,1.5,84.8,A0347,04,0.0,0.0,L9417,03,0.0,1.63,231,210,0.0,1.5,INCISOR BROKE,2,-FL,0.0,0.82,104,,-,S2,AA,0.0,122,,,,,,E,,R,,3,6,5,1997
97RA00037,A2678,04,95,2,73,30,9,H,2,2,4.0,Y,245,60,88,0.558,225,158,71,0.536,0.0,62,12.8,,,0.0,0.0,0.0,,,1,,1.25,66.5,A0485,04,0.0,0.0,L7849,03,0.0,0.0,226,210,0.0,1.5,,3,-FL,0.0,0.0,87,,,S4,AAA,0.0,,,,,,,,,,,3,5,5,1997
97RA00038,A2698,04,95,2,73,30,8,L,3,2,7.0,Y,246,47,87,0.428,174,126,71,0.432,0.0,58,9.4,,,25.5,0.0,0.0,58,,1,,2.29,106.5,A0478,04,0.0,0.0,L4432,03,0.0,0.0,185,210,0.0,1.5,,2,-FL,0.0,0.0,114,,-,S3,AA,90.0,117,,,,,,E,,C,,6,16,13,1997
97RA00039,A2706,04,95,2,73,30,7,H,2,1,7.0,Y,247,56,86,0.551,194,146,71,0.492,0.0,58,11.8,,,25.5,0.0,0.0,58,,1,,1.57,76.7,A0386,04,11.38,2.94,L2756,03,0.0,0.0,193,210,0.0,1.5,,2,-FL,5.69,1.47,96,,-,S3,AA,0.0,124,,,,,,E,,R,,5,11,8,1997
97RA00040,A2751,04,95,2,73,30,8,L,3,2,4.0,Y,252,59,81,0.601,220,164,71,0.574,0.0,56,18.0,,,26.5,0.0,0.0,56,,1,,1.5,92.6,A0478,04,0.0,0.0,L9560,03,0.0,-2.18,231,210,0.0,1.5,,2,-FL,0.0,-1.09,112,,-,S3,AA,0.0,116,,,,,,E,,R,,3,6,6,1997
97RA00041,A2768,04,95,2,73,30,5,H,1,1,8.0,Y,254,60,79,0.582,189,143,71,0.454,0.0,58,15.6,,,0.0,0.0,0.0,,,1,,1.63,99.9,A0368,04,0.0,0.0,L3031,03,0.0,0.0,211,210,0.0,1.5,SINGLE,3,-FL,0.0,0.0,117,,,S2,AA,0.0,,,,,,,,,,,7,13,12,1997
97RA00042,A2801,04,96,1,ch,31,j.2,c,2,1,2.0,Y,86,84,136,0.562,152,152,72,0.234,0.0,60,7.8,,,0.0,0.0,0.0,,,1,,1.5,82.5,A1126,04,7.73,6.49,A2322,04,6.89,0.74,169,210,0.241,1.0,,1,CH,7.31,3.62,,,,S2,AA,0.0,LIB,,,,,,,,,,2,3,2,1997
97RA00043,A2829,04,96,1,ch,31,j.0,c,2,2,2.0,Y,92,70,130,0.462,158,158,72,0.303,0.0,58,9.4,,,0.0,0.0,0.0,,,1,,1.5,108.5,T4367,44,7.05,5.6,A2323,04,6.89,0.74,178,210,0.306,1.0,,1,CH,6.97,3.17,,,,S3,AA,0.0,LIB,,,,,,,,,,2,3,3,1997
97RA00044,A2840,04,96,1,ch,31,j.5,h,1,1,2.0,Y,93,100,129,0.685,162,162,72,0.214,0.0,60,9.0,,,0.0,0.0,0.0,,,1,,1.5,134.5,A1444,04,11.41,4.26,A2510,04,5.69,5.47,193,210,0.263,1.0,,1,CH,8.55,4.87,,,,S2,AA,0.0,LIB,,,,,,,,,,2,3,3,1997
97RA00045,A2845,04,96,1,82,30,28,C,3,2,7.0,Y,93,88,127,0.624,155,155,71,0.229,2.8,60,7.2,,,25.14,5.42,21.6,58,2,1,3+,2.61,151.9,A1063,04,13.49,2.68,L5045,03,31.66,2.73,175,210,0.245,1.0,"X,+B.ovis",X,CTL,22.58,2.71,106,97,+,S0,B,0.0,XXX,,,,,,E,,C,,7,21,14,1997
97RA00046,A2852,04,96,1,82,30,22,C,3,2,6.0,Y,93,85,127,0.604,136,136,71,0.175,3.3,60,8.4,,,24.37,4.52,18.6,60,4,1,2-,2.02,139.4,A0944,04,11.73,0.22,L7769,03,10.19,3.34,152,210,0.189,1.0,HORN4,3,CTL,10.96,1.78,103,112,,S0,B,0.0,,,,,,,,,,,6,12,11,1997
