UID,RAM,LIB,GROUP,YRBN,LINE,TB,TR,DAYBN,NOBN,LBWN,SEX1,SEX2,SEX3
91RA00043,K4945,NP,SAVE,90,68,2,2,113,146,1157,M,M,.
91RA00044,K4950,AV,SALE,90,68,2,2,113,170,1334,M,F,.
91RA00045,K4978,AV,SALE,90,68,2,2,114,170,1371,M,M,.
91RA00046,K5032,LP,SAVE,90,68,2,1,115,162,1118,M,M,.
91RA00047,K5050,AV,SALE,90,68,1,1,116,125,0930,M,.,.
91RA00048,K5067,AV,SALE,90,68,2,1,117,175,1067,M,M,.
91RA00049,K5073,AV,SALE,90,68,1,1,117,146,0843,M,.,.
91RA00050,K5086,HP,SAVE,90,68,2,2,118,162,1191,M,F,.
91RA00051,K5090,LP,SAVE,90,68,1,1,118,150,1177,M,.,.
91RA00052,K5105,LP,SALE,90,68,2,2,121,162,1268,M,M,.
91RA00053,L0765,.,VASY,87,70,2,2,093,194,1252,M,M,.
91RA00054,L0941,.,VASY,87,71,2,2,099,192,1204,M,M,.
91RA00055,L1235,.,VASY,87,73,2,2,233,175,1163,M,F,.
91RA00056,L1665,HP,SAVE,87,73,2,2,245,167,1207,M,M,.
91RA00057,L2251,.,VASY,88,71,2,2,097,192,1219,M,F,.
91RA00058,L2760,AV,SALE,88,73,2,2,236,180,1080,M,M,.
91RA00059,L3090,NP,SALE,88,72,2,2,247,140,0954,M,F,.
91RA00060,L3090,NP,SAVE,88,72,2,2,247,140,0954,M,F,.
91RA00061,L3152,.,VASY,88,72,2,1,249,133,0650,M,F,.
91RA00062,L3531,AV,SALE,89,70,2,2,101,202,1309,M,M,.
91RA00063,L3541,HP,SAVE,89,71,3,2,101,208,1445,M,M,F
91RA00064,L3545,HP,SALE,89,71,2,2,101,211,1352,M,F,.
91RA00065,L3587,AV,SALE,89,71,2,2,102,211,1433,M,F,.
91RA00066,L3613,HP,SALE,89,83,2,2,102,193,1310,M,M,.
91RA00067,L3624,HP,SALE,89,70,2,1,102,207,1191,M,M,.
91RA00068,L3698,HP,SALE,89,71,2,2,103,190,1357,M,F,.
91RA00069,L3742,AV,SAVE,89,70,2,2,104,190,1253,M,M,.
91RA00070,L3766,AV,SALE,89,71,3,2,104,218,1293,M,M,M
91RA00071,L3801,HP,SAVE,89,70,2,2,105,202,1387,M,M,.
91RA00072,L3822,LP,SALE,89,70,2,2,105,212,1381,M,F,.
91RA00073,L3856,AV,SALE,89,71,3,2,106,227,1451,M,M,F
91RA00074,L3918,AV,SALE,89,70,3,2,107,228,1333,M,F,F
91RA00075,L3943,HP,SALE,89,71,2,2,108,182,1320,M,M,.
91RA00076,L3958,LP,SALE,89,71,2,2,108,208,1400,M,M,.
91RA00077,L4064,AV,SAVE,89,71,2,2,110,190,1348,M,M,.
91RA00078,L4136,AV,SALE,89,70,2,2,112,197,1331,M,M,.
91RA00079,L4164,LP,SAVE,89,70,3,2,112,218,1323,M,M,M
91RA00080,L4212,AV,SALE,89,70,2,2,113,190,1338,M,F,.
91RA00081,L4252,LP,SALE,89,70,2,2,114,192,1250,M,M,.
91RA00082,L4278,AV,SAVE,89,71,2,2,115,204,1385,M,F,.
91RA00083,L4292,AV,SALE,89,71,2,1,115,211,1105,M,M,.
91RA00084,L4343,HP,SALE,89,71,2,2,116,202,1446,M,F,.
91RA00085,L4396,AV,SALE,89,71,3,2,120,219,1456,M,M,F
91RA00086,L4413,AV,SALE,89,72,2,2,234,100,0788,M,F,.
91RA00087,L4415,HP,SALE,89,72,2,2,235,100,0923,M,F,.
91RA00088,L4423,.,SAVE,89,72,1,1,236,100,0880,M,.,.
91RA00089,L4441,AV,SALE,89,72,2,2,239,100,0843,M,F,.
91RA00090,L4442,.,SAVE,89,73,2,1,240,167,0993,M,F,.
91RA00091,L4451,HP,SALE,89,73,3,2,240,250,1535,M,M,M
91RA00092,L4452,HP,SALE,89,73,3,2,240,250,1535,M,M,M
91RA00093,L4453,AV,SALE,89,72,2,2,241,100,0848,M,M,.
91RA00094,L4460,.,SAVE,89,73,2,2,242,125,1053,M,F,.
91RA00095,L4471,.,SAVE,89,73,2,1,243,140,0918,M,M,.
91RA00096,L4475,HP,SALE,89,72,2,2,244,150,1258,M,F,.
91RA00097,L4495,HP,SALE,89,72,2,2,247,160,1258,M,F,.
91RA00098,L4551,.,SAVE,89,72,3,2,254,183,1163,M,M,F
91RA00099,L4565,AV,SALE,89,73,2,2,256,175,1155,M,M,.
91RA00100,L4566,AV,SALE,89,73,2,2,256,175,1155,M,M,.
91RA00101,L4574,HP,SALE,89,73,2,2,257,200,1170,M,M,.
91RA00102,L4582,NP,SALE,89,73,2,2,257,200,1280,M,F,.
91RA00103,L4582,NP,SAVE,89,73,2,2,257,200,1280,M,F,.
91RA00104,L4589,HP,SALE,89,73,2,1,258,200,1005,M,M,.
91RA00105,L4590,AV,SALE,89,73,2,2,258,200,1005,M,M,.
91RA00106,L4619,AV,SALE,89,73,2,2,261,160,1126,M,M,.
91RA00107,L4622,AV,SALE,89,73,2,2,261,100,0798,M,M,.
91RA00108,L4643,HP,SALE,89,73,2,2,261,160,1154,M,F,.
91RA00109,L4650,HP,SALE,89,73,2,2,262,100,0896,M,M,.
91RA00110,L4652,HP,SALE,89,73,2,2,262,160,1028,M,F,.
91RA00111,L4678,AV,SALE,89,73,2,1,265,217,1003,M,F,.
91RA00112,L4680,AV,SALE,89,73,2,2,266,175,1203,M,F,.
91RA00113,L4760,NP,SAVE,90,82,2,2,093,209,1284,M,M,.
91RA00114,L4775,AV,SAVE,90,80,2,1,094,209,1212,M,F,.
91RA00115,L4785,HP,SAVE,90,83,2,1,095,209,1200,M,M,.
91RA00116,L4796,LP,SAVE,90,81,2,2,096,193,1336,M,F,.
91RA00117,L4829,JF,SAVE,90,80,1,1,097,199,1204,M,.,.
91RA00118,L4874,AV,SALE,90,83,3,1,098,219,1155,M,F,F
91RA00119,L4903,.,DEAD,90,82,1,1,099,185,1086,M,.,.
91RA00120,L4908,LP,SAVE,90,82,2,2,099,204,1285,M,M,.
91RA00121,L4908,NP,SALE,90,82,2,2,099,204,1285,M,M,.
91RA00122,L4910,NP,SAVE,90,82,2,2,099,182,1179,M,F,.
91RA00123,L4917,AV,SAVE,90,80,2,2,099,217,1391,M,M,.
91RA00124,L4921,HP,SAVE,90,81,2,2,099,209,1318,M,M,.
91RA00125,L4922,HP,SAVE,90,81,2,2,099,209,1318,M,M,.
91RA00126,L4981,AV,SAVE,90,82,3,2,100,197,1126,M,M,F
91RA00127,L4992,NP,SAVE,90,82,3,2,100,219,1296,M,M,F
91RA00128,L5036,NP,SAVE,90,81,3,1,101,219,1346,M,F,F
91RA00129,L5049,.,DEAD,90,81,2,2,101,219,1529,M,F,.
91RA00130,L5068,LP,SAVE,90,83,2,2,101,192,1418,M,M,.
91RA00131,L5099,LP,SALE,90,80,2,1,102,209,1176,M,F,.
91RA00132,L5152,LP,SAVE,90,82,2,2,103,192,1416,M,M,.
91RA00133,L5171,HP,SAVE,90,83,2,2,103,219,1400,M,M,.
91RA00134,L5176,HP,SALE,90,80,2,2,104,202,1261,M,F,.
91RA00135,L5182,LP,SAVE,90,80,1,1,104,202,1289,M,.,.
91RA00136,L5191,HP,SAVE,90,82,1,1,104,193,1323,M,.,.
91RA00137,L5214,HP,SAVE,90,81,2,2,104,219,1474,M,F,.
91RA00138,L5232,AV,SALE,90,82,3,2,104,211,1256,M,M,M
91RA00139,L5252,NP,SAVE,90,82,2,2,105,209,1290,M,F,.
91RA00140,L5311,AV,SAVE,90,80,2,1,106,202,1187,M,M,.
91RA00141,L5320,AV,SAVE,90,82,1,1,106,185,1167,M,.,.
91RA00142,L5323,LP,SAVE,90,82,3,2,106,204,1359,M,M,F
91RA00143,L5334,HP,SALE,90,83,3,2,106,229,1492,M,M,F
91RA00144,L5345,NP,SAVE,90,80,3,2,106,242,1568,M,M,M
91RA00145,L5346,AV,SALE,90,80,3,2,106,242,1568,M,M,M
91RA00146,L5347,NP,SAVE,90,80,3,1,106,242,1568,M,M,M
91RA00147,L5350,JF,SAVE,90,81,3,2,106,237,1495,M,M,F
91RA00148,L5393,NP,SAVE,90,82,2,2,107,219,1363,M,M,.
91RA00149,L5410,LP,SAVE,90,82,1,1,108,190,1363,M,.,.
91RA00150,L5412,AV,SALE,90,81,2,2,108,202,1312,M,F,.
91RA00151,L5417,HP,SALE,90,82,3,2,108,217,1388,M,M,F
91RA00152,L5441,LP,SAVE,90,82,2,2,108,219,1432,M,F,.
91RA00153,L5455,AV,SAVE,90,82,2,2,108,209,1304,M,F,.
91RA00154,L5486,LP,SAVE,90,81,2,1,109,215,1146,M,M,.
91RA00155,L5507,AV,SALE,90,80,2,2,109,202,1268,M,F,.
91RA00156,L5510,LP,SAVE,90,80,3,1,109,197,1109,M,M,M
91RA00157,L5516,HP,SAVE,90,80,2,1,109,217,1144,M,M,.
91RA00158,L5549,NP,SAVE,90,82,3,2,110,219,1296,M,M,F
91RA00159,L5559,HP,SALE,90,80,3,2,110,229,0944,M,M,F
91RA00160,L5585,HP,SALE,90,81,3,2,111,204,1331,M,M,F
91RA00161,L5603,NP,SAVE,90,83,2,2,111,217,1359,M,F,.
91RA00162,L5613,HP,SAVE,90,82,3,2,111,254,1176,M,M,M
91RA00163,L5615,AV,SAVE,90,82,1,1,111,185,1218,M,.,.
91RA00164,L5618,LP,SAVE,90,82,3,2,111,236,1492,M,M,F
91RA00165,L5622,AV,SAVE,90,81,2,2,112,217,1377,M,F,.
91RA00166,L5625,AV,SALE,90,81,2,2,112,211,1314,M,F,.
91RA00167,L5651,AV,SAVE,90,83,2,2,112,204,1427,M,F,.
91RA00168,L5654,AV,SALE,90,83,3,1,113,214,1292,M,M,M
91RA00169,L5657,NO,DEAD,90,80,2,2,113,197,1241,M,M,.
91RA00170,L5658,JF,SAVE,90,82,1,1,113,197,1235,M,.,.
91RA00171,L5692,JF,SAVE,90,82,1,1,113,168,1000,M,.,.
91RA00172,L5728,NP,SAVE,90,81,3,2,114,236,1499,M,M,M
91RA00173,L5769,JF,SAVE,90,80,2,1,115,204,1201,M,M,.
91RA00174,L5799,HP,SAVE,90,82,2,2,117,219,1370,M,F,.
91RA00175,L5812,HP,SALE,90,83,2,2,118,211,1260,M,M,.
91RA00176,L5819,HP,SAVE,90,83,1,1,119,185,1183,M,.,.
91RA00177,L5877,.,SAVE,90,73,3,3,223,167,1087,M,M,F
91RA00178,L5884,.,SAVE,90,73,3,1,224,183,0985,M,M,M
91RA00179,L5899,.,SAVE,90,73,3,3,224,133,1053,M,F,F
91RA00180,L5906,.,SAVE,90,73,2,2,224,100,0830,M,M,.
91RA00181,L5907,.,SAVE,90,73,2,2,224,150,1210,M,F,.
91RA00182,L5925,.,SAVE,90,73,2,2,224,133,0903,M,M,.
91RA00183,L5952,LP,SAVE,90,73,2,2,225,129,0974,M,F,.
91RA00184,L5954,.,SAVE,90,73,3,3,225,150,1045,M,F,F
91RA00185,L6013,.,SAVE,90,73,2,2,226,120,0898,M,F,.
91RA00186,L6017,.,SAVE,90,73,1,1,226,160,1200,M,.,.
91RA00187,L6021,.,SAVE,90,73,4,2,226,220,1308,M,F,F
91RA00188,L6028,.,SAVE,90,73,3,2,226,200,1256,M,M,M
91RA00189,L6032,.,SAVE,90,73,2,2,226,167,1297,M,F,.
91RA00190,L6044,.,SAVE,90,73,2,2,226,167,1173,M,F,.
91RA00191,L6079,.,SAVE,90,73,2,2,227,120,0880,M,F,.
91RA00192,L6091,.,SAVE,90,73,2,2,227,233,1623,M,M,.
91RA00193,L6113,.,SAVE,90,73,2,2,227,200,1292,M,F,.
91RA00194,L6134,.,SAVE,90,73,3,2,228,167,1177,M,M,F
91RA00195,L6135,.,SAVE,90,73,2,2,228,140,1142,M,F,.
91RA00196,L6155,.,SAVE,90,73,1,1,228,100,0836,M,.,.
91RA00197,L6161,.,SAVE,90,73,3,1,229,133,0893,M,M,F
91RA00198,L6171,.,SAVE,90,72,1,1,229,100,0850,M,.,.
91RA00199,L6177,.,SAVE,90,73,1,1,230,100,0940,M,.,.
91RA00200,L6202,.,SAVE,90,72,2,2,232,100,0838,M,F,.
91RA00201,L6244,.,SAVE,90,72,1,1,235,067,0423,M,.,.
91RA00202,L6247,.,SAVE,90,72,3,2,235,133,0820,M,M,F
91RA00203,L6250,.,SAVE,90,72,3,2,235,180,1012,M,M,F
91RA00204,L6257,.,SAVE,90,72,1,1,235,117,0757,M,.,.
91RA00205,L6259,.,SAVE,90,72,2,2,235,133,1143,M,F,.
91RA00206,L6303,.,SAVE,90,72,2,2,241,150,1168,M,F,.
91RA00207,L6323,.,SAVE,90,72,2,2,242,100,0795,M,M,.
91RA00208,L6326,.,SAVE,90,73,2,2,242,160,1108,M,F,.
91RA00209,L6328,.,SAVE,90,72,2,2,242,100,0740,M,F,.
91RA00210,L6334,.,SAVE,90,72,1,1,243,050,0425,M,.,.
91RA00211,L6349,.,SAVE,90,72,3,2,243,167,0833,M,M,F
91RA00212,L6372,.,SAVE,90,72,2,2,244,100,0640,M,M,.
91RA00213,L6379,.,SAVE,90,72,1,1,245,100,0850,M,.,.
91RA00214,L6423,.,SAVE,90,73,1,1,247,143,0977,M,.,.
91RA00215,L6448,.,SAVE,90,72,2,2,248,167,1263,M,M,.
91RA00216,S0043,HP,SAVE,89,12,1,1,104,167,1079,M,.,.
91RA00217,S0241,AV,SALE,89,10,2,1,238,100,0486,M,F,.
91RA00218,S0242,AV,SALE,89,10,2,1,239,125,0620,M,F,.
91RA00219,S0245,AV,SALE,89,13,1,1,241,100,0970,M,.,.
91RA00220,S0246,HP,SALE,89,10,2,2,241,100,0832,M,F,.
91RA00221,S0253,AV,SALE,89,10,2,1,248,180,0482,M,F,.
91RA00222,S0285,LP,SALE,89,10,2,2,251,160,1252,M,F,.
91RA00223,S0306,.,SAVE,89,13,2,2,253,200,1720,M,F,.
91RA00224,S0311,AV,SALE,89,10,1,1,255,067,0700,M,.,.
91RA00225,S0353,NP,SAVE,90,18,2,1,089,171,0990,M,F,.
91RA00226,S0354,AV,SALE,90,US,2,2,089,162,0774,M,M,.
91RA00227,S0358,NP,SAVE,90,US,2,2,089,152,1093,M,M,.
91RA00228,S0400,NO,SALE,90,18,1,1,090,161,1030,M,.,.
91RA00229,S0407,HP,SAVE,90,US,2,1,091,162,0999,M,F,.
91RA00230,S0423,HP,SAVE,90,US,2,2,091,167,1258,M,M,.
91RA00231,S0621,HP,SAVE,90,SW,1,1,094,148,1037,M,.,.
91RA00232,S0636,AV,SALE,90,US,2,2,094,162,1093,M,M,.
91RA00233,S0653,AV,SAVE,90,SW,1,1,094,145,0800,M,.,.
91RA00234,S0668,AV,SAVE,90,US,2,2,094,162,1225,M,M,.
91RA00235,S0669,HP,SALE,90,US,2,2,094,162,1225,M,M,.
91RA00236,S0676,HP,SAVE,90,18,1,1,094,161,1066,M,.,.
91RA00237,S0677,HP,SALE,90,TX,1,1,094,150,1054,M,.,.
91RA00238,S0680,HP,SAVE,90,FW,1,1,094,148,0967,M,.,.
91RA00239,S0683,JF,SAVE,90,18,1,1,094,161,1016,M,.,.
91RA00240,S0721,LP,SAVE,90,TX,1,1,095,155,1037,M,.,.
91RA00241,S0752,LP,SAVE,90,US,1,1,096,148,0952,M,.,.
91RA00242,S0765,AV,SALE,90,18,1,1,096,161,1018,M,.,.
91RA00243,S0779,LP,SAVE,90,SW,2,1,096,134,0727,M,M,.
91RA00244,S0798,LP,SAVE,90,18,1,1,097,161,1006,M,.,.
91RA00245,S0813,NP,SAVE,90,US,2,2,097,179,1209,M,M,.
91RA00246,S0820,LP,SAVE,90,18,1,1,097,161,1040,M,.,.
91RA00247,S0821,LP,SALE,90,18,2,1,097,171,1006,M,M,.
91RA00248,S0827,LP,SAVE,90,TX,1,1,097,162,1092,M,.,.
91RA00249,S0843,.,SAVE,90,US,1,1,098,145,0847,M,.,.
91RA00250,S0846,HP,SALE,90,18,1,1,098,161,1024,M,.,.
91RA00251,S0849,NP,SAVE,90,18,2,1,098,171,1014,M,M,.
91RA00252,S0851,AV,SALE,90,18,1,1,098,161,1020,M,.,.
91RA00253,S0858,AV,SALE,90,18,1,1,099,161,0944,M,.,.
91RA00254,S0871,HP,SALE,90,18,1,1,099,161,1018,M,.,.
91RA00255,S0872,NP,SAVE,90,US,2,1,099,155,0878,M,M,.
91RA00256,S0885,NP,SAVE,90,18,1,1,100,161,1014,M,.,.
91RA00257,S0886,AV,SALE,90,18,1,1,100,161,1058,M,.,.
91RA00258,S0903,LP,SAVE,90,18,1,1,101,161,1040,M,.,.
91RA00259,S0907,AV,SALE,90,US,1,1,101,139,0806,M,.,.
91RA00260,S0919,HP,SALE,90,18,1,1,102,161,1016,M,.,.
91RA00261,S0926,AV,SALE,90,18,2,2,102,171,1124,M,M,.
91RA00262,S0927,AV,SALE,90,US,1,1,102,139,0834,M,.,.
91RA00263,S0949,NP,SAVE,90,18,1,1,103,161,1040,M,.,.
91RA00264,S0953,LP,SAVE,90,18,1,1,104,161,1016,M,.,.
91RA00265,S0964,LP,SALE,90,18,2,2,105,171,1146,M,F,.
91RA00266,S0966,AV,SALE,90,US,1,1,105,139,0839,M,.,.
91RA00267,S0975,AV,SAVE,90,18,1,1,106,161,1024,M,.,.
91RA00268,S0986,AV,SALE,90,18,1,1,106,161,1042,M,.,.
91RA00269,S0988,AV,SAVE,90,18,1,1,107,161,1032,M,.,.
91RA00270,S0991,HP,SAVE,90,18,2,1,107,171,1022,M,F,.
91RA00271,S1005,AV,SAVE,90,18,1,1,109,161,1026,M,.,.
91RA00272,S1007,LP,SAVE,90,18,1,1,109,161,1018,M,.,.
91RA00273,S1048,NP,SAVE,90,18,1,1,113,161,1024,M,.,.
91RA00274,S1066,AV,SALE,90,18,2,1,115,171,1018,M,M,.
91RA00275,S1130,.,SAVE,90,13,1,1,230,100,0945,M,.,.
91RA00276,S1136,.,SAVE,90,10,1,1,230,033,0300,M,.,.
91RA00277,S1162,.,SAVE,90,10,1,1,231,050,0515,M,.,.
91RA00278,S1178,.,SAVE,90,13,2,2,235,150,0990,M,F,.
91RA00279,S1184,.,SAVE,90,13,2,2,236,150,0885,M,F,.
91RA00280,S1199,.,SAVE,90,10,1,1,238,033,0367,M,.,.
91RA00281,S1206,.,SAVE,90,13,1,1,241,050,0450,M,.,.
91RA00282,S1208,.,SAVE,90,13,1,1,242,050,0420,M,.,.
91RA00283,S1213,.,SAVE,90,13,2,2,243,150,1190,M,F,.
91RA00284,S1218,.,SAVE,90,13,2,2,245,150,1280,M,M,.
91RA00285,S1219,.,SAVE,90,13,2,2,245,150,1280,M,M,.
91RA00286,S1239,.,SAVE,90,13,1,1,247,050,0425,M,.,.
91RA00287,S1243,.,SAVE,90,13,1,1,248,050,0445,M,.,.
91RA00288,S1245,.,SAVE,90,10,2,2,248,133,0948,M,F,.
91RA00289,S1248,.,SAVE,90,13,2,2,248,100,0760,M,F,.
91RA00290,S1251,.,SAVE,90,10,1,1,249,033,0290,M,.,.
91RA00291,S1261,.,SAVE,90,10,2,2,250,140,0942,M,F,.
91RA00292,S1267,.,SAVE,90,10,1,1,251,050,0435,M,.,.
91RA00293,S1268,.,SAVE,90,10,1,1,252,100,0682,M,.,.
91RA00294,S1273,.,SAVE,90,10,2,1,254,133,1060,M,F,.
91RA00295,S1279,HP,SAVE,90,10,1,1,258,083,0658,M,.,.
91RA00296,S9082,.,VASY,88,13,2,2,100,162,0959,M,F,.
91RA00297,S9494,LP,SALE,88,10,2,1,240,200,1293,M,M,.
91RA00298,S9529,.,SAVE,88,10,1,1,250,150,0813,M,.,.
91RA00299,S9543,.,SAVE,88,10,1,1,255,050,0480,M,.,.
91RA00300,S9623,AV,SAVE,89,12,2,2,091,160,1150,M,F,.
91RA00301,S9660,HP,SALE,89,11,2,2,092,189,1302,M,F,.
91RA00302,S9700,NP,SAVE,89,12,1,1,093,134,1037,M,.,.
91RA00303,S9736,AV,SAVE,89,11,2,1,094,170,1057,M,F,.
91RA00304,S9770,.,VASY,89,11,1,1,095,156,1032,M,.,.
91RA00305,S9781,AV,SAVE,89,12,1,1,095,152,1046,M,.,.
91RA00306,S9807,AV,SALE,89,11,3,2,096,199,1061,M,M,F
91RA00307,S9826,AV,SAVE,89,11,2,2,097,200,1354,M,F,.
91RA00308,S9850,AV,SALE,89,11,2,1,097,185,0932,M,M,.
91RA00309,S9908,HP,SAVE,89,18,1,1,100,156,1022,M,.,.
91RA00310,00001,HP,SAVE,88,JP,2,.,.,.,.,M,.,.
91RA00311,T0336,AV,SAVE,89,42,2,1,100,159,0981,M,.,.
91RA00312,T0366,HP,SAVE,89,41,3,3,100,200,1226,M,M,F
91RA00313,T0395,LP,SAVE,89,42,3,1,101,191,0846,M,F,F
91RA00314,T0403,AV,SALE,89,42,2,2,101,150,1032,M,F,.
91RA00315,T0409,AV,SALE,89,41,3,2,101,189,1198,M,M,F
91RA00316,T0438,AV,SALE,89,42,2,2,102,169,1010,M,F,.
91RA00317,T0467,HP,SAVE,89,42,2,2,102,149,0951,M,M,.
91RA00318,T0726,AV,SALE,89,48,2,2,114,171,1224,M,F,.
91RA00319,T0739,AV,SAVE,89,40,2,2,114,191,1219,M,F,.
91RA00320,T0827,.,VASY,89,40,1,1,117,150,0998,M,.,.
91RA00321,T0944,NP,SAVE,90,42,1,1,095,126,0807,M,.,.
91RA00322,T0945,LP,SAVE,90,41,3,1,096,183,1213,M,M,F
91RA00323,T0952,AV,SAVE,90,42,1,1,096,151,0996,M,.,.
91RA00324,T0960,NP,SAVE,90,42,1,1,097,116,0825,M,.,.
91RA00325,T0963,LP,SAVE,90,41,2,2,097,178,1194,M,M,.
91RA00326,T0967,AV,SALE,90,41,2,1,098,170,1052,M,M,.
91RA00327,T0973,NP,SAVE,90,41,2,2,098,159,1237,M,M,.
91RA00328,T0974,LP,SAVE,90,41,2,2,098,159,1237,M,M,.
91RA00329,T0979,LP,SAVE,90,41,2,2,098,185,1227,M,F,.
91RA00330,T0989,AV,SALE,90,41,2,2,098,158,1104,M,F,.
91RA00331,T1002,LP,SAVE,90,41,2,2,099,148,1169,M,F,.
91RA00332,T1005,AV,SAVE,90,42,1,1,099,151,0807,M,.,.
91RA00333,T1006,HP,SALE,90,41,2,1,099,168,0956,M,F,.
91RA00334,T1025,HP,SALE,90,41,3,1,099,197,1147,M,M,F
91RA00335,T1026,NP,SAVE,90,41,3,2,099,202,1122,M,F,F
91RA00336,T1057,HP,SAVE,90,42,2,2,100,137,0981,M,M,.
91RA00337,T1058,LP,SAVE,90,42,1,1,100,148,0932,M,.,.
91RA00338,T1061,NP,SAVE,90,42,2,2,100,148,0961,M,F,.
91RA00339,T1073,LP,SAVE,90,42,1,1,100,126,0792,M,.,.
91RA00340,T1094,JF,SAVE,90,48,2,2,101,152,1029,M,F,.
91RA00341,T1097,LP,SALE,90,48,2,2,101,154,1006,M,F,.
91RA00342,T1102,NP,SAVE,90,42,2,2,102,154,1058,M,F,.
91RA00343,T1110,LP,SAVE,90,42,1,1,102,126,0837,M,.,.
91RA00344,T1126,NP,SAVE,90,48,3,2,102,169,1196,M,M,F
91RA00345,T1126,NP,SALE,90,48,3,2,102,169,1196,M,M,F
91RA00346,T1127,LP,SAVE,90,48,3,2,102,169,1196,M,M,F
91RA00347,T1134,LP,SALE,90,48,3,2,102,168,1224,M,M,F
91RA00348,T1135,AV,SAVE,90,48,3,2,102,168,1224,M,M,F
91RA00349,T1143,AV,SALE,90,41,2,1,103,183,1051,M,M,.
91RA00350,T1150,HP,SAVE,90,48,2,2,103,179,1126,M,F,.
91RA00351,T1157,JF,SAVE,90,48,3,1,103,164,0874,M,F,F
91RA00352,T1160,LP,SALE,90,48,1,1,103,139,0955,M,.,.
91RA00353,T1183,AV,SALE,90,48,2,2,104,159,0999,M,M,.
91RA00354,T1185,LP,SALE,90,48,2,2,104,140,0852,M,F,.
91RA00355,T1189,NP,SAVE,90,48,2,2,104,185,1363,M,F,.
91RA00356,T1196,AV,SALE,90,48,2,2,104,114,0834,M,F,.
91RA00357,T1198,AV,SAVE,90,48,2,2,104,154,0934,M,F,.
91RA00358,T1203,AV,SAVE,90,41,1,1,104,179,1212,M,.,.
91RA00359,T1206,NP,SAVE,90,48,1,1,104,151,1024,M,.,.
91RA00360,T1206,NP,SALE,90,48,1,1,104,151,1024,M,.,.
91RA00361,T1237,HP,SAVE,90,42,2,1,105,148,0930,M,.,.
