UID,RAM,LIB,GROUP,YRBN,LINE,TB,TR,DAYBN,NOBN,LBWN,SEX1,SEX2,SEX3
91RA00001, 0A10,HP,SAVE,90,BF,3,.,.,.,.,M,.,.
91RA00002,K3346,AV,SALE,88,63,2,2,098,135,0983,M,F,.
91RA00003,K3884,HP,SAVE,89,60,2,2,091,183,1411,M,F,.
91RA00004,K3925,HP,SAVE,89,63,2,1,093,167,1013,M,M,.
91RA00005,K3985,LP,SALE,89,63,2,2,094,156,1190,M,F,.
91RA00006,K3994,HP,SAVE,89,68,2,2,095,155,1166,M,F,.
91RA00007,K4036,HP,SALE,89,60,1,1,096,143,1050,M,.,.
91RA00008,K4076,LP,SALE,89,61,1,1,098,157,1152,M,.,.
91RA00009,K4228,AV,SALE,89,63,1,1,102,134,0930,M,.,.
91RA00010,K4251,HP,SAVE,89,61,1,1,103,142,1047,M,.,.
91RA00011,K4289,AV,SALE,89,60,3,2,104,197,1186,M,M,F
91RA00012,K4416,HP,SALE,90,68,2,2,095,162,1232,M,F,.
91RA00013,K4422,HP,SAVE,90,68,2,1,099,146,0969,M,M,.
91RA00014,K4429,AV,SAVE,90,68,1,1,100,175,1214,M,.,.
91RA00015,K4449,HP,SAVE,90,68,2,2,101,146,1078,M,F,.
91RA00016,K4473,AV,SALE,90,68,2,2,102,153,1069,M,M,.
91RA00017,K4475,LP,SAVE,90,68,3,2,102,170,0987,M,F,F
91RA00018,K4483,LP,SAVE,90,68,2,2,102,160,1249,M,M,.
91RA00019,K4503,AV,SALE,90,68,1,1,103,146,1159,M,.,.
91RA00020,K4511,NP,SAVE,90,68,1,1,103,126,1125,M,.,.
91RA00021,K4524,HP,SALE,90,68,2,1,103,162,1035,M,F,.
91RA00022,K4525,AV,SAVE,90,68,1,1,103,175,1073,M,.,.
91RA00023,K4533,AV,SAVE,90,68,2,2,103,181,1165,M,F,.
91RA00024,K4534,NP,SAVE,90,68,2,2,103,160,1232,M,M,.
91RA00025,K4561,LP,SALE,90,68,3,1,104,187,1047,M,F,F
91RA00026,K4566,NP,SAVE,90,68,2,2,104,170,1309,M,M,.
91RA00027,K4578,LP,SALE,90,68,1,1,104,132,0785,M,.,.
91RA00028,K4582,NP,SAVE,90,68,2,2,104,175,1142,M,M,.
91RA00029,K4583,NP,SAVE,90,68,2,2,104,162,1128,M,M,.
91RA00030,K4618,AV,SALE,90,68,1,1,105,137,0921,M,.,.
91RA00031,K4638,LP,SAVE,90,68,3,2,106,175,0949,M,M,F
91RA00032,K4640,NP,SAVE,90,68,2,2,106,170,1168,M,F,.
91RA00033,K4671,AV,SALE,90,68,2,1,107,170,1187,M,F,.
91RA00034,K4736,AV,SALE,90,68,2,2,108,175,1090,M,M,.
91RA00035,K4829,AV,SALE,90,68,1,1,110,160,0935,M,.,.
91RA00036,K4855,AV,SAVE,90,68,2,1,111,150,0971,M,M,.
91RA00037,K4864,NP,SAVE,90,68,2,1,111,162,1107,M,M,.
91RA00038,K4866,JF,SAVE,90,68,2,1,111,170,1136,M,M,.
91RA00039,K4870,LP,SALE,90,68,1,1,111,160,0847,M,.,.
91RA00040,K4874,LP,SALE,90,68,2,1,111,170,1115,M,M,.
91RA00041,K4896,JF,SAVE,90,68,1,1,112,153,1145,M,.,.
91RA00042,K4921,LP,SALE,90,68,2,2,113,192,1201,M,M,.
