UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00426,S5427,10,94,1,18,07,G.5,M,1,1,1.0,1,117,104,104,0.856,159,159,79,0.192,2.4,64,6.2,61.9,3.8,17.41,80,2,1,3,1.59,121.9,01957,TX,0.0,0.0,S4047,10,19.98,19.77,191,191,0.26,1.0,,2,M,19.98,19.77,103,101,W,S0,B,,111,,,,,,,YES,N,,,1995
95RA00427,S5448,10,94,1,00,08,R13,H,1,1,1.0,1,121,77,100,0.64,168,168,79,0.318,2.7,60,6.6,51.3,3.4,24.7,60,2,1,3,1.59,107.1,S4091,10,0.0,7.38,S3941,10,0.0,6.14,185,191,0.322,1.0,,2,HMD,0.0,6.76,,,W,,,,USU,,,,,,,,,,,1995
95RA00428,T3730,44,93,1,41,02,411,M,2,2,4.0,2,115,88,102,0.755,192,154,80,0.232,3.1,60,9.9,48.0,4.8,23.81,60,1,1,2,1.45,113.8,T1905,44,16.54,21.13,T0969,44,26.52,30.88,217,191,0.279,2.0,,2,LBW,21.53,26.01,112,93,W,S1,A,,165,,,,,,,YES,R,60316,,1995
95RA00429,T3763,44,93,1,42,02,872,C,1,1,3.0,1,116,91,99,0.772,171,133,80,0.146,3.1,58,10.6,46.9,5.0,26.64,56,1,1,2+,1.29,66.4,T2285,44,4.68,5.08,T2113,44,-0.35,-0.6,190,191,0.202,2.0,M_IDX,3,CTL,2.17,2.24,80,93,W,S1,A,,,,,,,,,,,,,1995
95RA00430,T3845,44,93,1,42,02,872,C,1,1,8.0,1,119,86,96,0.76,184,146,80,0.209,3.1,60,12.1,55.1,6.7,26.52,56,1,1,2,1.0,78.4,T2285,44,4.68,5.08,T7870,43,-4.57,-6.92,204,191,0.222,2.0,,3,CTL,0.06,-0.92,95,108,W,S3,AA,,,,,,,,,,,,,1995
95RA00431,T3864,44,93,1,42,02,892,C,1,1,3.0,1,120,87,95,0.792,197,149,80,0.216,2.5,62,9.7,57.4,5.6,23.69,60,2,1,1-,1.41,93.7,T2481,44,0.3,-2.54,T2245,44,4.24,3.32,223,191,0.257,2.0,UTAH HEART,2,CTL,2.27,0.39,99,95,W,D4,DUD,,UTE,,,,,,,NO,N,,,1995
95RA00432,T3868,44,93,1,41,02,413,M,2,1,6.0,2,120,79,97,0.689,176,150,80,0.249,3.0,62,9.5,56.7,5.4,21.95,64,2,2,2-,1.68,96.0,T2286,44,16.81,15.45,T8663,43,13.03,12.7,207,191,0.259,2.0,"FACE,PINK",3,LBW,14.92,14.08,103,100,W,S1,A,,,,,,,,,,,,,1995
95RA00433,T3888,44,93,1,42,02,812,C,1,1,5.0,2,121,77,96,0.675,174,133,80,0.196,3.1,62,9.9,55.7,5.5,25.13,58,2,1,2-,1.37,75.2,T1947,44,-1.63,-4.18,T0404,44,0.94,-2.38,189,191,0.212,2.0,,3,CTL,-0.35,-3.28,90,99,W,S3,AA,,,,,,,,,,,,,1995
95RA00434,T3898,44,93,1,42,02,882,C,1,1,4.0,2,122,79,95,0.694,170,136,80,0.2,3.3,60,10.6,50.1,5.3,25.63,58,3,1,4+,1.39,81.5,T2238,44,3.3,0.76,T1048,44,2.33,2.03,186,191,0.224,2.0,3SCUR,3,CTL,2.81,1.39,93,98,W,S1,A,,,,,,,,,,,,,1995
95RA00435,T3916,44,93,1,41,02,413,M,3,2,5.0,2,124,77,93,0.719,173,134,80,0.2,2.9,62,7.1,54.0,3.8,22.4,62,2,1,2+,1.43,93.6,T2286,44,16.81,15.45,T0309,44,26.16,25.97,197,191,0.229,2.0,,2,LBW,21.49,20.71,94,84,W,S2,AA,,172,,,,,,,YES,N,,,1995
