UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00494,T4924,44,95,1,ch,01,  0,c,3,2,3.0,Y,109,63,117,0.438,147,147,74,0.29,0.0,58,6.4,,,0.0,0.0,,,1,,1.41,73.2,S1878,10,0.0,0.0,T2570,44,25.66,25.66,176,191,0.342,1.0,RCVR,1,,12.83,12.83,,,,S4,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00495,T4925,44,95,1,ch,01,  0,c,3,2,3.0,Y,109,41,117,0.287,99,99,74,0.2,0.0,60,3.6,,,0.0,0.0,,,1,,1.41,73.2,S1878,10,0.0,0.0,T2570,44,25.66,25.66,120,191,0.239,1.0,SM SOFT TSTS,1,,12.83,12.83,,,,S4,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00496,T4981,44,95,1,41,02,414,M,1,1,7.0,Y,111,95,108,0.726,161,161,74,0.222,2.9,62,6.6,,,21.08,3.74,64,1,1,2,1.41,103.4,T4091,44,16.37,16.37,T9933,43,21.71,21.71,201,191,0.315,1.0,,1,LBW,19.04,19.04,109,102,,S3,AA,0.0,LISA,C,75,4,10,0,E,,,,,,0,1996
96RA00497,T4991,44,95,1,ch,01,  2,c,2,2,7.0,Y,111,76,115,0.537,137,137,74,0.21,0.0,62,6.6,,,0.0,0.0,,,1,,1.5,93.6,S1878,10,0.0,0.0,T0111,44,17.2,17.2,167,191,0.276,1.0,,1,,8.6,8.6,,,,S1,A,0.0,,,,,,,,,,,,,0,1996
96RA00498,T4993,44,95,1,ch,01,  2,c,2,2,4.0,Y,111,85,115,0.629,133,133,74,0.166,0.0,60,6.4,,,0.0,0.0,,,1,,1.38,104.3,S1878,10,0.0,0.0,T2144,44,13.34,13.34,164,191,0.239,1.0,H6,1,,6.67,6.67,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00499,T4994,44,95,1,ch,01,  2,c,2,2,4.0,Y,111,92,115,0.685,146,146,74,0.186,0.0,62,6.0,,,0.0,0.0,,,1,,1.38,104.3,S1878,10,0.0,0.0,T2144,44,13.34,13.34,174,191,0.248,1.0,,1,,6.67,6.67,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00500,T4995,44,95,1,ch,32,  0,h,1,1,4.0,Y,111,93,115,0.691,134,134,74,0.141,0.0,60,6.0,,,0.0,0.0,,,1,,1.82,94.3,L6868,03,10.31,10.31,T1894,44,18.14,18.14,154,191,0.185,1.0,,1,,9.07,9.07,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00501,T4992,44,95,1,ch,01,  2,c,2,2,7.0,Y,111,79,115,0.582,134,134,74,0.19,0.0,62,6.0,,,0.0,0.0,,,1,,1.5,93.6,S1878,10,0.0,0.0,T0111,44,17.2,17.2,161,191,0.248,1.0,,1,,8.6,8.6,,,,S1,A,0.0,,,,,,,,,,,,,0,1996
96RA00502,T4970,44,95,1,41,02,413,M,2,2,7.0,Y,110,88,109,0.694,151,151,74,0.212,3.0,60,7.0,,,19.42,4.14,70,2,1,2,1.88,147.6,T3916,44,20.71,20.71,T9777,43,23.54,23.54,178,191,0.267,1.0,,1,LBW,22.13,22.13,118,107,,S1,A,0.0,LISA,M,65,3,10,0,E,,,,,,0,1996
96RA00503,T4974,44,95,1,ch,01,  0,c,2,2,2.0,Y,110,55,116,0.397,106,106,74,0.176,0.0,60,4.4,,,0.0,0.0,,,1,,1.47,88.0,S1878,10,0.0,0.0,T3749,44,5.77,5.77,126,191,0.215,1.0,,1,,2.88,2.88,,,,S2,AA,0.0,,,,,,,,,,,,,0,1996
