UID,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,NAX,STUDY,STUDY2,STUDY3,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,FLPBV,FLBVB,FLBVG,FLBVR
04RA00001,A7199,A7199,04,00,1,88,30,46-,.,2,2,5.5,M,102,96,119,0.72,238,174,71,0.272,3.8,3.8,58,7.2,7.2,0.0303,25.5,0.0,0.0,58,2,1,2-,1.87,103.3,A5230,04,A3742,04,,,,0,0.304,4.0,,1,GXE,,87,88,,S2,AA,STUD,85.0,03P,03P,,Flwt,Flwt,,HETRO,,,,,,,,,,,4,9,6,04,,,0,-2.322,,,
04RA00002,A7284,A7284,04,00,1,82,30,21,C,2,2,5.0,M,103,99,118,0.742,249,193,71,0.328,3.9,3.9,60,9.0,9.0,0.0361,24.0,0.0,0.0,60,2,1,1-,1.98,113.1,A5530,04,A4686,04,,,,0,0.348,4.0,NICE >works,1,CTL,,99,100,,S2,AA,STUD,85.0,01P,01P,,Flwt,Flwt,,HETRO,,,,,,,,,,,5,10,7,04,,,0,-2.362,,,
04RA00003,A7436,A7436,04,00,1,82,30,30,C,2,2,6.0,M,105,74,117,0.552,200,133,71,0.206,0.0,0.0,58,8.6,8.6,0.043,0.0,0.0,0.0,0,.,1,.,2.1,139.8,A5528,04,A4653,04,,,,0,0.224,4.0,"TEASER, H5",V,CTL,,,,,S1,A,,0.0,BHV,TEAZ,,TEAZ,TEAZ,,TEAZ,,,,,,,,,,,6,13,11,04,,,0,-0.902,,,
04RA00004,A7896,A7896,04,00,1,88,30,44-,W,4,1,4.5,M,114,90,108,0.748,214,161,71,0.248,2.4,2.4,60,6.4,6.4,0.0299,24.0,0.0,0.0,60,1,1,2+,2.52,102.7,A4920,04,A3834,04,,,,0,0.263,4.0,-WOOL,1,GXE,,80,76,,S1,A,STUD,100.0,02P,26P,,Flwt,Flwt,,HETRO,,,,,,,,,,,4,12,5,04,,,0,-2.163,,,
04RA00005,A8193,A8193,04,01,1,81,30,01,M,2,2,4.0,M,94,97,126,0.694,254,189,71,0.319,0.0,0.0,58,13.0,13.0,0.0512,0.0,0.0,0.0,0,.,1,.,1.85,131.0,A6761,04,A6341,04,,,,0,0.0,3.0,,V,LWW,,,,,D3,DUD,,0.0,BHV,BHV,,DUD,BHV,,DUD,,,,,,,,,,,4,6,6,04,,,0,0.504,,,
04RA00006,A8234,A8234,04,01,1,84,30,52,N,4,2,6.0,M,98,86,120,0.633,219,154,71,0.234,0.0,0.0,60,8.2,8.2,0.0374,0.0,0.0,0.0,0,.,1,.,1.9,116.3,A6853,04,A3564,04,,,,0,0.0,3.0,,V,INB,,,,,D3,DUD,,0.0,OSU,OSU,,DUD,BHV,,DUD,,,,,,,,,,,5,12,11,04,,,0,-1.135,,,
04RA00007,A8496,A8496,04,01,1,83,30,41,W,3,2,6.5,M,104,96,114,0.725,279,196,71,0.345,0.0,0.0,60,11.6,11.6,0.0416,0.0,0.0,0.0,0,.,1,.,2.5,139.7,A6827,04,A3867,04,,,,0,0.0,3.0,,V,FW,,,,,D3,DUD,,0.0,OSU,OSU,,DUD,BHV,,DUD,,,,,,,,,,,6,17,11,04,,,0,-1.686,,,
04RA00008,A8579,A8579,04,01,1,84,30,52,N,3,2,6.5,M,106,89,112,0.665,259,195,71,0.366,3.0,3.0,60,9.8,9.8,0.0378,24.0,0.0,0.0,60,2,1,2+,2.5,169.9,A6853,04,A3881,04,,,,0,0.0,3.0,OSU-Meyer,M,INB,,124,99,,S3,AA,STUD,90.0,.,e.9,,Lww,Meyr,,HETRO,,,,,,,,,,,6,17,14,04,92,0916,1599,-1.244,,,
04RA00009,A8647,A8647,04,01,1,83,30,41,W,2,2,4.0,M,108,87,110,0.72,214,165,71,0.269,3.9,3.9,56,9.4,9.4,0.0439,27.0,0.0,0.0,56,3,1,2,1.98,143.5,A6827,04,A6338,04,,,,0,0.0,3.0,H3 SCUR X,3,FW,,106,99,,S5,AAA,STUD,92.0,.,02P,,Flwt,Flwt,,HETRO,,,,,,,,,,,4,7,7,04,93,0907,1405,-2.357,,,
04RA00010,A8747,A8747,04,01,1,83,30,41,W,2,2,6.0,M,111,100,107,0.809,264,198,71,0.338,4.3,4.3,54,11.6,11.6,0.0439,28.5,0.0,0.0,54,1,1,2+,1.6,103.4,A6827,04,A2885,04,,,,0,0.0,3.0,MSG???,7,FW,,100,113,,S2,AA,,0.0,.,02alt,,Flwt,Flwt,,HETRO,,,,,,,,,,,4,9,8,04,97,0817,0,-1.951,,,
04RA00011,A8748,A8748,04,01,1,83,30,41,W,2,2,6.0,M,111,88,107,0.697,262,184,71,0.331,0.0,0.0,56,9.6,9.6,0.0366,0.0,0.0,0.0,0,.,1,.,1.6,103.4,A6827,04,A2885,04,,,,0,0.0,3.0,,V,FW,,,,,SLI,B,,0.0,OSU,OSU,,DUD,BHV,,DUD,,,,,,,,,,,4,9,8,04,,,0,-2.043,,,
04RA00012,A8766,A8766,04,01,1,83,30,41,W,3,2,5.0,M,113,90,107,0.749,266,176,71,0.299,3.5,3.5,60,8.6,8.6,0.0323,24.0,0.0,0.0,60,2,1,1-,2.49,138.4,A6827,04,A5398,04,,,,0,0.0,3.0,LAME 08/04,1,FW,,105,95,,S1,A,STUD,100.0,15P,15P,,Flwt,Flwt,,HETRO,,,,,,,,,,,5,14,9,04,,,0,-2.798,,,
04RA00013,A8794,A8794,04,01,1,84,30,52,N,2,2,6.5,M,114,88,106,0.699,251,191,71,0.358,0.0,0.0,60,9.2,9.2,0.0367,0.0,0.0,0.0,0,.,1,.,2.1,161.6,A6853,04,A3854,04,,,,0,0.0,3.0,,V,INB,,,,,D3,DUD,,0.0,OSU,OSU,,DUD,BHV,,DUD,,,,,,,,,,,6,13,13,04,,,0,-0.74,,,
04RA00014,A8879,A8879,04,01,1,84,30,52,N,3,2,5.5,M,119,71,101,0.592,225,160,71,0.309,2.9,2.9,60,8.8,8.8,0.0391,24.0,0.0,0.0,60,1,1,2,2.49,118.9,A6853,04,A4798,04,,,,0,0.0,3.0,,1,INB,,96,93,,S5,AAA,STUD,100.0,22P,22P,,Lww,Flwt,,HETRO,,,,,,,,,,,5,14,8,04,,,0,-1.467,,,
04RA00015,A8987,A8987,04,02,1,84,30,53,N,2,2,3.0,M,97,87,120,0.643,193,143,71,0.186,3.6,3.6,60,12.8,12.8,0.0663,24.0,0.0,0.0,60,1,1,2,2.02,107.5,A6501,04,A7313,04,,,,0,0.0,2.0,-IDX -PROD,3,INB,,86,120,,Sx,A+,,0.0,.,.,EXP,Inbr,EXLA,,EXHET,,,,,,,,,,,3,5,3,04,93,0907,1398,0.271,,,
04RA00016,A9064,A9064,04,02,1,82,30,24,C,2,2,7.0,M,99,94,120,0.693,184,154,71,0.201,3.9,3.9,58,9.6,9.6,0.0522,25.5,0.0,0.0,58,1,1,2,1.93,118.8,A7598,04,A3546,04,207,267,,0,0.0,2.0,,2,CTL,,89,102,,Sx,A+,,0.0, 75,.,EXP,Ctrl,EXLA,,HETRO,,,,,,,, 2,1,,7,14,12,04,92,0923,1708,-0.624,,,
04RA00017,A9073,A9073,04,02,1,84,30,53,N,2,2,4.0,M,99,92,120,0.682,198,153,71,0.204,3.6,3.6,60,12.0,12.0,0.0606,24.0,0.0,0.0,60,1,1,3+,2.1,146.5,A6501,04,90791,09,,,,0,0.0,2.0,,1,INB,,103,115,,Sx,A+,STUD,88.0,e10,.,EXP,Inbr,EXLA,,HETRO,,,,,,,,,,,4,8,8,04,,,0,-0.03,,,
04RA00018,A9074,A9074,04,02,1,84,30,53,N,2,2,4.0,M,99,93,120,0.69,202,170,71,0.258,4.0,4.0,58,13.4,13.4,0.0663,25.5,0.0,0.0,58,2,1,2,2.1,146.5,A6501,04,90791,09,220,267,,0,0.0,2.0,,2,INB,,110,124,,Sx,A+,,0.0, 72,.,EXP,Inbr,EXLA,,BISEX,,,,,,,, 2,1,,4,8,8,04,92,0923,1703,-0.059,,,
04RA00019,A9088,A9088,04,02,1,84,30,55,N,2,2,5.5,M,99,97,122,0.703,223,185,71,0.296,3.6,3.6,58,10.2,10.2,0.0457,25.5,0.0,0.0,58,2,1,1-,1.87,136.6,A6641,04,A3708,04,,,,0,0.0,2.0,,1,INB,,106,104,,Sx,A+,STUD,92.0,24P,ealt,EXP,Inbr,EXLA,,HETRO,,,,,,,,,,,5,9,9,04,,,0,-0.764,,,
04RA00020,A9120,A9120,04,02,1,84,30,53,N,4,2,4.5,M,100,94,119,0.717,224,178,71,0.281,3.7,3.7,58,11.4,11.4,0.0509,25.5,0.0,0.0,58,2,1,2+,2.85,154.5,A6501,04,A5945,04,,,,0,0.0,2.0,X NUTS EPIS,3,INB,,113,111,,Sx,A+,,0.0,.,ealt,EXP,Inbr,EXLA,,EXHET,,,,,,,,,,,4,14,9,04,93,0907,1401,-0.032,,,
04RA00021,A9122,A9122,04,02,1,84,30,53,N,4,2,4.5,M,100,85,119,0.628,208,168,71,0.278,3.6,3.6,60,11.2,11.2,0.0538,24.0,0.0,0.0,60,2,1,2+,2.85,154.5,A6501,04,A5945,04,,,,0,0.0,2.0,F1- H2,V,INB,,112,111,,D3w,B+,STUD,100.0,.,23P,CTL,Inbr,EXLA,,HOMO,,,,,,,,,,,4,14,9,04,,,0,0.416,,,
04RA00022,A9153,A9153,04,02,1,84,30,54,N,2,2,4.0,M,100,100,119,0.756,209,173,71,0.244,3.1,3.1,60,10.8,10.8,0.0517,24.0,0.0,0.0,60,2,1,2+,2.1,131.1,A6911,04,A6643,04,,,,0,0.0,2.0,,1,INB,,97,106,,Sx,A+,STUD,91.0,26P,.,EXP,Inbr,EXLA,,HETRO,,,,,,,,,,,4,8,6,04,,,0,-0.006,,,
04RA00023,A9232,A9232,04,02,1,83,30,43,W,2,2,3.0,M,101,88,123,0.647,203,158,71,0.238,2.8,2.8,58,7.2,7.2,0.0355,25.5,0.0,0.0,58,1,1,1-,2.16,141.1,A7199,04,A7491,04,,,,0,0.0,2.0,F2-,1,FW,,96,82,,Sx,A+,STUD,97.0,04P,04P,CTL,Flwt,Flwt,,HETRO,,,,,,,,,,,3,6,5,04,,,0,-2.295,,,
04RA00024,A9262,A9262,04,02,1,84,30,55,N,2,2,6.5,M,102,102,122,0.739,225,166,71,0.218,3.3,3.3,60,10.4,10.4,0.0462,24.0,0.0,0.0,60,3,1,1-,2.1,161.6,A6641,04,A3854,04,,,,0,0.0,2.0,H3,V,INB,,107,104,,Sx,A+,,0.0,.,.,EXP,Inbr,EXLA,,EXHET,,,,,,,,,,,6,13,13,04,,,0,-0.245,,,
04RA00025,A9278,A9278,04,02,1,82,30,28,C,2,2,3.0,M,102,95,122,0.686,235,186,71,0.31,3.3,3.3,58,8.4,8.4,0.0357,25.5,0.0,0.0,58,1,1,2+,2.02,130.2,A7284,04,A7863,04,,,,0,0.0,2.0,,V,CTL,,102,92,,Sx,A+,STUD,100.0,.,13P,CTL,Ctrl,EXLA,,EXHET,,,,,,,,,,,3,5,4,04,,,0,-1.56,,,
04RA00026,A9284,A9284,04,02,1,83,30,41,W,2,2,4.0,M,102,93,122,0.683,225,178,71,0.289,3.0,3.0,62,10.8,10.8,0.048,23.0,0.0,0.0,62,2,1,1-,1.85,117.4,A7760,04,90687,09,250,267,,0,0.0,2.0,,2,FW,,96,106,,Sx,A+,,0.0, 70,.,CTL,Flwt,EXLA,,HETRO,,,,,,,, 2,1,,4,6,5,04,92,0923,1705,-1.321,,,
04RA00027,A9285,A9285,04,02,1,83,30,41,W,2,2,4.0,M,102,98,122,0.714,225,171,71,0.248,2.9,2.9,62,10.0,10.0,0.0444,23.0,0.0,0.0,62,2,1,2+,1.85,117.4,A7760,04,90687,09,,,,0,0.0,2.0,KEEP,V,FW,,91,101,,Sx,A+,,0.0,BHV,.,EXP,Flwt,EXLA,,EXHET,,,,,,,,,,,4,6,5,04,,,0,-1.603,,,
04RA00028,A9292,A9292,04,02,1,82,30,31,C,2,2,4.0,M,102,109,122,0.801,210,187,71,0.265,3.1,3.1,62,7.8,7.8,0.0371,23.0,0.0,0.0,62,2,1,2,1.85,121.5,A6216,04,A6943,04,235,267,,0,0.0,2.0,NICE,2,CTL,,92,90,,Sx,A+,,0.0, 71,.,EXP,Ctrl,EXLA,,EXHET,,,,,,,, 2,1,,3,6,5,04,92,0923,1707,-1.366,,,
04RA00029,A9295,A9295,04,02,1,82,30,20,C,2,2,7.0,M,102,102,122,0.748,247,199,71,0.33,3.1,3.1,58,6.0,6.0,0.0243,25.5,0.0,0.0,58,2,1,1-,2.21,131.9,A7133,04,A2877,04,,,,0,0.0,2.0,OSU-Meyer,M,CTL,,101,77,,Sx,A+,,0.0,.,03alt,CTL,Ctrl,Meyr,,BISEX,,,,,,,,,,,7,17,12,04,92,0916,1600,-1.733,,,
04RA00030,A9427,A9427,04,02,1,84,30,54,N,2,2,4.5,M,104,92,113,0.727,232,178,71,0.286,3.6,3.6,60,10.0,10.0,0.0431,24.0,0.0,0.0,60,2,1,1-,2.1,140.0,A6911,04,A5770,04,245,267,,0,0.0,2.0,,2,INB,,106,104,,Sx,A+,,0.0, 74,.,EXP,Inbr,EXLA,,BISEX,,,,,,,, 2,1,,4,8,7,04,92,0923,1704,-1.15,,,
04RA00031,A9434,A9434,04,02,1,84,30,51,N,2,2,4.5,M,104,93,113,0.715,213,147,71,0.179,3.5,3.5,60,11.6,11.6,0.0545,24.0,0.0,0.0,60,2,1,1-,2.1,120.3,A6998,04,A5963,04,,,,0,0.0,2.0,,V,INB,,89,113,,D3w,B+,STUD,100.0,BHV,24P,CTL,Inbr,EXLA,,HOMO,,,,,,,,,,,4,8,6,04,,,0,-0.375,,,
04RA00032,A9442,A9442,04,02,1,83,30,42,W,2,2,7.0,M,104,93,113,0.706,225,172,71,0.262,3.7,3.7,58,10.8,10.8,0.048,25.5,0.0,0.0,58,1,1,3+,2.39,152.6,A6529,04,A3551,04,,,,0,0.0,2.0,,1,FW,,110,108,,Sx,A+,STUD,92.0,16P,16P,EXP,Flwt,EXLA,,HETRO,,,,,,,,,,,7,19,16,04,,,0,-1.511,,,
04RA00033,A9456,A9456,04,02,1,84,30,53,N,3,3,4.5,M,105,85,112,0.67,196,155,71,0.233,3.7,3.7,60,10.8,10.8,0.0551,24.0,0.0,0.0,60,1,1,2+,2.48,160.4,A6501,04,A5764,04,215,267,,0,0.0,2.0,ABS. TESTE,2,INB,,110,109,,Sx,A+,,0.0, X,.,CTL,Inbr,EXLA,,HETRO,,,,,,,, 2,0,,4,11,9,04,93,1025,1702,0.039,,,
04RA00034,A9466,A9466,04,02,1,81,30,03,M,3,1,6.0,M,105,108,114,0.861,221,181,71,0.244,3.3,3.3,58,9.8,9.8,0.0443,25.5,0.0,0.0,58,2,1,2-,2.3,124.6,A7355,04,A4343,04,,,,0,0.0,2.0,"ABS.RUMP, X",3,LWW,,94,100,,Sx,A+,,0.0,.,.,EXP,Lww,EXLA,,HETRO,,,,,,,,,,,6,15,10,04,93,0907,1403,-0.437,,,
04RA00035,A9581,A9581,04,02,1,81,30,04,M,2,2,6.0,M,107,85,110,0.684,206,169,71,0.279,3.8,3.8,56,10.4,10.4,0.0505,27.0,0.0,0.0,56,2,1,2,1.7,114.9,A6934,04,A4128,04,,,,0,0.0,2.0,,V,LWW,,96,105,,Sx,A+,,0.0,BHV,.,EXP,Lww,EXLA,,EXHET,,,,,,,,,,,5,9,9,04,,,0,-0.5,,,
04RA00036,A9588,A9588,04,02,1,84,30,53,N,2,2,6.5,M,107,82,110,0.655,212,180,71,0.326,4.1,4.1,58,11.6,11.6,0.0547,25.5,0.0,0.0,58,2,1,2,2.2,149.3,A6501,04,A2733,04,,,,0,0.0,2.0,H2,1,INB,,117,115,,Sx,A+,STUD,94.0,06P,e10,EXP,Inbr,EXLA,,HETRO,,,,,,,,,,,6,15,14,04,,,0,-0.251,,,
04RA00037,A9606,A9606,04,02,1,83,30,42,W,2,2,5.5,M,107,85,110,0.664,228,183,71,0.326,3.5,3.5,60,10.4,10.4,0.0456,24.0,0.0,0.0,60,1,1,3+,1.83,129.3,A6529,04,A4913,04,,,,0,0.0,2.0,,1,FW,,105,106,,Sx,A+,STUD,100.0,23P,ealt,EXP,Flwt,EXLA,,HETRO,,,,,,,,,,,5,8,8,04,,,0,-0.97,,,
04RA00038,A9640,A9640,04,02,1,84,30,56,N,2,2,5.0,M,107,100,112,0.772,238,191,71,0.304,3.5,3.5,60,9.4,9.4,0.0395,24.0,0.0,0.0,60,2,1,1-,2.16,144.9,A8325,04, 8780,00,,,,0,0.0,2.0,OSU-Meyer,M,INB,,109,100,,Sx,A+,,0.0,.,.,CTL,Inbr,Meyr,,EXHET,,,,,,,,,,,5,11,9,04,92,0916,1601,-0.395,,,
04RA00039,A9682,A9682,04,02,1,81,30,04,M,2,2,3.0,M,108,86,109,0.692,230,177,71,0.302,3.7,3.7,58,13.2,13.2,0.0574,25.5,0.0,0.0,58,2,1,2+,2.02,130.8,A6934,04,A7512,04,,,,0,0.0,2.0,,V,LWW,,107,121,,Sx,A+,,0.0,.,.,CTL,Lww,EXLA,,EXHET,,,,,,,,,,,3,5,4,04,,,0,0.361,,,
04RA00040,A9707,A9707,04,02,1,83,30,41,W,2,1,4.0,M,108,106,111,0.854,201,166,71,0.201,3.8,3.8,60,9.0,9.0,0.0448,24.0,0.0,0.0,60,1,1,2+,2.35,125.3,A7760,04,90800,09,,,,0,0.0,2.0,,V,FW,,91,99,,Sx,A+,,0.0,.,.,CTL,Flwt,EXLA,,EXHET,,,,,,,,,,,4,10,6,04,,,0,-0.968,,,
04RA00041,A9731,A9731,04,02,1,84,30,52,N,2,2,6.5,M,109,92,110,0.722,218,176,71,0.281,3.1,3.1,58,7.0,7.0,0.0321,25.5,0.0,0.0,58,2,1,2+,2.0,134.9,A6853,04,A3675,04,236,267,,0,0.0,2.0,FAT,2,INB,,99,82,,Sx,A+,,0.0, 73,.,EXP,Inbr,EXLA,,BISEX,,,,,,,, 2,1,,6,12,10,04,92,0923,1706,-1.25,,,
04RA00042,A9750,A9750,04,02,1,81,30,02,M,2,2,7.0,M,109,83,110,0.67,207,149,71,0.221,3.5,3.5,58,9.4,9.4,0.0454,25.5,0.0,0.0,58,1,1,2,2.12,140.1,A7302,04,A2908,04,,,,0,0.0,2.0,,V,LWW,,99,98,,Sx,A+,STUD,100.0,BHV,11P,EXP,Lww,EXLA,,EXHET,,,,,,,,,,,7,16,14,04,,,0,-0.692,,,
04RA00043,A9826,A9826,04,02,1,83,30,41,W,2,2,3.5,M,110,82,109,0.65,219,144,71,0.207,3.0,3.0,62,10.2,10.2,0.0466,23.0,0.0,0.0,62,2,1,2-,2.39,151.4,A7760,04,A5935,04,,,,0,0.0,2.0,USE @ BRDG,V,FW,,101,103,,Sx,A+,,0.0,.,04alt,EXP,Flwt,EXLA,,EXHET,,,,,,,,,,,3,8,7,04,,,0,-1.731,,,
