UID,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,NAX,STUDY,STUDY2,STUDY3,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,FLPBV,FLBVB,FLBVG,FLBVR
04RA00044,A9890,A9890,04,02,1,83,30,41,W,3,2,6.0,M,111,95,108,0.769,244,190,71,0.318,4.3,4.3,58,10.8,10.8,0.0443,25.5,0.0,0.0,58,2,1,2,2.1,126.8,A7760,04,A4476,04,,,,0,0.0,2.0,H2,1,FW,,106,111,,Sx,A+,STUD,100.0,21P,21P,CTL,Flwt,Flwt,,HETRO,,,,,,,,,,,6,13,9,04,,,0,-1.769,,,
04RA00045,A9897,A9897,04,02,1,81,30,01,M,3,2,5.0,M,111,84,108,0.688,203,159,71,0.251,3.5,3.5,60,10.2,10.2,0.0502,24.0,0.0,0.0,60,2,1,2,1.98,134.0,A7882,04,A4675,04,,,,0,0.0,2.0,H2,1,LWW,,100,105,,Sx,A+,STUD,100.0,25P,.,EXP,Lww,EXLA,,EXHET,,,,,,,,,,,5,10,9,04,,,0,-1.365,,,
04RA00046,A9902,A9902,04,02,1,82,30,27,C,3,2,6.0,M,111,81,108,0.662,208,165,71,0.281,2.6,2.6,60,10.2,10.2,0.049,24.0,0.0,0.0,60,1,1,1-,2.3,133.1,A7638,04,A4481,04,,,,0,0.0,2.0,,V,CTL,,100,99,,D3,DUD,,0.0,.,.,CTL,Ctrl,EXLA,,HOMO,,,,,,,,,,,6,15,11,04,,,0,-1.116,,,
04RA00047,A9911,A9911,04,02,1,84,30,55,N,3,2,6.5,M,111,88,108,0.725,209,149,71,0.204,3.7,3.7,58,9.8,9.8,0.0469,25.5,0.0,0.0,58,2,1,1-,2.0,110.9,A6641,04,A3789,04,,,,0,0.0,2.0,X SM TSTS,3,INB,,86,102,,Sx,A+,STUD,100.0,.,25P,CTL,Inbr,EXLA,,EXHET,,,,,,,,,,,6,12,9,04,93,0907,1399,-0.258,,,
04RA00048,A9941,A9941,04,02,1,84,30,54,N,3,2,4.0,M,111,89,113,0.692,215,140,71,0.173,3.9,3.9,58,10.4,10.4,0.0484,25.5,0.0,0.0,58,2,1,2+,2.35,140.0,A6911,04,A6441,04,,,,0,0.0,2.0,,V,INB,,96,106,,D3,DUD,,0.0,BHV,.,CTL,Inbr,EXLA,,HOMO,,,,,,,,,,,4,10,8,04,,,0,-0.382,,,
04RA00049,A9963,A9963,04,02,1,82,30,20,C,3,2,4.0,M,112,87,112,0.696,211,159,71,0.245,3.5,3.5,58,9.2,9.2,0.0436,25.5,0.0,0.0,58,2,1,2+,2.43,140.5,A7133,04,A5089,04,,,,0,0.0,2.0,,V,CTL,,101,97,,Sx,A+,STUD,92.0,.,14P,EXP,Ctrl,EXLA,,EXHET,,,,,,,,,,,4,11,8,04,,,0,-0.284,,,
04RA00050,H0424,H0424,05,03,1,88,30,e10,M,2,1,1.0,Y,93,109,131,0.751,182,182,71,0.248,2.6,2.8,62,8.8,9.4,0.0484,23.0,0.0,0.0,62,1,1,2,2.1,117.2,A8579,04,P0083,05,215,267,,0,0.0,1.0,,2,.,,88,113,,,,,, 66,,,Poly,,,YRLG,,,,,,,, 1,1,,1,2,1,04,92,0923,1700,-1.279,,,
04RA00051,H0471,H0471,05,03,1,88,30,31P,M,2,2,3.0,Y,98,114,127,0.805,202,202,71,0.3,3.0,3.3,62,7.4,8.0,0.0366,23.0,0.0,0.0,62,1,1,2,2.02,140.4,A8315,04,A7385,04,,,,0,0.0,1.0,,1,.,,101,106,,S,,STUD,100.0,13P,,,Poly,,,YRLG,,,,,,,,,,,3,5,5,04,,,0,0.482,,,
04RA00052,H0479,H0479,05,03,1,88,30,33P,M,2,2,4.0,Y,99,95,126,0.637,192,192,71,0.331,3.3,3.7,58,7.6,8.2,0.0396,25.5,0.0,0.0,58,2,1,3-,2.35,135.9,A8584,04,A6617,04,,,,0,0.0,1.0,X ABS. RR.LEG,3,.,,103,107,,,,,, X,,,Poly,,,YRLG,,,,,,,,,,,4,10,7,04,93,0621,1394,-0.148,,,
04RA00053,H0501,H0501,05,03,1,88,30,31P,M,2,2,5.0,Y,100,94,125,0.674,186,186,71,0.314,2.9,3.2,58,6.6,7.2,0.0355,25.5,0.0,0.0,58,1,1,3+,2.05,137.0,A8315,04,A5683,04,,,,0,0.0,1.0,BRITCHY,4,.,,99,97,,.,,,,BHVx,,,Poly,,,YRLG,,,,,,,,10,,,5,10,9,04,,,0,0.696,,,
04RA00054,H0503,H0503,05,03,1,88,30,e12,M,1,1,1.0,Y,101,105,124,0.752,186,186,71,0.276,2.5,2.8,62,6.4,7.0,0.0344,23.0,0.0,0.0,62,1,1,3+,2.0,117.4,A8820,04,A9432,04,,,,0,0.0,1.0,"NICE, TB1",4,.,,87,96,,.,,,,BHVx,,,Poly,,,YRLG,,,,,,,,10,,,1,1,1,04,,,0,-0.8,,,
04RA00055,H0534,H0534,05,03,1,88,30,e11,M,2,2,1.0,Y,104,91,120,0.683,182,182,71,0.31,2.3,2.6,60,5.4,5.9,0.0297,24.0,0.0,0.0,60,1,1,3-,2.1,133.0,A8379,04,A9071,04,,,,0,0.0,1.0,X WHITE EYE,3,.,,94,85,,,,,, X,,,Poly,,,YRLG,,,,,,,,,,,1,2,2,04,93,0621,1395,-0.188,,,
04RA00056,H0539,H0539,05,03,1,88,30,31P,M,3,2,7.0,Y,104,96,120,0.707,191,191,71,0.323,2.5,2.8,60,7.2,7.9,0.0377,24.0,0.0,0.0,60,1,1,1-,2.39,152.6,A8315,04,A3551,04,215,267,,0,0.0,1.0,,2,.,,106,101,,,,,, 61,,,Poly,,,YRLG,,,,,,,, 1,1,,7,19,16,04,92,0923,1695,-0.318,,,
04RA00057,H0540,H0540,05,03,1,88,30,31P,M,3,2,7.0,Y,104,108,120,0.796,208,208,71,0.34,2.8,3.2,58,7.6,8.4,0.0365,25.5,0.0,0.0,58,1,1,1-,2.39,152.6,A8315,04,A3551,04,,,,0,0.0,1.0,MALE MOUNTS,1,.,,109,106,,D9,,,,.,,,Poly,,,YRLG,,,,,,,,,,,7,19,16,04,,,0,-0.318,,,
04RA00058,H0546,H0546,05,03,1,88,30,32P,M,3,2,4.0,Y,105,91,119,0.679,173,173,71,0.279,3.1,3.5,62,7.0,7.7,0.0405,23.0,0.0,0.0,62,1,1,1-,2.23,140.9,A8724,04,90333,09,,,,0,0.0,1.0,"X, ORCHITIS",3,.,,100,105,,,,,,.,,,Poly,,,YRLG,,,,,,,,,,,4,9,7,04,93,0907,1424,0.479,,,
04RA00059,H0557,H0557,05,03,1,88,30,31P,M,3,2,2.0,Y,106,100,119,0.763,179,179,71,0.27,3.0,3.4,56,6.6,7.3,0.0369,27.0,0.0,0.0,56,1,1,3+,2.28,137.8,A8315,04,A8839,04,,,,0,0.0,1.0,BRITCHY,4,.,,97,98,,.,,,,BHVx,,,Poly,,,YRLG,,,,,,,,10,,,2,5,4,04,,,0,0.773,,,
04RA00060,H0562,H0562,05,03,1,88,30,31P,M,2,2,4.0,Y,106,100,119,0.736,206,206,71,0.362,2.5,2.8,60,7.6,8.4,0.0369,24.0,0.0,0.0,60,1,1,2+,2.23,148.5,A8315,04,A6589,04,,,,0,0.0,1.0,"FX.RIBS,L,OK",1,.,,108,105,,D9,,,,.,,,Poly,,,YRLG,,,,,,,,,,,4,9,8,04,,,0,0.217,,,
