UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
18RA00032,2016701855,L1855,L1855,70,16,1,,PC,5,,,2,2,5.0,,86,80,115,0.578,198,142,45,0.17,,,,9.8,,,,,,,1,1,1-,,,L1441,70,L0380,70,,,237,191,0.442,2.0,"1ST. 50BL, SC",3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,6,12,9.0,2018,93,0905,14578,,0.005
18RA00033,2016701864,L1864,L1864,70,16,1,,PC,7,,,1,1,2.0,,87,128,114,0.96,227,202,45,0.202,,,,7.4,,,,,,,2,1,1-,,,L1564,70,L1542,70,,,271,191,0.403,2.0,"Scurs, nice",3,,,,,,AA,RR,,,,,,,,UWyo,,,,,,,,,,,,,2,2,1.0,2018,93,0905,14571,,0.005
18RA00034,2016701872,L1872,L1872,70,16,1,,PC,6,,,2,2,6.0,,89,113,112,0.847,237,197,45,0.228,,,,7.2,,,,,,,2,1,2+,,,L1549,70,L0228,70,,,285,191,0.485,2.0,"Scurs, nice",1,,,,,,AA,RR,,,,,10,,,UWyo,,,,,,,,,,,,,7,9,8.5,2018,,,0,,0.011
18RA00035,2016701874,L1874,L1874,70,16,1,,PC,2,,,1,1,1.0,,90,111,111,0.879,205,199,45,0.238,,,,8.2,,,,,,,2,1,2,,,L1339,70,L1661,70,,,0,0,0.0,2.0,Skinny&Poor,6,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,2.0,2018,66,0622,0,,0.032
18RA00036,2015120583,S0583,S0583,12,15,1,,07,23,,,2,2,3.0,,90,76,104,0.616,207,140,45,0.172,2.4,,,14.4,,,25.1,4.5,17.9,58,2,1,3-,,,R9597,11,R9185,11,,,256,191,0.497,3.0,.,1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,6,6.0,2018,,,0,,0.014
18RA00037,2016120783,S0783,S0783,12,16,1,,07,46,,,2,2,2.0,,76,88,124,0.618,207,186,45,0.275,2.8,,,13.8,,,23.8,3.8,16.1,60,2,1,5,,,S0209,12,S0230,12,,,251,191,0.458,2.0,1ST.,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,4.0,2018,,,0,,0.038
18RA00038,2016120786,S0786,S0786,12,16,1,,07,46,,,2,2,3.0,,76,96,124,0.668,201,173,45,0.216,2.6,,,11.4,,,24.6,4.5,18.4,60,7,1,3-,,,S0209,12,R9973,11,,,239,191,0.402,2.0,Scurs,3,,,,,,AA,RR,,,,,,,,UWyo,,,,,,,,,,,,,3,5,5.0,2018,93,0905,14585,,0.021
18RA00039,2016120791,S0791,S0791,12,16,1,,07,44,,,1,1,7.0,,77,101,123,0.719,199,173,45,0.202,3.1,,,12.0,,,22.5,4.5,19.9,62,2,1,3-,,,S0052,12,R8025,11,,,251,191,0.421,2.0,1ST,1,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,6,11,10.0,2018,,,0,,0.037
18RA00040,2016120801,S0801,S0801,12,16,1,,07,46,,,2,2,4.0,,78,81,122,0.592,233,177,45,0.268,2.8,,,13.8,,,25.1,4.0,16.1,58,1,1,3-,,,S0209,12,R9264,11,,,267,191,0.522,2.0,2ND,1,,,,,,AA,RR,,,,,48,,,,,,,,,,,,,,,,5,10,9.0,2018,,,0,,0.02
18RA00041,2016120803,S0803,S0803,12,16,1,,07,53,,,2,2,2.0,,78,73,122,0.503,207,166,45,0.26,2.8,,,13.0,,,22.3,4.3,19.1,62,3,1,4+,,,S0743,00,S0157,12,,,264,191,0.537,2.0,"1""Horn,+5Face",3,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,3,6,5.0,2018,93,0905,14530,,0.0
18RA00042,2016120815,S0815,S0815,12,16,1,,07,49,,,3,2,4.0,,78,80,122,0.577,198,177,45,0.271,2.9,,,13.0,,,23.9,4.6,19.1,60,7,1,3,,,S0733,00,R9274,11,,,240,191,0.449,2.0,5+ Horns,2,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,5,10,7.0,2018,92,0829,14651,,0.0
18RA00043,2016120819,S0819,S0819,12,16,1,,07,51,,,1,1,3.0,,79,97,121,0.684,196,195,45,0.273,3.1,,,12.4,,,22.7,3.8,16.6,62,3,1,3+,,,S0735,00,R9951,11,,,244,191,0.413,2.0,Scurs,3,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,3,4,4.0,2018,93,0905,14453,,0.0
18RA00044,2016120829,S0829,S0829,12,16,1,,07,45,,,1,1,3.0,,79,100,121,0.692,227,195,45,0.265,2.9,,,14.4,,,21.4,4.2,19.7,64,3,1,4+,,,S0123,12,R9693,11,,,266,191,0.466,2.0,Scurs,3,,,,,,AA,QQ,,,,,,,,UWyo,,,,,,,,,,,,,3,4,4.0,2018,93,0905,14466,,0.065
18RA00045,2016120856,S0856,S0856,12,16,1,,07,44,,,1,1,6.0,,81,97,119,0.681,217,189,45,0.255,2.8,,,15.2,,,23.7,3.7,15.4,60,1,1,4+,,,S0052,12,R8296,11,,,251,191,0.433,2.0,Nice,1,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,5,8,7.0,2018,,,0,,0.049
18RA00046,2016120882,S0882,S0882,12,16,1,,07,51,,,2,2,3.0,,83,78,118,0.559,204,163,45,0.235,2.6,,,12.8,,,20.9,3.7,17.6,64,7,1,3-,,,S0735,00,R9920,11,,,239,191,0.454,2.0,6+ Horns,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,7,6.0,2018,92,0829,14624,,0.0
18RA00047,2016120908,S0908,S0908,12,16,1,,07,49,,,1,1,5.0,,84,121,117,0.909,210,171,45,0.138,2.8,,,14.2,,,20.9,4.0,19.0,64,2,1,3,,,S0733,00,R8774,11,,,263,191,0.4,2.0,Scurs,3,,,,,,AA,QQ,,,,,,,,UWyo,,,,,,,,,,,,,4,7,6.0,2018,93,0905,14452,,0.0
18RA00048,2016120912,S0912,S0912,12,16,1,,07,45,,,1,1,3.0,,84,100,117,0.734,207,154,45,0.149,3.3,,,10.4,,,20.5,4.2,20.4,70,7,1,3,,,S0123,12,R9662,11,,,244,191,0.406,2.0,6+ Horns,1,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,4,5,4.0,2018,,,0,,0.057
18RA00049,2016120931,S0931,S0931,12,16,1,,07,50,,,2,2,3.0,,85,101,116,0.723,224,189,45,0.242,2.7,,,10.8,,,20.4,3.6,17.9,70,7,1,3,,,S0734,00,R9604,11,,,260,191,0.448,2.0,6+ Horns,3,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,3,5,5.0,2018,93,0905,14579,,0.0
18RA00050,2016120942,S0942,S0942,12,16,1,,07,45,,,2,2,4.0,,85,77,116,0.54,206,150,45,0.201,2.3,,,10.6,,,17.1,3.6,20.9,80,7,1,4+,,,S0123,12,R9528,11,,,231,191,0.434,2.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,8,8.0,2018,92,0829,14640,,0.024
18RA00051,2016120947,S0947,S0947,12,16,1,,07,46,,,1,1,3.0,,85,90,116,0.687,197,167,45,0.212,2.7,,,16.6,,,25.4,3.9,15.1,58,1,1,2-,,,S0209,12,R9643,11,,,242,191,0.428,2.0,"slUS,6+Horns",3,,,,,,AA,RR,,,,,,,,UWyo,,,,,,,,,,,,,4,5,2.5,2018,93,0905,14521,,0.03
18RA00052,2016120952,S0952,S0952,12,16,1,,07,34,,,1,1,2.0,,86,86,115,0.591,216,161,45,0.205,2.2,,,10.6,,,20.1,3.2,16.1,70,7,1,3,,,S0732,00,S0026,12,,,263,191,0.499,2.0,LameRHTx,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,4,3.0,2018,92,0829,14660,,0.0
18RA00053,2016120967,S0967,S0967,12,16,1,,07,36,,,2,2,3.0,,87,79,113,0.607,173,166,45,0.237,2.6,,,12.2,,,23.3,3.7,15.7,62,3,1,3-,,,S0737,00,R9579,11,,,219,191,0.393,2.0,Scurs,3,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,4,7,6.0,2018,93,0905,14519,,0.0
18RA00054,2016120994,S0994,S0994,12,16,1,,07,34,,,2,2,3.0,,87,84,113,0.628,185,174,45,0.245,2.5,,,13.2,,,23.0,4.6,20.2,62,7,1,4+,,,S0732,00,R9598,11,,,237,191,0.43,2.0,6+ Horns,1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,7,6.0,2018,,,0,,0.0
