UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
17RA00001,2013058210,H8210,H8210,05,13,1,,30,59,,,3,3,4.0,,90,71,107,0.574,223,133,47,0.165,2.4,,,12.6,,,26.9,4.3,15.9,56,1,1,2-,,,H7410,00,H4891,05,,,251,192,0.5,4.0,SCOURS,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,7,16,15.0,2017,93,0823,14178,,0.0
17RA00002,2014058485,H8485,H8485,05,14,1,,30,16,,,3,2,5.0,,78,85,118,0.628,209,136,47,0.143,3.0,,,10.2,,,,,,,1,1,2,,,H7410,00,H5038,05,,,223,192,0.382,3.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,12,11.0,2017,93,0823,14185,,0.0
17RA00003,2014058507,H8507,H8507,05,14,1,,30,10,,,2,2,2.0,,79,80,116,0.607,237,141,47,0.17,3.3,,,11.0,,,,,,,1,1,2+,,,H5934,05,H7500,05,,,,,,3.0,BOvisPosHigh-,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,5.0,2017,93,0706,14158,,0.029
17RA00004,2014058787,H8787,H8787,05,14,1,,30,13,,.,3,2,4.0,,92,92,104,0.806,228,158,47,0.178,3.1,,,9.6,,,,,,,2,1,2,,,H7809,05,H5696,05,,,254,192,0.449,3.0,Slight Drag,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,13,11.0,2017,92,0830,14224,,0.0
17RA00005,2015058837,H8837,H8837,05,15,1,,30,17,,,2,2,2.0,,71,75,123,0.534,217,152,47,0.218,2.4,,,9.0,,,26.7,4.3,16.2,56,2,1,1-,,,H8210,05,H8410,05,,,234,192,0.438,2.0,Small scurs,1,,,,,,AA,RR,,,,,37,,,,,,,,,,,,,,,,3,5,5.0,2017,,,0,,0.031
17RA00006,2015058840,H8840,H8840,05,15,1,,30,18,,.,3,2,5.0,,71,110,123,0.809,262,177,47,0.189,2.4,,,8.2,,,23.5,4.1,17.4,60,2,1,3,,,H8376,05,H5730,05,,,276,192,0.457,2.0,SoreHeadFight,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,11,9.0,2017,93,0823,14172,,0.015
17RA00007,2015058862,H8862,H8862,05,15,1,,30,18,,.,2,2,5.0,,73,101,121,0.726,211,184,47,0.233,3.1,,,12.0,,,26.0,5.2,20.1,58,1,1,2,,,H8376,05,H6438,05,,,,,,2.0,BOvisPosHigh-,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,6,11,10.0,2017,93,0706,14165,,0.018
17RA00008,2015058894,H8894,H8894,05,15,1,,30,17,,,2,1,2.0,,75,83,119,0.606,207,119,47,0.101,2.6,,,8.8,,,28.2,4.7,16.7,54,1,1,1-,,,H8210,05,H8262,05,,,234,192,0.416,2.0,DownNoRespond,6,,,,,,AA,RR,,,,,e10,,,,,,,,,,,,,,,,3,5,3.0,2017,42,1015,0,,0.029
17RA00009,2015058897,H8897,H8897,05,15,1,,30,15,,,2,2,2.0,,75,80,119,0.579,205,103,47,0.064,2.2,,,8.6,,,25.0,5.1,20.3,58,1,1,2,,,H7809,05,H8452,05,,,243,192,0.449,2.0,.,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,7,5.0,2017,92,0830,14223,,0.019
17RA00010,2015058956,H8956,H8956,05,15,1,,30,13,,.,3,2,4.0,,77,85,117,0.638,212,143,47,0.161,2.6,,,8.6,,,24.6,4.9,19.8,60,1,1,2,,,H7424,05,H6548,05,,,245,192,0.441,2.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,11,7.0,2017,93,0823,14198,,0.029
17RA00011,2015059064,H9064,H9064,05,15,1,,30,14,,,2,2,2.0,,83,70,111,0.532,191,105,47,0.096,2.6,,,7.4,,,23.7,4.0,16.9,60,2,1,2,,,H7479,05,H8054,05,,,228,192,0.435,2.0,ScursHasBlack,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,7,5.0,2017,92,0830,14222,,0.029
17RA00012,2015059065,H9065,H9065,05,15,1,,30,18,,.,2,2,5.0,,83,73,111,0.557,219,138,47,0.178,2.4,,,10.8,,,27.8,4.9,17.6,56,1,1,3,,,H8376,05,H5686,05,,,240,192,0.46,2.0,.,1,,,,,,AA,RR,,,,,e11,,,,,,,,,,,,,,,,6,11,11.0,2017,,,0,,0.018
17RA00013,2015059130,H9130,H9130,05,15,1,,30,13,,.,3,2,4.0,,85,72,109,0.57,217,143,47,0.193,2.8,,,8.6,,,28.5,4.9,17.3,54,1,1,3+,,,H7424,05,H6539,05,,,243,192,0.471,2.0,Slight Drag,1,,,,,,AA,RR,,,,,e12,,,,,,,,,,,,,,,,5,13,9.0,2017,,,0,,0.026
17RA00014,2015059136,H9136,H9136,05,15,1,,30,18,,,2,2,3.0,,85,80,109,0.622,193,130,47,0.136,2.2,,,7.4,,,24.5,5.1,20.8,60,1,1,2-,,,H8376,05,H7498,05,,,230,192,0.413,2.0,.,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,7,7.0,2017,,,0,,0.03
17RA00015,2015059233,H9233,H9233,05,15,1,,30,e14,,,1,1,1.0,,89,87,105,0.697,215,134,47,0.126,2.4,,,9.2,,,23.0,4.7,20.4,62,1,1,2-,,,H8327,05,H8785,05,,,249,192,0.446,2.0,NICE.LEFT,1,,,,,,AA,RR,,,,,35,,,,,,,,,,,,,,,,2,3,3.0,2017,,,0,,0.041
17RA00016,2016059294,H9294,H9294,05,16,1,,30,31,,,2,2,4.0,,74,106,126,0.748,171,171,47,0.184,3.0,,,7.8,,,26.6,6.0,22.6,56,2,1,3+,,,H8485,05,H7506,05,,,209,192,0.289,1.0,"1ST, Scurs",1,,,,,,AA,QR,,,,,38,,,,,,,,,,,,,,,,4,6,6.0,2017,,,0,,0.016
17RA00017,2016059303,H9303,H9303,05,16,1,,30,31,,,3,2,3.0,,74,94,126,0.649,156,156,47,0.175,2.6,,,8.8,,,22.7,4.4,19.5,62,1,1,2,,,H8485,05,H7991,05,,,208,192,0.319,1.0,2ND,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,9,6.0,2017,92,0830,14243,,0.024
17RA00018,2016059320,H9320,H9320,05,16,1,,30,30,,,3,2,5.0,,77,89,123,0.65,167,167,47,0.218,2.7,,,4.8,,,22.3,3.5,15.7,62,1,1,2+,,,H8376,05,H6539,05,,,210,192,0.339,1.0,"2ND.Pink, SC",3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,13,9.0,2017,93,0823,14171,,0.041
17RA00019,2016059329,H9329,H9329,05,16,1,,30,29,,,3,2,3.0,,77,85,123,0.618,150,150,47,0.182,2.6,,,5.8,,,24.0,3.9,16.4,60,2,1,2-,,,H7479,05,H8162,05,,,187,192,0.286,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,8,6.0,2017,92,0830,14245,,0.044
17RA00020,2016059360,H9360,H9360,05,16,1,,30,30,,,2,2,2.0,,80,79,120,0.581,163,163,47,0.233,2.5,,,5.8,,,23.2,3.9,16.9,62,1,1,4,,,H8376,05,H8530,05,,,200,192,0.339,1.0,2ND,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,4,4.0,2017,93,0823,14177,,0.031
17RA00021,2016059361,H9361,H9361,05,16,1,,30,30,,,4,2,4.0,,80,84,120,0.617,160,160,47,0.211,2.4,,,7.0,,,23.3,4.0,17.3,62,2,1,2-,,,H8376,05,H7601,05,,,205,192,0.339,1.0,Scurs,1,,,,,,AA,RR,,,,,39,,,,,,,,,,,,,,,,4,10,8.0,2017,,,0,,0.036
17RA00022,2016059362,H9362,H9362,05,16,1,,30,30,,,4,2,4.0,,80,77,120,0.575,146,146,47,0.192,2.6,,,5.0,,,22.8,3.7,16.2,62,2,1,2,,,H8376,05,H7601,05,,,187,192,0.308,1.0,2ND.Scurs,1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,10,8.0,2017,,,0,,0.036
17RA00023,2016059371,H9371,H9371,05,16,1,,30,33,,,3,2,6.0,,80,86,120,0.623,167,167,47,0.225,2.4,,,8.8,,,23.9,5.3,22.1,60,1,1,2-,,,H8787,05,H5706,05,,,231,192,0.406,1.0,X Bad Semen,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,14,11.0,2017,93,1008,14291,,0.02
17RA00024,2016059374,H9374,H9374,05,16,1,,30,31,,,2,2,2.0,,81,72,119,0.513,133,133,47,0.169,2.5,,,9.2,,,23.5,4.3,18.4,60,2,1,2,,,H8485,05,H8780,05,,,182,192,0.308,1.0,"1ST, Scurs",1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,3,3.0,2017,,,0,,0.024
17RA00025,2016059384,H9384,H9384,05,16,1,,30,29,,,3,1,7.0,,81,101,119,0.751,190,190,47,0.247,2.5,,,6.8,,,0.0,0.0,0.0,0,1,1,2-,,,H7479,05,H4823,05,,,232,192,0.367,1.0,2ND.Scur Left,1,,,,,,AA,QR,,,,,e14,,,,,,,,,,,,,,,,7,17,15.0,2017,,,0,,0.02
17RA00026,2016059389,H9389,H9389,05,16,1,,30,31,,,2,1,3.0,,81,111,119,0.819,177,177,47,0.183,2.8,,,6.0,,,26.6,4.6,17.5,56,1,1,2,,,H8485,05,H8262,05,,,222,192,0.311,1.0,1ST,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,3.0,2017,93,0823,14175,,0.022
17RA00027,2016059396,H9396,H9396,05,16,1,,30,32,,,2,2,4.0,,81,99,119,0.708,179,179,47,0.222,2.6,,,7.4,,,24.9,4.9,19.8,60,1,1,3,,,H8507,05,H7877,05,,,233,192,0.375,1.0,Nice,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,6,6.0,2017,92,0830,14247,,0.009
17RA00028,2016059408,H9408,H9408,05,16,1,,30,30,,,2,1,4.0,,82,107,119,0.824,190,190,47,0.23,2.6,,,6.6,,,24.0,3.8,15.8,60,2,1,2-,,,H8376,05,H7418,05,,,229,192,0.343,1.0,1ST.SmScur,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,6.0,2017,93,0823,14183,,0.03
17RA00029,2016059411,H9411,H9411,05,16,1,,30,32,,,2,2,6.0,,82,83,119,0.603,167,167,47,0.233,2.8,,,7.4,,,25.8,6.1,23.7,58,3,1,3+,,,H8507,05,H6177,05,,,205,192,0.343,1.0,2ND. 1inHorns,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,6,13,11.0,2017,93,0823,14221,,0.023
17RA00030,2016059412,H9412,H9412,05,16,1,,30,31,,,2,2,2.0,,82,87,119,0.645,142,142,47,0.152,2.5,,,5.0,,,24.4,4.3,17.7,60,2,1,2-,,,H8485,05,H8788,05,,,193,192,0.298,1.0,"Pink,MouthPrb",2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,3.0,2017,92,0830,14246,,0.021
17RA00031,2016059414,H9414,H9414,05,16,1,,30,33,,,2,2,2.0,,82,72,119,0.505,142,142,47,0.194,2.6,,,5.8,,,22.4,4.0,17.9,62,2,1,2-,,,H8787,05,H8721,05,,,206,192,0.376,1.0,"1ST,1/2""Horns",2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,4.0,2017,92,0830,14241,,0.023
17RA00032,2016059418,H9418,H9418,05,16,1,,30,32,,,2,2,4.0,,83,92,118,0.662,165,165,47,0.202,2.8,,,5.6,,,26.1,4.9,18.6,58,1,1,3+,,,H8507,05,H7592,05,,,,,,1.0,BOvisPosHigh-,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,9,8.0,2017,93,0706,14161,,0.019
17RA00033,2016059420,H9420,H9420,05,16,1,,30,32,,,2,2,5.0,,83,74,118,0.492,134,134,47,0.166,2.6,,,6.0,,,23.5,4.7,20.2,60,2,1,3+,,,H8507,05,H6601,05,,,184,192,0.309,1.0,1ST.SCRS,1,,,,,,AA,RR,,,,,40,,,,,,,,,,,,,,,,5,8,8.0,2017,,,0,,0.033
17RA00034,2016059421,H9421,H9421,05,16,1,,30,32,,,2,2,5.0,,83,91,118,0.664,168,168,47,0.213,2.6,,,7.0,,,24.7,4.7,19.0,60,1,1,2-,,,H8507,05,H6601,05,,,216,192,0.351,1.0,Nice,1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,8,8.0,2017,,,0,,0.033
17RA00035,2016059422,H9422,H9422,05,16,1,,30,31,,,3,2,4.0,,83,88,118,0.675,184,184,47,0.265,2.2,,,9.4,,,26.3,4.8,18.3,58,1,1,2,,,H8485,05,H7423,05,,,213,192,0.351,1.0,1ST.P,1,,,,,,AA,RR,,,,,e13,,,,,,,,,,,,,,,,4,10,7.5,2017,,,0,,0.011
17RA00036,2016059444,H9444,H9444,05,16,1,,30,33,,,2,2,4.0,,84,91,117,0.701,175,175,47,0.231,2.7,,,8.8,,,23.5,4.1,17.5,60,2,1,2+,,,H8787,05,H7848,05,,,219,192,0.36,1.0,"1ST, Scurs",1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,9,7.0,2017,,,0,,0.039
17RA00037,2016059452,H9452,H9452,05,16,1,,30,30,,,2,2,2.0,,84,85,117,0.632,185,185,47,0.275,2.5,,,7.2,,,25.9,4.5,17.2,58,2,1,2,,,H8376,05,H8524,05,,,223,192,0.388,1.0,1ST.Scurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,4.0,2017,92,0830,14248,,0.035
17RA00038,2016059464,H9464,H9464,05,16,1,,30,31,,,2,1,6.0,,84,103,117,0.791,160,160,47,0.157,2.4,,,8.4,,,25.7,4.6,17.8,58,2,1,2,,,H8485,05,H5696,05,,,213,192,0.309,1.0,ScursBlWool,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,13,11.0,2017,93,0823,14188,,0.027
17RA00039,2016059480,H9480,H9480,05,16,1,,30,31,,,1,1,2.0,,85,94,116,0.711,155,155,47,0.168,2.7,,,6.6,,,26.4,5.1,19.4,56,1,1,2-,,,H8485,05,H8765,05,,,201,192,0.301,1.0,"Scurs, slDrag",2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,2,2.0,2017,92,0830,14242,,0.027
17RA00040,2016059486,H9486,H9486,05,16,1,,30,33,,,3,2,4.0,,85,64,116,0.477,146,146,47,0.225,2.6,,,4.4,,,23.9,4.1,17.2,60,1,1,3+,,,H8787,05,H7542,05,,,188,192,0.348,1.0,2ND.Scurs,1,,,,,,AA,RR,,,,,41,,,,,,,,,,,,,,,,4,12,6.0,2017,,,0,,0.033
17RA00041,2016059519,H9519,H9519,05,16,1,,30,33,,,3,2,6.0,,88,95,112,0.746,171,171,47,0.207,2.8,,,7.8,,,20.8,3.3,15.7,64,1,1,2,,,H8787,05,H6526,05,,,221,192,0.353,1.0,1ST,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,11,9.0,2017,,,0,,0.04
