UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
02RA00011,A5546,04,98,1,82,30,20,C,3,2,8.0,M,113,72,102,0.625,174,138,68,0.223,0.0,0.0,58,7.0,7.0,0.0402,0.0,0.0,0.0,0,.,1,.,2.0,141.2,A3453,04,L7769,03,,0,0.262,4.0,VASCECTOMY,3,VAS,VAS,,,,S2,AA,,,,VAS,VAS,VAS,.,,,,,,,,,,,8,16,14,2002,93,0820,-1.2213,-1.2027,-0.0085,
02RA00012,A6102,04,99,1,81,30,02,M,2,2,6.0,*,101,75,120,0.549,0,150,68,0.261,0.0,0.0,56,9.6,9.6,0.0,0.0,0.0,0.0,0,,1,.,2.0,138.7,A3079,04,L9990,03,,0,0.288,3.0,DUD,V,LWW,,,,,D3,DUD,,ORE,,DUD,,B 16,HOMO,,,,,,,,,,,6,11,10,2002,93,0423,-0.233,0.3391,-0.0042,
02RA00013,A6113,04,99,1,88,30,44-,.,2,2,4.5,M,102,78,119,0.572,192,142,68,0.223,0.0,0.0,60,7.2,7.2,0.0375,0.0,0.0,0.0,0,,1,.,2.4,114.2,A3678,04,A3782,04,,0,0.279,3.0,"DUD, D6",5,GXE,,,,,D4,DUD,,ORE,,DUD,Nax,B 30,HOMO,,,,,,,,,,,4,11,6,2002,95,0819,-1.5613,-1.2229,-0.0114,
02RA00014,A6216,04,99,1,82,30,25,C,3,2,4.0,M,104,89,119,0.676,223,164,68,0.263,3.2,3.2,60,8.6,8.6,0.0386,26.2,3.7,14.0,58,2,1,1-,1.94,117.9,A4125,04,A3384,04,,0,0.299,3.0,,3,CTL,,93,99,,S4,AAA,STUD,,100.0,.,,CTL,.,,,,,,,,,,,3,7,5,2002,93,0820,-0.9154,-0.094,-0.0084,
02RA00015,A6223,04,99,1,82,30,22,C,2,2,8.0,*,104,87,117,0.667,0,156,68,0.24,0.0,0.0,58,9.8,9.8,0.0,0.0,0.0,0.0,0,,1,.,2.0,136.6,A3176,04,L7193,03,,0,0.291,3.0,DUD,V,CTL,,,,,D3,DUD,,ORE,,DUD,,B 14,HOMO,,,,,,,,,,,8,16,14,2002,93,0423,-0.3229,0.1681,-0.0038,
02RA00016,A6225,04,99,1,82,30,31,C,1,1,7.0,M,104,101,117,0.759,208,158,68,0.199,0.0,0.0,62,8.8,8.8,0.0423,0.0,0.0,0.0,0,,1,.,1.76,105.0,A4487,04,A1205,04,,0,0.217,3.0,"X,THIN,SICK",3,CTL,,,,,D4,DUD,,ORE,,DUD,,B 21,HOMO,,,,,,,,,,,6,11,10,2002,93,0528,-0.7846,-0.2793,-0.0068,
02RA00017,A6433,04,99,1,81,30,01,M,2,2,5.0,M,107,83,114,0.62,266,187,68,0.362,3.4,3.4,54,10.6,10.6,0.0398,31.3,5.5,17.6,48,2,1,1-,2.14,128.8,A4254,04,A3388,04,,0,0.383,3.0,DUD >works,3,LWW,,109,108,,D3w,DUD,STUD,,,.,,LWW,.,,,,,,,,,,,5,12,10,2002,93,0820,-1.0009,0.3352,-0.01,
02RA00018,A6501,04,99,1,82,30,29,C,2,2,8.0,M,109,86,112,0.689,198,148,68,0.216,3.9,3.9,56,9.4,9.4,0.0475,28.2,5.5,19.6,54,2,1,2-,2.13,132.0,A4414,04,L8725,03,,0,0.24,3.0,,3,CTL,,97,106,,S1,A,STUD,,97.0,.,,CTL,.,,,,,,,,,,,8,17,13,2002,93,0820,-0.0652,0.305,-0.002,
02RA00019,A6529,04,99,1,88,30,44-,.,3,1,3.5,M,110,84,111,0.682,226,140,68,0.195,3.1,3.1,60,8.0,8.0,0.0354,27.1,3.8,13.9,56,1,1,3+,2.39,150.4,A3678,04,A4918,04,,0,0.246,3.0,SHORT STAPLE,1,GXE,,99,94,,S1,A,STUD,,97.0,.,Nax,FLWT,.,,,,,,,,,,,3,8,7,2002,,,-2.0009,-1.5287,-0.0147,
02RA00020,A6563,04,99,1,81,30,03,M,2,2,4.0,M,110,78,111,0.625,224,145,68,0.233,4.0,4.0,56,9.8,9.8,0.0438,28.5,5.3,18.5,54,2,1,2,2.15,118.7,A4591,04,A4343,04,,0,0.252,3.0,DUD >works,3,LWW,,94,109,,D3w,DUD,STUD,,100.0,.,,LWW,.,,,,,,,,,,,4,9,7,2002,93,0820,-0.1814,0.2386,-0.0039,
02RA00021,A6641,04,99,1,88,30,43-,.,3,2,4.5,M,112,80,109,0.642,242,146,68,0.23,3.7,3.7,54,10.6,10.6,0.0438,33.6,5.7,16.9,46,3,1,1-,2.15,97.2,A4395,04,A3878,04,,0,0.288,3.0,"not DUD,H3",5,GXE,,85,108,,S1,A,STUD,,97.0,.,Nax,GXE,.,,,,,,,,,,,3,9,5,2002,95,0819,-0.116,0.7192,-0.0051,
02RA00022,A6642,04,99,1,88,30,41-,.,2,2,5.0,M,112,79,109,0.628,236,145,68,0.23,3.1,3.1,54,10.6,10.6,0.0449,31.8,4.9,15.3,48,1,1,2-,1.7,89.5,A4441,04,A3565,04,,0,0.326,3.0,SM.TSTS,5,GXE,,80,106,,D1,B,STUD,,97.0,.,Nax,GXE,.,,,,,,,,,,,5,8,6,2002,95,0819,-0.3881,0.1987,-0.0054,
02RA00023,A6667,04,99,1,88,30,44-,.,2,2,3.0,M,112,87,111,0.679,220,157,68,0.246,0.0,0.0,58,8.6,8.6,0.0391,0.0,0.0,0.0,0,,1,.,1.85,117.5,A3678,04,A3497,04,,0,0.272,3.0,,5,GXE,,,,,D1,B,,ORE,,DUD,Nax,SPAR,HOMO,,,,,,,,,,,2,4,4,2002,95,0819,-0.9879,-0.4434,-0.0088,
02RA00024,A6680,04,99,1,88,30,41-,.,3,2,4.5,*,113,77,110,0.625,0,146,68,0.242,0.0,0.0,58,9.2,9.2,0.0,0.0,0.0,0.0,0,,1,.,1.9,115.1,A4441,04,A3767,04,,0,0.319,3.0,,V,GXE,,,,,D1,B,,ORE,,DUD,Nax,P 32,HOMO,,,,,,,,,,,3,7,6,2002,93,0423,-0.6093,-0.0899,-0.0064,
02RA00025,A6735,04,99,1,88,30,45-,.,3,3,2.5,M,113,68,110,0.537,198,142,68,0.26,0.0,0.0,60,10.0,10.0,0.0505,0.0,0.0,0.0,0,,1,.,2.24,155.4,A4678,04,A3875,04,,0,0.26,3.0,BALD,5,GXE,,,,,D1,B,,ORE,,DUD,Nax,B 23,HOMO,,,,,,,,,,,2,4,4,2002,95,0819,-0.8749,-0.533,-0.0074,
02RA00026,A6738,04,99,1,88,30,45-,.,3,2,4.0,*,113,80,110,0.642,0,148,68,0.239,0.0,0.0,64,8.2,8.2,0.0,0.0,0.0,0.0,0,,1,.,1.81,94.6,A4678,04,A3561,04,,0,0.26,3.0,"DUD, D6",V,GXE,,,,,D4,DUD,,ORE,,DUD,Nax,B 13,HOMO,,,,,,,,,,,3,6,4,2002,93,0423,-1.3314,-0.9812,-0.0105,
02RA00027,A6759,04,99,1,82,30,26,C,1,1,5.0,M,114,95,109,0.753,231,163,68,0.239,3.1,3.1,56,8.6,8.6,0.0372,29.7,4.6,15.4,50,1,1,2,1.7,109.5,A4171,04,A3637,04,,0,0.299,3.0,DUD >works,3,CTL,,87,95,,D3w,DUD,STUD,,,.,,CTL,.,,,,,,,,,,,5,8,7,2002,93,0820,-1.427,-0.6277,-0.0114,
02RA00028,A6761,04,99,1,81,30,01,M,3,2,4.0,M,114,96,109,0.807,239,142,68,0.161,3.5,3.5,56,10.0,10.0,0.0418,31.7,5.5,17.3,48,2,1,3+,2.56,173.3,A4254,04,A2839,04,255,259,0.248,3.0,,2,LWW,,109,105,-,S2,AA,STUD,,96.0, 90,,LWW,.,,,,,,,,,0,,4,12,10,2002,92,0919,-0.2059,0.575,-0.0051,
02RA00029,A6827,04,99,1,88,30,43-,.,3,2,2.5,M,116,79,113,0.633,244,154,68,0.269,4.4,4.4,54,7.6,7.6,0.0311,31.6,4.5,14.2,48,2,1,2+,2.41,159.7,A4395,04,A3752,04,,0,0.28,3.0,not DUD,5,GXE,,113,95,,S1,A,STUD,,93.0,.,Nax,GXE,.,,,,,,,,,,,2,5,4,2002,95,0819,-1.669,-0.7643,-0.0133,
02RA00030,A6828,04,99,1,88,30,43-,.,3,2,2.5,M,116,93,113,0.737,234,149,68,0.201,4.5,4.5,54,10.2,10.2,0.0436,31.2,5.1,16.4,48,1,1,1-,2.41,159.7,A4395,04,A3752,04,,0,0.261,3.0,"X,ABS.JAW",5,GXE,,110,112,,D1,B,,,,.,Nax,GXE,.,,,,,,,,,,,2,5,4,2002,95,0819,-0.7665,0.2059,-0.0087,
02RA00031,A6853,04,99,1,81,30,01,M,3,3,7.0,M,116,87,107,0.699,256,186,68,0.347,3.3,3.3,58,9.8,9.8,0.0383,28.7,4.7,16.2,54,2,1,2,1.94,123.1,A4254,04,A1103,04,,0,0.358,3.0,SOLD O.S.U.,2,LWW,,104,105,-,S1,A,STUD,,94.0,OSU,,LWW,.,,,,,,,,,1,,6,13,12,2002,92,0919,-1.3006,0.0236,-0.0115,
02RA00032,A6887,04,99,1,88,30,42-,.,3,2,4.5,*,117,83,106,0.702,0,161,68,0.274,0.0,0.0,56,10.6,10.6,0.0,0.0,0.0,0.0,0,,1,.,2.4,126.2,A3724,04,A3969,04,,0,0.307,3.0,COARSE,V,GXE,,,,,D1,B,,ORE,,LIB,Nax,P  4,STUD,,,,,,,,,,,4,11,7,2002,93,0423,0.4686,1.1406,-0.0001,
02RA00033,A6911,04,99,1,88,30,45-,.,1,1,3.5,M,117,92,106,0.758,233,161,68,0.242,3.6,3.6,56,12.0,12.0,0.0515,28.3,4.7,16.5,54,2,1,2+,1.72,109.7,A4678,04,A3788,04,,0,0.304,3.0,not DUD,5,GXE,,92,120,,S1,A,STUD,,100.0,.,Nax,GXE,.,,,,,,,,,,,2,3,3,2002,95,0819,0.0638,0.7224,-0.0026,
02RA00034,A6925,04,99,1,82,30,29,C,3,2,5.0,M,118,77,105,0.639,208,124,68,0.165,3.9,3.9,56,10.6,10.6,0.051,29.8,4.1,13.7,50,1,1,3+,2.02,145.4,A4414,04,A2539,04,,0,0.224,3.0,"BLK.SPT,INBR",3,CTL,,100,112,,S0,B,STUD,,96.0,.,,CTL,.,,,,,,,,,,,4,9,9,2002,93,0820,-0.913,-0.6954,-0.0073,
02RA00035,A6928,04,99,1,82,30,28,C,3,2,7.0,*,118,97,105,0.824,0,160,68,0.221,0.0,0.0,58,9.2,9.2,0.0,0.0,0.0,0.0,0,,1,.,2.49,145.9,A4247,04,A1503,04,,0,0.272,3.0,"DUD, D6+",V,CTL,,,,,D4,DUD,,ORE,,DUD,,B 29,DUD,,,,,,,,,,,7,19,14,2002,93,0423,-0.2884,0.2898,-0.004,
02RA00036,A6930,04,99,1,82,30,28,C,3,2,7.0,M,118,84,105,0.702,243,175,68,0.319,3.6,3.6,60,9.6,9.6,0.0395,25.7,3.9,15.0,58,2,1,3+,2.49,145.9,A4247,04,A1503,04,257,259,0.358,3.0,,2,CTL,,112,108,-,S0,B,,,, 87,,CTL,.,,,,,,,,,1,,7,19,14,2002,92,0919,0.1991,1.0723,-0.0026,
02RA00037,A6934,04,99,1,81,30,03,M,3,2,4.0,M,118,85,105,0.731,230,171,68,0.302,3.5,3.5,60,10.6,10.6,0.0461,27.6,4.4,16.0,56,2,1,2+,2.4,154.0,A4591,04,A4523,04,,0,0.319,3.0,SOLD O.S.U.,2,LWW,,115,112,-,S4,AAA,STUD,,94.0,OSU,,LWW,.,,,,,,,,,1,,4,11,9,2002,92,0919,0.3656,1.132,-0.0014,
02RA00038,A6952,04,99,1,81,30,01,M,2,2,7.0,M,118,87,105,0.701,185,151,68,0.225,3.5,3.5,56,9.4,9.4,0.0508,28.7,5.3,18.4,54,2,1,3+,2.29,151.0,A4254,04,L9966,03,216,259,0.257,3.0,NO SALE 9/19,2,LWW,,105,103,-,D4w,B,STUD,,, 89,,LWW,.,,,,,,,,,1,,7,16,12,2002,92,1010,-0.2953,0.3004,-0.0042,
02RA00039,A6998,04,99,1,82,30,25,C,2,2,8.0,M,120,91,103,0.764,217,151,68,0.211,3.4,3.4,60,10.6,10.6,0.0488,27.2,3.5,12.7,56,2,1,1-,2.25,167.4,A4125,04,L7712,03,232,259,0.266,3.0,DUD >works,2,CTL,,112,111,-,S1,A,STUD,,93.0, 88,,CTL,.,,,,,,,,,1,,8,18,16,2002,92,0919,-0.0855,0.3333,-0.0026,
02RA00040,A7105,04,00,1,82,30,28,C,2,2,4.0,M,99,77,122,0.566,191,156,68,0.275,3.7,3.7,58,8.8,8.8,0.0461,28.7,4.2,14.7,54,2,1,1-,2.15,117.9,A5406,04,A4207,04,,0,0.274,2.0,DUD >works,3,CTL,,96,101,,D3w,DUD,STUD,,82.0,.,,CTL,.,,,,,,,,,,,4,9,6,2002,93,0820,-0.8222,-0.4207,-0.0075,
02RA00041,A7106,04,00,1,82,30,28,C,2,2,4.0,M,99,90,122,0.664,186,157,68,0.233,3.1,3.1,62,6.4,6.4,0.0344,24.2,4.3,18.0,60,1,1,2+,2.15,117.9,A5406,04,A4207,04,,0,0.241,2.0,TEASER RAM,S,CTL,,87,87,,D3,DUD,,SCT,,-5-,,TEAZ,TEAZ,,,,,,,,,,,4,9,6,2002,,,-1.3064,-0.8904,-0.0107,
02RA00042,A7109,04,00,1,82,30,23,C,2,2,3.0,M,99,74,122,0.524,171,155,68,0.282,3.1,3.1,60,6.8,6.8,0.0398,24.5,3.9,15.9,60,3,1,1-,2.11,106.2,A5082,04,A5529,04,,0,0.277,2.0,PREPUCE BLED,P,CTL,,87,89,,D3,DUD,,SCT,,LIB,,HOMO,.,,,,,,,,,,,3,6,4,2002,,,-1.5631,-1.0922,-0.013,
02RA00043,A7133,04,00,1,82,30,31,C,3,2,5.0,M,100,108,121,0.793,217,189,68,0.282,3.6,3.6,58,9.6,9.6,0.0442,28.9,4.6,15.8,54,2,1,2-,2.14,137.4,A5024,04,A3178,04,246,259,0.283,2.0,"D1, ?, ?",2,CTL,,105,105,-,S2,AA,STUD,,100.0, 84,,CTL,.,,,,,,,,,1,,5,12,9,2002,92,0919,-1.3757,-0.4917,-0.0117,
02RA00044,A7153,04,00,1,82,30,31,C,4,2,5.0,M,101,93,120,0.693,190,165,68,0.251,3.1,3.1,60,6.4,6.4,0.0337,25.0,4.2,17.0,58,2,1,2+,2.59,137.9,A5024,04,A3553,04,,0,0.253,2.0,RCVR<,P,CTL,,97,86,,D3,DUD,,SCT,,LIB,,HOMO,.,,,,,,,,,,,5,16,10,2002,,,-1.5741,-0.8967,-0.0127,
02RA00045,A7158,04,00,1,82,30,21,C,3,2,4.0,M,101,82,120,0.611,187,166,68,0.293,0.0,0.0,58,8.8,8.8,0.0471,0.0,0.0,0.0,0,.,1,.,2.4,123.9,A5530,04,A4327,04,,0,0.295,2.0,,P,CTL,,,,,D4,DUD,,SCT,,LIB,,HETR,MKT,,,,,,,,,,,4,11,8,2002,,,-0.9653,-0.5663,-0.0078,
02RA00046,A7198,04,00,1,88,30,46-,.,2,2,4.5,M,102,86,119,0.65,173,152,68,0.23,0.0,0.0,60,6.8,6.8,0.0393,0.0,0.0,0.0,0,.,1,.,1.77,122.3,A5230,04,A3742,04,,0,0.232,2.0,"UGLY, -SIZE",P,GXE,,,,,D4,DUD,,SCT,,-3-,,HOMO,MKT,,,,,,,,,,,3,6,6,2002,,,-0.6796,-0.323,-0.0062,
02RA00047,A7199,04,00,1,88,30,46-,.,2,2,4.5,M,102,96,119,0.72,205,174,68,0.272,3.6,3.6,58,7.4,7.4,0.0361,27.8,4.8,17.1,56,1,1,2,1.77,122.3,A5230,04,A3742,04,,0,0.304,2.0,,1,GXE,,95,92,,S2,AA,STUD,,76.0,.,,FLWT,.,,,,,,,,,,,3,6,6,2002,,,-1.7784,-1.1937,-0.0137,
02RA00048,A7226,04,00,1,82,30,29,C,2,2,7.0,M,102,84,119,0.628,172,145,68,0.213,2.9,2.9,58,9.0,9.0,0.0523,28.1,4.0,14.3,54,1,1,2,1.76,106.5,A5546,04,A1026,04,,0,0.232,2.0,UGLYDUD>works,3,CTL,,83,98,,D3w,DUD,STUD,,100.0,.,,CTL,.,,,,,,,,,,,7,11,11,2002,93,0820,-1.4513,-1.3733,-0.0107,
02RA00049,A7239,04,00,1,81,30,03,M,2,2,5.0,M,102,97,119,0.72,198,170,68,0.254,2.8,2.8,58,10.0,10.0,0.0505,28.0,4.8,17.3,54,1,1,2,2.14,136.1,A5232,04,A2908,04,,0,0.298,2.0,,P,LWW,,100,103,,D3,DUD,,SCT,,LIB,,HOMO,.,,,,,,,,,,,5,12,10,2002,,,-0.6782,-0.0224,-0.0074,
02RA00050,A7284,04,00,1,82,30,21,C,2,2,4.0,M,103,99,118,0.742,224,193,68,0.328,3.9,3.9,56,7.6,7.6,0.0339,29.7,4.3,14.4,50,1,1,1-,2.02,124.0,A5530,04,A4686,04,,0,0.348,2.0,NICE >works,1,CTL,,102,94,,D3w,DUD,STUD,,100.0,.,,FLWT,.,,,,,,,,,,,4,8,6,2002,,,-2.1736,-1.0548,-0.0166,
02RA00051,A7286,04,00,1,81,30,01,M,2,2,7.0,M,103,89,118,0.665,228,188,68,0.345,0.0,0.0,60,8.4,8.4,0.0368,0.0,0.0,0.0,0,.,1,.,2.03,129.4,A5198,04,A0929,04,,0,0.333,2.0,"BAD EYE, trt",S,LWW,,,,,D4,DUD,,SCT,,LIB,,ASEX,SALE,,,,,,,,,,,7,14,12,2002,01,1021,-0.5763,0.3101,-0.0069,
02RA00052,A7302,04,00,1,81,30,02,M,2,2,6.0,M,103,84,118,0.627,177,147,68,0.22,3.2,3.2,56,10.4,10.4,0.0588,29.4,5.2,17.9,50,2,1,2,2.13,132.3,A5515,04,A2523,04,,0,0.247,2.0,,3,LWW,,97,107,,S2,AA,STUD,,89.0,.,,LWW,.,,,,,,,,,,,6,13,11,2002,93,0820,-0.031,0.1473,-0.0018,
02RA00053,A7328,04,00,1,82,30,20,C,3,3,5.0,M,104,72,118,0.517,205,160,68,0.308,3.7,3.7,56,7.2,7.2,0.0351,26.9,5.0,18.4,56,2,1,3+,2.02,145.4,A5454,04,A2539,04,234,259,0.316,2.0,,2,CTL,,108,92,-,S4,AAA,STUD,,100.0, 79,,CTL,.,,,,,,,,,1,,4,9,9,2002,92,0919,-1.3826,-1.1081,-0.0108,
02RA00054,A7350,04,00,1,82,30,31,C,3,2,5.0,M,104,87,118,0.646,212,187,68,0.35,1.9,1.9,62,5.4,5.4,0.0255,24.6,3.8,15.4,60,1,1,3+,2.24,135.3,A5024,04,A1936,04,,0,0.364,2.0,,3,CTL,,100,73,,D3,DUD,,SCT,,.,,ASEX,.,,,,,,,,,,,4,11,8,2002,93,0820,-1.5387,-0.6447,-0.0125,
02RA00055,A7351,04,00,1,82,30,31,C,3,1,5.0,M,104,98,118,0.725,234,192,68,0.329,0.0,0.0,60,9.2,9.2,0.0393,0.0,0.0,0.0,0,.,1,.,2.24,135.3,A5024,04,A1936,04,,0,0.343,2.0,TEASER RAM,S,CTL,,,,,D4,DUD,,SCT,,TEAZ,,TEAZ,TEAZ,,,,,,,,,,,4,11,8,2002,,,-1.1892,-0.2498,-0.0106,
02RA00056,A7355,04,00,1,81,30,01,M,2,2,4.0,M,104,92,118,0.686,230,188,68,0.336,3.1,3.1,58,8.0,8.0,0.0348,28.7,4.8,16.7,54,1,1,2+,2.4,154.0,A5198,04,A4523,04,,0,0.325,2.0,"JAW5, 2002",3,LWW,,114,92,,S2,AA,STUD,,78.0,.,,LWW,.,,,,,,,,,,,4,11,9,2002,93,0820,-0.2161,0.8681,-0.0058,
02RA00057,A7401,04,00,1,82,30,24,C,3,2,3.0,M,105,71,117,0.528,196,160,68,0.311,3.0,3.0,58,9.2,9.2,0.0469,28.6,4.4,15.6,54,2,1,2+,2.25,125.9,A5144,04,A5301,04,,0,0.307,2.0,BAD FOOT,3,CTL,,101,99,,S1,A,STUD,,91.0,.,,CTL,.,,,,,,,,,,,3,7,5,2002,93,0820,-0.2336,0.3149,-0.0044,
02RA00058,A7402,04,00,1,82,30,24,C,3,2,3.0,M,105,78,117,0.597,188,164,68,0.301,3.1,3.1,58,7.8,7.8,0.0415,27.8,4.4,15.9,56,2,1,2,2.25,125.9,A5144,04,A5301,04,,0,0.307,2.0,,P,CTL,,98,92,,D3,DUD,,SCT,,LIB,,HOMO,.,,,,,,,,,,,3,7,5,2002,,,-0.6105,-0.0189,-0.007,
02RA00059,A7432,04,00,1,81,30,02,M,3,2,4.0,M,105,83,117,0.64,192,163,68,0.28,0.0,0.0,58,8.0,8.0,0.0417,0.0,0.0,0.0,0,.,1,.,2.15,106.2,A5515,04,A4524,04,,0,0.281,2.0,,P,LWW,,,,,S0,B,,SCT,,LIB,,HETR,MKT,,,,,,,,,,,4,9,5,2002,,,-0.2954,0.1496,-0.0046,
02RA00060,A7436,04,00,1,82,30,30,C,2,2,4.0,M,105,74,117,0.552,158,133,68,0.206,0.0,0.0,60,7.0,7.0,0.0443,0.0,0.0,0.0,0,.,1,.,2.02,130.3,A5528,04,A4653,04,,0,0.224,2.0,"TEASER, H5",S,CTL,,,,,S1,A,,SCT,,TEAZ,,TEAZ,TEAZ,,,,,,,,,,,4,8,7,2002,,,-1.2377,-1.0033,-0.0101,
02RA00061,A7451,04,00,1,81,30,01,M,2,2,5.0,M,106,87,115,0.653,203,174,68,0.303,3.9,3.9,60,11.2,11.2,0.0552,26.9,4.4,16.2,56,1,1,2-,1.81,104.6,A5198,04,A3481,04,,0,0.321,2.0,,3,LWW,,96,118,,S1,A,,,,.,,LWW,.,,,,,,,,,,,5,9,7,2002,93,0820,1.2935,2.1213,0.0038,
02RA00062,A7459,04,00,1,81,30,01,M,2,2,7.0,M,106,87,115,0.66,212,173,68,0.3,0.0,0.0,58,8.8,8.8,0.0415,0.0,0.0,0.0,0,.,1,.,2.29,151.0,A5198,04,L9966,03,,0,0.31,2.0,,P,LWW,,,,,D4,DUD,,SCT,,LIB,,HOMO,SALE,,,,,,,,,,,7,16,12,2002,,,-0.6149,0.2369,-0.0073,
