UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
22RA00001,2019060459,A0459,A0459,06,19,1,,30,38,,,2,2,2.0,M,75,94,121,0.669,253,196,42,0.279,3.0,,,10.0,,,25.9,4.4,16.8,58,1,,3+,,,H9917,05,H9833,05,,,281,187,0.525,3.0,BadOver,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,10,8.0,2022,93,0822,15933,,0.035
22RA00002,2019060508,A0508,A0508,06,19,1,,30,38,,,3,1,4.0,M,77,88,119,0.639,253,188,42,0.272,2.8,,,11.0,,,26.7,4.7,17.8,56,1,,3+,,,H9917,05,H8925,05,,,284,187,0.551,3.0,.,3,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,4,8,7.5,2022,93,0822,15988,,0.037
22RA00003,2019060524,A0524,A0524,06,19,1,,30,38,,,3,2,3.0,M,78,79,118,0.596,216,173,42,0.255,3.1,,,10.0,,,27.9,4.9,17.8,54,1,,1-,,,H9917,05,H9415,05,,,243,187,0.461,3.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,5.5,2022,93,0822,15948,,0.028
22RA00004,2019060678,A0678,A0678,06,19,1,,30,35,,,3,2,5.0,M,87,79,109,0.622,253,166,42,0.23,2.9,,,12.0,,,24.8,5.1,20.7,60,1,,3+,,,H9845,05,H8668,05,,,262,187,0.514,3.0,Tom->Bitter,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,12,8.5,2022,93,0822,15978,,0.036
22RA00005,2020060737,A0737,A0737,06,20,1,,30,27,,,2,1,2.0,M,71,83,124,0.608,208,164,42,0.224,2.8,,,7.0,,,27.4,6.1,22.1,56,1,,3+,,,H9784,05,A0061,06,,,230,187,0.412,2.0,X B. Ovis,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,3.5,2022,93,0711,15842,,0.041
22RA00006,2020060792,A0792,A0792,06,20,1,,30,28,,,3,2,6.0,M,74,85,121,0.62,209,183,42,0.269,2.6,,,8.0,,,24.8,4.1,16.7,60,1,,3+,,,M0031,51,H8468,05,,,239,187,0.431,2.0,Nice,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,15,13.0,2022,93,0822,15989,,0.032
22RA00007,2020060803,A0803,A0803,06,20,1,,30,27,,.,3,2,5.0,M,75,78,120,0.58,218,183,42,0.288,3.8,,,12.0,,,26.6,5.4,20.3,56,1,,2+,,,H9784,05,H9055,05,,,251,187,0.485,2.0,RNut~Larger,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,18,10.0,2022,,,0,,0.033
22RA00008,2020060851,A0851,A0851,06,20,1,,30,27,,,3,2,5.0,M,77,87,118,0.634,226,191,42,0.283,3.3,,,11.0,,,26.1,5.3,20.2,58,1,,3,,,H9784,05,H9229,05,,,256,187,0.473,2.0,.,1,,,,,,AA,RR,,,,,18,,,,,,,,,,,,,,,,5,13,7.0,2022,,,0,,0.033
22RA00009,2020060901,A0901,A0901,06,20,1,,BL,26,,,3,2,5.0,M,79,74,116,0.541,171,141,43,0.182,,,,11.0,,,,,,,1,,3+,,,H9684,05,H8958,05,,,202,187,0.359,2.0,.,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,10,7.5,2022,,,0,,0.023
22RA00010,2020060947,A0947,A0947,06,20,1,,30,20,,,2,2,2.0,M,80,76,115,0.562,228,169,42,0.251,3.2,,,11.0,,,26.7,5.2,19.5,56,1,,2-,,,A0013,06,A0332,06,,,251,187,0.49,2.0,.,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,2.0,2022,93,0822,15966,,0.03
22RA00011,2020060980,A0980,A0980,06,20,1,,30,26,,,3,1,3.0,M,82,75,113,0.588,171,143,42,0.183,3.1,,,10.0,,,23.5,4.4,18.7,60,1,,2,,,H9684,05,H9634,05,,,209,187,0.375,2.0,X Lame,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,5,3.5,2022,93,0822,15911,,0.03
22RA00012,2020061004,A1004,A1004,06,20,1,,30,27,,,2,2,4.0,M,83,89,112,0.68,227,182,42,0.249,3.5,,,11.0,,,30.1,7.6,25.2,50,2,,2-,,,H9784,05,H9419,05,,,262,187,0.485,2.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,9,9.0,2022,92,0825,16038,,0.032
22RA00013,2020061016,A1016,A1016,06,20,1,,30,20,,,2,2,3.0,M,84,75,111,0.559,226,173,42,0.262,3.0,,,10.0,,,25.7,4.8,18.6,58,1,,2,,,A0013,06,H9612,05,,,261,187,0.521,2.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,3.0,2022,93,0913,16052,,0.031
22RA00014,2020061025,A1025,A1025,06,20,1,,30,27,,,2,2,5.0,M,84,87,111,0.694,231,174,42,0.233,2.9,,,8.0,,,25.1,4.7,18.6,58,1,,2+,,,H9784,05,H9230,05,,,270,187,0.513,2.0,FailedSemen,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,5.0,2022,93,0929,16373,,0.033
