UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
01RA00011,01179,00,00,1,68,06,L01,G,1,1,2.0,Y,146,88,82,0.951,193,193,67,0.375,2.8,3.7,60,7.8,9.9,0.0513,23.27,4.44,19.1,62,1,,4,1.63,112.1,J0093,00,K0495,64,202,192,0.347,1.0,Jarvis Ram,2,LIM,JAR,107,103,N,S3,AA,,,,105,,.,.,,,,,,,, 3,0,C5422,2,2,1,2001,92,0920,0.0,0.0,0.0,
01RA00012,01465,00,00,1,68,06,L05,G,1,1,4.0,Y,151,72,77,0.805,142,142,67,0.25,2.8,3.7,60,4.0,5.2,0.0366,21.89,5.14,23.5,64,1,,3,1.6,104.9,K0116,64,K8969,63,167,192,0.289,1.0,Columbia Ram,3,LIM,,90,81,N,S1,A,,SCT,,LIB,,LIB,.,,CR,60,3,,15,Q,,0,_____,4,6,4,2001,,,0.0,0.0,0.0,
01RA00013,01541,00,00,1,68,06,L05,G,2,1,2.0,Y,155,72,73,0.849,167,167,67,0.339,2.6,3.5,60,5.8,7.6,0.0455,21.25,5.07,23.9,64,1,,3+,1.63,109.3,K0116,64, 8580,00,181,192,0.331,1.0,Columbia Ram,3,LIM,,100,92,N,S1,A,,SCT,,LIB,,LIB,.,,CR,70,4,,0,E,,0,_____,1,2,1,2001,,,0.0,0.0,0.0,
01RA00014,90527,09,99,1,88,30,L44,.,2,2,7.0,M,132,82,111,0.649,187,128,67,0.174,0.0,0.0,58,10.6,10.6,0.0567,0.0,0.0,0.0,0,.,,.,2.12,139.9,A3678,04,L8860,03,208,192,0.248,2.0,DUD,V,LIM,,,,N,D4,DUD,,ORE,,DUD,,B 26,HOMO,3,,,,,,,,0,_____,7,14,14,2001,,,-0.1347,0.0298,-0.0026,
01RA00015,90682,09,99,1,88,30,L41,.,2,2,3.0,M,137,82,106,0.679,196,138,67,0.211,0.0,0.0,60,9.4,9.4,0.048,0.0,0.0,0.0,0,.,,.,2.15,151.8,A4441,04,A4345,04,204,192,0.248,2.0,DUD,3,LIM,,,,,D4,DUD,,,,DUD,,X,.,,,,,,,,,0,_____,3,6,6,2001,93,0824,-0.553,-0.2322,-0.006,
01RA00016,90776,09,99,1,68,06,L05,G,1,1,5.0,M,139,103,104,0.894,239,179,67,0.287,0.0,0.0,58,12.2,12.2,0.051,0.0,0.0,0.0,0,.,,.,1.54,126.7,J0143,00,K7989,63,269,192,0.333,2.0,DUD,3,LIM,JAR,,,,D3,DUD,,,,DUD,,X,SPAR,38,,,,,,,,0,_____,5,6,6,2001,93,0824,0.0,0.0,0.0,
01RA00017,90920,09,99,1,68,06,L03,G,1,1,6.0,M,142,101,101,0.901,228,176,67,0.283,3.3,3.3,58,13.0,13.0,0.057,25.83,5.63,21.8,58,2,,3+,1.55,132.7,K9689,63,K7040,63,247,192,0.308,2.0,"JUMPER,CRAZY",2,LIM,,92,97,N,S1,A,,,,116,,.,.,,,,,,,, 4,0,C5423,6,8,8,2001,92,0920,0.0,0.0,0.0,
01RA00018,91200,09,99,1,18,07,L30,.,1,1,6.5,M,146,99,97,0.918,243,176,67,0.291,3.4,3.4,62,16.0,16.0,0.0658,22.82,4.61,20.2,62,1,,3+,1.5,82.3,S6877,10,S4384,10,252,192,0.333,2.0,DUD >works,2,LIM,,87,111,N,S1,A,,,,152,,.,.,,,,,,,, 8,0,_____,5,8,5,2001,92,0920,0.0,0.0,0.0,0.3841
01RA00019,91212,09,99,1,68,06,L01,G,1,1,7.0,M,146,93,97,0.856,218,176,67,0.313,0.0,0.0,60,11.0,11.0,0.0505,0.0,0.0,0.0,0,.,,.,1.63,107.2,J0093,00,K6394,63,247,192,0.352,2.0,DUD,V,LIM,JAR,,,N,D4,DUD,,ORE,,DUD,,P 12,DUD,15,,,,,,,,0,_____,6,11,8,2001,,,0.0,0.0,0.0,
01RA00020,91243,09,99,1,68,06,L02,G,1,1,3.0,M,147,96,96,0.896,241,178,67,0.309,0.0,0.0,60,16.4,16.4,0.068,0.0,0.0,0.0,0,.,,.,1.45,109.5,J0131,00,K9291,63,265,192,0.378,2.0,DUD,V,LIM,JAR,,,N,D3,DUD,,,,X,,DUD,X,25,,,,,0,X,,0,_____,2,2,2,2001,93,1109,0.0,0.0,0.0,
