UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
25RA00001,2022061481,A1481,A1481,06,22,1,,30,35,,,2,2,3.0,M,70,107,122,0.77,284,199,41,0.256,2.5,,,12.0,,,24.9,4.4,17.7,60,1,,3,,,A0459,06,A0498,06,,,0,0,0.0,3.0,.,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,13,8.0,2025,,,0,,0.049
25RA00002,2022061538,A1538,A1538,06,22,1,,30,39,,T,3,2,3.0,M,74,95,118,0.714,248,177,41,0.225,3.0,,,9.0,,,27.0,4.6,16.9,56,1,,3+,,,A0851,06,A0356,06,,,0,0,0.0,3.0,HAIRY,,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,5,13,8.5,2025,,,0,,0.051
25RA00003,2022061579,A1579,A1579,06,22,1,,30,38,,,2,2,4.0,M,76,97,116,0.728,253,179,41,0.224,3.3,,,13.0,,,25.8,4.5,17.4,58,1,,2-,,,A0792,06,A0193,06,,,0,0,0.0,3.0,Backup,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,7.5,2025,,,0,,0.046
25RA00004,2022061585,A1585,A1585,06,22,1,,30,39,,,2,2,2.0,M,76,85,116,0.625,241,168,41,0.227,3.7,,,10.0,,,22.5,4.7,20.7,62,1,,3,,,A0851,06,A0761,06,,,0,0,0.0,3.0,SPLITSCROTUM,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,7,6.0,2025,,,0,,0.038
25RA00005,2022061642,A1642,A1642,06,22,1,,30,39,,,2,1,2.0,M,80,94,112,0.738,213,141,41,0.127,2.4,,,9.0,,,23.0,4.4,19.2,62,1,,3+,,,A0851,06,A1005,06,,,0,0,0.0,3.0,Nice,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,4,2.5,2025,,,0,,0.055
25RA00006,2022061660,A1660,A1660,06,22,1,,30,38,,,3,2,7.0,M,81,89,111,0.688,232,141,41,0.14,2.4,,,8.0,,,24.0,4.6,19.1,60,1,,3+,,,A0792,06,H8958,05,,,0,0,0.0,3.0,PinkSlOver,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,13,9.5,2025,,,0,,0.031
25RA00007,2022061761,A1761,A1761,06,22,1,,30,40,,,2,2,7.0,M,88,83,104,0.685,224,132,41,0.13,2.9,,,10.0,,,23.4,4.0,17.2,62,1,,3,,,A0947,06,H9232,05,,,0,0,0.0,3.0,HAIRY,,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,7,14,12.0,2025,,,0,,0.026
25RA00008,2023061782,A1782,A1782,06,23,1,,30,20,,,3,1,5.0,M,76,88,115,0.678,220,168,41,0.214,2.2,,,10.0,,,26.7,4.7,4.7,56,1,,3+,,,A1126,06,A0309,06,,,0,0,0.0,2.0,2ND,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,15,10.0,2025,,,0,,0.039
25RA00009,2023061785,A1785,A1785,06,23,1,,30,21,,,3,2,7.0,M,76,88,115,0.671,179,146,41,0.155,2.4,,,8.0,,,26.6,4.3,4.3,56,2,,2-,,,A1201,06,H9393,05,,,0,0,0.0,2.0,Scurs,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,7,19,12.0,2025,,,0,,0.036
25RA00010,2023061790,A1790,A1790,06,23,1,,30,23,,,2,2,2.0,M,76,85,115,0.634,209,151,41,0.184,2.2,,,9.0,,,24.5,6.5,6.5,58,1,,3+,,,A1235,06,A1320,06,,,0,0,0.0,2.0,.,,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,7,5.0,2025,,,0,,0.049
25RA00011,2023061814,A1814,A1814,06,23,1,,30,18,,,2,2,3.0,M,77,95,114,0.725,215,166,41,0.197,1.6,,,11.0,,,22.9,4.5,4.5,62,2,,3+,,,A0851,06,A1008,06,,,0,0,0.0,2.0,.,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,7.5,2025,,,0,,0.022
25RA00012,2023061835,A1835,A1835,06,23,1,,30,23,,,3,2,5.0,M,80,75,111,0.595,178,139,41,0.169,2.8,,,8.0,,,25.5,5.6,5.6,58,3,,3-,,,A1235,06,A0327,06,,,0,0,0.0,2.0,Scurs,,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,6,14,11.0,2025,,,0,,0.04
25RA00013,2023061865,A1865,A1865,06,23,1,,30,21,,,2,2,4.0,M,82,80,109,0.619,239,163,41,0.218,2.0,,,9.0,,,26.4,4.3,4.3,56,1,,3,,,A1201,06,A0622,06,,,0,0,0.0,2.0,2ND,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,11,8.0,2025,,,0,,0.045
25RA00014,2023061878,A1878,A1878,06,23,1,,30,18,,,2,2,2.0,M,82,85,109,0.653,224,160,41,0.205,2.0,,,11.0,,,23.3,4.5,4.5,62,1,,2+,,,A0851,06,A1161,06,,,0,0,0.0,2.0,.,,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,6,6.0,2025,,,0,,0.047
25RA00015,2023061879,A1879,A1879,06,23,1,,30,18,,,2,2,2.0,M,82,84,109,0.653,216,161,41,0.211,1.8,,,10.0,,,23.8,4.6,4.6,60,2,,3-,,,A0851,06,A1161,06,,,0,0,0.0,2.0,.,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,6.0,2025,,,0,,0.047
25RA00016,2023061889,A1889,A1889,06,23,1,,30,21,,,2,2,2.0,M,83,79,108,0.61,177,152,41,0.199,2.2,,,8.0,,,24.6,4.8,4.8,60,2,,3+,,,A1201,06,A1382,06,,,0,0,0.0,2.0,.,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,5.0,2025,,,0,,0.071
25RA00017,2023061902,A1902,A1902,06,23,1,,30,18,,,3,2,2.0,Y,84,65,107,0.528,210,140,41,0.204,1.8,,,7.0,,,24.8,4.6,4.6,60,2,,3+,,,A0851,06,A1353,06,,,0,0,0.0,2.0,.,,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,3,7,5.5,2025,,,0,,0.045
25RA00018,2023061956,A1956,A1956,06,23,1,,30,22,,,3,2,2.0,M,87,76,104,0.646,199,141,41,0.176,1.6,,,8.0,,,26.3,6.0,6.0,58,1,,3+,,,A1209,06,A1157,06,,,0,0,0.0,2.0,Nice,,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,3,8,5.5,2025,,,0,,0.048
25RA00019,2023061968,A1968,A1968,06,23,1,,30,24,,,3,2,3.0,M,87,81,104,0.667,220,172,41,0.236,2.2,,,11.0,,,26.5,5.5,5.5,56,2,,2-,,,A1291,06,A0997,06,,,0,0,0.0,2.0,Scurs,,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,4,10,6.0,2025,,,0,,0.019
