UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00214,91,L7327,82,30,325,3,2,2,Y,104,71,114,0.613,118,135,0.167,7.2,58,48.8,7.6,3.7,23.2,62,2,1,2,2.48,119.3,376603,395903,148,194,0.225,,C,99,W,X,D3,DUD,1992
92RA00215,91,L7349,81,30,314,2,2,2,Y,104,79,114,0.667,136,135,0.202,8.0,56,61.2,7.2,4.4,22.6,62,2,1,1-,2.15,143.8,439603,366303,181,194,0.298,RETEST SEMEN,1,119,W,blue 01a,SP,B,1992
92RA00216,91,L7358,80,30,302,3,3,3,Y,104,72,114,0.624,98,135,0.092,7.8,58,36.3,8.4,3.0,22.2,62,2,2,2,2.31,112.1,425203,188603,138,194,0.193,,3,91,W,,D3,DUD,1992
92RA00217,91,L7370,83,30,333,3,2,4,Y,104,82,114,0.631,127,135,0.16,8.1,58,23.3,10.8,2.5,22.6,62,2,1,2-,2.22,142.4,421203,077903,155,194,0.213,,2,104,W,,S1,A,1992
92RA00218,91,L7384,81,30,311,3,2,5,Y,104,77,114,0.556,143,135,0.234,6.9,56,34.8,7.7,2.7,24.5,60,1,1,3+,1.92,132.9,380103,889502,179,194,0.298,,C,102,W,blue 69,S2,AA,1992
92RA00219,91,L7385,81,30,311,3,2,5,Y,104,87,114,0.738,154,135,0.238,6.9,56,35.8,7.2,2.6,22.5,62,2,1,1,1.92,132.9,380103,889502,190,194,0.301,,2,102,W,,D3,DUD,1992
92RA00220,91,L7408,80,30,304,3,2,3,Y,105,76,114,0.58,123,135,0.167,7.8,58,32.2,9.8,3.2,25.2,58,2,1,2+,2.45,133.7,382203,237903,161,194,0.249,,2,105,W,,S1,A,1992
92RA00221,91,L7420,80,30,302,3,2,5,Y,105,75,114,0.546,128,135,0.189,7.0,60,32.8,7.8,2.6,23.4,62,1,1,2,2.36,94.3,425203,880202,159,194,0.246,,3,81,W,,S1,A,1992
92RA00222,91,L7438,82,30,323,3,2,7,X,105,84,114,0.666,132,135,0.171,7.8,56,41.0,8.4,3.4,20.9,64,3,1,2+,2.2,134.9,369803,704102,0,,0.0,MKT.HORN.X,X,,,,,,1992
92RA00223,91,L7474,81,30,312,2,2,2,Y,105,80,114,0.643,133,135,0.189,7.2,58,60.7,7.1,4.3,22.5,62,2,1,2,2.15,120.9,385603,372403,160,194,0.235,EYE INFECTED,2,104,W,,S1,A,1992
92RA00224,91,L7479,80,30,302,2,2,3,Y,106,76,113,0.573,112,135,0.128,7.0,58,34.1,9.4,3.2,20.2,70,2,1,1-,2.03,111.5,425203,219903,156,194,0.235,,3,92,W,,D3,DUD,1992
